,entity,classes
0,DBPEDIA_ID/Acorn_Electron,"Device,InformationAppliance"
1,Amiga,"Device,InformationAppliance"
2,DBPEDIA_ID/Amiga_1000,"Device,InformationAppliance"
3,DBPEDIA_ID/Amiga_500,"Device,InformationAppliance"
4,DBPEDIA_ID/Amiga_500_Plus,"Device,InformationAppliance"
5,DBPEDIA_ID/Amstrad_CPC,"Device,InformationAppliance"
6,DBPEDIA_ID/Apple_I,"Device,InformationAppliance"
7,DBPEDIA_ID/Apple_II,"Device,InformationAppliance"
8,DBPEDIA_ID/Apple_III,"Device,InformationAppliance"
9,DBPEDIA_ID/Arcadia_2001,"Device,InformationAppliance"
10,DBPEDIA_ID/Atari_2600,"Device,InformationAppliance"
11,DBPEDIA_ID/Atari_5200,"Device,InformationAppliance"
12,DBPEDIA_ID/Atari_7800,"Device,InformationAppliance"
13,DBPEDIA_ID/Atari_Jaguar,"Device,InformationAppliance"
14,DBPEDIA_ID/Atari_Lynx,"Device,InformationAppliance"
15,DBPEDIA_ID/Atari_ST,"Device,InformationAppliance"
16,BeBox,"Device,InformationAppliance"
17,CLIÉ,"Device,InformationAppliance"
18,ColecoVision,"Device,InformationAppliance"
19,DBPEDIA_ID/Colossus_computer,"Device,InformationAppliance"
20,DBPEDIA_ID/Commodore_64,"Device,InformationAppliance"
21,DBPEDIA_ID/Dragon_32/64,"Device,InformationAppliance"
22,DBPEDIA_ID/Fairchild_Channel_F,"Device,InformationAppliance"
23,Game.com,"Device,InformationAppliance"
24,DBPEDIA_ID/Game_Boy_Advance,"Device,InformationAppliance"
25,DBPEDIA_ID/Game_Boy_Color,"Device,InformationAppliance"
26,DBPEDIA_ID/Game_Boy_line,"Device,InformationAppliance"
27,DBPEDIA_ID/IBM_Personal_Computer,"Device,InformationAppliance"
28,Intellivision,"Device,InformationAppliance"
29,DBPEDIA_ID/Jupiter_Ace,"Device,InformationAppliance"
30,DBPEDIA_ID/Konix_Multisystem,"Device,InformationAppliance"
31,DBPEDIA_ID/Magnavox_Odyssey²,"Device,InformationAppliance"
32,MessagePad,"Device,InformationAppliance"
33,Microvision,"Device,InformationAppliance"
34,DBPEDIA_ID/Neo_Geo_(system),"Device,InformationAppliance"
35,DBPEDIA_ID/Neo_Geo_CD,"Device,InformationAppliance"
36,DBPEDIA_ID/Neo_Geo_Pocket,"Device,InformationAppliance"
37,DBPEDIA_ID/Nintendo_64,"Device,InformationAppliance"
38,DBPEDIA_ID/Nuon_(DVD_technology),"Device,InformationAppliance"
39,PC-FX,"Device,InformationAppliance"
40,DBPEDIA_ID/Philips_CD-i,"Device,InformationAppliance"
41,DBPEDIA_ID/Philips_Videopac_+_G7400,"Device,InformationAppliance"
42,DBPEDIA_ID/PlayStation_(console),"Device,InformationAppliance"
43,DBPEDIA_ID/PlayStation_3,"Device,InformationAppliance"
44,Playdia,"Device,InformationAppliance"
45,DBPEDIA_ID/Sinclair_QL,"Device,InformationAppliance"
46,DBPEDIA_ID/Super_Nintendo_Entertainment_System,"Device,InformationAppliance"
47,DBPEDIA_ID/Telstar_(game_console),"Device,InformationAppliance"
48,DBPEDIA_ID/Virtual_Boy,"Device,InformationAppliance"
49,KIM-1,"Device,InformationAppliance"
50,DBPEDIA_ID/ABC_80,"Device,InformationAppliance"
51,DBPEDIA_ID/Amstrad_PCW,"Device,InformationAppliance"
52,DBPEDIA_ID/Bally_Astrocade,"Device,InformationAppliance"
53,MSX,"Device,InformationAppliance"
54,DBPEDIA_ID/HP_Mini_1000,"Device,InformationAppliance"
55,DBPEDIA_ID/HTC_Flyer,"Device,InformationAppliance"
56,ADM-3A,"Device,InformationAppliance"
57,DBPEDIA_ID/Acorn_Communicator,"Device,InformationAppliance"
58,DBPEDIA_ID/Aladdin_Deck_Enhancer,"Device,InformationAppliance"
59,DBPEDIA_ID/Bendix_G-15,"Device,InformationAppliance"
60,DBPEDIA_ID/English_Electric_DEUCE,"Device,InformationAppliance"
61,IMac,"Device,InformationAppliance"
62,DBPEDIA_ID/IPad_Air,"Device,InformationAppliance"
63,DBPEDIA_ID/Kobo_eReader,"Device,InformationAppliance"
64,DBPEDIA_ID/MacBook_Air,"Device,InformationAppliance"
65,DBPEDIA_ID/Mojo_(microconsole),"Device,InformationAppliance"
66,DBPEDIA_ID/Navy_eReader_Device,"Device,InformationAppliance"
67,DBPEDIA_ID/Nintendo_e-Reader,"Device,InformationAppliance"
68,DBPEDIA_ID/Chromebook_Pixel,"Device,InformationAppliance"
69,DBPEDIA_ID/Coleco_Gemini,"Device,InformationAppliance"
70,DBPEDIA_ID/Electric_Jukebox,"Device,InformationAppliance"
71,DBPEDIA_ID/HP_Envy,"Device,InformationAppliance"
72,DBPEDIA_ID/IPad_Mini,"Device,InformationAppliance"
73,DBPEDIA_ID/IPod_Mini,"Device,InformationAppliance"
74,DBPEDIA_ID/IQue_Player,"Device,InformationAppliance"
75,DBPEDIA_ID/Leapfrog_Didj,"Device,InformationAppliance"
76,DBPEDIA_ID/Mac_Mini,"Device,InformationAppliance"
77,DBPEDIA_ID/NES_Advantage,"Device,InformationAppliance"
78,DBPEDIA_ID/Nintendo_DS_Lite,"Device,InformationAppliance"
79,DBPEDIA_ID/Nostromo_SpeedPad_n52,"Device,InformationAppliance"
80,DBPEDIA_ID/O2_Joggler,"Device,InformationAppliance"
81,DBPEDIA_ID/Pebble_(watch),"Device,InformationAppliance"
82,DBPEDIA_ID/Psion_Series_3,"Device,InformationAppliance"
83,DBPEDIA_ID/Psion_Series_5,"Device,InformationAppliance"
84,DBPEDIA_ID/Sega_TeraDrive,"Device,InformationAppliance"
85,DBPEDIA_ID/Sirius_Stiletto,"Device,InformationAppliance"
86,DBPEDIA_ID/Sony_Dash,"Device,InformationAppliance"
87,Comx-35,"Device,InformationAppliance"
88,DBPEDIA_ID/Android_TV,"Device,InformationAppliance"
89,DBPEDIA_ID/HP_TouchSmart,"Device,InformationAppliance"
90,DBPEDIA_ID/Qualcomm_Toq,"Device,InformationAppliance"
91,DBPEDIA_ID/Samsung_Galaxy_Tab_2_7.0,"Device,InformationAppliance"
92,DBPEDIA_ID/Dual_Analog_Controller,"Device,InformationAppliance"
93,DBPEDIA_ID/Thomson_TO8,"Device,InformationAppliance"
94,DBPEDIA_ID/Huawei_Ascend,"Device,InformationAppliance"
95,IPhone,"Device,InformationAppliance"
96,IdeaPad,"Device,InformationAppliance"
97,"DBPEDIA_ID/Ingress,_egress,_and_regress","Device,InformationAppliance"
98,DBPEDIA_ID/Neo_FreeRunner,"Device,InformationAppliance"
99,DBPEDIA_ID/Philips_Nino,"Device,InformationAppliance"
100,DBPEDIA_ID/Razer_Switchblade,"Device,InformationAppliance"
101,DBPEDIA_ID/Xbox_(console),"Device,InformationAppliance"
102,DBPEDIA_ID/ZEN_Vision:M,"Device,InformationAppliance"
103,DBPEDIA_ID/ZEN_Vision_W,"Device,InformationAppliance"
104,DBPEDIA_ID/Zen_(portable_media_player),"Device,InformationAppliance"
105,DBPEDIA_ID/PC_Engine_SuperGrafx,"Device,InformationAppliance"
106,HP-75,"Device,InformationAppliance"
107,DBPEDIA_ID/IPod_Hi-Fi,"Device,InformationAppliance"
108,DBPEDIA_ID/Macintosh_Quadra_900,"Device,InformationAppliance"
109,DBPEDIA_ID/PowerBook_5300,"Device,InformationAppliance"
110,DBPEDIA_ID/Power_Macintosh_4400,"Device,InformationAppliance"
111,DBPEDIA_ID/Power_Macintosh_9500,"Device,InformationAppliance"
112,DBPEDIA_ID/Power_Macintosh_G3_(Blue_&_White),"Device,InformationAppliance"
113,ZYPAD,"Device,InformationAppliance"
114,DBPEDIA_ID/Zenith_Z-89,"Device,InformationAppliance"
115,DBPEDIA_ID/Atari_Jaguar_II,"Device,InformationAppliance"
116,EClicto,"Device,InformationAppliance"
117,DBPEDIA_ID/FiiO_X3_Portable_Music_Player,"Device,InformationAppliance"
118,Gamate,"Device,InformationAppliance"
119,DBPEDIA_ID/PlayStation_Camera,"Device,InformationAppliance"
120,DBPEDIA_ID/Samsung_SGH-C414,"Device,InformationAppliance"
121,TurboDuo,"Device,InformationAppliance"
122,DBPEDIA_ID/Zelybron_Micro_Nina,"Device,InformationAppliance"
123,DBPEDIA_ID/Entex_Adventure_Vision,"Device,InformationAppliance"
124,DBPEDIA_ID/Entex_Select-A-Game,"Device,InformationAppliance"
125,DBPEDIA_ID/IPad_(1st_generation),"Device,InformationAppliance"
126,DBPEDIA_ID/IPad_(2nd_generation),"Device,InformationAppliance"
