,entity,classes
0,DBPEDIA_ID/Amsterdam_Airport_Schiphol,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
1,DBPEDIA_ID/Area_51,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
2,DBPEDIA_ID/Broadway_(Manhattan),"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
3,DBPEDIA_ID/Channel_Tunnel,"Infrastructure,RailwayTunnel,ArchitecturalStructure,Place,Location,RouteOfTransportation"
4,DBPEDIA_ID/Dumbarton_Bridge_(California),"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
5,DBPEDIA_ID/European_route_E4,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
6,DBPEDIA_ID/Golden_Gate_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
7,DBPEDIA_ID/Heathrow_Airport,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
8,DBPEDIA_ID/Hoover_Dam,"ArchitecturalStructure,Dam,Infrastructure,Place,Location"
9,DBPEDIA_ID/Kariba_Dam,"ArchitecturalStructure,Dam,Infrastructure,Place,Location"
10,DBPEDIA_ID/London_Post_Office_Railway,"Infrastructure,ArchitecturalStructure,Place,Location,RailwayLine,RouteOfTransportation"
11,DBPEDIA_ID/Los_Angeles_International_Airport,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
12,DBPEDIA_ID/M25_motorway,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
13,DBPEDIA_ID/Mackinac_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
14,DBPEDIA_ID/Ponte_Vecchio,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
15,DBPEDIA_ID/Sydney_Harbour_Bridge,"Bridge,Infrastructure,ArchitecturalStructure,Place,Location,RouteOfTransportation"
16,DBPEDIA_ID/New_Jersey_Route_10,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
17,DBPEDIA_ID/New_Jersey_Route_12,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
18,DBPEDIA_ID/New_Jersey_Route_120,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
19,DBPEDIA_ID/New_Jersey_Route_13,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
20,DBPEDIA_ID/New_Jersey_Route_15,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
21,DBPEDIA_ID/New_Jersey_Route_17,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
22,DBPEDIA_ID/New_Jersey_Route_19,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
23,DBPEDIA_ID/New_Jersey_Route_20,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
24,DBPEDIA_ID/New_Jersey_Route_23,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
25,DBPEDIA_ID/New_Jersey_Route_24,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
26,DBPEDIA_ID/New_Jersey_Route_26,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
27,DBPEDIA_ID/New_Jersey_Route_29,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
28,DBPEDIA_ID/New_Jersey_Route_3,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
29,DBPEDIA_ID/New_Jersey_Route_4,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
30,DBPEDIA_ID/New_Jersey_Route_495,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
31,DBPEDIA_ID/New_Jersey_Route_5,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
32,DBPEDIA_ID/New_Jersey_Route_7,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
33,DBPEDIA_ID/New_Jersey_Route_70,"Infrastructure,ArchitecturalStructure,Place,Location,Road,RouteOfTransportation"
34,DBPEDIA_ID/Bauerfield_International_Airport,"ArchitecturalStructure,Airport,Infrastructure,Place,Location"
