,entity,classes
0,DBPEDIA_ID/Ancyra_(genus),"Insect,Eukaryote,Species,Animal"
1,Ant,"Insect,Eukaryote,Species,Animal"
2,Beetle,"Insect,Eukaryote,Species,Animal"
3,Kateretes,"Insect,Eukaryote,Species,Animal"
4,DBPEDIA_ID/Peppered_moth,"Insect,Eukaryote,Species,Animal"
5,DBPEDIA_ID/Africanized_bee,"Insect,Eukaryote,Species,Animal"
6,Aphid,"Insect,Eukaryote,Species,Animal"
7,Curculionidae,"Insect,Eukaryote,Species,Animal"
8,DBPEDIA_ID/Japanese_beetle,"Insect,Eukaryote,Species,Animal"
9,Phalacridae,"Insect,Eukaryote,Species,Animal"
10,Weta,"Insect,Eukaryote,Species,Animal"
11,DBPEDIA_ID/Acrodipsas_cuprea,"Insect,Eukaryote,Species,Animal"
12,DBPEDIA_ID/Arta_(moth),"Insect,Eukaryote,Species,Animal"
13,DBPEDIA_ID/Bandera_(moth),"Insect,Eukaryote,Species,Animal"
14,DBPEDIA_ID/Berosus_(beetle),"Insect,Eukaryote,Species,Animal"
15,DBPEDIA_ID/Chilo_(moth),"Insect,Eukaryote,Species,Animal"
16,DBPEDIA_ID/Copper_underwing,"Insect,Eukaryote,Species,Animal"
17,DBPEDIA_ID/Marca_(moth),"Insect,Eukaryote,Species,Animal"
18,Photuris,"Insect,Eukaryote,Species,Animal"
19,DBPEDIA_ID/Sphinx_(genus),"Insect,Eukaryote,Species,Animal"
20,DBPEDIA_ID/Achaea_simplex,"Insect,Eukaryote,Species,Animal"
21,DBPEDIA_ID/Actias_selene,"Insect,Eukaryote,Species,Animal"
22,Adlerzia,"Insect,Eukaryote,Species,Animal"
23,DBPEDIA_ID/Agrisius_albula,"Insect,Eukaryote,Species,Animal"
24,Alcides,"Insect,Eukaryote,Species,Animal"
25,Alcidodes,"Insect,Eukaryote,Species,Animal"
26,DBPEDIA_ID/Aloeides_lutescens,"Insect,Eukaryote,Species,Animal"
27,DBPEDIA_ID/Aloeides_simplex,"Insect,Eukaryote,Species,Animal"
28,DBPEDIA_ID/Anagrapha_falcifera,"Insect,Eukaryote,Species,Animal"
29,DBPEDIA_ID/Anatrachyntis_simplex,"Insect,Eukaryote,Species,Animal"
30,DBPEDIA_ID/Angela_(genus),"Insect,Eukaryote,Species,Animal"
31,DBPEDIA_ID/Anonychomyrma_froggatti,"Insect,Eukaryote,Species,Animal"
