,entity,classes
0,DBPEDIA_ID/Kipper_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
1,DBPEDIA_ID/Andrew_White_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
2,DBPEDIA_ID/Ben_Gunn_(guitarist),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
3,DBPEDIA_ID/Alex_Fergusson_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
4,DBPEDIA_ID/James_Ellis_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
5,DBPEDIA_ID/John_Ashton_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
6,DBPEDIA_ID/Alan_Rankine,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
7,DBPEDIA_ID/Debbie_Smith_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
8,DBPEDIA_ID/Gareth_Sager,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
9,DBPEDIA_ID/Gary_Green_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
10,DBPEDIA_ID/Martin_Stone_(guitarist),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
11,DBPEDIA_ID/Stan_Cullimore,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
12,DBPEDIA_ID/Victor_Brox,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
13,DBPEDIA_ID/Barry_Thompson,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
14,DBPEDIA_ID/Graeme_Kelling,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
15,DBPEDIA_ID/Stan_Webb,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
16,DBPEDIA_ID/Deirdre_Cartwright,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
17,DBPEDIA_ID/James_Blackshaw,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
18,DBPEDIA_ID/Charles_Hedger,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
19,DBPEDIA_ID/Stuart_John_Wood,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
20,DBPEDIA_ID/Alex_Hutchings_(guitarist),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
21,DBPEDIA_ID/Mick_Slaven,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
22,DBPEDIA_ID/Martin_Pugh,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
23,DBPEDIA_ID/Mike_Cahen,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
24,DBPEDIA_ID/Phil_Allen,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
25,DBPEDIA_ID/Ben_Lurie,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
26,DBPEDIA_ID/Dave_Ball_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
27,DBPEDIA_ID/Declan_Burke,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
28,DBPEDIA_ID/Lloyd_Watson,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
29,DBPEDIA_ID/Luke_Morley,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
30,DBPEDIA_ID/Mike_Slamer,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
31,DBPEDIA_ID/Nick_Hawkins_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
32,DBPEDIA_ID/Jamie_Crompton,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
33,DBPEDIA_ID/Simon_Jeffes,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
34,DBPEDIA_ID/Walt_Monaghan,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
35,DBPEDIA_ID/Jamie_Hince,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
36,DBPEDIA_ID/Billy_Jenkins_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
37,DBPEDIA_ID/Joe_Sumner,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
38,DBPEDIA_ID/Iain_Cook,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
39,DBPEDIA_ID/Ronnie_Golden,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
40,DBPEDIA_ID/Danny_Felice,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
41,DBPEDIA_ID/Steve_Waller,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
42,DBPEDIA_ID/Al_Hodge_(rock_musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
43,DBPEDIA_ID/Robbie_Blunt,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
44,DBPEDIA_ID/Andrew_Craighan,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
45,DBPEDIA_ID/Hamish_Glencross,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
46,DBPEDIA_ID/Adam_Lehan,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
47,DBPEDIA_ID/Ian_McCallum,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
48,DBPEDIA_ID/Mark_O'Toole_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
49,DBPEDIA_ID/Steve_Zodiac,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
50,DBPEDIA_ID/Sylvan_Richardson,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
51,DBPEDIA_ID/Toby_MacFarlaine,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
52,DBPEDIA_ID/Paul_Atkinson_(guitarist),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
53,DBPEDIA_ID/Terry_Taylor_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
54,DBPEDIA_ID/Chris_Urbanowicz,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
55,DBPEDIA_ID/John_McNally_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
56,DBPEDIA_ID/Rich_Jones_(musician),"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
57,DBPEDIA_ID/Chris_Standring,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
58,DBPEDIA_ID/Rich_Fownes,"Artist,Guitarist,Agent,Person,MusicalArtist,Instrumentalist"
