,entity,classes
0,DBPEDIA_ID/Arthur_William_à_Beckett,"Person,Journalist,Agent"
1,DBPEDIA_ID/Carole_Hayman,"Person,Journalist,Agent"
2,DBPEDIA_ID/Mike_Pattenden,"Person,Journalist,Agent"
3,DBPEDIA_ID/Charles_Jennings_(journalist),"Person,Journalist,Agent"
4,DBPEDIA_ID/Lillian_Ross_(journalist),"Person,Journalist,Agent"
5,DBPEDIA_ID/Michael_Hirsh_(journalist),"Person,Journalist,Agent"
6,DBPEDIA_ID/Rob_Brown_(journalist),"Person,Journalist,Agent"
7,DBPEDIA_ID/Trine_Tsouderos,"Person,Journalist,Agent"
8,DBPEDIA_ID/A._B._MacDonald,"Person,Journalist,Agent"
9,DBPEDIA_ID/David_Cote_(writer),"Person,Journalist,Agent"
10,DBPEDIA_ID/David_Holmes_(journalist),"Person,Journalist,Agent"
11,DBPEDIA_ID/Habiba_Nosheen,"Person,Journalist,Agent"
12,DBPEDIA_ID/Harold_Jackson_(American_journalist),"Person,Journalist,Agent"
13,DBPEDIA_ID/James_Ulmer_(journalist),"Person,Journalist,Agent"
14,DBPEDIA_ID/Ken_Mandelbaum,"Person,Journalist,Agent"
15,DBPEDIA_ID/Leo_Lerner,"Person,Journalist,Agent"
16,DBPEDIA_ID/Michael_Whalen_(journalist),"Person,Journalist,Agent"
17,DBPEDIA_ID/Nathan_Einhorn,"Person,Journalist,Agent"
18,DBPEDIA_ID/Philip_Howard_(journalist),"Person,Journalist,Agent"
19,DBPEDIA_ID/Robert_Fisher_(journalist),"Person,Journalist,Agent"
20,DBPEDIA_ID/Sarah_Posner,"Person,Journalist,Agent"
21,DBPEDIA_ID/Simon_Sheppard_(writer),"Person,Journalist,Agent"
22,DBPEDIA_ID/Trish_Adudu,"Person,Journalist,Agent"
23,DBPEDIA_ID/Charles_Isherwood,"Person,Journalist,Agent"
24,DBPEDIA_ID/Colette_Cassidy,"Person,Journalist,Agent"
25,DBPEDIA_ID/Harry_Hodson,"Person,Journalist,Agent"
26,DBPEDIA_ID/Ian_Masters_(broadcaster),"Person,Journalist,Agent"
27,DBPEDIA_ID/Kate_Saunders,"Person,Journalist,Agent"
28,DBPEDIA_ID/Richard_Mayne_(administrator),"Person,Journalist,Agent"
29,DBPEDIA_ID/Adam_McClean,"Person,Journalist,Agent"
30,DBPEDIA_ID/Adrienne_Arsenault,"Person,Journalist,Agent"
31,DBPEDIA_ID/Alastair_Dunnett,"Person,Journalist,Agent"
32,DBPEDIA_ID/Andrew_Bell_(journalist),"Person,Journalist,Agent"
33,DBPEDIA_ID/Charles_Fox_(jazz_critic),"Person,Journalist,Agent"
34,DBPEDIA_ID/Charles_Molloy_Westmacott,"Person,Journalist,Agent"
35,DBPEDIA_ID/Clancy_Chassay,"Person,Journalist,Agent"
36,DBPEDIA_ID/Corina_Knoll,"Person,Journalist,Agent"
37,DBPEDIA_ID/Céline_Galipeau,"Person,Journalist,Agent"
38,DBPEDIA_ID/Daniel_Hertzberg,"Person,Journalist,Agent"
39,DBPEDIA_ID/David_Bradley_(UK_journalist),"Person,Journalist,Agent"
40,DBPEDIA_ID/Dwight_Jaynes,"Person,Journalist,Agent"
41,DBPEDIA_ID/Frank_Johnson_(journalist),"Person,Journalist,Agent"
42,DBPEDIA_ID/George_Alsop,"Person,Journalist,Agent"
43,DBPEDIA_ID/J._C._Trewin,"Person,Journalist,Agent"
44,DBPEDIA_ID/James_Perry_(journalist),"Person,Journalist,Agent"
45,DBPEDIA_ID/John_Charlton_Fisher,"Person,Journalist,Agent"
46,DBPEDIA_ID/John_O'Leary_(journalist),"Person,Journalist,Agent"
47,DBPEDIA_ID/Joyce_Wadler,"Person,Journalist,Agent"
48,DBPEDIA_ID/Martin_Vander_Weyer,"Person,Journalist,Agent"
49,DBPEDIA_ID/Meredith_Etherington-Smith,"Person,Journalist,Agent"
50,DBPEDIA_ID/Michael_Mandel_(economist),"Person,Journalist,Agent"
51,DBPEDIA_ID/Patrick_Martin_(journalist),"Person,Journalist,Agent"
52,DBPEDIA_ID/Paul_Reid_(writer),"Person,Journalist,Agent"
53,DBPEDIA_ID/Peggy_Anderson,"Person,Journalist,Agent"
54,DBPEDIA_ID/Peter_Gordon_(radio_presenter),"Person,Journalist,Agent"
55,DBPEDIA_ID/Richard_Nugent_(newspaperman),"Person,Journalist,Agent"
56,DBPEDIA_ID/Roger_Petersen,"Person,Journalist,Agent"
57,DBPEDIA_ID/Tania_Glyde,"Person,Journalist,Agent"
58,DBPEDIA_ID/Thomas_Dreier,"Person,Journalist,Agent"
59,DBPEDIA_ID/William_Hickey_(columnist),"Person,Journalist,Agent"
60,DBPEDIA_ID/William_Lambert_(journalist),"Person,Journalist,Agent"
61,DBPEDIA_ID/Alice_Klein,"Person,Journalist,Agent"
62,DBPEDIA_ID/Ben_Dirs,"Person,Journalist,Agent"
63,DBPEDIA_ID/Claire_Marshall,"Person,Journalist,Agent"
64,DBPEDIA_ID/Dear_Deidre,"Person,Journalist,Agent"
65,DBPEDIA_ID/Alan_Lee_(cricket_writer),"Person,Journalist,Agent"
66,DBPEDIA_ID/Gary_Gibbon,"Person,Journalist,Agent"
67,DBPEDIA_ID/Andrew_Brown_(CNN_journalist),"Person,Journalist,Agent"
68,DBPEDIA_ID/Andrew_Cohen_(journalist),"Person,Journalist,Agent"
69,DBPEDIA_ID/Jacqueline_Milczarek,"Person,Journalist,Agent"
70,DBPEDIA_ID/Joe_Saward,"Person,Journalist,Agent"
71,DBPEDIA_ID/Bruce_Garvey,"Person,Journalist,Agent"
72,DBPEDIA_ID/Lauren_Sherman,"Person,Journalist,Agent"
73,DBPEDIA_ID/Laurence_C._Eklund,"Person,Journalist,Agent"
74,DBPEDIA_ID/Catherine_Brown_(journalist),"Person,Journalist,Agent"
75,DBPEDIA_ID/Michael_Skube,"Person,Journalist,Agent"
76,DBPEDIA_ID/Neal_Kozodoy,"Person,Journalist,Agent"
77,DBPEDIA_ID/Nina_Myskow,"Person,Journalist,Agent"
78,DBPEDIA_ID/Phil_Hardy_(journalist),"Person,Journalist,Agent"
79,DBPEDIA_ID/Phil_Hornby,"Person,Journalist,Agent"
80,DBPEDIA_ID/Daniel_Henninger,"Person,Journalist,Agent"
81,DBPEDIA_ID/Robert_Cauthorn,"Person,Journalist,Agent"
82,DBPEDIA_ID/Duncan_Hamilton_(journalist),"Person,Journalist,Agent"
83,DBPEDIA_ID/Dustin_Long_(NASCAR_writer),"Person,Journalist,Agent"
84,DBPEDIA_ID/James_Daly_(journalist),"Person,Journalist,Agent"
85,DBPEDIA_ID/Jerry_Levin_(journalist),"Person,Journalist,Agent"
86,DBPEDIA_ID/Jim_Rose_(journalist),"Person,Journalist,Agent"
87,DBPEDIA_ID/John_Blake_(American-born_journalist),"Person,Journalist,Agent"
88,DBPEDIA_ID/John_Pienaar,"Person,Journalist,Agent"
89,DBPEDIA_ID/Lisa_Beyer,"Person,Journalist,Agent"
90,DBPEDIA_ID/Lorrie_Lynch,"Person,Journalist,Agent"
91,DBPEDIA_ID/Malcolm_Dome,"Person,Journalist,Agent"
92,DBPEDIA_ID/Michael_Adams_(journalist),"Person,Journalist,Agent"
93,DBPEDIA_ID/Norman_Shrapnel,"Person,Journalist,Agent"
94,DBPEDIA_ID/Red_Fisher_(journalist),"Person,Journalist,Agent"
95,DBPEDIA_ID/Sara_Nathan_(journalist),"Person,Journalist,Agent"
96,DBPEDIA_ID/Shaughnessy_Bishop-Stall,"Person,Journalist,Agent"
97,DBPEDIA_ID/William_Parry_(photojournalist),"Person,Journalist,Agent"
98,DBPEDIA_ID/Helen_Elliott_Bandini,"Person,Journalist,Agent"
99,DBPEDIA_ID/John_McIntyre_(copyeditor),"Person,Journalist,Agent"
100,DBPEDIA_ID/Michael_Paulson,"Person,Journalist,Agent"
101,DBPEDIA_ID/Pat_Murphy_(sports_journalist),"Person,Journalist,Agent"
102,DBPEDIA_ID/Terry_McDermott_(journalist),"Person,Journalist,Agent"
103,DBPEDIA_ID/Ayelish_McGarvey,"Person,Journalist,Agent"
104,DBPEDIA_ID/David_Garmston,"Person,Journalist,Agent"
105,DBPEDIA_ID/Dixe_Wills,"Person,Journalist,Agent"
106,DBPEDIA_ID/Floyd_Norris,"Person,Journalist,Agent"
107,DBPEDIA_ID/George_H._Clements,"Person,Journalist,Agent"
108,DBPEDIA_ID/Nancy_Durham,"Person,Journalist,Agent"
109,DBPEDIA_ID/W._Horsfall_Carter,"Person,Journalist,Agent"
110,DBPEDIA_ID/Aidan_White_(journalist),"Person,Journalist,Agent"
111,DBPEDIA_ID/Amelia_Reynolds_(television_presenter),"Person,Journalist,Agent"
112,DBPEDIA_ID/Amy_Guth,"Person,Journalist,Agent"
113,DBPEDIA_ID/Bruce_Parker,"Person,Journalist,Agent"
114,DBPEDIA_ID/Anne-Marie_Green,"Person,Journalist,Agent"
115,DBPEDIA_ID/Anne_Thompson_(film_critic),"Person,Journalist,Agent"
116,DBPEDIA_ID/Clement_Crabbe,"Person,Journalist,Agent"
117,DBPEDIA_ID/Herbert_Howe,"Person,Journalist,Agent"
118,DBPEDIA_ID/Carol_Remond,"Person,Journalist,Agent"
119,DBPEDIA_ID/Rose_Shapiro,"Person,Journalist,Agent"
120,DBPEDIA_ID/David_Lamb_(journalist),"Person,Journalist,Agent"
121,DBPEDIA_ID/David_Moberg_(journalist),"Person,Journalist,Agent"
122,DBPEDIA_ID/David_Willey_(journalist),"Person,Journalist,Agent"
123,DBPEDIA_ID/Tanya_Gold,"Person,Journalist,Agent"
124,DBPEDIA_ID/Elizabeth_Arnold_(reporter),"Person,Journalist,Agent"
125,DBPEDIA_ID/Greg_Sansone,"Person,Journalist,Agent"
126,DBPEDIA_ID/Jim_Rutenberg,"Person,Journalist,Agent"
127,DBPEDIA_ID/John_Rentoul,"Person,Journalist,Agent"
