,entity,classes
0,DBPEDIA_ID/Charles_Evans_Hughes,"Judge,Person,Agent"
1,DBPEDIA_ID/Francis_Hopkinson,"Judge,Person,Agent"
2,DBPEDIA_ID/Edward_Coke,"Judge,Person,Agent"
3,DBPEDIA_ID/Hugo_Black,"Judge,Person,Agent"
4,DBPEDIA_ID/Matthew_Hale_(jurist),"Judge,Person,Agent"
5,"DBPEDIA_ID/Andrew_Hardie,_Baron_Hardie","Judge,Person,Agent"
6,DBPEDIA_ID/David_Alan_Ezra,"Judge,Person,Agent"
7,DBPEDIA_ID/Robert_Cooper_Grier,"Judge,Person,Agent"
8,DBPEDIA_ID/Alexander_Akerman,"Judge,Person,Agent"
9,DBPEDIA_ID/Amal_Kumar_Sarkar,"Judge,Person,Agent"
10,DBPEDIA_ID/Augustus_B._Woodward,"Judge,Person,Agent"
11,DBPEDIA_ID/Benoni_Whitten,"Judge,Person,Agent"
12,DBPEDIA_ID/Callie_V._Granade,"Judge,Person,Agent"
13,DBPEDIA_ID/Charles_Merrill_Hough,"Judge,Person,Agent"
14,DBPEDIA_ID/Charles_S._Zane,"Judge,Person,Agent"
15,DBPEDIA_ID/David_Carruthers_(judge),"Judge,Person,Agent"
16,DBPEDIA_ID/David_Jackson_(judge),"Judge,Person,Agent"
17,DBPEDIA_ID/Gerald_Ellis_Rosen,"Judge,Person,Agent"
18,DBPEDIA_ID/Henry_Latimer_(judge),"Judge,Person,Agent"
19,"DBPEDIA_ID/Hubert_Parker,_Baron_Parker_of_Waddington","Judge,Person,Agent"
20,DBPEDIA_ID/J._Robert_Elliott,"Judge,Person,Agent"
21,DBPEDIA_ID/Jack_B._Weinstein,"Judge,Person,Agent"
22,DBPEDIA_ID/James_Whyte_(bishop),"Judge,Person,Agent"
23,"DBPEDIA_ID/John_Clerk,_Lord_Eldin","Judge,Person,Agent"
24,DBPEDIA_ID/John_Day_(judge),"Judge,Person,Agent"
25,DBPEDIA_ID/John_Stokes_(North_Carolina),"Judge,Person,Agent"
26,DBPEDIA_ID/Jonathan_Lippman,"Judge,Person,Agent"
27,DBPEDIA_ID/Justin_Miller_(judge),"Judge,Person,Agent"
28,DBPEDIA_ID/Kimba_Wood,"Judge,Person,Agent"
29,DBPEDIA_ID/Laurence_Whalen,"Judge,Person,Agent"
30,DBPEDIA_ID/Leonard_D._Wexler,"Judge,Person,Agent"
31,DBPEDIA_ID/Marie_Deschamps,"Judge,Person,Agent"
32,DBPEDIA_ID/Martin_Thomas_Manton,"Judge,Person,Agent"
33,DBPEDIA_ID/Michael_Hartmann_(judge),"Judge,Person,Agent"
34,DBPEDIA_ID/Nicolò_Zanon,"Judge,Person,Agent"
35,DBPEDIA_ID/Pat_Priest_(judge),"Judge,Person,Agent"
36,DBPEDIA_ID/R._William_Riggs,"Judge,Person,Agent"
37,DBPEDIA_ID/Richard_Parker_(judge),"Judge,Person,Agent"
38,"DBPEDIA_ID/Richard_Scott,_Baron_Scott_of_Foscote","Judge,Person,Agent"
39,DBPEDIA_ID/Rufus_Wheeler_Peckham,"Judge,Person,Agent"
40,DBPEDIA_ID/Shira_Scheindlin,"Judge,Person,Agent"
41,DBPEDIA_ID/Stanley_Mosk,"Judge,Person,Agent"
42,DBPEDIA_ID/Surinder_Singh_Nijjar,"Judge,Person,Agent"
43,DBPEDIA_ID/T._John_Ward,"Judge,Person,Agent"
44,DBPEDIA_ID/Theodore_R._Boehm,"Judge,Person,Agent"
45,DBPEDIA_ID/Thijmen_Koopmans,"Judge,Person,Agent"
46,DBPEDIA_ID/Thomas_Penfield_Jackson,"Judge,Person,Agent"
47,"DBPEDIA_ID/William_Nairne,_Lord_Dunsinane","Judge,Person,Agent"
48,DBPEDIA_ID/William_White_(jurist),"Judge,Person,Agent"
49,DBPEDIA_ID/Wishart_Spence,"Judge,Person,Agent"
50,DBPEDIA_ID/Albert_F._Sabo,"Judge,Person,Agent"
51,DBPEDIA_ID/Anthony_A._Alaimo,"Judge,Person,Agent"
52,DBPEDIA_ID/Benjamin_Drake_Magruder,"Judge,Person,Agent"
53,DBPEDIA_ID/Juan_M._Escobar,"Judge,Person,Agent"
54,DBPEDIA_ID/Alan_Taylor_(judge),"Judge,Person,Agent"
55,DBPEDIA_ID/Arthur_J._Schwab,"Judge,Person,Agent"
56,DBPEDIA_ID/Brian_Smedley,"Judge,Person,Agent"
57,DBPEDIA_ID/Charles_Evans_Whittaker,"Judge,Person,Agent"
58,DBPEDIA_ID/David_Friedman_(judge),"Judge,Person,Agent"
59,DBPEDIA_ID/Donald_W._Steinmetz,"Judge,Person,Agent"
60,DBPEDIA_ID/Edmund_Francis_Dunne,"Judge,Person,Agent"
61,DBPEDIA_ID/Edward_Roy_Becker,"Judge,Person,Agent"
62,DBPEDIA_ID/Eric_L._Levinson,"Judge,Person,Agent"
63,"DBPEDIA_ID/Hiram_Emory_Widener,_Jr.","Judge,Person,Agent"
64,DBPEDIA_ID/Jeremy_Fogel,"Judge,Person,Agent"
65,DBPEDIA_ID/John_Gurney_(judge),"Judge,Person,Agent"
66,DBPEDIA_ID/John_H._Mulkey,"Judge,Person,Agent"
67,DBPEDIA_ID/Keith_Aickin,"Judge,Person,Agent"
68,DBPEDIA_ID/Khawaja_Muhammad_Sharif,"Judge,Person,Agent"
69,DBPEDIA_ID/Loren_A._Smith,"Judge,Person,Agent"
70,DBPEDIA_ID/Loren_Miller_(judge),"Judge,Person,Agent"
71,DBPEDIA_ID/Michael_Corbett_(judge),"Judge,Person,Agent"
72,"DBPEDIA_ID/Nicolas_Browne-Wilkinson,_Baron_Browne-Wilkinson","Judge,Person,Agent"
73,DBPEDIA_ID/Paolo_Maria_Napolitano,"Judge,Person,Agent"
74,DBPEDIA_ID/Paul_A._Crotty,"Judge,Person,Agent"
75,"DBPEDIA_ID/Peter_Millett,_Baron_Millett","Judge,Person,Agent"
76,DBPEDIA_ID/René_Barents,"Judge,Person,Agent"
77,DBPEDIA_ID/Richard_D._Simons,"Judge,Person,Agent"
78,"DBPEDIA_ID/Robert_Goff,_Baron_Goff_of_Chieveley","Judge,Person,Agent"
79,DBPEDIA_ID/S._Ashok_Kumar,"Judge,Person,Agent"
80,DBPEDIA_ID/William_Garrow,"Judge,Person,Agent"
81,DBPEDIA_ID/William_Thornton_(politician),"Judge,Person,Agent"
82,DBPEDIA_ID/William_Yates_Atkinson,"Judge,Person,Agent"
83,DBPEDIA_ID/Carol_Jean_Vigil,"Judge,Person,Agent"
84,DBPEDIA_ID/Charles_Codman_Cabot,"Judge,Person,Agent"
85,"DBPEDIA_ID/Alan_Turnbull,_Lord_Turnbull","Judge,Person,Agent"
86,DBPEDIA_ID/Frank_D._Padgett,"Judge,Person,Agent"
87,DBPEDIA_ID/Frederick_L._Van_Sickle,"Judge,Person,Agent"
88,DBPEDIA_ID/Halim_Dhanidia,"Judge,Person,Agent"
89,DBPEDIA_ID/Henry_Billings_Brown,"Judge,Person,Agent"
90,DBPEDIA_ID/Henry_F._Zwack,"Judge,Person,Agent"
91,DBPEDIA_ID/James_Munby,"Judge,Person,Agent"
92,DBPEDIA_ID/Bhupinder_Nath_Kirpal,"Judge,Person,Agent"
93,DBPEDIA_ID/Jane_Burgio,"Judge,Person,Agent"
94,"DBPEDIA_ID/John_William_Ditter,_Jr.","Judge,Person,Agent"
95,DBPEDIA_ID/Laura_Duncan,"Judge,Person,Agent"
96,DBPEDIA_ID/Lloyd_D._George,"Judge,Person,Agent"
97,DBPEDIA_ID/David_Kirby_(judge),"Judge,Person,Agent"
98,DBPEDIA_ID/David_Lloyd_Jones_(judge),"Judge,Person,Agent"
99,DBPEDIA_ID/Robert_J._Yock,"Judge,Person,Agent"
100,DBPEDIA_ID/Sanath_Weerakoon,"Judge,Person,Agent"
101,DBPEDIA_ID/Smith_Hickenlooper,"Judge,Person,Agent"
102,DBPEDIA_ID/Edward_Mansfield_(judge),"Judge,Person,Agent"
103,DBPEDIA_ID/Francis_Cabot_Lowell_(judge),"Judge,Person,Agent"
104,DBPEDIA_ID/G._Harrold_Carswell,"Judge,Person,Agent"
105,DBPEDIA_ID/Girard_Edward_Kalbfleisch,"Judge,Person,Agent"
106,"DBPEDIA_ID/William_Cullen,_Baron_Cullen_of_Whitekirk","Judge,Person,Agent"
107,DBPEDIA_ID/Woo_Bih_Li,"Judge,Person,Agent"
108,DBPEDIA_ID/Hugh_Beadle,"Judge,Person,Agent"
109,"DBPEDIA_ID/Iain_Peebles,_Lord_Bannatyne","Judge,Person,Agent"
110,DBPEDIA_ID/James_F._Watson,"Judge,Person,Agent"
111,DBPEDIA_ID/James_Russell_(Canadian_judge),"Judge,Person,Agent"
112,DBPEDIA_ID/John_Glenn_(judge),"Judge,Person,Agent"
113,DBPEDIA_ID/John_Strange_(English_politician),"Judge,Person,Agent"
114,DBPEDIA_ID/Patrick_O'Reilly_(priest),"Judge,Person,Agent"
115,"DBPEDIA_ID/Peter_Oliver,_Baron_Oliver_of_Aylmerton","Judge,Person,Agent"
116,"DBPEDIA_ID/Robert_Carswell,_Baron_Carswell","Judge,Person,Agent"
117,DBPEDIA_ID/Robert_D._Rucker,"Judge,Person,Agent"
118,DBPEDIA_ID/S._H._Kapadia,"Judge,Person,Agent"
119,DBPEDIA_ID/Silvana_Sciarra,"Judge,Person,Agent"
120,DBPEDIA_ID/Steve_White_(judge),"Judge,Person,Agent"
121,DBPEDIA_ID/Vincent_L._Broderick,"Judge,Person,Agent"
122,DBPEDIA_ID/Walter_Chadwick_Noyes,"Judge,Person,Agent"
123,DBPEDIA_ID/William_Blair_(judge),"Judge,Person,Agent"
124,DBPEDIA_ID/William_Griffith_(New_Jersey_attorney),"Judge,Person,Agent"
125,DBPEDIA_ID/Janet_C._Hall,"Judge,Person,Agent"
126,"DBPEDIA_ID/Anthony_Clarke,_Baron_Clarke_of_Stone-cum-Ebony","Judge,Person,Agent"
127,DBPEDIA_ID/Caroline_Duby_Glassman,"Judge,Person,Agent"
128,"DBPEDIA_ID/Henry_Keith,_Baron_Keith_of_Kinkel","Judge,Person,Agent"
129,DBPEDIA_ID/Kalmanje_Jagannatha_Shetty,"Judge,Person,Agent"
130,DBPEDIA_ID/Kate_O'Regan,"Judge,Person,Agent"
131,DBPEDIA_ID/Kenneth_Hayne,"Judge,Person,Agent"
132,DBPEDIA_ID/Laura_Denvir_Stith,"Judge,Person,Agent"
133,DBPEDIA_ID/Paine_Page_Prim,"Judge,Person,Agent"
134,DBPEDIA_ID/Paul_Allen_Simmons,"Judge,Person,Agent"
135,DBPEDIA_ID/Thomas_J._Baldrige,"Judge,Person,Agent"
136,DBPEDIA_ID/Tony_Agbayani,"Judge,Person,Agent"
137,DBPEDIA_ID/William_Cranch,"Judge,Person,Agent"
138,DBPEDIA_ID/Dave_Lavery,"Judge,Person,Agent"
139,DBPEDIA_ID/Abdul_Rashid_(judge),"Judge,Person,Agent"
140,DBPEDIA_ID/Edwin_Cameron,"Judge,Person,Agent"
141,DBPEDIA_ID/Francis_Jacobs,"Judge,Person,Agent"
142,DBPEDIA_ID/Frederick_W._Dallinger,"Judge,Person,Agent"
143,DBPEDIA_ID/Gladys_Kessler,"Judge,Person,Agent"
144,DBPEDIA_ID/Javed_Iqbal_(judge),"Judge,Person,Agent"
145,DBPEDIA_ID/Patrick_Lipton_Robinson,"Judge,Person,Agent"
146,DBPEDIA_ID/Richard_J._Leon,"Judge,Person,Agent"
147,DBPEDIA_ID/Samuel_B._Kent,"Judge,Person,Agent"
148,DBPEDIA_ID/Terence_Cole_(jurist),"Judge,Person,Agent"
149,DBPEDIA_ID/Albert_C._Baker,"Judge,Person,Agent"
150,DBPEDIA_ID/Albin_W._Norblad,"Judge,Person,Agent"
151,DBPEDIA_ID/Alcibiades_DeBlanc,"Judge,Person,Agent"
152,DBPEDIA_ID/Anna_Pauffley,"Judge,Person,Agent"
153,DBPEDIA_ID/James_G._Johnson,"Judge,Person,Agent"
154,DBPEDIA_ID/Jeffrey_Hjelm,"Judge,Person,Agent"
155,DBPEDIA_ID/John_Goldring,"Judge,Person,Agent"
156,DBPEDIA_ID/Leon_W._Powers,"Judge,Person,Agent"
157,DBPEDIA_ID/Mary_Jo_Levinger,"Judge,Person,Agent"
158,DBPEDIA_ID/Sisi_Khampepe,"Judge,Person,Agent"
159,DBPEDIA_ID/Thomas_J._Spargo,"Judge,Person,Agent"
160,DBPEDIA_ID/Venkate_Gopala_Gowda,"Judge,Person,Agent"
161,DBPEDIA_ID/Adarsh_Sein_Anand,"Judge,Person,Agent"
162,DBPEDIA_ID/Andrew_McFarlane_(judge),"Judge,Person,Agent"
163,"DBPEDIA_ID/Colin_Sutherland,_Lord_Carloway","Judge,Person,Agent"
164,"DBPEDIA_ID/George_Clifton_Edwards,_Jr.","Judge,Person,Agent"
165,DBPEDIA_ID/Gustave_Diamond,"Judge,Person,Agent"
166,DBPEDIA_ID/John_Hessin_Clarke,"Judge,Person,Agent"
167,DBPEDIA_ID/Joseph_H._McKinley_Jr.,"Judge,Person,Agent"
168,DBPEDIA_ID/Carlos_Irizarry_Yunqué,"Judge,Person,Agent"
169,DBPEDIA_ID/Lesley_B._Wells,"Judge,Person,Agent"
170,DBPEDIA_ID/Michael_H._Watson,"Judge,Person,Agent"
171,DBPEDIA_ID/S._Rajendra_Babu,"Judge,Person,Agent"
172,DBPEDIA_ID/William_Kneeland_Townsend,"Judge,Person,Agent"
173,DBPEDIA_ID/John_Verney_(judge),"Judge,Person,Agent"
174,"DBPEDIA_ID/John_Widgery,_Baron_Widgery","Judge,Person,Agent"
175,DBPEDIA_ID/Kuniko_Ozaki,"Judge,Person,Agent"
176,DBPEDIA_ID/Lucie_Lamarre,"Judge,Person,Agent"
177,DBPEDIA_ID/Michael_P._McCuskey,"Judge,Person,Agent"
178,DBPEDIA_ID/Nanette_Kay_Laughrey,"Judge,Person,Agent"
179,DBPEDIA_ID/Van_Vechten_Veeder,"Judge,Person,Agent"
180,DBPEDIA_ID/W._Michael_Gillette,"Judge,Person,Agent"
181,DBPEDIA_ID/Wayne_L._Kidwell,"Judge,Person,Agent"
182,DBPEDIA_ID/William_Harold_Albritton_III,"Judge,Person,Agent"
183,DBPEDIA_ID/Wolfgang_Schomburg,"Judge,Person,Agent"
184,DBPEDIA_ID/Bushrod_Washington,"Judge,Person,Agent"
185,DBPEDIA_ID/Carol_A._Beier,"Judge,Person,Agent"
186,DBPEDIA_ID/Challa_Kondaiah,"Judge,Person,Agent"
187,DBPEDIA_ID/Charles_Gonthier,"Judge,Person,Agent"
188,DBPEDIA_ID/E._Barrett_Prettyman,"Judge,Person,Agent"
189,"DBPEDIA_ID/George_Arceneaux,_Jr.","Judge,Person,Agent"
190,DBPEDIA_ID/Maurice_E._Lagacé,"Judge,Person,Agent"
191,DBPEDIA_ID/Nicholas_Wall_(judge),"Judge,Person,Agent"
192,DBPEDIA_ID/Paul_Joan_George_Kapteyn,"Judge,Person,Agent"
193,DBPEDIA_ID/William_H._Pauley_III,"Judge,Person,Agent"
194,DBPEDIA_ID/Benjamin_Bourne,"Judge,Person,Agent"
195,DBPEDIA_ID/Charles_Page_Thomas_Moore,"Judge,Person,Agent"
196,DBPEDIA_ID/David_Josiah_Brewer,"Judge,Person,Agent"
197,DBPEDIA_ID/Deborah_Servitto,"Judge,Person,Agent"
198,DBPEDIA_ID/John_Archibald_Campbell,"Judge,Person,Agent"
199,DBPEDIA_ID/Mahlon_Pitney,"Judge,Person,Agent"
200,DBPEDIA_ID/Stephen_Johnson_Field,"Judge,Person,Agent"
201,DBPEDIA_ID/Horace_Gray,"Judge,Person,Agent"
202,DBPEDIA_ID/Joseph_Rucker_Lamar,"Judge,Person,Agent"
203,DBPEDIA_ID/Louis-Philippe_Pigeon,"Judge,Person,Agent"
204,DBPEDIA_ID/Ward_Hunt,"Judge,Person,Agent"
205,DBPEDIA_ID/Emmett_Matthew_Hall,"Judge,Person,Agent"
206,DBPEDIA_ID/John_Robert_Cartwright,"Judge,Person,Agent"
207,DBPEDIA_ID/Richard_O'Connor_(politician),"Judge,Person,Agent"
208,DBPEDIA_ID/Joette_Katz,"Judge,Person,Agent"
209,DBPEDIA_ID/Whitman_Knapp,"Judge,Person,Agent"
210,DBPEDIA_ID/William_James_Wallace,"Judge,Person,Agent"
211,DBPEDIA_ID/Donna_Stroud,"Judge,Person,Agent"
212,DBPEDIA_ID/Markandey_Katju,"Judge,Person,Agent"
213,DBPEDIA_ID/Lee_A._Johnson,"Judge,Person,Agent"
214,DBPEDIA_ID/Christopher_Weeramantry,"Judge,Person,Agent"
215,"DBPEDIA_ID/Hugh_Griffiths,_Baron_Griffiths","Judge,Person,Agent"
216,DBPEDIA_ID/John_Coalter,"Judge,Person,Agent"
217,DBPEDIA_ID/Denis_O'Brien_(New_York_politician),"Judge,Person,Agent"
218,DBPEDIA_ID/James_E._Robinson,"Judge,Person,Agent"
219,"DBPEDIA_ID/Michael_Mustill,_Baron_Mustill","Judge,Person,Agent"
220,DBPEDIA_ID/Fernande_R.V._Duffly,"Judge,Person,Agent"
221,DBPEDIA_ID/Cynthia_Aaron,"Judge,Person,Agent"
222,DBPEDIA_ID/Dennis_A._Cornell,"Judge,Person,Agent"
223,DBPEDIA_ID/Dennis_M._Perluss,"Judge,Person,Agent"
