,entity,classes
0,DBPEDIA_ID/National_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
1,DBPEDIA_ID/BC_Junior_A_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
2,DBPEDIA_ID/Midwest_Cities_Lacrosse_Conference,"LacrosseLeague,Organisation,SportsLeague,Agent"
3,DBPEDIA_ID/Prairie_Gold_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
4,DBPEDIA_ID/Canadian_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
5,DBPEDIA_ID/North_American_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
6,DBPEDIA_ID/California_Junior_College_Lacrosse_Association,"LacrosseLeague,Organisation,SportsLeague,Agent"
7,DBPEDIA_ID/NCAA_Division_III_Men's_Lacrosse_Championship,"LacrosseLeague,Organisation,SportsLeague,Agent"
8,DBPEDIA_ID/NCAA_Division_II_Men's_Lacrosse_Championship,"LacrosseLeague,Organisation,SportsLeague,Agent"
9,DBPEDIA_ID/NCAA_Division_II_Women's_Lacrosse_Championship,"LacrosseLeague,Organisation,SportsLeague,Agent"
10,DBPEDIA_ID/North_East_College_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
11,DBPEDIA_ID/Quebec_Senior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
12,DBPEDIA_ID/East_Coast_Junior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
13,DBPEDIA_ID/Maritime_University_Field_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
14,DBPEDIA_ID/Southern_California_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
15,DBPEDIA_ID/United_States_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
16,DBPEDIA_ID/Montreal_Junior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
17,DBPEDIA_ID/American_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
18,DBPEDIA_ID/Ontario_Junior_A_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
19,DBPEDIA_ID/NCAA_Division_I_Women's_Lacrosse_Championship,"LacrosseLeague,Organisation,SportsLeague,Agent"
20,DBPEDIA_ID/Nova_Scotia_Senior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
21,DBPEDIA_ID/Thompson_Okanagan_Senior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
22,DBPEDIA_ID/Pacific_Northwest_Junior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
23,DBPEDIA_ID/United_Women's_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
24,DBPEDIA_ID/West_Coast_Senior_Lacrosse_Association,"LacrosseLeague,Organisation,SportsLeague,Agent"
25,DBPEDIA_ID/West_Central_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
26,DBPEDIA_ID/National_Lacrosse_Association,"LacrosseLeague,Organisation,SportsLeague,Agent"
27,DBPEDIA_ID/NCAA_Division_III_Women's_Lacrosse_Championship,"LacrosseLeague,Organisation,SportsLeague,Agent"
28,DBPEDIA_ID/Thompson_Okanagan_Junior_Lacrosse_League,"LacrosseLeague,Organisation,SportsLeague,Agent"
29,DBPEDIA_ID/Wellington_Lacrosse_Open,"LacrosseLeague,Organisation,SportsLeague,Agent"
