,entity,classes
0,DBPEDIA_ID/Rich_Catton,"LacrossePlayer,Athlete,Agent,Person"
1,DBPEDIA_ID/Brett_Queener,"LacrossePlayer,Athlete,Agent,Person"
2,DBPEDIA_ID/Darryl_Gibson_(lacrosse),"LacrossePlayer,Athlete,Agent,Person"
3,DBPEDIA_ID/Jimmy_Quinlan,"LacrossePlayer,Athlete,Agent,Person"
4,DBPEDIA_ID/Sam_Bradman,"LacrossePlayer,Athlete,Agent,Person"
5,DBPEDIA_ID/Anthony_DiMarzo,"LacrossePlayer,Athlete,Agent,Person"
6,DBPEDIA_ID/David_Brock_(lacrosse),"LacrossePlayer,Athlete,Agent,Person"
7,DBPEDIA_ID/Joe_Marra,"LacrossePlayer,Athlete,Agent,Person"
8,DBPEDIA_ID/Daryl_Veltman,"LacrossePlayer,Athlete,Agent,Person"
9,DBPEDIA_ID/Tom_Marechek,"LacrossePlayer,Athlete,Agent,Person"
10,DBPEDIA_ID/Jim_Veltman,"LacrossePlayer,Athlete,Agent,Person"
11,DBPEDIA_ID/Andrew_McBride,"LacrossePlayer,Athlete,Agent,Person"
12,DBPEDIA_ID/Drew_Petkoff,"LacrossePlayer,Athlete,Agent,Person"
13,DBPEDIA_ID/Regy_Thorpe,"LacrossePlayer,Athlete,Agent,Person"
14,DBPEDIA_ID/Brenden_Thenhaus,"LacrossePlayer,Athlete,Agent,Person"
15,DBPEDIA_ID/Dane_Dobbie,"LacrossePlayer,Athlete,Agent,Person"
16,DBPEDIA_ID/Joel_Dalgarno,"LacrossePlayer,Athlete,Agent,Person"
17,DBPEDIA_ID/Jon_Hess_(lacrosse),"LacrossePlayer,Athlete,Agent,Person"
18,DBPEDIA_ID/Matt_Vinc,"LacrossePlayer,Athlete,Agent,Person"
19,DBPEDIA_ID/Scott_Davidson_(lacrosse),"LacrossePlayer,Athlete,Agent,Person"
20,DBPEDIA_ID/Frank_Urso,"LacrossePlayer,Athlete,Agent,Person"
21,DBPEDIA_ID/B._J._Prager,"LacrossePlayer,Athlete,Agent,Person"
