,entity,classes
0,ALGOL,"ProgrammingLanguage,Language"
1,DBPEDIA_ID/AMOS_(programming_language),"ProgrammingLanguage,Language"
2,DBPEDIA_ID/APL_(programming_language),"ProgrammingLanguage,Language"
3,AWK,"ProgrammingLanguage,Language"
4,DBPEDIA_ID/Ada_(programming_language),"ProgrammingLanguage,Language"
5,Afrikaans,Language
6,DBPEDIA_ID/American_English,Language
7,DBPEDIA_ID/American_Sign_Language,Language
8,Arabic,Language
9,DBPEDIA_ID/Aragonese_language,Language
10,DBPEDIA_ID/Assembly_language,"ProgrammingLanguage,Language"
11,DBPEDIA_ID/Austrian_German,Language
12,BASIC,"ProgrammingLanguage,Language"
13,BCPL,"ProgrammingLanguage,Language"
14,DBPEDIA_ID/B_(programming_language),"ProgrammingLanguage,Language"
15,DBPEDIA_ID/Basque_language,Language
16,Blissymbols,Language
17,DBPEDIA_ID/Brahui_language,Language
18,Brainfuck,"ProgrammingLanguage,Language"
19,DBPEDIA_ID/Breton_language,Language
20,DBPEDIA_ID/Bulgarian_language,Language
21,Burgundians,Language
22,DBPEDIA_ID/CLU_(programming_language),"ProgrammingLanguage,Language"
23,COBOL,"ProgrammingLanguage,Language"
24,DBPEDIA_ID/C_(programming_language),"ProgrammingLanguage,Language"
25,DBPEDIA_ID/Catalan_language,Language
26,DBPEDIA_ID/Chinese_language,Language
27,DBPEDIA_ID/Common_Lisp,"ProgrammingLanguage,Language"
28,DBPEDIA_ID/Coral_66,"ProgrammingLanguage,Language"
29,DBPEDIA_ID/Cornish_language,Language
30,DBPEDIA_ID/Corsican_language,Language
31,DBPEDIA_ID/Cyclone_(programming_language),"ProgrammingLanguage,Language"
32,DBPEDIA_ID/Dylan_(programming_language),"ProgrammingLanguage,Language"
33,DBPEDIA_ID/Dyula_language,Language
34,DBPEDIA_ID/Eiffel_(programming_language),"ProgrammingLanguage,Language"
35,Esperanto,Language
36,DBPEDIA_ID/Estonian_language,Language
