,entity,classes
0,DBPEDIA_ID/Jiuquan_Launch_Area_4,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
1,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_41,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
2,DBPEDIA_ID/Baikonur_Cosmodrome_Site_41,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
3,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_02,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
4,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_03,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
5,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_04,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
6,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_06,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
7,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_07,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
8,DBPEDIA_ID/Baikonur_Cosmodrome_Site_90,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
9,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_131,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
10,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_05,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
11,DBPEDIA_ID/Kennedy_Space_Center_Launch_Complex_39,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
12,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_08,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
13,DBPEDIA_ID/Satish_Dhawan_Space_Centre_SLV_Launch_Pad,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
14,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_40,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
15,ELA-3,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
16,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_13,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
17,DBPEDIA_ID/Landing_Zone_1,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
18,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_10,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
19,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_10,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
20,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_16,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
21,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_3,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
22,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_4,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
23,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_6,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
24,DBPEDIA_ID/Taiyuan_Launch_Complex_1,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
25,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_10,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
26,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_2,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
27,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_4,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
28,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_5,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
29,ELA-1,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
30,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_14,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
31,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_19,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
32,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_34,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
33,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_5,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
34,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_17,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
35,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_37,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
36,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Space_Launch_Complex_41,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
37,DBPEDIA_ID/Spaceport_Florida_Launch_Complex_36,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
38,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_15,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
39,DBPEDIA_ID/Yoshinobu_Launch_Complex,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
40,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_09,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
41,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_8,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
42,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_11,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
43,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_12,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
44,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_31,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
45,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_43,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
46,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_9,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
47,DBPEDIA_ID/Point_Arguello_Launch_Complex_A,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
48,DBPEDIA_ID/Point_Arguello_Launch_Complex_B,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
49,DBPEDIA_ID/Vandenberg_AFB_Probe_Launch_Complex_C,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
50,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_18,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
51,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_21,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
52,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_22,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
53,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_132,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
54,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_133,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
55,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_16,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
56,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_43,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
57,DBPEDIA_ID/Wallops_Flight_Facility_Launch_Area_3,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
58,DBPEDIA_ID/Operational_Silo_Test_Facility,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
59,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_1,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
60,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_35,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
61,DBPEDIA_ID/Vandenberg_AFB_Launch_Emplacement_8,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
62,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_3,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
63,DBPEDIA_ID/Plesetsk_Cosmodrome_Site_32,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
64,DBPEDIA_ID/Vandenberg_AFB_Launch_Facility_21,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
65,DBPEDIA_ID/Vandenberg_AFB_Launch_Complex_576A,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
66,DBPEDIA_ID/Broglio_Space_Centre,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
67,DBPEDIA_ID/Gagarin's_Start,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
68,DBPEDIA_ID/Satish_Dhawan_Space_Centre_Second_Launch_Pad,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
69,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_32,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
70,DBPEDIA_ID/Ensemble_de_Lancement_Soyouz,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
71,DBPEDIA_ID/Satish_Dhawan_Space_Centre_Third_Launch_Pad,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
72,DBPEDIA_ID/Woomera_Launch_Area_5,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
73,DBPEDIA_ID/Satish_Dhawan_Space_Centre_First_Launch_Pad,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
74,DBPEDIA_ID/Keweenaw_Rocket_Range,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
75,DBPEDIA_ID/Vandenberg_AFB_Space_Launch_Complex_6,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
76,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_1,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
77,DBPEDIA_ID/Cape_Canaveral_Air_Force_Station_Launch_Complex_2,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
78,DBPEDIA_ID/Baikonur_Cosmodrome_Site_45,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
79,DBPEDIA_ID/Baikonur_Cosmodrome_Site_200,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
80,DBPEDIA_ID/Baikonur_Cosmodrome_Site_110,"ArchitecturalStructure,Infrastructure,Place,LaunchPad,Location"
