,entity,classes
0,DBPEDIA_ID/Barlow_Lyde_&_Gilbert,"Organisation,LawFirm,Company,Agent"
1,DBPEDIA_ID/Berwin_Leighton_Paisner,"Organisation,LawFirm,Company,Agent"
2,DBPEDIA_ID/Bryan_Cave,"Organisation,LawFirm,Company,Agent"
3,ENSafrica,"Organisation,LawFirm,Company,Agent"
4,"DBPEDIA_ID/Harness,_Dickey_&_Pierce","Organisation,LawFirm,Company,Agent"
5,DBPEDIA_ID/Hughes_Hubbard_&_Reed,"Organisation,LawFirm,Company,Agent"
6,DBPEDIA_ID/King_&_Spalding,"Organisation,LawFirm,Company,Agent"
7,Linklaters,"Organisation,LawFirm,Company,Agent"
8,"DBPEDIA_ID/Munger,_Tolles_&_Olson","Organisation,LawFirm,Company,Agent"
9,"DBPEDIA_ID/Wachtell,_Lipton,_Rosen_&_Katz","Organisation,LawFirm,Company,Agent"
10,DBPEDIA_ID/Wiley_Rein,"Organisation,LawFirm,Company,Agent"
11,Fieldfisher,"Organisation,LawFirm,Company,Agent"
12,"DBPEDIA_ID/Mintz,_Levin,_Cohn,_Ferris,_Glovsky,_and_Popeo","Organisation,LawFirm,Company,Agent"
13,DBPEDIA_ID/Sidley_Austin,"Organisation,LawFirm,Company,Agent"
14,DBPEDIA_ID/Wilmer_Cutler_Pickering_Hale_and_Dorr,"Organisation,LawFirm,Company,Agent"
15,DBPEDIA_ID/Akin_Gump_Strauss_Hauer_&_Feld,"Organisation,LawFirm,Company,Agent"
16,DBPEDIA_ID/Amarchand_&_Mangaldas_&_Suresh_A_Shroff_&_Co,"Organisation,LawFirm,Company,Agent"
17,"DBPEDIA_ID/Boies,_Schiller_&_Flexner","Organisation,LawFirm,Company,Agent"
18,DBPEDIA_ID/Deacons_(law_firm),"Organisation,LawFirm,Company,Agent"
19,DBPEDIA_ID/Gide_Loyrette_Nouel,"Organisation,LawFirm,Company,Agent"
20,DBPEDIA_ID/Goodwin_Procter,"Organisation,LawFirm,Company,Agent"
21,DBPEDIA_ID/Lowenstein_Sandler,"Organisation,LawFirm,Company,Agent"
22,"DBPEDIA_ID/Schwabe,_Williamson_&_Wyatt","Organisation,LawFirm,Company,Agent"
23,"DBPEDIA_ID/Testa,_Hurwitz_&_Thibeault","Organisation,LawFirm,Company,Agent"
24,DBPEDIA_ID/Wilson_Elser_Moskowitz_Edelman_&_Dicker,"Organisation,LawFirm,Company,Agent"
25,Asons,"Organisation,LawFirm,Company,Agent"
26,DBPEDIA_ID/Hanne_&_Co,"Organisation,LawFirm,Company,Agent"
27,DBPEDIA_ID/Ince_&_Co.,"Organisation,LawFirm,Company,Agent"
28,DBPEDIA_ID/Shearman_&_Sterling,"Organisation,LawFirm,Company,Agent"
29,"DBPEDIA_ID/Shook,_Hardy_&_Bacon","Organisation,LawFirm,Company,Agent"
30,DBPEDIA_ID/Womble_Carlyle_Sandridge_&_Rice,"Organisation,LawFirm,Company,Agent"
31,DBPEDIA_ID/Lang_Michener,"Organisation,LawFirm,Company,Agent"
32,DBPEDIA_ID/Quarles_&_Brady,"Organisation,LawFirm,Company,Agent"
33,DBPEDIA_ID/Vinson_&_Elkins,"Organisation,LawFirm,Company,Agent"
34,Freehills,"Organisation,LawFirm,Company,Agent"
35,DBPEDIA_ID/Jackson_Lewis,"Organisation,LawFirm,Company,Agent"
36,Macfarlanes,"Organisation,LawFirm,Company,Agent"
37,DBPEDIA_ID/Shardul_Amarchand_Mangaldas_&_Co,"Organisation,LawFirm,Company,Agent"
38,DBPEDIA_ID/Dacheng_Law_Offices,"Organisation,LawFirm,Company,Agent"
39,DBPEDIA_ID/Jerusalem_Institute_of_Justice,"Organisation,LawFirm,Company,Agent"
40,DBPEDIA_ID/King_&_Wood_Mallesons,"Organisation,LawFirm,Company,Agent"
41,DBPEDIA_ID/McCarter_&_English,"Organisation,LawFirm,Company,Agent"
42,DBPEDIA_ID/McGlinchey_Stafford,"Organisation,LawFirm,Company,Agent"
43,"DBPEDIA_ID/Paul,_Weiss,_Rifkind,_Wharton_&_Garrison","Organisation,LawFirm,Company,Agent"
44,DBPEDIA_ID/Faegre_&_Benson,"Organisation,LawFirm,Company,Agent"
45,DBPEDIA_ID/Morrison_&_Foerster,"Organisation,LawFirm,Company,Agent"
46,DBPEDIA_ID/Sullivan_&_Cromwell,"Organisation,LawFirm,Company,Agent"
47,DBPEDIA_ID/Carter_Ledyard_&_Milburn,"Organisation,LawFirm,Company,Agent"
48,DBPEDIA_ID/Honigman_Miller_Schwartz_and_Cohn,"Organisation,LawFirm,Company,Agent"
49,DBPEDIA_ID/Saul_Ewing,"Organisation,LawFirm,Company,Agent"
50,DBPEDIA_ID/Williams_Mullen,"Organisation,LawFirm,Company,Agent"
51,DBPEDIA_ID/Holman_Fenwick_Willan,"Organisation,LawFirm,Company,Agent"
52,DBPEDIA_ID/Harvard_Legal_Aid_Bureau,"Organisation,LawFirm,Company,Agent"
