,entity,classes
0,Bundestag,"Legislature,Organisation,Agent"
1,DBPEDIA_ID/Council_of_the_European_Union,"Legislature,Organisation,Agent"
2,DBPEDIA_ID/European_Parliament,"Legislature,Organisation,Agent"
3,DBPEDIA_ID/House_of_Commons_of_the_United_Kingdom,"Legislature,Organisation,Agent"
4,DBPEDIA_ID/House_of_Lords,"Legislature,Organisation,Agent"
5,DBPEDIA_ID/Parliament_of_the_United_Kingdom,"Legislature,Organisation,Agent"
6,Sejm,"Legislature,Organisation,Agent"
7,DBPEDIA_ID/Irish_House_of_Commons,"Legislature,Organisation,Agent"
8,DBPEDIA_ID/North_Ayrshire,"Legislature,Organisation,Agent"
9,DBPEDIA_ID/Politburo_Standing_Committee_of_the_Communist_Party_of_China,"Legislature,Organisation,Agent"
10,DBPEDIA_ID/Isle_of_Wight_Council,"Legislature,Organisation,Agent"
11,DBPEDIA_ID/New_Delhi_Municipal_Council,"Legislature,Organisation,Agent"
12,DBPEDIA_ID/West_Berkshire_Council,"Legislature,Organisation,Agent"
13,DBPEDIA_ID/Coimbatore_Municipal_Corporation,"Legislature,Organisation,Agent"
14,DBPEDIA_ID/Greater_Chennai_Corporation,"Legislature,Organisation,Agent"
15,DBPEDIA_ID/Group_of_Communities_in_Kurdistan,"Legislature,Organisation,Agent"
16,DBPEDIA_ID/Haa_Alif_Atoll,"Legislature,Organisation,Agent"
17,DBPEDIA_ID/Kadapa_Municipal_Corporation,"Legislature,Organisation,Agent"
18,DBPEDIA_ID/Kent_County_Council,"Legislature,Organisation,Agent"
19,DBPEDIA_ID/Kollam_Municipal_Corporation,"Legislature,Organisation,Agent"
20,DBPEDIA_ID/Metropolitan_Board_of_Works,"Legislature,Organisation,Agent"
21,DBPEDIA_ID/North_East_Combined_Authority,"Legislature,Organisation,Agent"
22,DBPEDIA_ID/Northern_Ireland_Assembly,"Legislature,Organisation,Agent"
23,DBPEDIA_ID/Supreme_Council_(Kyrgyzstan),"Legislature,Organisation,Agent"
24,DBPEDIA_ID/Kildare_County_Council,"Legislature,Organisation,Agent"
25,DBPEDIA_ID/Council_of_the_Republic_of_Belarus,"Legislature,Organisation,Agent"
26,DBPEDIA_ID/General_Council_of_Bucharest,"Legislature,Organisation,Agent"
27,DBPEDIA_ID/Grand_and_General_Council,"Legislature,Organisation,Agent"
28,Seimas,"Legislature,Organisation,Agent"
29,DBPEDIA_ID/United_States_House_Committee_on_Ways_and_Means,"Legislature,Organisation,Agent"
30,DBPEDIA_ID/Camden_London_Borough_Council,"Legislature,Organisation,Agent"
31,DBPEDIA_ID/Karnataka_Legislative_Council,"Legislature,Organisation,Agent"
32,DBPEDIA_ID/Nagaland_Legislative_Assembly,"Legislature,Organisation,Agent"
33,DBPEDIA_ID/Punjab_Legislative_Assembly,"Legislature,Organisation,Agent"
34,DBPEDIA_ID/Senate_of_Cambodia,"Legislature,Organisation,Agent"
35,DBPEDIA_ID/Silesian_Regional_Assembly,"Legislature,Organisation,Agent"
36,DBPEDIA_ID/Valikamam_North_Divisional_Council,"Legislature,Organisation,Agent"
37,DBPEDIA_ID/New_York_City_Council,"Legislature,Organisation,Agent"
38,DBPEDIA_ID/North_Yorkshire_County_Council,"Legislature,Organisation,Agent"
39,DBPEDIA_ID/Shura_Council,"Legislature,Organisation,Agent"
40,DBPEDIA_ID/Sicilian_Regional_Assembly,"Legislature,Organisation,Agent"
41,DBPEDIA_ID/South_Australian_Legislative_Council,"Legislature,Organisation,Agent"
42,DBPEDIA_ID/Western_Australian_Legislative_Council,"Legislature,Organisation,Agent"
43,DBPEDIA_ID/Jaffna_Municipal_Council,"Legislature,Organisation,Agent"
44,DBPEDIA_ID/Estates_of_Aruba,"Legislature,Organisation,Agent"
45,DBPEDIA_ID/Federal_Parliamentary_Assembly,"Legislature,Organisation,Agent"
46,DBPEDIA_ID/House_of_Assembly_of_Saint_Lucia,"Legislature,Organisation,Agent"
47,DBPEDIA_ID/House_of_Representatives_(Thailand),"Legislature,Organisation,Agent"
48,DBPEDIA_ID/National_Assembly_(Benin),"Legislature,Organisation,Agent"
49,DBPEDIA_ID/National_Assembly_(Republika_Srpska),"Legislature,Organisation,Agent"
50,DBPEDIA_ID/National_Assembly_of_Belarus,"Legislature,Organisation,Agent"
