,entity,classes
0,DBPEDIA_ID/Lateral_collateral_ligament_of_ankle_joint,"Ligament,AnatomicalStructure"
1,DBPEDIA_ID/Ligamenta_flava,"Ligament,AnatomicalStructure"
2,DBPEDIA_ID/Anterior_talocalcaneal_ligament,"Ligament,AnatomicalStructure"
3,DBPEDIA_ID/Cricothyroid_ligament,"Ligament,AnatomicalStructure"
4,DBPEDIA_ID/Flexor_retinaculum_of_foot,"Ligament,AnatomicalStructure"
5,DBPEDIA_ID/Iliolumbar_ligament,"Ligament,AnatomicalStructure"
6,DBPEDIA_ID/Inferior_transverse_ligament_of_scapula,"Ligament,AnatomicalStructure"
7,DBPEDIA_ID/Radial_collateral_ligament_of_elbow_joint,"Ligament,AnatomicalStructure"
8,DBPEDIA_ID/Radial_collateral_ligament_of_thumb,"Ligament,AnatomicalStructure"
9,DBPEDIA_ID/Radial_collateral_ligament_of_wrist_joint,"Ligament,AnatomicalStructure"
10,DBPEDIA_ID/Reflected_ligament,"Ligament,AnatomicalStructure"
11,DBPEDIA_ID/Superior_transverse_scapular_ligament,"Ligament,AnatomicalStructure"
12,DBPEDIA_ID/Transverse_ligament_of_atlas,"Ligament,AnatomicalStructure"
13,DBPEDIA_ID/Transverse_ligament_of_knee,"Ligament,AnatomicalStructure"
14,DBPEDIA_ID/Coracohumeral_ligament,"Ligament,AnatomicalStructure"
15,DBPEDIA_ID/Inferior_extensor_retinaculum_of_foot,"Ligament,AnatomicalStructure"
16,DBPEDIA_ID/Collateral_ligaments_of_interphalangeal_articulations_of_foot,"Ligament,AnatomicalStructure"
17,DBPEDIA_ID/Collateral_ligaments_of_metatarsophalangeal_articulations,"Ligament,AnatomicalStructure"
18,DBPEDIA_ID/Sphenomandibular_ligament,"Ligament,AnatomicalStructure"
19,DBPEDIA_ID/Calcaneofibular_ligament,"Ligament,AnatomicalStructure"
20,DBPEDIA_ID/Falciform_ligament,"Ligament,AnatomicalStructure"
21,DBPEDIA_ID/Interosseous_talocalcaneal_ligament,"Ligament,AnatomicalStructure"
22,DBPEDIA_ID/Lateral_talocalcaneal_ligament,"Ligament,AnatomicalStructure"
23,DBPEDIA_ID/Medial_talocalcaneal_ligament,"Ligament,AnatomicalStructure"
24,DBPEDIA_ID/Posterior_talocalcaneal_ligament,"Ligament,AnatomicalStructure"
25,DBPEDIA_ID/Intra-articular_ligament_of_head_of_rib,"Ligament,AnatomicalStructure"
26,DBPEDIA_ID/Anterior_meniscofemoral_ligament,"Ligament,AnatomicalStructure"
27,DBPEDIA_ID/Palmar_intercarpal_ligaments,"Ligament,AnatomicalStructure"
28,DBPEDIA_ID/Dorsal_calcaneocuboid_ligament,"Ligament,AnatomicalStructure"
29,DBPEDIA_ID/Gastrosplenic_ligament,"Ligament,AnatomicalStructure"
30,DBPEDIA_ID/Thyroepiglottic_ligament,"Ligament,AnatomicalStructure"
31,DBPEDIA_ID/Anterior_auricular_ligament,"Ligament,AnatomicalStructure"
32,DBPEDIA_ID/Collateral_ligament_of_interphalangeal_articulations_of_hand,"Ligament,AnatomicalStructure"
33,DBPEDIA_ID/Dorsal_cuneonavicular_ligaments,"Ligament,AnatomicalStructure"
34,DBPEDIA_ID/Superior_ligament_of_incus,"Ligament,AnatomicalStructure"
35,DBPEDIA_ID/Posterior_auricular_ligament,"Ligament,AnatomicalStructure"
36,DBPEDIA_ID/Interspinous_ligament,"Ligament,AnatomicalStructure"
37,DBPEDIA_ID/Intertransverse_ligament,"Ligament,AnatomicalStructure"
38,DBPEDIA_ID/Posterior_sacroiliac_ligament,"Ligament,AnatomicalStructure"
39,DBPEDIA_ID/Anterior_sacroiliac_ligament,"Ligament,AnatomicalStructure"
40,DBPEDIA_ID/Bifurcated_ligament,"Ligament,AnatomicalStructure"
41,DBPEDIA_ID/Conoid_ligament,"Ligament,AnatomicalStructure"
42,DBPEDIA_ID/Costoclavicular_ligament,"Ligament,AnatomicalStructure"
43,DBPEDIA_ID/Dorsal_talonavicular_ligament,"Ligament,AnatomicalStructure"
44,DBPEDIA_ID/Glenohumeral_ligaments,"Ligament,AnatomicalStructure"
45,DBPEDIA_ID/Interclavicular_ligament,"Ligament,AnatomicalStructure"
46,DBPEDIA_ID/Oblique_popliteal_ligament,"Ligament,AnatomicalStructure"
47,DBPEDIA_ID/Patellar_ligament,"Ligament,AnatomicalStructure"
48,DBPEDIA_ID/Pisometacarpal_ligament,"Ligament,AnatomicalStructure"
49,DBPEDIA_ID/Plantar_calcaneocuboid_ligament,"Ligament,AnatomicalStructure"
50,DBPEDIA_ID/Transverse_acetabular_ligament,"Ligament,AnatomicalStructure"
51,DBPEDIA_ID/Transverse_humeral_ligament,"Ligament,AnatomicalStructure"
52,DBPEDIA_ID/Trapezoid_ligament,"Ligament,AnatomicalStructure"
53,DBPEDIA_ID/Pterygoalar_ligament,"Ligament,AnatomicalStructure"
54,DBPEDIA_ID/Anterior_cruciate_ligament,"Ligament,AnatomicalStructure"
55,DBPEDIA_ID/Posterior_cruciate_ligament,"Ligament,AnatomicalStructure"
56,DBPEDIA_ID/Ulnar_collateral_ligament_of_elbow_joint,"Ligament,AnatomicalStructure"
