,entity,classes
0,DBPEDIA_ID/Annie_(locomotive),"MeanOfTransportation,Locomotive"
1,DBPEDIA_ID/BR_Standard_Class_2_2-6-0,"MeanOfTransportation,Locomotive"
2,DBPEDIA_ID/BR_Standard_Class_8,"MeanOfTransportation,Locomotive"
3,DBPEDIA_ID/Caledonian_(locomotive),"MeanOfTransportation,Locomotive"
4,DBPEDIA_ID/Crocodile_(locomotive),"MeanOfTransportation,Locomotive"
5,DBPEDIA_ID/GCR_Class_8,"MeanOfTransportation,Locomotive"
6,DBPEDIA_ID/Heilmann_locomotive,"MeanOfTransportation,Locomotive"
7,DBPEDIA_ID/L&YR_Class_8,"MeanOfTransportation,Locomotive"
8,DBPEDIA_ID/LNER_Peppercorn_Class_A2_60532_Blue_Peter,"MeanOfTransportation,Locomotive"
9,DBPEDIA_ID/Mastodon_(steam_locomotive),"MeanOfTransportation,Locomotive"
10,DBPEDIA_ID/N&W_J_class_(1879),"MeanOfTransportation,Locomotive"
11,DBPEDIA_ID/N&W_J_class_(1941),"MeanOfTransportation,Locomotive"
12,DBPEDIA_ID/NZR_C_class_(1873),"MeanOfTransportation,Locomotive"
13,DBPEDIA_ID/NZR_C_class_(1930),"MeanOfTransportation,Locomotive"
14,DBPEDIA_ID/NZR_J_class_(1874),"MeanOfTransportation,Locomotive"
15,DBPEDIA_ID/NZR_J_class_(1939),"MeanOfTransportation,Locomotive"
16,DBPEDIA_ID/New_South_Wales_45_class_locomotive,"MeanOfTransportation,Locomotive"
17,DBPEDIA_ID/South_Devon_Railway_Leopard_class,"MeanOfTransportation,Locomotive"
18,DBPEDIA_ID/Talyllyn_(locomotive),"MeanOfTransportation,Locomotive"
19,DBPEDIA_ID/Voith_Maxima,"MeanOfTransportation,Locomotive"
20,DBPEDIA_ID/WAGR_J_class,"MeanOfTransportation,Locomotive"
21,DBPEDIA_ID/WAGR_J_class_(diesel),"MeanOfTransportation,Locomotive"
22,DBPEDIA_ID/Siemens_Charger,"MeanOfTransportation,Locomotive"
23,DBPEDIA_ID/Yeo_(locomotive),"MeanOfTransportation,Locomotive"
24,DBPEDIA_ID/BNR_class_HSG,"MeanOfTransportation,Locomotive"
25,DBPEDIA_ID/Dougal_(steam_locomotive),"MeanOfTransportation,Locomotive"
26,DBPEDIA_ID/EMD_NW2,"MeanOfTransportation,Locomotive"
27,DBPEDIA_ID/EMD_NW3,"MeanOfTransportation,Locomotive"
28,DBPEDIA_ID/EMD_SW7,"MeanOfTransportation,Locomotive"
29,DBPEDIA_ID/EMD_SW8,"MeanOfTransportation,Locomotive"
30,DBPEDIA_ID/EMD_SW9,"MeanOfTransportation,Locomotive"
31,DBPEDIA_ID/GCR_Classes_8D_and_8E,"MeanOfTransportation,Locomotive"
32,DBPEDIA_ID/NZR_E_class_(1872),"MeanOfTransportation,Locomotive"
33,DBPEDIA_ID/NZR_E_class_(1906),"MeanOfTransportation,Locomotive"
34,DBPEDIA_ID/NZR_X_class,"MeanOfTransportation,Locomotive"
