,entity,classes
0,DBPEDIA_ID/Deep_inguinal_lymph_nodes,"Lymph,AnatomicalStructure"
1,DBPEDIA_ID/Inferior_mesenteric_lymph_nodes,"Lymph,AnatomicalStructure"
2,DBPEDIA_ID/Superficial_inguinal_lymph_nodes,"Lymph,AnatomicalStructure"
3,DBPEDIA_ID/Superior_mesenteric_lymph_nodes,"Lymph,AnatomicalStructure"
4,DBPEDIA_ID/Superficial_anterior_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
5,DBPEDIA_ID/Deep_anterior_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
6,DBPEDIA_ID/Tracheobronchial_lymph_nodes,"Lymph,AnatomicalStructure"
7,DBPEDIA_ID/Lumbar_lymph_trunk,"Lymph,AnatomicalStructure"
8,DBPEDIA_ID/Pararectal_lymph_nodes,"Lymph,AnatomicalStructure"
9,DBPEDIA_ID/Preaortic_lymph_node,"Lymph,AnatomicalStructure"
10,DBPEDIA_ID/Tubal_tonsil,"Lymph,AnatomicalStructure"
11,DBPEDIA_ID/Parasternal_lymph_nodes,"Lymph,AnatomicalStructure"
12,DBPEDIA_ID/Sacral_lymph_nodes,"Lymph,AnatomicalStructure"
13,DBPEDIA_ID/Facial_lymph_nodes,"Lymph,AnatomicalStructure"
14,DBPEDIA_ID/Retropharyngeal_lymph_nodes,"Lymph,AnatomicalStructure"
15,DBPEDIA_ID/Deep_parotid_lymph_nodes,"Lymph,AnatomicalStructure"
16,DBPEDIA_ID/Anterior_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
17,DBPEDIA_ID/Thyroid_lymph_nodes,"Lymph,AnatomicalStructure"
18,DBPEDIA_ID/Virchow's_node,"Lymph,AnatomicalStructure"
19,DBPEDIA_ID/Submandibular_lymph_nodes,"Lymph,AnatomicalStructure"
20,DBPEDIA_ID/Superficial_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
21,DBPEDIA_ID/Supraclavicular_lymph_nodes,"Lymph,AnatomicalStructure"
22,DBPEDIA_ID/Superficial_parotid_lymph_nodes,"Lymph,AnatomicalStructure"
23,DBPEDIA_ID/External_iliac_lymph_nodes,"Lymph,AnatomicalStructure"
24,DBPEDIA_ID/Internal_iliac_lymph_nodes,"Lymph,AnatomicalStructure"
25,DBPEDIA_ID/Lateral_aortic_lymph_nodes,"Lymph,AnatomicalStructure"
26,DBPEDIA_ID/Retroaortic_lymph_nodes,"Lymph,AnatomicalStructure"
27,DBPEDIA_ID/Common_iliac_lymph_nodes,"Lymph,AnatomicalStructure"
28,DBPEDIA_ID/Occipital_lymph_nodes,"Lymph,AnatomicalStructure"
29,DBPEDIA_ID/Apical_lymph_nodes,"Lymph,AnatomicalStructure"
30,DBPEDIA_ID/Central_lymph_nodes,"Lymph,AnatomicalStructure"
31,DBPEDIA_ID/Deep_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
32,DBPEDIA_ID/Pectoral_axillary_lymph_nodes,"Lymph,AnatomicalStructure"
33,DBPEDIA_ID/Subscapular_axillary_lymph_nodes,"Lymph,AnatomicalStructure"
34,DBPEDIA_ID/Supratrochlear_lymph_nodes,"Lymph,AnatomicalStructure"
35,DBPEDIA_ID/Bronchomediastinal_lymph_trunk,"Lymph,AnatomicalStructure"
36,DBPEDIA_ID/Mesenteric_lymph_nodes,"Lymph,AnatomicalStructure"
37,DBPEDIA_ID/Deltopectoral_lymph_nodes,"Lymph,AnatomicalStructure"
38,DBPEDIA_ID/Space_of_Möll,"Lymph,AnatomicalStructure"
39,DBPEDIA_ID/Inferior_deep_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
40,DBPEDIA_ID/Jugular_lymph_trunk,"Lymph,AnatomicalStructure"
41,DBPEDIA_ID/Superior_deep_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
42,DBPEDIA_ID/Ileocolic_lymph_nodes,"Lymph,AnatomicalStructure"
43,DBPEDIA_ID/Mesocolic_lymph_nodes,"Lymph,AnatomicalStructure"
44,DBPEDIA_ID/Gastric_lymph_nodes,"Lymph,AnatomicalStructure"
45,DBPEDIA_ID/Hepatic_lymph_nodes,"Lymph,AnatomicalStructure"
46,DBPEDIA_ID/Splenic_lymph_nodes,"Lymph,AnatomicalStructure"
47,DBPEDIA_ID/Axillary_lymph_nodes,"Lymph,AnatomicalStructure"
48,DBPEDIA_ID/Intestinal_lymph_trunk,"Lymph,AnatomicalStructure"
49,DBPEDIA_ID/Lymph_duct,"Lymph,AnatomicalStructure"
50,DBPEDIA_ID/Intraglandular_deep_parotid_lymph_nodes,"Lymph,AnatomicalStructure"
51,DBPEDIA_ID/Subclavian_lymph_trunk,"Lymph,AnatomicalStructure"
52,DBPEDIA_ID/Infraauricular_deep_parotid_lymph_nodes,"Lymph,AnatomicalStructure"
53,DBPEDIA_ID/Jugulo-omohyoid_lymph_node,"Lymph,AnatomicalStructure"
54,DBPEDIA_ID/Lateral_cervical_lymph_nodes,"Lymph,AnatomicalStructure"
55,DBPEDIA_ID/Mandibular_lymph_node,"Lymph,AnatomicalStructure"
56,DBPEDIA_ID/Nasolabial_lymph_node,"Lymph,AnatomicalStructure"
57,DBPEDIA_ID/Parotid_lymph_nodes,"Lymph,AnatomicalStructure"
58,DBPEDIA_ID/Prelaryngeal_lymph_nodes,"Lymph,AnatomicalStructure"
59,DBPEDIA_ID/Pretracheal_lymph_nodes,"Lymph,AnatomicalStructure"
