,entity,classes
0,DBPEDIA_ID/Cahiers_du_cinéma,"PeriodicalLiterature,Magazine,Work,WrittenWork"
1,DBPEDIA_ID/Mad_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
2,DBPEDIA_ID/National_Lampoon_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
3,Playboy,"PeriodicalLiterature,Magazine,Work,WrittenWork"
4,DBPEDIA_ID/Punch_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
5,DBPEDIA_ID/Rolling_Stone,"PeriodicalLiterature,Magazine,Work,WrittenWork"
6,DBPEDIA_ID/Commodore_User,"PeriodicalLiterature,Magazine,Work,WrittenWork"
7,NME,"PeriodicalLiterature,Magazine,Work,WrittenWork"
8,DBPEDIA_ID/Smithsonian_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
9,DBPEDIA_ID/Binah_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
10,DBPEDIA_ID/Blow_Up_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
11,DBPEDIA_ID/Bobo_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
12,DBPEDIA_ID/Ensign_(LDS_magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
13,DBPEDIA_ID/FLYER_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
14,DBPEDIA_ID/Glamour_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
15,DBPEDIA_ID/Maisonneuve_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
16,DBPEDIA_ID/The_Crisis,"PeriodicalLiterature,Magazine,Work,WrittenWork"
17,DBPEDIA_ID/The_Ensign_(USPS_magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
18,DBPEDIA_ID/ANALOG_Computing,"PeriodicalLiterature,Magazine,Work,WrittenWork"
19,DBPEDIA_ID/AVN_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
20,DBPEDIA_ID/Alter_Ego_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
21,DBPEDIA_ID/American_Heritage_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
22,DBPEDIA_ID/American_Literary_Review,"PeriodicalLiterature,Magazine,Work,WrittenWork"
23,DBPEDIA_ID/Arena_(Swedish_magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
24,DBPEDIA_ID/Arena_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
25,DBPEDIA_ID/Barrow_Street_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
26,DBPEDIA_ID/Bent_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
27,DBPEDIA_ID/Black_Mask_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
28,DBPEDIA_ID/Blanco_y_Negro_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
29,DBPEDIA_ID/Blue_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
30,DBPEDIA_ID/Blunt_Magazine,"PeriodicalLiterature,Magazine,Work,WrittenWork"
31,DBPEDIA_ID/Bound_&_Gagged_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
32,DBPEDIA_ID/Broadside_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
33,DBPEDIA_ID/Building_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
34,DBPEDIA_ID/C_California_Style_Magazine,"PeriodicalLiterature,Magazine,Work,WrittenWork"
35,DBPEDIA_ID/Callaloo_(journal),"PeriodicalLiterature,Magazine,Work,WrittenWork"
