,entity,classes
0,Aardwolf,"Mammal,Eukaryote,Species,Animal"
1,Anoa,"Mammal,Eukaryote,Species,Animal"
2,Ardipithecus,"Mammal,Eukaryote,Species,Animal"
3,Armadillo,"Mammal,Eukaryote,Species,Animal"
4,Bear,"Mammal,Eukaryote,Species,Animal"
5,Beaver,"Mammal,Eukaryote,Species,Animal"
6,Bison,"Mammal,Eukaryote,Species,Animal"
7,DBPEDIA_ID/Bongo_(antelope),"Mammal,Eukaryote,Species,Animal"
8,Callitrichidae,"Mammal,Eukaryote,Species,Animal"
9,Camel,"Mammal,Eukaryote,Species,Animal"
10,Canidae,"Mammal,Eukaryote,Species,Animal"
11,Cat,"Mammal,Eukaryote,Species,Animal"
12,Cebidae,"Mammal,Eukaryote,Species,Animal"
13,Chipmunk,"Mammal,Eukaryote,Species,Animal"
14,Coyote,"Mammal,Eukaryote,Species,Animal"
15,Diprotodon,"Mammal,Eukaryote,Species,Animal"
16,Elephant,"Mammal,Eukaryote,Species,Animal"
17,Equidae,"Mammal,Eukaryote,Species,Animal"
18,Eschrichtiidae,"Mammal,Eukaryote,Species,Animal"
19,Fox,"Mammal,Eukaryote,Species,Animal"
20,DBPEDIA_ID/Goeldi's_marmoset,"Mammal,Eukaryote,Species,Animal"
21,Gorilla,"Mammal,Eukaryote,Species,Animal"
22,Hamster,"Mammal,Eukaryote,Species,Animal"
23,Homininae,"Mammal,Eukaryote,Species,Animal"
24,DBPEDIA_ID/Homo_habilis,"Mammal,Eukaryote,Species,Animal"
25,Hyaena,"Mammal,Eukaryote,Species,Animal"
26,Hyena,"Mammal,Eukaryote,Species,Animal"
27,Jackal,"Mammal,Eukaryote,Species,Animal"
28,Kangaroo,"Mammal,Eukaryote,Species,Animal"
29,Kenyanthropus,"Mammal,Eukaryote,Species,Animal"
30,Llama,"Mammal,Eukaryote,Species,Animal"
31,Lorisidae,"Mammal,Eukaryote,Species,Animal"
32,Manatee,"Mammal,Eukaryote,Species,Animal"
33,Mouse,"Mammal,Eukaryote,Species,Animal"
