,entity,classes
0,DBPEDIA_ID/A.D._Police:_Dead_End_City,"Comic,Work,Manga,WrittenWork"
1,DBPEDIA_ID/Cowboy_Bebop,"Comic,Work,Manga,WrittenWork"
2,Doraemon,"Comic,Work,Manga,WrittenWork"
3,DBPEDIA_ID/Ranma_½,"Comic,Work,Manga,WrittenWork"
4,DBPEDIA_ID/Sailor_Moon,"Comic,Work,Manga,WrittenWork"
5,DBPEDIA_ID/The_Amazing_3,"Comic,Work,Manga,WrittenWork"
6,DBPEDIA_ID/Baribari_Legend,"Comic,Work,Manga,WrittenWork"
7,DBPEDIA_ID/Barrage_(manga),"Comic,Work,Manga,WrittenWork"
8,DBPEDIA_ID/Bobobo-bo_Bo-bobo,"Comic,Work,Manga,WrittenWork"
9,DBPEDIA_ID/Date_A_Live,"Comic,Work,Manga,WrittenWork"
10,DBPEDIA_ID/Jaco_the_Galactic_Patrolman,"Comic,Work,Manga,WrittenWork"
11,DBPEDIA_ID/Missing_(novel_series),"Comic,Work,Manga,WrittenWork"
12,DBPEDIA_ID/Sola_(manga),"Comic,Work,Manga,WrittenWork"
13,DBPEDIA_ID/Again!_(manga),"Comic,Work,Manga,WrittenWork"
14,DBPEDIA_ID/Ai_Yori_Aoshi,"Comic,Work,Manga,WrittenWork"
15,DBPEDIA_ID/Air_(visual_novel),"Comic,Work,Manga,WrittenWork"
16,DBPEDIA_ID/Baku_(manga),"Comic,Work,Manga,WrittenWork"
17,DBPEDIA_ID/Black_Knight_(manga),"Comic,Work,Manga,WrittenWork"
18,DBPEDIA_ID/Blue_(manga),"Comic,Work,Manga,WrittenWork"
19,DBPEDIA_ID/Bodacious_Space_Pirates,"Comic,Work,Manga,WrittenWork"
20,DBPEDIA_ID/Bonk_(video_game_series),"Comic,Work,Manga,WrittenWork"
21,DBPEDIA_ID/Candy_(manga),"Comic,Work,Manga,WrittenWork"
22,DBPEDIA_ID/Candy_Candy,"Comic,Work,Manga,WrittenWork"
23,DBPEDIA_ID/Chameleon_(manga),"Comic,Work,Manga,WrittenWork"
24,DBPEDIA_ID/Clear_(visual_novel),"Comic,Work,Manga,WrittenWork"
25,DBPEDIA_ID/Clover_(Toriko_Chiya_manga),"Comic,Work,Manga,WrittenWork"
26,DBPEDIA_ID/Clover_(manga),"Comic,Work,Manga,WrittenWork"
27,Delicious!,"Comic,Work,Manga,WrittenWork"
28,DBPEDIA_ID/Doll_(manga),"Comic,Work,Manga,WrittenWork"
29,DBPEDIA_ID/Dragon_Knights,"Comic,Work,Manga,WrittenWork"
30,DBPEDIA_ID/Flame_of_Recca,"Comic,Work,Manga,WrittenWork"
31,DBPEDIA_ID/Gakkō_no_Kaidan_(novel_series),"Comic,Work,Manga,WrittenWork"
32,DBPEDIA_ID/Gakuen_Heaven,"Comic,Work,Manga,WrittenWork"
33,Gantz,"Comic,Work,Manga,WrittenWork"
34,DBPEDIA_ID/Gate_(novel_series),"Comic,Work,Manga,WrittenWork"
35,DBPEDIA_ID/Ginban_Kaleidoscope,"Comic,Work,Manga,WrittenWork"
36,DBPEDIA_ID/Gravitation_(manga),"Comic,Work,Manga,WrittenWork"
37,Haré+Guu,"Comic,Work,Manga,WrittenWork"
38,DBPEDIA_ID/Himitsu_no_Akko-chan,"Comic,Work,Manga,WrittenWork"
39,DBPEDIA_ID/Honey_Honey_no_Suteki_na_Bouken,"Comic,Work,Manga,WrittenWork"
40,DBPEDIA_ID/Idol_Defense_Force_Hummingbird,"Comic,Work,Manga,WrittenWork"
41,DBPEDIA_ID/Karakuri_Dôji_Ultimo,"Comic,Work,Manga,WrittenWork"
42,"DBPEDIA_ID/Kobo,_the_Li'l_Rascal","Comic,Work,Manga,WrittenWork"
43,DBPEDIA_ID/Liar_Game,"Comic,Work,Manga,WrittenWork"
44,DBPEDIA_ID/Liselotte_&_Witch's_Forest,"Comic,Work,Manga,WrittenWork"
45,DBPEDIA_ID/Magical_Girl_Lyrical_Nanoha_ViVid,"Comic,Work,Manga,WrittenWork"
46,DBPEDIA_ID/Miyuki-chan_in_Wonderland,"Comic,Work,Manga,WrittenWork"
47,DBPEDIA_ID/Nana_to_Kaoru,"Comic,Work,Manga,WrittenWork"
48,DBPEDIA_ID/No._5_(manga),"Comic,Work,Manga,WrittenWork"
49,DBPEDIA_ID/Oniisama_e...,"Comic,Work,Manga,WrittenWork"
50,DBPEDIA_ID/Pineapple_Army,"Comic,Work,Manga,WrittenWork"
51,Pita-Ten,"Comic,Work,Manga,WrittenWork"
52,Riki-Oh,"Comic,Work,Manga,WrittenWork"
53,DBPEDIA_ID/Samurai_Deeper_Kyo,"Comic,Work,Manga,WrittenWork"
54,DBPEDIA_ID/Sangokushi_(manga),"Comic,Work,Manga,WrittenWork"
55,DBPEDIA_ID/Shakugan_no_Shana,"Comic,Work,Manga,WrittenWork"
56,DBPEDIA_ID/Slam_Dunk_(manga),"Comic,Work,Manga,WrittenWork"
57,DBPEDIA_ID/Sukeban_Deka,"Comic,Work,Manga,WrittenWork"
58,DBPEDIA_ID/Suki:_A_Like_Story,"Comic,Work,Manga,WrittenWork"
59,DBPEDIA_ID/The_Guilty_(novel),"Comic,Work,Manga,WrittenWork"
60,DBPEDIA_ID/The_One_I_Love_(manga),"Comic,Work,Manga,WrittenWork"
61,DBPEDIA_ID/Tough_(manga),"Comic,Work,Manga,WrittenWork"
62,DBPEDIA_ID/True_Love_(manga),"Comic,Work,Manga,WrittenWork"
63,DBPEDIA_ID/Underbar_Summer,"Comic,Work,Manga,WrittenWork"
64,DBPEDIA_ID/Welcome_to_the_N.H.K.,"Comic,Work,Manga,WrittenWork"
65,DBPEDIA_ID/Xenon_(manga),"Comic,Work,Manga,WrittenWork"
66,DBPEDIA_ID/Yurikuma_Arashi,"Comic,Work,Manga,WrittenWork"
67,DBPEDIA_ID/Zettai_Karen_Children,"Comic,Work,Manga,WrittenWork"
68,DBPEDIA_ID/Crime_and_Punishment_(manga),"Comic,Work,Manga,WrittenWork"
69,DBPEDIA_ID/Darker_than_Black,"Comic,Work,Manga,WrittenWork"
70,Inukami!,"Comic,Work,Manga,WrittenWork"
71,DBPEDIA_ID/Ai_Kora,"Comic,Work,Manga,WrittenWork"
72,DBPEDIA_ID/Aion_(manga),"Comic,Work,Manga,WrittenWork"
73,DBPEDIA_ID/Aquarium_(manga),"Comic,Work,Manga,WrittenWork"
74,DBPEDIA_ID/Arata:_The_Legend,"Comic,Work,Manga,WrittenWork"
75,DBPEDIA_ID/Bad_Company_(manga),"Comic,Work,Manga,WrittenWork"
76,DBPEDIA_ID/Captive_Hearts_(manga),"Comic,Work,Manga,WrittenWork"
77,DBPEDIA_ID/Claymore_(manga),"Comic,Work,Manga,WrittenWork"
78,DBPEDIA_ID/Crusher_Joe,"Comic,Work,Manga,WrittenWork"
79,DBPEDIA_ID/Don't_Blame_Me_(manga),"Comic,Work,Manga,WrittenWork"
80,DBPEDIA_ID/Esper_Mami,"Comic,Work,Manga,WrittenWork"
81,DBPEDIA_ID/Game_Center_Arashi,"Comic,Work,Manga,WrittenWork"
82,DBPEDIA_ID/Ghost_Sweeper_Mikami,"Comic,Work,Manga,WrittenWork"
83,DBPEDIA_ID/Ghost_in_the_Shell:_Arise,"Comic,Work,Manga,WrittenWork"
84,DBPEDIA_ID/Ghost_in_the_Shell_(manga),"Comic,Work,Manga,WrittenWork"
85,DBPEDIA_ID/Hakkenden:_Eight_Dogs_of_the_East,"Comic,Work,Manga,WrittenWork"
86,DBPEDIA_ID/Happiness!_(visual_novel),"Comic,Work,Manga,WrittenWork"
87,DBPEDIA_ID/Joker_Game,"Comic,Work,Manga,WrittenWork"
88,DBPEDIA_ID/Kabuki_(manga),"Comic,Work,Manga,WrittenWork"
89,DBPEDIA_ID/Kage_Kara_Mamoru!,"Comic,Work,Manga,WrittenWork"
90,DBPEDIA_ID/Kimera_(manga),"Comic,Work,Manga,WrittenWork"
91,DBPEDIA_ID/Kizuna:_Bonds_of_Love,"Comic,Work,Manga,WrittenWork"
92,DBPEDIA_ID/Lone_Wolf_and_Cub,"Comic,Work,Manga,WrittenWork"
93,DBPEDIA_ID/Mamoru-kun_ni_Megami_no_Shukufuku_o!,"Comic,Work,Manga,WrittenWork"
94,DBPEDIA_ID/Maze_(novel),"Comic,Work,Manga,WrittenWork"
95,DBPEDIA_ID/Natsu_no_Arashi!,"Comic,Work,Manga,WrittenWork"
96,DBPEDIA_ID/Natsume's_Book_of_Friends,"Comic,Work,Manga,WrittenWork"
97,DBPEDIA_ID/Nura:_Rise_of_the_Yokai_Clan,"Comic,Work,Manga,WrittenWork"
98,DBPEDIA_ID/Ocean_Waves_(film),"Comic,Work,Manga,WrittenWork"
99,DBPEDIA_ID/Orpheus_no_Mado,"Comic,Work,Manga,WrittenWork"
100,DBPEDIA_ID/Pastel_(manga),"Comic,Work,Manga,WrittenWork"
101,Patlabor,"Comic,Work,Manga,WrittenWork"
102,DBPEDIA_ID/Rec_(manga),"Comic,Work,Manga,WrittenWork"
103,DBPEDIA_ID/Shion_no_Ō,"Comic,Work,Manga,WrittenWork"
104,DBPEDIA_ID/Tactics_(manga),"Comic,Work,Manga,WrittenWork"
105,DBPEDIA_ID/Tari_Tari,"Comic,Work,Manga,WrittenWork"
106,DBPEDIA_ID/The_Demon_Ororon,"Comic,Work,Manga,WrittenWork"
107,DBPEDIA_ID/The_Magic_Touch_(manga),"Comic,Work,Manga,WrittenWork"
108,DBPEDIA_ID/Tokimeki_Tonight,"Comic,Work,Manga,WrittenWork"
109,DBPEDIA_ID/Toto!:_The_Wonderful_Adventure,"Comic,Work,Manga,WrittenWork"
110,DBPEDIA_ID/Ultraman_(manga),"Comic,Work,Manga,WrittenWork"
111,DBPEDIA_ID/Undercurrent_(manga),"Comic,Work,Manga,WrittenWork"
112,DBPEDIA_ID/Yoake_Mae_yori_Ruriiro_na,"Comic,Work,Manga,WrittenWork"
113,DBPEDIA_ID/You're_Under_Arrest_(manga),"Comic,Work,Manga,WrittenWork"
114,DBPEDIA_ID/Yu-Gi-Oh!_R,"Comic,Work,Manga,WrittenWork"
115,DBPEDIA_ID/Yu-Gi-Oh!_Zexal,"Comic,Work,Manga,WrittenWork"
116,YuruYuri,"Comic,Work,Manga,WrittenWork"
117,Aiura,"Comic,Work,Manga,WrittenWork"
118,DBPEDIA_ID/Beauty_Pop,"Comic,Work,Manga,WrittenWork"
119,DBPEDIA_ID/Dynamic_Heroes,"Comic,Work,Manga,WrittenWork"
120,DBPEDIA_ID/888_(manga),"Comic,Work,Manga,WrittenWork"
121,DBPEDIA_ID/Akazukin_Chacha,"Comic,Work,Manga,WrittenWork"
122,DBPEDIA_ID/Genkaku_Picasso,"Comic,Work,Manga,WrittenWork"
123,Azumi,"Comic,Work,Manga,WrittenWork"
124,Hoshiuta,"Comic,Work,Manga,WrittenWork"
125,DBPEDIA_ID/If_Her_Flag_Breaks,"Comic,Work,Manga,WrittenWork"
126,DBPEDIA_ID/Believers_(manga),"Comic,Work,Manga,WrittenWork"
127,DBPEDIA_ID/Innocent_(manga),"Comic,Work,Manga,WrittenWork"
128,Inu-Neko,"Comic,Work,Manga,WrittenWork"
129,DBPEDIA_ID/Beyblade:_Metal_Fusion,"Comic,Work,Manga,WrittenWork"
130,DBPEDIA_ID/Bio_Booster_Armor_Guyver,"Comic,Work,Manga,WrittenWork"
131,DBPEDIA_ID/Blue_Sky_(manga),"Comic,Work,Manga,WrittenWork"
132,DBPEDIA_ID/Kagerou_Project,"Comic,Work,Manga,WrittenWork"
133,DBPEDIA_ID/Kaze_Hikaru,"Comic,Work,Manga,WrittenWork"
134,DBPEDIA_ID/Kenka_Shōbai,"Comic,Work,Manga,WrittenWork"
135,DBPEDIA_ID/Kitchen_Princess,"Comic,Work,Manga,WrittenWork"
136,DBPEDIA_ID/Life_Is_Dead,"Comic,Work,Manga,WrittenWork"
137,DBPEDIA_ID/Manga_Dogs,"Comic,Work,Manga,WrittenWork"
138,DBPEDIA_ID/Mel_Kano,"Comic,Work,Manga,WrittenWork"
139,DBPEDIA_ID/Chocolat_(manga),"Comic,Work,Manga,WrittenWork"
140,DBPEDIA_ID/Cipher_(manga),"Comic,Work,Manga,WrittenWork"
141,DBPEDIA_ID/Cobra_(manga),"Comic,Work,Manga,WrittenWork"
142,DBPEDIA_ID/Diabolo_(manga),"Comic,Work,Manga,WrittenWork"
143,DBPEDIA_ID/Digimortal_(manga),"Comic,Work,Manga,WrittenWork"
144,Tamayura,"Comic,Work,Manga,WrittenWork"
145,DBPEDIA_ID/To_Heart_2,"Comic,Work,Manga,WrittenWork"
146,DBPEDIA_ID/Tsukuroi_Tatsu_Hito,"Comic,Work,Manga,WrittenWork"
147,DBPEDIA_ID/Fun_Fun_Factory,"Comic,Work,Manga,WrittenWork"
148,DBPEDIA_ID/Fushigi_Yûgi_Genbu_Kaiden,"Comic,Work,Manga,WrittenWork"
149,Georgie!,"Comic,Work,Manga,WrittenWork"
150,DBPEDIA_ID/Getter_Robo_Hien:_The_Earth_Suicide,"Comic,Work,Manga,WrittenWork"
151,DBPEDIA_ID/Weiß_Survive,"Comic,Work,Manga,WrittenWork"
152,DBPEDIA_ID/Ginga:_Nagareboshi_Gin,"Comic,Work,Manga,WrittenWork"
153,DBPEDIA_ID/Haunted_House_(manga),"Comic,Work,Manga,WrittenWork"
