,entity,classes
0,DBPEDIA_ID/Salvador_de_Vives,"Person,Politician,Mayor,Agent"
1,DBPEDIA_ID/Arthur_Schultz,"Person,Politician,Mayor,Agent"
2,DBPEDIA_ID/B._G._James_(politician),"Person,Politician,Mayor,Agent"
3,DBPEDIA_ID/Bob_Marshall_(California_politician),"Person,Politician,Mayor,Agent"
4,DBPEDIA_ID/Charles_Brown_(mayor),"Person,Politician,Mayor,Agent"
5,DBPEDIA_ID/Erastus_Corning_2nd,"Person,Politician,Mayor,Agent"
6,DBPEDIA_ID/Glenn_Hearn,"Person,Politician,Mayor,Agent"
7,DBPEDIA_ID/Jacques_Viger_(1787–1858),"Person,Politician,Mayor,Agent"
8,DBPEDIA_ID/James_Hutchison_(American_politician),"Person,Politician,Mayor,Agent"
9,DBPEDIA_ID/Joshua_Prager_(doctor),"Person,Politician,Mayor,Agent"
10,DBPEDIA_ID/Marcelius_Haga,"Person,Politician,Mayor,Agent"
11,DBPEDIA_ID/Michael_Young_(mayor),"Person,Politician,Mayor,Agent"
12,DBPEDIA_ID/Nils_Emaus_Nilsen,"Person,Politician,Mayor,Agent"
13,DBPEDIA_ID/Richard_Lewis_(mayor),"Person,Politician,Mayor,Agent"
14,DBPEDIA_ID/Robert_Lyon_(politician),"Person,Politician,Mayor,Agent"
15,DBPEDIA_ID/Stubbs_(cat),"Person,Politician,Mayor,Agent"
16,DBPEDIA_ID/Thomas_Clark_(Long_Beach),"Person,Politician,Mayor,Agent"
17,DBPEDIA_ID/Thomas_Wood_(mayor),"Person,Politician,Mayor,Agent"
18,DBPEDIA_ID/Abraham_M._Schermerhorn,"Person,Politician,Mayor,Agent"
19,DBPEDIA_ID/Arnfinn_Vik,"Person,Politician,Mayor,Agent"
20,DBPEDIA_ID/Bernhard_Tandberg,"Person,Politician,Mayor,Agent"
21,DBPEDIA_ID/Christopher_Taylor_(politician),"Person,Politician,Mayor,Agent"
22,DBPEDIA_ID/Henry_J._Friel,"Person,Politician,Mayor,Agent"
23,DBPEDIA_ID/Lee_Robinson_(politician),"Person,Politician,Mayor,Agent"
24,DBPEDIA_ID/Robert_Maestri,"Person,Politician,Mayor,Agent"
25,DBPEDIA_ID/Antonio_Beretta,"Person,Politician,Mayor,Agent"
26,DBPEDIA_ID/Benjamin_Harrison_III,"Person,Politician,Mayor,Agent"
27,DBPEDIA_ID/Charles_Howard_(Detroit),"Person,Politician,Mayor,Agent"
28,DBPEDIA_ID/Chic_Murray_(politician),"Person,Politician,Mayor,Agent"
29,DBPEDIA_ID/Fred_A._Earhart,"Person,Politician,Mayor,Agent"
30,DBPEDIA_ID/George_E._Newell,"Person,Politician,Mayor,Agent"
31,DBPEDIA_ID/Gérald_Tremblay,"Person,Politician,Mayor,Agent"
32,DBPEDIA_ID/Henry_Fletcher_(mayor),"Person,Politician,Mayor,Agent"
33,DBPEDIA_ID/Joseph_Brown_(Missouri_politician),"Person,Politician,Mayor,Agent"
34,DBPEDIA_ID/José_Antonio_de_la_Garza,"Person,Politician,Mayor,Agent"
35,DBPEDIA_ID/Kjell_Bohlin,"Person,Politician,Mayor,Agent"
36,DBPEDIA_ID/Kjell_Knudsen,"Person,Politician,Mayor,Agent"
37,DBPEDIA_ID/Lorna_Kesterson,"Person,Politician,Mayor,Agent"
38,DBPEDIA_ID/Nancy_Krasne,"Person,Politician,Mayor,Agent"
39,DBPEDIA_ID/Patrick_Nolan_(politician),"Person,Politician,Mayor,Agent"
