,entity,classes
0,DBPEDIA_ID/David_Charles_(physician),"Person,Scientist,Medician,Agent"
1,DBPEDIA_ID/Alexis_Carrel,"Person,Scientist,Medician,Agent"
2,DBPEDIA_ID/Alois_Alzheimer,"Person,Scientist,Medician,Agent"
3,DBPEDIA_ID/Christiaan_Barnard,"Person,Scientist,Medician,Agent"
4,DBPEDIA_ID/Elizabeth_Garrett_Anderson,"Person,Scientist,Medician,Agent"
5,DBPEDIA_ID/Emil_Theodor_Kocher,"Person,Scientist,Medician,Agent"
6,DBPEDIA_ID/James_Lind,"Person,Scientist,Medician,Agent"
7,DBPEDIA_ID/George_Tiller,"Person,Scientist,Medician,Agent"
8,DBPEDIA_ID/Henry_Heimlich,"Person,Scientist,Medician,Agent"
9,DBPEDIA_ID/John_Dalrymple_(physician),"Person,Scientist,Medician,Agent"
10,DBPEDIA_ID/Lawrence_H._Cohn,"Person,Scientist,Medician,Agent"
11,DBPEDIA_ID/Linda_Rosenstock,"Person,Scientist,Medician,Agent"
12,DBPEDIA_ID/Ludwig_Guttmann,"Person,Scientist,Medician,Agent"
13,DBPEDIA_ID/Marius_Barnard_(surgeon),"Person,Scientist,Medician,Agent"
14,DBPEDIA_ID/Markus_Büchler,"Person,Scientist,Medician,Agent"
15,DBPEDIA_ID/Alfred_Blalock,"Person,Scientist,Medician,Agent"
16,DBPEDIA_ID/Arvid_Afzelius,"Person,Scientist,Medician,Agent"
17,DBPEDIA_ID/John_Howard_(public_health_administrator),"Person,Scientist,Medician,Agent"
18,DBPEDIA_ID/Hossein_Khan_Motamed,"Person,Scientist,Medician,Agent"
19,DBPEDIA_ID/Frank_H._Netter,"Person,Scientist,Medician,Agent"
20,DBPEDIA_ID/Devi_Shetty,"Person,Scientist,Medician,Agent"
21,DBPEDIA_ID/William_Dalrymple_(surgeon),"Person,Scientist,Medician,Agent"
22,DBPEDIA_ID/Roy_Yorke_Calne,"Person,Scientist,Medician,Agent"
23,DBPEDIA_ID/John_Brereton_Barlow,"Person,Scientist,Medician,Agent"
24,DBPEDIA_ID/Michael_Merzenich,"Person,Scientist,Medician,Agent"
25,DBPEDIA_ID/Andrew_Lees_(neurologist),"Person,Scientist,Medician,Agent"
26,DBPEDIA_ID/Andrew_Lees_(vaccinologist),"Person,Scientist,Medician,Agent"
27,DBPEDIA_ID/Victor_Horsley,"Person,Scientist,Medician,Agent"
28,DBPEDIA_ID/Michael_Klaper,"Person,Scientist,Medician,Agent"
29,DBPEDIA_ID/William_James_Wanless,"Person,Scientist,Medician,Agent"
30,DBPEDIA_ID/M._A._Aleem,"Person,Scientist,Medician,Agent"
31,DBPEDIA_ID/Parviz_Kambin,"Person,Scientist,Medician,Agent"
32,DBPEDIA_ID/Annie_Warren_Gill,"Person,Scientist,Medician,Agent"
33,DBPEDIA_ID/Michael_Palese,"Person,Scientist,Medician,Agent"
34,DBPEDIA_ID/James_Makittrick_Adair,"Person,Scientist,Medician,Agent"
35,DBPEDIA_ID/Lillian_Heath,"Person,Scientist,Medician,Agent"
36,DBPEDIA_ID/John_Yu,"Person,Scientist,Medician,Agent"
37,DBPEDIA_ID/Johann_Conrad_Brunner,"Person,Scientist,Medician,Agent"
38,DBPEDIA_ID/Linda_Richards,"Person,Scientist,Medician,Agent"
39,DBPEDIA_ID/Howard_Martin,"Person,Scientist,Medician,Agent"
40,DBPEDIA_ID/Richard_Steadman,"Person,Scientist,Medician,Agent"
41,DBPEDIA_ID/Jean-Francois_Coindet,"Person,Scientist,Medician,Agent"
42,DBPEDIA_ID/Michael_L._Brodman,"Person,Scientist,Medician,Agent"
43,DBPEDIA_ID/Betsi_Cadwaladr,"Person,Scientist,Medician,Agent"
44,DBPEDIA_ID/Lilian_Lindsay,"Person,Scientist,Medician,Agent"
45,DBPEDIA_ID/Morong_43,"Person,Scientist,Medician,Agent"
46,DBPEDIA_ID/Peter_Sleight,"Person,Scientist,Medician,Agent"
47,DBPEDIA_ID/Peter_G._Levine,"Person,Scientist,Medician,Agent"
48,DBPEDIA_ID/Héctor_Abad_Gómez,"Person,Scientist,Medician,Agent"
49,DBPEDIA_ID/Arthur_K._Shapiro,"Person,Scientist,Medician,Agent"
50,DBPEDIA_ID/Marthe_Voegeli,"Person,Scientist,Medician,Agent"
51,DBPEDIA_ID/Isabel_Hampton_Robb,"Person,Scientist,Medician,Agent"
52,DBPEDIA_ID/Roberto_Azurdia,"Person,Scientist,Medician,Agent"
53,DBPEDIA_ID/Sevil_Atasoy,"Person,Scientist,Medician,Agent"
54,DBPEDIA_ID/Ernesto_Contreras_(physician),"Person,Scientist,Medician,Agent"
55,DBPEDIA_ID/Anna_Maxwell,"Person,Scientist,Medician,Agent"
56,DBPEDIA_ID/Anna_Pierce_Hobbs_Bixby,"Person,Scientist,Medician,Agent"
57,DBPEDIA_ID/Emily_MacManus,"Person,Scientist,Medician,Agent"
58,DBPEDIA_ID/Naoto_Ueno,"Person,Scientist,Medician,Agent"
59,DBPEDIA_ID/Joshua_A._Siegel,"Person,Scientist,Medician,Agent"
60,DBPEDIA_ID/Edgar_Contreras,"Person,Scientist,Medician,Agent"
61,DBPEDIA_ID/Howard_Shane,"Person,Scientist,Medician,Agent"
62,DBPEDIA_ID/Nadine_Burke_Harris,"Person,Scientist,Medician,Agent"
63,DBPEDIA_ID/Rolando_Toyos,"Person,Scientist,Medician,Agent"
64,DBPEDIA_ID/Andrew_J_Carr,"Person,Scientist,Medician,Agent"
65,DBPEDIA_ID/G.H._Monrad-Krohn,"Person,Scientist,Medician,Agent"
66,DBPEDIA_ID/Lloyd_Mayer,"Person,Scientist,Medician,Agent"
67,DBPEDIA_ID/Mary_Broadfoot_Walker,"Person,Scientist,Medician,Agent"
68,DBPEDIA_ID/Juliette_de_Baïracli_Levy,"Person,Scientist,Medician,Agent"
69,DBPEDIA_ID/Ramon_Castroviejo,"Person,Scientist,Medician,Agent"
70,DBPEDIA_ID/Vykunta_Raju,"Person,Scientist,Medician,Agent"
71,DBPEDIA_ID/Andrew_Dent,"Person,Scientist,Medician,Agent"
72,DBPEDIA_ID/Hallie_Earle,"Person,Scientist,Medician,Agent"
73,DBPEDIA_ID/Henry_Howse,"Person,Scientist,Medician,Agent"
74,DBPEDIA_ID/Leona_Baumgartner,"Person,Scientist,Medician,Agent"
75,DBPEDIA_ID/Mary_E._Britton,"Person,Scientist,Medician,Agent"
76,DBPEDIA_ID/Vivien_Thomas,"Person,Scientist,Medician,Agent"
77,DBPEDIA_ID/Adrian_Dixon,"Person,Scientist,Medician,Agent"
78,DBPEDIA_ID/Irwin_Redlener,"Person,Scientist,Medician,Agent"
79,DBPEDIA_ID/Michael_Welner,"Person,Scientist,Medician,Agent"
80,DBPEDIA_ID/Jean_Malecki,"Person,Scientist,Medician,Agent"
