,entity,classes
0,DBPEDIA_ID/Blake_Richards,"Person,MemberOfParliament,Politician,Agent"
1,DBPEDIA_ID/David_Charles_(Australian_politician),"Person,MemberOfParliament,Politician,Agent"
2,DBPEDIA_ID/Ian_Allan_(politician),"Person,MemberOfParliament,Politician,Agent"
3,DBPEDIA_ID/Horace_Walpole,"Person,MemberOfParliament,Politician,Agent"
4,DBPEDIA_ID/Louis_Riel,"Person,MemberOfParliament,Politician,Agent"
5,DBPEDIA_ID/Airey_Neave,"Person,MemberOfParliament,Politician,Agent"
6,DBPEDIA_ID/Anthony_Berry,"Person,MemberOfParliament,Politician,Agent"
7,DBPEDIA_ID/Gordon_Graydon,"Person,MemberOfParliament,Politician,Agent"
8,DBPEDIA_ID/Neil_Hamilton_(politician),"Person,MemberOfParliament,Politician,Agent"
9,DBPEDIA_ID/Alex_Chalk,"Person,MemberOfParliament,Politician,Agent"
10,DBPEDIA_ID/Angus_Hambro,"Person,MemberOfParliament,Politician,Agent"
11,DBPEDIA_ID/Bob_Stewart_(British_Army_officer),"Person,MemberOfParliament,Politician,Agent"
12,DBPEDIA_ID/David_Clark_(New_Zealand_politician),"Person,MemberOfParliament,Politician,Agent"
13,DBPEDIA_ID/Ewen_Cameron_(Australian_politician),"Person,MemberOfParliament,Politician,Agent"
14,DBPEDIA_ID/Gérard_Asselin,"Person,MemberOfParliament,Politician,Agent"
15,DBPEDIA_ID/Gérard_Bruchési,"Person,MemberOfParliament,Politician,Agent"
16,DBPEDIA_ID/Gérard_Chapdelaine,"Person,MemberOfParliament,Politician,Agent"
17,DBPEDIA_ID/Gérard_Cournoyer,"Person,MemberOfParliament,Politician,Agent"
18,DBPEDIA_ID/Gérard_Girouard,"Person,MemberOfParliament,Politician,Agent"
19,DBPEDIA_ID/Gérard_Lamy,"Person,MemberOfParliament,Politician,Agent"
20,DBPEDIA_ID/Gérard_Légaré,"Person,MemberOfParliament,Politician,Agent"
21,DBPEDIA_ID/Gérard_Ouellet,"Person,MemberOfParliament,Politician,Agent"
22,DBPEDIA_ID/Horace_Wilson_(politician),"Person,MemberOfParliament,Politician,Agent"
23,DBPEDIA_ID/James_Wilkinson_(Australian_politician),"Person,MemberOfParliament,Politician,Agent"
24,DBPEDIA_ID/John_Banfield,"Person,MemberOfParliament,Politician,Agent"
25,DBPEDIA_ID/John_Kirwan_(politician),"Person,MemberOfParliament,Politician,Agent"
26,DBPEDIA_ID/John_Stevenson_(British_politician),"Person,MemberOfParliament,Politician,Agent"
27,DBPEDIA_ID/John_Stevenson_(Queensland_politician),"Person,MemberOfParliament,Politician,Agent"
28,DBPEDIA_ID/Marlene_Jennings,"Person,MemberOfParliament,Politician,Agent"
29,DBPEDIA_ID/Richard_Edwards_(Australian_politician),"Person,MemberOfParliament,Politician,Agent"
