,entity,classes
0,DBPEDIA_ID/Kenilworth_Castle,"ArchitecturalStructure,MilitaryStructure,Place,Location"
1,DBPEDIA_ID/Maginot_Line,"ArchitecturalStructure,MilitaryStructure,Place,Location"
2,DBPEDIA_ID/Peenemünde_Army_Research_Center,"ArchitecturalStructure,MilitaryStructure,Place,Location"
3,DBPEDIA_ID/Atlantic_Wall,"ArchitecturalStructure,MilitaryStructure,Place,Location"
4,DBPEDIA_ID/British_Commonwealth_Air_Training_Plan,"ArchitecturalStructure,MilitaryStructure,Place,Location"
5,DBPEDIA_ID/Ho_Chi_Minh_trail,"ArchitecturalStructure,MilitaryStructure,Place,Location"
6,DBPEDIA_ID/Stokesay_Castle,"ArchitecturalStructure,MilitaryStructure,Place,Location"
7,DBPEDIA_ID/Fort_Bard,"ArchitecturalStructure,MilitaryStructure,Place,Location"
8,DBPEDIA_ID/Fort_Loudoun_(Pennsylvania),"ArchitecturalStructure,MilitaryStructure,Place,Location"
9,"DBPEDIA_ID/Fort_Scott_(Arlington,_Virginia)","ArchitecturalStructure,MilitaryStructure,Place,Location"
10,DBPEDIA_ID/Fort_Victoria_(Isle_of_Wight),"ArchitecturalStructure,MilitaryStructure,Place,Location"
11,DBPEDIA_ID/Fort_Ville-Marie,"ArchitecturalStructure,MilitaryStructure,Place,Location"
12,DBPEDIA_ID/Fort_of_San_Diego,"ArchitecturalStructure,MilitaryStructure,Place,Location"
13,DBPEDIA_ID/Gabala_Radar_Station,"ArchitecturalStructure,MilitaryStructure,Place,Location"
14,DBPEDIA_ID/Pontrilas_Army_Training_Area,"ArchitecturalStructure,MilitaryStructure,Place,Location"
15,DBPEDIA_ID/RNAS_Capel,"ArchitecturalStructure,MilitaryStructure,Place,Location"
16,DBPEDIA_ID/Bhangarh_Fort,"ArchitecturalStructure,MilitaryStructure,Place,Location"
17,"DBPEDIA_ID/Clifton_Hall,_Cumbria","ArchitecturalStructure,MilitaryStructure,Place,Location"
