,entity,classes
0,DBPEDIA_ID/Afghan_Armed_Forces,"Organisation,Agent,MilitaryUnit"
1,DBPEDIA_ID/Angolan_Armed_Forces,"Organisation,Agent,MilitaryUnit"
2,DBPEDIA_ID/Armed_Forces_of_Armenia,"Organisation,Agent,MilitaryUnit"
3,DBPEDIA_ID/Armed_Forces_of_Belarus,"Organisation,Agent,MilitaryUnit"
4,DBPEDIA_ID/Armed_Forces_of_Bosnia_and_Herzegovina,"Organisation,Agent,MilitaryUnit"
5,DBPEDIA_ID/Armed_Forces_of_El_Salvador,"Organisation,Agent,MilitaryUnit"
6,DBPEDIA_ID/Armed_Forces_of_Liberia,"Organisation,Agent,MilitaryUnit"
7,DBPEDIA_ID/Armed_Forces_of_Saudi_Arabia,"Organisation,Agent,MilitaryUnit"
8,DBPEDIA_ID/Armed_Forces_of_the_Democratic_Republic_of_the_Congo,"Organisation,Agent,MilitaryUnit"
9,DBPEDIA_ID/Armed_Forces_of_the_Dominican_Republic,"Organisation,Agent,MilitaryUnit"
10,DBPEDIA_ID/Armed_Forces_of_the_Libyan_Arab_Jamahiriya,"Organisation,Agent,MilitaryUnit"
11,DBPEDIA_ID/Armed_Forces_of_the_Philippines,"Organisation,Agent,MilitaryUnit"
12,DBPEDIA_ID/Armed_Forces_of_the_Republic_of_Kazakhstan,"Organisation,Agent,MilitaryUnit"
13,DBPEDIA_ID/Armed_Forces_of_the_Republic_of_the_Congo,"Organisation,Agent,MilitaryUnit"
14,DBPEDIA_ID/Armed_forces_of_the_Netherlands,"Organisation,Agent,MilitaryUnit"
15,DBPEDIA_ID/Army_of_the_Republic_of_Macedonia,"Organisation,Agent,MilitaryUnit"
16,DBPEDIA_ID/Australian_Army,"Organisation,Agent,MilitaryUnit"
17,DBPEDIA_ID/Azerbaijani_Armed_Forces,"Organisation,Agent,MilitaryUnit"
18,DBPEDIA_ID/Blue_Angels,"Organisation,Agent,MilitaryUnit"
19,DBPEDIA_ID/Brazilian_Armed_Forces,"Organisation,Agent,MilitaryUnit"
20,DBPEDIA_ID/British_Army,"Organisation,Agent,MilitaryUnit"
21,DBPEDIA_ID/Bulgarian_Armed_Forces,"Organisation,Agent,MilitaryUnit"
22,DBPEDIA_ID/Cabo_Verdean_Armed_Forces,"Organisation,Agent,MilitaryUnit"
23,DBPEDIA_ID/Cameroonian_Armed_Forces,"Organisation,Agent,MilitaryUnit"
24,DBPEDIA_ID/Central_African_Armed_Forces,"Organisation,Agent,MilitaryUnit"
25,DBPEDIA_ID/Chad_National_Army,"Organisation,Agent,MilitaryUnit"
26,DBPEDIA_ID/Danish_Defence,"Organisation,Agent,MilitaryUnit"
27,DBPEDIA_ID/Djibouti_Armed_Forces,"Organisation,Agent,MilitaryUnit"
28,DBPEDIA_ID/Egyptian_Armed_Forces,"Organisation,Agent,MilitaryUnit"
