,entity,classes
0,Agate,"ChemicalSubstance,Mineral"
1,Amazonite,"ChemicalSubstance,Mineral"
2,Amblygonite,"ChemicalSubstance,Mineral"
3,Amethyst,"ChemicalSubstance,Mineral"
4,Analcime,"ChemicalSubstance,Mineral"
5,Beryl,"ChemicalSubstance,Mineral"
6,Biotite,"ChemicalSubstance,Mineral"
7,Corundum,"ChemicalSubstance,Mineral"
8,Diamond,"ChemicalSubstance,Mineral"
9,Emerald,"ChemicalSubstance,Mineral"
10,Graphite,"ChemicalSubstance,Mineral"
11,Gypsum,"ChemicalSubstance,Mineral"
12,Hematite,"ChemicalSubstance,Mineral"
13,Kainite,"ChemicalSubstance,Mineral"
14,Kamacite,"ChemicalSubstance,Mineral"
15,Kaolinite,"ChemicalSubstance,Mineral"
16,Kernite,"ChemicalSubstance,Mineral"
17,Kyanite,"ChemicalSubstance,Mineral"
18,Lonsdaleite,"ChemicalSubstance,Mineral"
19,Mica,"ChemicalSubstance,Mineral"
20,Muscovite,"ChemicalSubstance,Mineral"
21,Obsidian,"ChemicalSubstance,Mineral"
22,Pearl,"ChemicalSubstance,Mineral"
23,Quartz,"ChemicalSubstance,Mineral"
24,Columbite,"ChemicalSubstance,Mineral"
25,Pyrochlore,"ChemicalSubstance,Mineral"
26,Ulexite,"ChemicalSubstance,Mineral"
27,Apatite,"ChemicalSubstance,Mineral"
28,Arsenopyrite,"ChemicalSubstance,Mineral"
29,Baddeleyite,"ChemicalSubstance,Mineral"
30,Bytownite,"ChemicalSubstance,Mineral"
31,Chalcopyrite,"ChemicalSubstance,Mineral"
32,Ilmenite,"ChemicalSubstance,Mineral"
33,Labradorite,"ChemicalSubstance,Mineral"
34,Pentlandite,"ChemicalSubstance,Mineral"
35,Gagarinite-(Ce),"ChemicalSubstance,Mineral"
36,DBPEDIA_ID/Heliotrope_(mineral),"ChemicalSubstance,Mineral"
37,Ullmannite,"ChemicalSubstance,Mineral"
38,DBPEDIA_ID/Yogo_sapphire,"ChemicalSubstance,Mineral"
39,Jadarite,"ChemicalSubstance,Mineral"
40,Huemulite,"ChemicalSubstance,Mineral"
41,Jennite,"ChemicalSubstance,Mineral"
42,Paulingite,"ChemicalSubstance,Mineral"
43,Wollastonite,"ChemicalSubstance,Mineral"
44,Bukovite,"ChemicalSubstance,Mineral"
45,Dypingite,"ChemicalSubstance,Mineral"
46,Fiorite,"ChemicalSubstance,Mineral"
47,Galaxite,"ChemicalSubstance,Mineral"
48,Mohite,"ChemicalSubstance,Mineral"
49,Motukoreaite,"ChemicalSubstance,Mineral"
50,Phosphophyllite,"ChemicalSubstance,Mineral"
51,Saliotite,"ChemicalSubstance,Mineral"
52,Sinoite,"ChemicalSubstance,Mineral"
53,Studtite,"ChemicalSubstance,Mineral"
54,Tetrahedrite,"ChemicalSubstance,Mineral"
55,Trevorite,"ChemicalSubstance,Mineral"
56,DBPEDIA_ID/Selenite_(mineral),"ChemicalSubstance,Mineral"
57,Andersonite,"ChemicalSubstance,Mineral"
58,Graftonite,"ChemicalSubstance,Mineral"
59,Hessite,"ChemicalSubstance,Mineral"
60,Mixite,"ChemicalSubstance,Mineral"
61,Pumpellyite,"ChemicalSubstance,Mineral"
62,Rutherfordine,"ChemicalSubstance,Mineral"
63,Hsianghualite,"ChemicalSubstance,Mineral"
64,Kaatialaite,"ChemicalSubstance,Mineral"
65,Leucophoenicite,"ChemicalSubstance,Mineral"
66,Naldrettite,"ChemicalSubstance,Mineral"
67,Ringwoodite,"ChemicalSubstance,Mineral"
68,Dollaseite-(Ce),"ChemicalSubstance,Mineral"
69,Lanthanite,"ChemicalSubstance,Mineral"
70,Aegirine,"ChemicalSubstance,Mineral"
71,Manganite,"ChemicalSubstance,Mineral"
72,Sunstone,"ChemicalSubstance,Mineral"
73,Anhydrite,"ChemicalSubstance,Mineral"
74,Auricupride,"ChemicalSubstance,Mineral"
75,Autunite,"ChemicalSubstance,Mineral"
76,Colemanite,"ChemicalSubstance,Mineral"
77,Creedite,"ChemicalSubstance,Mineral"
78,Orpiment,"ChemicalSubstance,Mineral"
79,Realgar,"ChemicalSubstance,Mineral"
80,Zirkelite,"ChemicalSubstance,Mineral"
81,Alunite,"ChemicalSubstance,Mineral"
82,Brazilianite,"ChemicalSubstance,Mineral"
83,Bukovskyite,"ChemicalSubstance,Mineral"
84,Cyanotrichite,"ChemicalSubstance,Mineral"
85,Hypersthene,"ChemicalSubstance,Mineral"
86,Mimetite,"ChemicalSubstance,Mineral"
87,Mirabilite,"ChemicalSubstance,Mineral"
88,Natrolite,"ChemicalSubstance,Mineral"
89,Scolecite,"ChemicalSubstance,Mineral"
90,DBPEDIA_ID/Silicate_minerals,"ChemicalSubstance,Mineral"
91,Wardite,"ChemicalSubstance,Mineral"
92,Wurtzite,"ChemicalSubstance,Mineral"
93,Ettringite,"ChemicalSubstance,Mineral"
94,Heazlewoodite,"ChemicalSubstance,Mineral"
95,Kambaldaite,"ChemicalSubstance,Mineral"
96,Monticellite,"ChemicalSubstance,Mineral"
97,Mullite,"ChemicalSubstance,Mineral"
98,Ye'elimite,"ChemicalSubstance,Mineral"
99,Brewsterite,"ChemicalSubstance,Mineral"
100,Carpathite,"ChemicalSubstance,Mineral"
101,Clinohedrite,"ChemicalSubstance,Mineral"
102,Kutnohorite,"ChemicalSubstance,Mineral"
103,Aliettite,"ChemicalSubstance,Mineral"
104,Cymrite,"ChemicalSubstance,Mineral"
105,Derriksite,"ChemicalSubstance,Mineral"
106,Hagendorfite,"ChemicalSubstance,Mineral"
107,Lindgrenite,"ChemicalSubstance,Mineral"
108,Niningerite,"ChemicalSubstance,Mineral"
109,Taaffeite,"ChemicalSubstance,Mineral"
110,Clinohumite,"ChemicalSubstance,Mineral"
111,Alunogen,"ChemicalSubstance,Mineral"
112,Andesine,"ChemicalSubstance,Mineral"
113,Danburite,"ChemicalSubstance,Mineral"
114,Delvauxite,"ChemicalSubstance,Mineral"
115,Knorringite,"ChemicalSubstance,Mineral"
116,Botallackite,"ChemicalSubstance,Mineral"
117,Cattierite,"ChemicalSubstance,Mineral"
118,Gabrielite,"ChemicalSubstance,Mineral"
119,Huttonite,"ChemicalSubstance,Mineral"
120,Kosmochlor,"ChemicalSubstance,Mineral"
121,Vladimirite,"ChemicalSubstance,Mineral"
122,Weddellite,"ChemicalSubstance,Mineral"
123,Xanthiosite,"ChemicalSubstance,Mineral"
124,Brochantite,"ChemicalSubstance,Mineral"
125,Hauerite,"ChemicalSubstance,Mineral"
126,Elbaite,"ChemicalSubstance,Mineral"
127,Hydromagnesite,"ChemicalSubstance,Mineral"
128,Stephanite,"ChemicalSubstance,Mineral"
129,Triplite,"ChemicalSubstance,Mineral"
130,Weissite,"ChemicalSubstance,Mineral"
131,Hemihedrite,"ChemicalSubstance,Mineral"
132,Balangeroite,"ChemicalSubstance,Mineral"
133,Cahnite,"ChemicalSubstance,Mineral"
134,Cervantite,"ChemicalSubstance,Mineral"
135,Gratonite,"ChemicalSubstance,Mineral"
136,Hydroboracite,"ChemicalSubstance,Mineral"
137,Kurnakovite,"ChemicalSubstance,Mineral"
138,Linnaeite,"ChemicalSubstance,Mineral"
139,Meyerhofferite,"ChemicalSubstance,Mineral"
140,Nobleite,"ChemicalSubstance,Mineral"
141,Phengite,"ChemicalSubstance,Mineral"
142,Stibiconite,"ChemicalSubstance,Mineral"
143,Ulvöspinel,"ChemicalSubstance,Mineral"
144,Goslarite,"ChemicalSubstance,Mineral"
145,Hydrozincite,"ChemicalSubstance,Mineral"
146,Iodargyrite,"ChemicalSubstance,Mineral"
147,Sylvite,"ChemicalSubstance,Mineral"
148,Aurichalcite,"ChemicalSubstance,Mineral"
149,Cuprite,"ChemicalSubstance,Mineral"
150,Dioptase,"ChemicalSubstance,Mineral"
151,Murdochite,"ChemicalSubstance,Mineral"
152,Phlogopite,"ChemicalSubstance,Mineral"
153,Pyrolusite,"ChemicalSubstance,Mineral"
154,Scheelite,"ChemicalSubstance,Mineral"
155,Tennantite,"ChemicalSubstance,Mineral"
156,Tugtupite,"ChemicalSubstance,Mineral"
157,Aphthitalite,"ChemicalSubstance,Mineral"
158,Arcanite,"ChemicalSubstance,Mineral"
159,Covellite,"ChemicalSubstance,Mineral"
160,Euclase,"ChemicalSubstance,Mineral"
161,Glauconite,"ChemicalSubstance,Mineral"
162,Thermonatrite,"ChemicalSubstance,Mineral"
163,Witherite,"ChemicalSubstance,Mineral"
164,Hercynite,"ChemicalSubstance,Mineral"
165,Valentinite,"ChemicalSubstance,Mineral"
166,Vaterite,"ChemicalSubstance,Mineral"
167,Thorite,"ChemicalSubstance,Mineral"
168,Olivenite,"ChemicalSubstance,Mineral"
169,Pyrope,"ChemicalSubstance,Mineral"
170,Tenorite,"ChemicalSubstance,Mineral"
171,Cupstone,"ChemicalSubstance,Mineral"
172,Fabianite,"ChemicalSubstance,Mineral"
173,Teruggite,"ChemicalSubstance,Mineral"
174,Tantite,"ChemicalSubstance,Mineral"
175,Baotite,"ChemicalSubstance,Mineral"
176,Betafite,"ChemicalSubstance,Mineral"
177,Northupite,"ChemicalSubstance,Mineral"
178,Simpsonite,"ChemicalSubstance,Mineral"
179,Tellurobismuthite,"ChemicalSubstance,Mineral"
180,Whiteite,"ChemicalSubstance,Mineral"
181,Chambersite,"ChemicalSubstance,Mineral"
182,Djerfisherite,"ChemicalSubstance,Mineral"
183,Bustamite,"ChemicalSubstance,Mineral"
184,Cadwaladerite,"ChemicalSubstance,Mineral"
185,Guettardite,"ChemicalSubstance,Mineral"
186,Marialite,"ChemicalSubstance,Mineral"
187,Pseudomalachite,"ChemicalSubstance,Mineral"
188,Hydrotalcite,"ChemicalSubstance,Mineral"
189,Groutite,"ChemicalSubstance,Mineral"
190,Russellite,"ChemicalSubstance,Mineral"
191,Talmessite,"ChemicalSubstance,Mineral"
192,DBPEDIA_ID/Telluric_iron,"ChemicalSubstance,Mineral"
193,Bursaite,"ChemicalSubstance,Mineral"
194,Kuratite,"ChemicalSubstance,Mineral"
195,Zincolivenite,"ChemicalSubstance,Mineral"
196,Cubanite,"ChemicalSubstance,Mineral"
197,Mckelveyite-(Y),"ChemicalSubstance,Mineral"
198,Meneghinite,"ChemicalSubstance,Mineral"
199,Sursassite,"ChemicalSubstance,Mineral"
200,Arquerite,"ChemicalSubstance,Mineral"
201,Cancrinite,"ChemicalSubstance,Mineral"
202,Fettelite,"ChemicalSubstance,Mineral"
203,Halloysite,"ChemicalSubstance,Mineral"
204,Thenardite,"ChemicalSubstance,Mineral"
205,Ashburtonite,"ChemicalSubstance,Mineral"
206,Esperite,"ChemicalSubstance,Mineral"
207,Fluorapatite,"ChemicalSubstance,Mineral"
208,Fourmarierite,"ChemicalSubstance,Mineral"
209,Hübnerite,"ChemicalSubstance,Mineral"
210,Paulscherrerite,"ChemicalSubstance,Mineral"
211,Pyrrhotite,"ChemicalSubstance,Mineral"
212,Sussexite,"ChemicalSubstance,Mineral"
213,Uranocircite,"ChemicalSubstance,Mineral"
214,Kogarkoite,"ChemicalSubstance,Mineral"
215,Augite,"ChemicalSubstance,Mineral"
216,Rhodochrosite,"ChemicalSubstance,Mineral"
217,Jarosite,"ChemicalSubstance,Mineral"
218,Clinoclase,"ChemicalSubstance,Mineral"
219,Sodalite,"ChemicalSubstance,Mineral"
220,Staurolite,"ChemicalSubstance,Mineral"
221,Dawsonite,"ChemicalSubstance,Mineral"
222,Seifertite,"ChemicalSubstance,Mineral"
223,Ephesite,"ChemicalSubstance,Mineral"
224,Pararealgar,"ChemicalSubstance,Mineral"
225,Siderophyllite,"ChemicalSubstance,Mineral"
226,Chlorargyrite,"ChemicalSubstance,Mineral"
227,Gersdorffite,"ChemicalSubstance,Mineral"
228,Microlite,"ChemicalSubstance,Mineral"
229,DBPEDIA_ID/Samsonite_(mineral),"ChemicalSubstance,Mineral"
230,Jamesonite,"ChemicalSubstance,Mineral"
231,Lanarkite,"ChemicalSubstance,Mineral"
232,Haggertyite,"ChemicalSubstance,Mineral"
233,Laumontite,"ChemicalSubstance,Mineral"
234,Amarantite,"ChemicalSubstance,Mineral"
235,Cryptomelane,"ChemicalSubstance,Mineral"
236,Gahnite,"ChemicalSubstance,Mineral"
237,Jordanite,"ChemicalSubstance,Mineral"
238,Kalinite,"ChemicalSubstance,Mineral"
239,Lulzacite,"ChemicalSubstance,Mineral"
240,Nichromite,"ChemicalSubstance,Mineral"
241,Nyerereite,"ChemicalSubstance,Mineral"
242,Rakovanite,"ChemicalSubstance,Mineral"
243,DBPEDIA_ID/Yttrium_aluminium_garnet,"ChemicalSubstance,Mineral"
244,Aksaite,"ChemicalSubstance,Mineral"
245,Arsenoclasite,"ChemicalSubstance,Mineral"
246,Hambergite,"ChemicalSubstance,Mineral"
247,Laurionite,"ChemicalSubstance,Mineral"
248,Penroseite,"ChemicalSubstance,Mineral"
249,Otwayite,"ChemicalSubstance,Mineral"
250,Posnjakite,"ChemicalSubstance,Mineral"
251,Iranite,"ChemicalSubstance,Mineral"
252,Gugiaite,"ChemicalSubstance,Mineral"
253,Haiweeite,"ChemicalSubstance,Mineral"
254,Gregoryite,"ChemicalSubstance,Mineral"
255,Stellerite,"ChemicalSubstance,Mineral"
256,Bicchulite,"ChemicalSubstance,Mineral"
257,Jonesite,"ChemicalSubstance,Mineral"
258,Kovdorskite,"ChemicalSubstance,Mineral"
259,Demesmaekerite,"ChemicalSubstance,Mineral"
260,Aktashite,"ChemicalSubstance,Mineral"
261,Anandite,"ChemicalSubstance,Mineral"
262,Bobfergusonite,"ChemicalSubstance,Mineral"
263,Ferrimolybdite,"ChemicalSubstance,Mineral"
264,Liebigite,"ChemicalSubstance,Mineral"
265,Nuummite,"ChemicalSubstance,Mineral"
266,Ordóñezite,"ChemicalSubstance,Mineral"
267,Rutile,"ChemicalSubstance,Mineral"
268,Siderite,"ChemicalSubstance,Mineral"
269,Sugilite,"ChemicalSubstance,Mineral"
270,Taranakite,"ChemicalSubstance,Mineral"
271,Tincalconite,"ChemicalSubstance,Mineral"
272,Tripuhyite,"ChemicalSubstance,Mineral"
273,Weilite,"ChemicalSubstance,Mineral"
274,Norbergite,"ChemicalSubstance,Mineral"
275,Acanthite,"ChemicalSubstance,Mineral"
276,Boleite,"ChemicalSubstance,Mineral"
277,Bultfonteinite,"ChemicalSubstance,Mineral"
278,DBPEDIA_ID/Chlorite_group,"ChemicalSubstance,Mineral"
279,Curite,"ChemicalSubstance,Mineral"
280,Fluorellestadite,"ChemicalSubstance,Mineral"
281,Lipscombite,"ChemicalSubstance,Mineral"
282,Marthozite,"ChemicalSubstance,Mineral"
283,Zabuyelite,"ChemicalSubstance,Mineral"
284,Greigite,"ChemicalSubstance,Mineral"
285,Botryogen,"ChemicalSubstance,Mineral"
286,Breithauptite,"ChemicalSubstance,Mineral"
287,Djurleite,"ChemicalSubstance,Mineral"
288,Kornerupine,"ChemicalSubstance,Mineral"
289,Nontronite,"ChemicalSubstance,Mineral"
290,Seamanite,"ChemicalSubstance,Mineral"
291,Bayleyite,"ChemicalSubstance,Mineral"
292,Bournonite,"ChemicalSubstance,Mineral"
293,Cabriite,"ChemicalSubstance,Mineral"
294,Geerite,"ChemicalSubstance,Mineral"
295,Kröhnkite,"ChemicalSubstance,Mineral"
296,Johannite,"ChemicalSubstance,Mineral"
297,Millerite,"ChemicalSubstance,Mineral"
298,Tsumebite,"ChemicalSubstance,Mineral"
299,Magadiite,"ChemicalSubstance,Mineral"
300,Carlosruizite,"ChemicalSubstance,Mineral"
301,Xiangjiangite,"ChemicalSubstance,Mineral"
302,Ardaite,"ChemicalSubstance,Mineral"
303,Xilingolite,"ChemicalSubstance,Mineral"
304,Leifite,"ChemicalSubstance,Mineral"
305,Hydroxylapatite,"ChemicalSubstance,Mineral"
306,Montmorillonite,"ChemicalSubstance,Mineral"
307,Carnotite,"ChemicalSubstance,Mineral"
308,DBPEDIA_ID/Dom_Pedro_aquamarine,"ChemicalSubstance,Mineral"
309,Galena,"ChemicalSubstance,Mineral"
310,Omarolluk,"ChemicalSubstance,Mineral"
311,Wolframite,"ChemicalSubstance,Mineral"
312,Aikinite,"ChemicalSubstance,Mineral"
313,Algodonite,"ChemicalSubstance,Mineral"
314,Apophyllite,"ChemicalSubstance,Mineral"
315,Babingtonite,"ChemicalSubstance,Mineral"
316,Berthierite,"ChemicalSubstance,Mineral"
317,Copiapite,"ChemicalSubstance,Mineral"
318,Hanksite,"ChemicalSubstance,Mineral"
319,Yttrocerite,"ChemicalSubstance,Mineral"
320,Beraunite,"ChemicalSubstance,Mineral"
