,entity,classes
0,DBPEDIA_ID/RINGS_King_of_Kings_Tournament_1999,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
1,DBPEDIA_ID/Dynamite!!_2008,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
2,DBPEDIA_ID/Glory_15:_Istanbul,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
3,DBPEDIA_ID/Pride_Bushido_9,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
4,DBPEDIA_ID/UFC_64,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
5,DBPEDIA_ID/UFC_81,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
6,DBPEDIA_ID/Glory_7:_Milan,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
7,DBPEDIA_ID/UFC_Live:_Sanchez_vs._Kampmann,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
8,DBPEDIA_ID/UFC_on_Fox:_Gustafsson_vs._Johnson,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
9,DBPEDIA_ID/WEC_16,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
10,DBPEDIA_ID/K-1_World_MAX_2009_World_Championship_Tournament_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
11,DBPEDIA_ID/UFC_10,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
12,DBPEDIA_ID/UFC_14,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
13,DBPEDIA_ID/K-1_World_Grand_Prix_2003_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
14,DBPEDIA_ID/K-1_World_Grand_Prix_2004_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
15,DBPEDIA_ID/K-1_World_Grand_Prix_2005_in_Tokyo_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
16,DBPEDIA_ID/UFC_68,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
17,DBPEDIA_ID/UFC_70,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
18,DBPEDIA_ID/UFC_Fight_Night:_Sanchez_vs._Riggs,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
19,DBPEDIA_ID/K-1_Grand_Prix_'96,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
20,DBPEDIA_ID/K-1_Grand_Prix_'99_Final_Round,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
21,DBPEDIA_ID/K-1_Premium_Dynamite!!,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
22,DBPEDIA_ID/K-1_World_Grand_Prix_2000_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
23,DBPEDIA_ID/K-1_World_Grand_Prix_2001_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
24,DBPEDIA_ID/Pride_15,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
25,DBPEDIA_ID/Pride_17,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
26,DBPEDIA_ID/Pride_24,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
27,DBPEDIA_ID/Pride_Bushido_1,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
28,DBPEDIA_ID/Pride_Shockwave_2003,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
29,DBPEDIA_ID/UFC_66,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
30,DBPEDIA_ID/Pride_33,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
31,DBPEDIA_ID/W.A.K.O._European_Championships_1977,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
32,DBPEDIA_ID/W.A.K.O._European_Championships_1978,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
33,DBPEDIA_ID/W.A.K.O._European_Championships_1979,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
34,DBPEDIA_ID/W.A.K.O._European_Championships_1980,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
35,DBPEDIA_ID/W.A.K.O._World_Championships_1981,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
36,DBPEDIA_ID/W.A.K.O._World_Championships_1983,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
37,DBPEDIA_ID/W.A.K.O._World_Championships_2007_(Coimbra),"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
38,DBPEDIA_ID/Jewels_10th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
39,DBPEDIA_ID/Jewels_11th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
40,DBPEDIA_ID/Jewels_13th_Ring_&_14th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
41,DBPEDIA_ID/Jewels_15th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
42,DBPEDIA_ID/Jewels_16th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
43,DBPEDIA_ID/Jewels_1st_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
44,DBPEDIA_ID/Jewels_2nd_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
45,DBPEDIA_ID/Jewels_3rd_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
46,DBPEDIA_ID/Jewels_5th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
47,DBPEDIA_ID/Jewels_6th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
48,DBPEDIA_ID/Jewels_8th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
49,DBPEDIA_ID/Jewels_9th_Ring,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
50,DBPEDIA_ID/K-1_World_Grand_Prix_2010_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
51,DBPEDIA_ID/K-1_World_Grand_Prix_2010_in_Seoul_Final_16,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
52,DBPEDIA_ID/K-1_World_MAX_2010_-70kg_World_Championship_Tournament_Final,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
53,"DBPEDIA_ID/Pancrase:_Yes,_We_Are_Hybrid_Wrestlers_3","SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
54,DBPEDIA_ID/Strikeforce:_Henderson_vs._Babalu_II,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
55,DBPEDIA_ID/UFC_132,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
56,DBPEDIA_ID/UFC_134,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
57,DBPEDIA_ID/UFC_135,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
58,DBPEDIA_ID/UFC_Live:_Hardy_vs._Lytle,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
59,DBPEDIA_ID/UFC_on_Fox:_Velasquez_vs._dos_Santos,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
60,DBPEDIA_ID/W.A.K.O._European_Championships_1986,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
61,DBPEDIA_ID/W.A.K.O._European_Championships_1990,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
62,DBPEDIA_ID/W.A.K.O._European_Championships_2000_(Jesolo),"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
63,DBPEDIA_ID/W.A.K.O._European_Championships_2002,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
64,DBPEDIA_ID/W.A.K.O._European_Championships_2004_(Budva),"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
65,DBPEDIA_ID/W.A.K.O._European_Championships_2006_(Lisbon),"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
66,DBPEDIA_ID/W.A.K.O._European_Championships_2006_(Skopje),"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
67,DBPEDIA_ID/W.A.K.O._European_Championships_2008_(Varna),"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
68,DBPEDIA_ID/W.A.K.O._World_Championships_1990,"SportsEvent,MixedMartialArtsEvent,Event,SocietalEvent"
