,entity,classes
0,DBPEDIA_ID/Gia_Carangi,"Person,Model,Agent"
1,DBPEDIA_ID/Alonso_Fernández_Alvarez,"Person,Model,Agent"
2,DBPEDIA_ID/Aurélie_Claudel,"Person,Model,Agent"
3,DBPEDIA_ID/Barbara_Meier,"Person,Model,Agent"
4,DBPEDIA_ID/Candice_Swanepoel,"Person,Model,Agent"
5,DBPEDIA_ID/Clara_Alonso,"Person,Model,Agent"
6,DBPEDIA_ID/Eliana_Ramos,"Person,Model,Agent"
7,DBPEDIA_ID/Elyse_Sewell,"Person,Model,Agent"
8,DBPEDIA_ID/Galit_Gutmann,"Person,Model,Agent"
9,DBPEDIA_ID/Gemma_Sanderson,"Person,Model,Agent"
10,DBPEDIA_ID/Gemma_Ward,"Person,Model,Agent"
11,DBPEDIA_ID/Gila_Golan,"Person,Model,Agent"
12,DBPEDIA_ID/Jamie_Gray_Hyder,"Person,Model,Agent"
13,DBPEDIA_ID/Larissa_Riquelme,"Person,Model,Agent"
14,DBPEDIA_ID/Luisel_Ramos,"Person,Model,Agent"
15,DBPEDIA_ID/Luísa_Beirão,"Person,Model,Agent"
16,DBPEDIA_ID/Mayra_Suárez,"Person,Model,Agent"
17,DBPEDIA_ID/Nicole_Linkletter,"Person,Model,Agent"
18,DBPEDIA_ID/Rabia_Butt,"Person,Model,Agent"
19,DBPEDIA_ID/Rachael_Cairns,"Person,Model,Agent"
20,DBPEDIA_ID/Rafael_Verga,"Person,Model,Agent"
21,DBPEDIA_ID/Sarah_Meier_(VJ),"Person,Model,Agent"
22,DBPEDIA_ID/Sheila_Márquez,"Person,Model,Agent"
23,DBPEDIA_ID/Sonia_Yasmin_Ali,"Person,Model,Agent"
24,DBPEDIA_ID/Suki_Waterhouse,"Person,Model,Agent"
25,DBPEDIA_ID/Trish_Goff,"Person,Model,Agent"
26,DBPEDIA_ID/Yamila_Diaz-Rahi,"Person,Model,Agent"
27,DBPEDIA_ID/Yumiko_Shaku,"Person,Model,Agent"
28,DBPEDIA_ID/Francisco_Escobar,"Person,Model,Agent"
29,DBPEDIA_ID/Hannah_Graaf,"Person,Model,Agent"
30,DBPEDIA_ID/Liya_Kebede,"Person,Model,Agent"
31,DBPEDIA_ID/Peta_Todd,"Person,Model,Agent"
32,DBPEDIA_ID/Abbey_Clancy,"Person,Model,Agent"
33,DBPEDIA_ID/Alexandra_Larsson,"Person,Model,Agent"
34,DBPEDIA_ID/Anneliese_Seubert,"Person,Model,Agent"
35,DBPEDIA_ID/Arlenis_Sosa,"Person,Model,Agent"
36,DBPEDIA_ID/Audrey_Kitching,"Person,Model,Agent"
37,DBPEDIA_ID/Chanel_Iman,"Person,Model,Agent"
38,DBPEDIA_ID/Cheryl_Tiegs,"Person,Model,Agent"
39,DBPEDIA_ID/Darren_Storsley,"Person,Model,Agent"
40,DBPEDIA_ID/Elettra_Rossellini_Wiedemann,"Person,Model,Agent"
41,DBPEDIA_ID/Gabriela_Vergara,"Person,Model,Agent"
42,DBPEDIA_ID/Gigi_Hadid,"Person,Model,Agent"
43,DBPEDIA_ID/Jacquelyn_Jablonski,"Person,Model,Agent"
44,DBPEDIA_ID/Kim_Cloutier,"Person,Model,Agent"
45,DBPEDIA_ID/Kimora_Lee_Simmons,"Person,Model,Agent"
46,DBPEDIA_ID/Linse_Kessler,"Person,Model,Agent"
47,DBPEDIA_ID/Lorena_Bernal,"Person,Model,Agent"
48,DBPEDIA_ID/Lorna_Maitland,"Person,Model,Agent"
49,DBPEDIA_ID/Luján_Fernández,"Person,Model,Agent"
50,DBPEDIA_ID/Padma_Lakshmi,"Person,Model,Agent"
51,DBPEDIA_ID/Raina_Hein,"Person,Model,Agent"
52,DBPEDIA_ID/Rena_Takeshita,"Person,Model,Agent"
53,DBPEDIA_ID/Sandhurst_Tacama_Miggins,"Person,Model,Agent"
54,DBPEDIA_ID/Zoa_Morani,"Person,Model,Agent"
55,DBPEDIA_ID/Carmen_Mondragón,"Person,Model,Agent"
56,DBPEDIA_ID/Dilruba_Yasmeen_Ruhee,"Person,Model,Agent"
57,DBPEDIA_ID/Ella_Catliff,"Person,Model,Agent"
58,DBPEDIA_ID/Aline_Weber,"Person,Model,Agent"
59,DBPEDIA_ID/Anja_Konstantinova,"Person,Model,Agent"
60,DBPEDIA_ID/Aurora_Robles,"Person,Model,Agent"
61,DBPEDIA_ID/Jodie_Kidd,"Person,Model,Agent"
62,DBPEDIA_ID/Massimiliano_Neri,"Person,Model,Agent"
63,DBPEDIA_ID/Morgane_Dubled,"Person,Model,Agent"
64,DBPEDIA_ID/Niki_Taylor,"Person,Model,Agent"
65,DBPEDIA_ID/Olga_Serejnikova,"Person,Model,Agent"
66,DBPEDIA_ID/Svetlana_Ivanova,"Person,Model,Agent"
67,DBPEDIA_ID/Emma_Wiklund,"Person,Model,Agent"
68,DBPEDIA_ID/Hannelore_Knuts,"Person,Model,Agent"
69,DBPEDIA_ID/Jade_Parfitt,"Person,Model,Agent"
70,DBPEDIA_ID/Jun_Natsukawa,"Person,Model,Agent"
71,DBPEDIA_ID/Kim_Smith_(model),"Person,Model,Agent"
72,DBPEDIA_ID/Kylie_Bax,"Person,Model,Agent"
73,DBPEDIA_ID/Michele_Merkin,"Person,Model,Agent"
74,DBPEDIA_ID/Monikangana_Dutta,"Person,Model,Agent"
75,DBPEDIA_ID/Nadeeka_Perera,"Person,Model,Agent"
76,DBPEDIA_ID/Courtney_Stodden,"Person,Model,Agent"
77,DBPEDIA_ID/Hayley_Hasselhoff,"Person,Model,Agent"
78,DBPEDIA_ID/Kurt_Voss,"Person,Model,Agent"
79,DBPEDIA_ID/Leandro_Fernández_(actor),"Person,Model,Agent"
80,DBPEDIA_ID/Luz_Pavon,"Person,Model,Agent"
81,DBPEDIA_ID/Noriko_Kijima,"Person,Model,Agent"
82,DBPEDIA_ID/Shalom_Harlow,"Person,Model,Agent"
83,DBPEDIA_ID/Shannon_Stewart_(model),"Person,Model,Agent"
84,DBPEDIA_ID/Ulorin_Vex,"Person,Model,Agent"
85,DBPEDIA_ID/Amanda_Hearst,"Person,Model,Agent"
86,DBPEDIA_ID/Amruta_Patki,"Person,Model,Agent"
87,DBPEDIA_ID/Hana_Soukupová,"Person,Model,Agent"
88,DBPEDIA_ID/Hye-rim_Park,"Person,Model,Agent"
89,DBPEDIA_ID/Muzammil_Ibrahim,"Person,Model,Agent"
90,DBPEDIA_ID/Tiiu_Kuik,"Person,Model,Agent"
91,DBPEDIA_ID/Anette_Stai,"Person,Model,Agent"
92,DBPEDIA_ID/Caroline_Corinth,"Person,Model,Agent"
93,DBPEDIA_ID/Megan_Hauserman,"Person,Model,Agent"
94,DBPEDIA_ID/Patricia_van_der_Vliet,"Person,Model,Agent"
95,DBPEDIA_ID/Sharon_Ganish,"Person,Model,Agent"
96,DBPEDIA_ID/Stefanie_Giesinger,"Person,Model,Agent"
97,DBPEDIA_ID/Travis_Fimmel,"Person,Model,Agent"
98,DBPEDIA_ID/Alley_Baggett,"Person,Model,Agent"
99,DBPEDIA_ID/Aylin_Kösetürk,"Person,Model,Agent"
100,DBPEDIA_ID/Florence_Brudenell-Bruce,"Person,Model,Agent"
101,DBPEDIA_ID/Li_Ai,"Person,Model,Agent"
102,DBPEDIA_ID/Shannon_McRandle,"Person,Model,Agent"
103,DBPEDIA_ID/Dominique_Reighard,"Person,Model,Agent"
104,DBPEDIA_ID/Fabiana_Semprebom,"Person,Model,Agent"
105,DBPEDIA_ID/Giselli_Monteiro,"Person,Model,Agent"
106,DBPEDIA_ID/Heather_Kuzmich,"Person,Model,Agent"
107,DBPEDIA_ID/Jacqui_Ainsley,"Person,Model,Agent"
108,DBPEDIA_ID/Jennie_Runk,"Person,Model,Agent"
109,DBPEDIA_ID/Keriman_Halis_Ece,"Person,Model,Agent"
110,DBPEDIA_ID/Mariyah_Moten,"Person,Model,Agent"
111,DBPEDIA_ID/Melrose_Bickerstaff,"Person,Model,Agent"
112,DBPEDIA_ID/Michela_Maggioni,"Person,Model,Agent"
113,DBPEDIA_ID/Milagros_Schmoll,"Person,Model,Agent"
114,DBPEDIA_ID/Nataliya_Gotsiy,"Person,Model,Agent"
115,DBPEDIA_ID/Nicole_Mitchell_Murphy,"Person,Model,Agent"
116,DBPEDIA_ID/Sally_Ayhan,"Person,Model,Agent"
117,DBPEDIA_ID/Tülin_Şahin,"Person,Model,Agent"
118,DBPEDIA_ID/Veruschka_von_Lehndorff,"Person,Model,Agent"
119,DBPEDIA_ID/Yvette_Nelson,"Person,Model,Agent"
120,DBPEDIA_ID/Ellen_Rocche,"Person,Model,Agent"
121,DBPEDIA_ID/Jade_McSorley,"Person,Model,Agent"
122,DBPEDIA_ID/Kristina_Pimenova,"Person,Model,Agent"
123,DBPEDIA_ID/Larissa_Marolt,"Person,Model,Agent"
124,DBPEDIA_ID/Rosie_Jones_(model),"Person,Model,Agent"
125,DBPEDIA_ID/Nadja_Auermann,"Person,Model,Agent"
126,DBPEDIA_ID/Josie_Maran,"Person,Model,Agent"
127,DBPEDIA_ID/Paulina_Porizkova,"Person,Model,Agent"
128,DBPEDIA_ID/Maxi_Mounds,"Person,Model,Agent"
129,DBPEDIA_ID/Chelsea_Charms,"Person,Model,Agent"
130,DBPEDIA_ID/Ai_Tominaga,"Person,Model,Agent"
131,DBPEDIA_ID/Anja_Rubik,"Person,Model,Agent"
132,DBPEDIA_ID/Breann_McGregor,"Person,Model,Agent"
133,DBPEDIA_ID/Charlotte_Kemp_Muhl,"Person,Model,Agent"
134,DBPEDIA_ID/Jaime_Koeppe,"Person,Model,Agent"
135,DBPEDIA_ID/Carla_Matadinho,"Person,Model,Agent"
136,DBPEDIA_ID/Noémie_Lenoir,"Person,Model,Agent"
137,DBPEDIA_ID/Aída_Yéspica,"Person,Model,Agent"
138,DBPEDIA_ID/Freja_Beha_Erichsen,"Person,Model,Agent"
139,DBPEDIA_ID/Alyssa_Miller,"Person,Model,Agent"
140,DBPEDIA_ID/Georgina_Wilson,"Person,Model,Agent"
141,DBPEDIA_ID/Ivana_Stanković,"Person,Model,Agent"
142,DBPEDIA_ID/Mao_Ichimichi,"Person,Model,Agent"
143,DBPEDIA_ID/Angela_Martini,"Person,Model,Agent"
144,DBPEDIA_ID/Angela_Ruiz,"Person,Model,Agent"
145,DBPEDIA_ID/Anita_De_Bauch,"Person,Model,Agent"
146,DBPEDIA_ID/Asha_Leo,"Person,Model,Agent"
147,DBPEDIA_ID/Brittani_Kline,"Person,Model,Agent"
148,DBPEDIA_ID/Cameron_Alborzian,"Person,Model,Agent"
149,DBPEDIA_ID/Carrie_Lee_Sze_Kei,"Person,Model,Agent"
150,DBPEDIA_ID/Daisi_Pollard,"Person,Model,Agent"
151,DBPEDIA_ID/Dani_Thompson,"Person,Model,Agent"
152,DBPEDIA_ID/Danielle_Hayes,"Person,Model,Agent"
153,DBPEDIA_ID/Francisco_Lachowski,"Person,Model,Agent"
