,entity,classes
0,DBPEDIA_ID/Ariadne_(empress),"Monarch,Agent,Person"
1,DBPEDIA_ID/Bernard_of_Italy,"Monarch,Agent,Person"
2,DBPEDIA_ID/Constantina_(empress),"Monarch,Agent,Person"
3,DBPEDIA_ID/Irene_of_Athens,"Monarch,Agent,Person"
4,DBPEDIA_ID/Magnus_Olafsson,"Monarch,Agent,Person"
5,Marcian,"Monarch,Agent,Person"
6,"DBPEDIA_ID/Maria,_wife_of_Constantine_V","Monarch,Agent,Person"
7,"DBPEDIA_ID/Maria,_wife_of_Leo_III","Monarch,Agent,Person"
8,DBPEDIA_ID/Martina_(empress),"Monarch,Agent,Person"
9,DBPEDIA_ID/Philip_II_of_Macedon,"Monarch,Agent,Person"
10,Postumus,"Monarch,Agent,Person"
11,DBPEDIA_ID/Abbas_II_of_Egypt,"Monarch,Agent,Person"
12,DBPEDIA_ID/Abdur_Rahman_Khan,"Monarch,Agent,Person"
13,Ahab,"Monarch,Agent,Person"
14,Ahuitzotl,"Monarch,Agent,Person"
15,DBPEDIA_ID/Alaric_I,"Monarch,Agent,Person"
16,DBPEDIA_ID/Alexander_I_of_Scotland,"Monarch,Agent,Person"
17,DBPEDIA_ID/Alexander_Jannaeus,"Monarch,Agent,Person"
18,DBPEDIA_ID/Alexios_III_Angelos,"Monarch,Agent,Person"
19,DBPEDIA_ID/Alexios_V_Doukas,"Monarch,Agent,Person"
20,DBPEDIA_ID/Amyntas_I_of_Macedon,"Monarch,Agent,Person"
21,DBPEDIA_ID/Anastasios_II,"Monarch,Agent,Person"
22,DBPEDIA_ID/Anastasius_I_Dicorus,"Monarch,Agent,Person"
23,DBPEDIA_ID/Ancus_Marcius,"Monarch,Agent,Person"
24,DBPEDIA_ID/Andronikos_III_Palaiologos,"Monarch,Agent,Person"
25,DBPEDIA_ID/Andronikos_II_Palaiologos,"Monarch,Agent,Person"
26,DBPEDIA_ID/Andronikos_I_Komnenos,"Monarch,Agent,Person"
27,Arcadius,"Monarch,Agent,Person"
28,Axayacatl,"Monarch,Agent,Person"
