,entity,classes
0,DBPEDIA_ID/Civil_Rights_Memorial,"Place,Location,Monument"
1,DBPEDIA_ID/Maisonneuve_Monument,"Place,Location,Monument"
2,DBPEDIA_ID/The_Boilermaker,"Place,Location,Monument"
3,DBPEDIA_ID/Dupont_Circle_Fountain,"Place,Location,Monument"
4,"DBPEDIA_ID/Queen_Victoria_Memorial,_Lancaster","Place,Location,Monument"
5,DBPEDIA_ID/Victoria_Memorial_(Montreal),"Place,Location,Monument"
6,DBPEDIA_ID/Carefree_sundial,"Place,Location,Monument"
7,DBPEDIA_ID/Wesselényi_Monument,"Place,Location,Monument"
8,DBPEDIA_ID/Baku_Turkish_Martyrs'_Memorial,"Place,Location,Monument"
9,DBPEDIA_ID/Bromley_War_Memorial,"Place,Location,Monument"
10,DBPEDIA_ID/Damjili_Cave,"Place,Location,Monument"
11,DBPEDIA_ID/Hyde_Park_Holocaust_memorial,"Place,Location,Monument"
12,DBPEDIA_ID/Juma_Mosque_in_Sheki,"Place,Location,Monument"
13,DBPEDIA_ID/Lord_Murugan_Statue,"Place,Location,Monument"
14,DBPEDIA_ID/Monumental_Clock_of_Pachuca,"Place,Location,Monument"
15,DBPEDIA_ID/Sun_Yat-sen_Memorial_Hall_(Guangzhou),"Place,Location,Monument"
16,"DBPEDIA_ID/Nelson's_Column,_Montreal","Place,Location,Monument"
17,"DBPEDIA_ID/Statue_of_Bobby_Moore,_Wembley","Place,Location,Monument"
18,DBPEDIA_ID/Dewey_Arch,"Place,Location,Monument"
19,DBPEDIA_ID/Monumento_al_Jíbaro_Puertorriqueño,"Place,Location,Monument"
20,DBPEDIA_ID/Thiruvalluvar_Statue,"Place,Location,Monument"
21,DBPEDIA_ID/Château_de_l'Horizon,"Place,Location,Monument"
22,DBPEDIA_ID/General_Philip_Sheridan,"Place,Location,Monument"
23,DBPEDIA_ID/John_Young_Monument,"Place,Location,Monument"
24,"DBPEDIA_ID/Monument_du_22_Novembre_1970,_Conakry","Place,Location,Monument"
25,DBPEDIA_ID/Sandakan_Massacre_Memorial,"Place,Location,Monument"
26,DBPEDIA_ID/Stephenson_Grand_Army_of_the_Republic_Memorial,"Place,Location,Monument"
27,DBPEDIA_ID/Thanksgiving_Candle,"Place,Location,Monument"
28,DBPEDIA_ID/Loyalty_(monument),"Place,Location,Monument"
29,DBPEDIA_ID/Transfiguration_Cathedral_in_Odessa,"Place,Location,Monument"
30,DBPEDIA_ID/Garden_of_the_Missing_in_Action,"Place,Location,Monument"
31,DBPEDIA_ID/11th_Mississippi_Infantry_Monument,"Place,Location,Monument"
32,DBPEDIA_ID/De_Viron_Castle,"Place,Location,Monument"
33,DBPEDIA_ID/Statue_of_Unity,"Place,Location,Monument"
34,DBPEDIA_ID/Westinghouse_Memorial,"Place,Location,Monument"
35,DBPEDIA_ID/Alabama_State_Monument,"Place,Location,Monument"
36,DBPEDIA_ID/Gwalior_Monument,"Place,Location,Monument"
37,DBPEDIA_ID/Thanjavur_Maratha_Palace,"Place,Location,Monument"
