,entity,classes
0,DBPEDIA_ID/Honda_Dio,"MeanOfTransportation,Motorcycle"
1,DBPEDIA_ID/Honda_NSS250,"MeanOfTransportation,Motorcycle"
2,DBPEDIA_ID/BSA_Sloper,"MeanOfTransportation,Motorcycle"
3,DBPEDIA_ID/Bajaj_Chetak,"MeanOfTransportation,Motorcycle"
4,DBPEDIA_ID/Bajaj_Wave,"MeanOfTransportation,Motorcycle"
5,DBPEDIA_ID/Harley-Davidson_LiveWire,"MeanOfTransportation,Motorcycle"
6,DBPEDIA_ID/Honda_Wave_series,"MeanOfTransportation,Motorcycle"
7,DBPEDIA_ID/Simplex_Manufacturing_Corporation,"MeanOfTransportation,Motorcycle"
8,DBPEDIA_ID/Suzuki_Hayabusa,"MeanOfTransportation,Motorcycle"
9,DBPEDIA_ID/Vincent_Black_Knight,"MeanOfTransportation,Motorcycle"
10,DBPEDIA_ID/Yamaha_SRX,"MeanOfTransportation,Motorcycle"
11,DBPEDIA_ID/Yamaha_YBR125,"MeanOfTransportation,Motorcycle"
12,DBPEDIA_ID/Daimler_Reitwagen,"MeanOfTransportation,Motorcycle"
13,DBPEDIA_ID/BMW_HP2_Enduro,"MeanOfTransportation,Motorcycle"
14,DBPEDIA_ID/BMW_HP2_Sport,"MeanOfTransportation,Motorcycle"
15,DBPEDIA_ID/Harley-Davidson_Hummer,"MeanOfTransportation,Motorcycle"
16,DBPEDIA_ID/Honda_NX650_Dominator,"MeanOfTransportation,Motorcycle"
17,DBPEDIA_ID/Michaux-Perreaux_steam_velocipede,"MeanOfTransportation,Motorcycle"
18,DBPEDIA_ID/Münch_(motorcycles),"MeanOfTransportation,Motorcycle"
19,DBPEDIA_ID/Norton_Navigator,"MeanOfTransportation,Motorcycle"
20,DBPEDIA_ID/Vincent_Rapide,"MeanOfTransportation,Motorcycle"
21,DBPEDIA_ID/Yamaha_Mio,"MeanOfTransportation,Motorcycle"
22,DBPEDIA_ID/Yamaha_Virago,"MeanOfTransportation,Motorcycle"
23,DBPEDIA_ID/Ascot-Pullin_500,"MeanOfTransportation,Motorcycle"
24,DBPEDIA_ID/BSA_Gold_Star,"MeanOfTransportation,Motorcycle"
25,DBPEDIA_ID/Brammo_Enertia,"MeanOfTransportation,Motorcycle"
