,entity,classes
0,DBPEDIA_ID/Jock_Taylor,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
1,DBPEDIA_ID/Mick_Doohan,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
2,DBPEDIA_ID/Bob_Cooper_(speedway_rider),"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
3,DBPEDIA_ID/Bob_Anderson_(racing_driver),"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
4,DBPEDIA_ID/Casey_Stoner,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
5,DBPEDIA_ID/Chaz_Davies,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
6,DBPEDIA_ID/David_Howe_(speedway_rider),"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
7,DBPEDIA_ID/Fredrik_Lindgren_(speedway_rider),"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
8,DBPEDIA_ID/Jason_Bunyan,"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
9,DBPEDIA_ID/Jens_Rasmussen_(speedway_rider),"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
10,DBPEDIA_ID/Jimmy_Nilsen,"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
11,DBPEDIA_ID/Loris_Reggiani,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
12,DBPEDIA_ID/Maksims_Bogdanovs,"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
13,DBPEDIA_ID/Marc_Márquez,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
14,DBPEDIA_ID/Michele_Pirro,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
15,DBPEDIA_ID/Mirko_Wolter,"MotorsportRacer,Athlete,Agent,Person,SpeedwayRider,MotorcycleRider"
16,DBPEDIA_ID/Pierluigi_Aldrovandi,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
17,DBPEDIA_ID/Rolf_Steinhausen,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
18,DBPEDIA_ID/Ryan_Farquhar,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
19,DBPEDIA_ID/Vittorio_Iannuzzo,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
20,DBPEDIA_ID/Wil_Hartog,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
21,DBPEDIA_ID/Álvaro_Bautista,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
22,DBPEDIA_ID/John_McGuinness_(motorcycle_racer),"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
23,DBPEDIA_ID/Ralf_Waldmann,"MotorsportRacer,Athlete,MotorcycleRider,Agent,Person"
