,entity,classes
0,DBPEDIA_ID/1960_USAC_Road_Racing_Championship_season,"MotorsportSeason,SportsSeason"
1,DBPEDIA_ID/1983_British_Speedway_Championship,"MotorsportSeason,SportsSeason"
2,DBPEDIA_ID/1983_European_Formula_Two_season,"MotorsportSeason,SportsSeason"
3,DBPEDIA_ID/1986_SCCA/Escort_Endurance_Championship_season,"MotorsportSeason,SportsSeason"
4,DBPEDIA_ID/1988_Individual_Speedway_World_Championship,"MotorsportSeason,SportsSeason"
5,DBPEDIA_ID/1992_International_Formula_3000_season,"MotorsportSeason,SportsSeason"
6,DBPEDIA_ID/1996_British_Speedway_Championship,"MotorsportSeason,SportsSeason"
7,DBPEDIA_ID/1999_Italian_Superturismo_Championship,"MotorsportSeason,SportsSeason"
8,DBPEDIA_ID/2000_Overseas_Final,"MotorsportSeason,SportsSeason"
9,DBPEDIA_ID/2001_Formula_Nippon_season,"MotorsportSeason,SportsSeason"
10,DBPEDIA_ID/2003_Spanish_Formula_Three_season,"MotorsportSeason,SportsSeason"
11,DBPEDIA_ID/2004_Asia-Pacific_Rally_Championship_season,"MotorsportSeason,SportsSeason"
12,DBPEDIA_ID/2004_Konica_Minolta_V8_Supercar_Series,"MotorsportSeason,SportsSeason"
13,DBPEDIA_ID/2006_International_Rally_Challenge,"MotorsportSeason,SportsSeason"
14,DBPEDIA_ID/2009_Formula_Renault_2.0_Northern_European_Cup,"MotorsportSeason,SportsSeason"
15,DBPEDIA_ID/2010_Superleague_Formula_season,"MotorsportSeason,SportsSeason"
16,DBPEDIA_ID/2012_British_Formula_3_International_Series,"MotorsportSeason,SportsSeason"
17,DBPEDIA_ID/2013_FIA_World_Endurance_Championship,"MotorsportSeason,SportsSeason"
18,DBPEDIA_ID/2015_F4_Japanese_Championship_season,"MotorsportSeason,SportsSeason"
19,DBPEDIA_ID/2015_SMP_F4_Championship,"MotorsportSeason,SportsSeason"
20,DBPEDIA_ID/IROC_IV,"MotorsportSeason,SportsSeason"
21,DBPEDIA_ID/1958_Individual_Speedway_World_Championship,"MotorsportSeason,SportsSeason"
22,DBPEDIA_ID/1986_Australian_Drivers'_Championship,"MotorsportSeason,SportsSeason"
23,DBPEDIA_ID/2008–09_A1_Grand_Prix_season,"MotorsportSeason,SportsSeason"
24,DBPEDIA_ID/1994_NASCAR_Winston_Cup_Series,"MotorsportSeason,SportsSeason"
25,DBPEDIA_ID/1996_NASCAR_Winston_Cup_Series,"MotorsportSeason,SportsSeason"
26,DBPEDIA_ID/1997_NASCAR_Winston_Cup_Series,"MotorsportSeason,SportsSeason"
27,DBPEDIA_ID/1998_NASCAR_Busch_Series,"MotorsportSeason,SportsSeason"
28,DBPEDIA_ID/1970_Speedway_World_Team_Cup,"MotorsportSeason,SportsSeason"
29,DBPEDIA_ID/1990_Trans-Am_season,"MotorsportSeason,SportsSeason"
30,DBPEDIA_ID/1997_German_Formula_Three_Championship,"MotorsportSeason,SportsSeason"
31,DBPEDIA_ID/2001_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
32,DBPEDIA_ID/2004_Formula_Renault_2000_Eurocup,"MotorsportSeason,SportsSeason"
33,DBPEDIA_ID/2004_Speed_World_Challenge_season,"MotorsportSeason,SportsSeason"
34,DBPEDIA_ID/2007_Individual_Speedway_European_Championship,"MotorsportSeason,SportsSeason"
35,DBPEDIA_ID/2008_Formula_V6_Asia_season,"MotorsportSeason,SportsSeason"
36,DBPEDIA_ID/2008_Grand_Prix_motorcycle_racing_season,"MotorsportSeason,SportsSeason"
37,DBPEDIA_ID/2008_Intercontinental_Rally_Challenge,"MotorsportSeason,SportsSeason"
38,DBPEDIA_ID/2008_NASCAR_Canadian_Tire_Series,"MotorsportSeason,SportsSeason"
39,DBPEDIA_ID/2009_Trans-Am_season,"MotorsportSeason,SportsSeason"
40,DBPEDIA_ID/2010_SCCA_Pro_Formula_Enterprises_season,"MotorsportSeason,SportsSeason"
41,DBPEDIA_ID/2010_Stock_Car_Brasil_season,"MotorsportSeason,SportsSeason"
42,DBPEDIA_ID/2011_FIA_Alternative_Energies_Cup,"MotorsportSeason,SportsSeason"
43,DBPEDIA_ID/2012_Asia-Pacific_Rally_Championship_season,"MotorsportSeason,SportsSeason"
44,DBPEDIA_ID/2013_Deutsche_Tourenwagen_Masters_season,"MotorsportSeason,SportsSeason"
45,DBPEDIA_ID/2014_European_Rally_Championship,"MotorsportSeason,SportsSeason"
46,DBPEDIA_ID/2014_Italian_Formula_4_Championship,"MotorsportSeason,SportsSeason"
47,DBPEDIA_ID/1966_Gallaher_500,"MotorsportSeason,SportsSeason"
48,DBPEDIA_ID/1986_Speedway_World_Pairs_Championship,"MotorsportSeason,SportsSeason"
49,DBPEDIA_ID/2011_Formula_BMW_Talent_Cup_season,"MotorsportSeason,SportsSeason"
50,DBPEDIA_ID/1985_NASCAR_Winston_Cup_Series,"MotorsportSeason,SportsSeason"
51,DBPEDIA_ID/1958_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
52,DBPEDIA_ID/1960_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
53,DBPEDIA_ID/1961_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
54,DBPEDIA_ID/1962_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
55,DBPEDIA_ID/1963_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
56,DBPEDIA_ID/1969_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
57,DBPEDIA_ID/1970_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
58,DBPEDIA_ID/1971_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
59,DBPEDIA_ID/1973_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
60,DBPEDIA_ID/1974_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
61,DBPEDIA_ID/1976_World_Sportscar_Championship_season,"MotorsportSeason,SportsSeason"
62,DBPEDIA_ID/1980_World_Rally_Championship,"MotorsportSeason,SportsSeason"
63,DBPEDIA_ID/1999_International_Formula_3000_season,"MotorsportSeason,SportsSeason"
64,DBPEDIA_ID/2005_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
65,DBPEDIA_ID/1990_International_Formula_3000_season,"MotorsportSeason,SportsSeason"
66,DBPEDIA_ID/1999_Italian_Formula_3000_season,"MotorsportSeason,SportsSeason"
67,DBPEDIA_ID/2000_Italian_Formula_3000_season,"MotorsportSeason,SportsSeason"
68,DBPEDIA_ID/2001_Euro_Formula_3000_season,"MotorsportSeason,SportsSeason"
69,DBPEDIA_ID/2002_Euro_Formula_3000_season,"MotorsportSeason,SportsSeason"
70,DBPEDIA_ID/2004_Euro_Formula_3000_season,"MotorsportSeason,SportsSeason"
71,DBPEDIA_ID/2004_V8_Supercar_season,"MotorsportSeason,SportsSeason"
72,DBPEDIA_ID/2005_ADAC_Procar_Series_season,"MotorsportSeason,SportsSeason"
73,DBPEDIA_ID/2006_Japan_Le_Mans_Challenge,"MotorsportSeason,SportsSeason"
74,DBPEDIA_ID/2006_Rolex_Sports_Car_Series,"MotorsportSeason,SportsSeason"
75,DBPEDIA_ID/2006_World_Touring_Car_Championship,"MotorsportSeason,SportsSeason"
76,DBPEDIA_ID/2007_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
77,DBPEDIA_ID/2007_GP2_Series,"MotorsportSeason,SportsSeason"
78,DBPEDIA_ID/2007_Japan_Le_Mans_Challenge,"MotorsportSeason,SportsSeason"
79,DBPEDIA_ID/2007_Red_Bull_Air_Race_World_Series,"MotorsportSeason,SportsSeason"
80,DBPEDIA_ID/2007_Rolex_Sports_Car_Series,"MotorsportSeason,SportsSeason"
81,DBPEDIA_ID/2007_Swedish_Touring_Car_Championship_season,"MotorsportSeason,SportsSeason"
82,DBPEDIA_ID/2007_V8_Supercar_season,"MotorsportSeason,SportsSeason"
83,DBPEDIA_ID/2007–08_A1_Grand_Prix_season,"MotorsportSeason,SportsSeason"
84,DBPEDIA_ID/1964_British_Formula_Three_season,"MotorsportSeason,SportsSeason"
85,DBPEDIA_ID/1997_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
86,DBPEDIA_ID/1998_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
87,DBPEDIA_ID/1999_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
88,DBPEDIA_ID/2000_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
89,DBPEDIA_ID/2003_Deutsche_Tourenwagen_Masters_season,"MotorsportSeason,SportsSeason"
90,DBPEDIA_ID/2003_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
91,DBPEDIA_ID/2006_British_Formula_Three_season,"MotorsportSeason,SportsSeason"
92,DBPEDIA_ID/2006_Deutsche_Tourenwagen_Masters_season,"MotorsportSeason,SportsSeason"
93,DBPEDIA_ID/2006_FIA_GT_Championship,"MotorsportSeason,SportsSeason"
94,DBPEDIA_ID/2007_British_Formula_Three_season,"MotorsportSeason,SportsSeason"
95,DBPEDIA_ID/2007_Super_GT_season,"MotorsportSeason,SportsSeason"
96,DBPEDIA_ID/1984_NASCAR_Winston_Cup_Series,"MotorsportSeason,SportsSeason"
97,DBPEDIA_ID/1987_World_Touring_Car_Championship,"MotorsportSeason,SportsSeason"
98,DBPEDIA_ID/2007_World_Touring_Car_Championship,"MotorsportSeason,SportsSeason"
99,DBPEDIA_ID/IROC_III,"MotorsportSeason,SportsSeason"
100,DBPEDIA_ID/IROC_IX,"MotorsportSeason,SportsSeason"
101,DBPEDIA_ID/IROC_V,"MotorsportSeason,SportsSeason"
102,DBPEDIA_ID/IROC_VI,"MotorsportSeason,SportsSeason"
103,DBPEDIA_ID/IROC_VIII,"MotorsportSeason,SportsSeason"
104,DBPEDIA_ID/IROC_X,"MotorsportSeason,SportsSeason"
105,DBPEDIA_ID/IROC_XI,"MotorsportSeason,SportsSeason"
106,DBPEDIA_ID/2011_ADAC_Formel_Masters_season,"MotorsportSeason,SportsSeason"
107,DBPEDIA_ID/2011_Australian_Formula_Ford_Championship,"MotorsportSeason,SportsSeason"
108,DBPEDIA_ID/2011_FIM_Motocross_World_Championship,"MotorsportSeason,SportsSeason"
109,DBPEDIA_ID/2011_Formula_Lista_Junior_season,"MotorsportSeason,SportsSeason"
110,DBPEDIA_ID/2011_French_F4_Championship_season,"MotorsportSeason,SportsSeason"
111,DBPEDIA_ID/2011_Ginetta_Junior_Championship_season,"MotorsportSeason,SportsSeason"
112,DBPEDIA_ID/2011_Scandinavian_Touring_Car_Championship_season,"MotorsportSeason,SportsSeason"
113,DBPEDIA_ID/2011_TC_2000_season,"MotorsportSeason,SportsSeason"
114,DBPEDIA_ID/2011_V8_Utes_season,"MotorsportSeason,SportsSeason"
115,DBPEDIA_ID/1970_FIM_Motocross_World_Championship,"MotorsportSeason,SportsSeason"
116,DBPEDIA_ID/1971_FIM_Motocross_World_Championship,"MotorsportSeason,SportsSeason"
