,entity,classes
0,DBPEDIA_ID/Khunjerab_Pass,"Place,NaturalPlace,Location,MountainPass"
1,DBPEDIA_ID/Maddalena_Pass,"Place,NaturalPlace,Location,MountainPass"
2,DBPEDIA_ID/Schofield_Pass_(Colorado),"Place,NaturalPlace,Location,MountainPass"
3,DBPEDIA_ID/Albula_Pass,"Place,NaturalPlace,Location,MountainPass"
4,DBPEDIA_ID/Belen_Pass,"Place,NaturalPlace,Location,MountainPass"
5,DBPEDIA_ID/Bernina_Pass,"Place,NaturalPlace,Location,MountainPass"
6,DBPEDIA_ID/Col_de_la_Croix-Morand,"Place,NaturalPlace,Location,MountainPass"
7,DBPEDIA_ID/Col_de_la_Croix_(Corsica),"Place,NaturalPlace,Location,MountainPass"
8,DBPEDIA_ID/Col_de_la_Croix_Fry,"Place,NaturalPlace,Location,MountainPass"
9,DBPEDIA_ID/Col_de_la_Croix_Haute,"Place,NaturalPlace,Location,MountainPass"
10,DBPEDIA_ID/Criterion_Summit,"Place,NaturalPlace,Location,MountainPass"
11,DBPEDIA_ID/Gotthard_Pass,"Place,NaturalPlace,Location,MountainPass"
12,DBPEDIA_ID/Independence_Pass_(Colorado),"Place,NaturalPlace,Location,MountainPass"
13,DBPEDIA_ID/Kleine_Scheidegg,"Place,NaturalPlace,Location,MountainPass"
14,DBPEDIA_ID/Lolo_Pass_(Oregon),"Place,NaturalPlace,Location,MountainPass"
15,DBPEDIA_ID/Nu‘uanu_Pali,"Place,NaturalPlace,Location,MountainPass"
16,DBPEDIA_ID/Red_Rock_Pass,"Place,NaturalPlace,Location,MountainPass"
17,DBPEDIA_ID/Simplon_Pass,"Place,NaturalPlace,Location,MountainPass"
18,DBPEDIA_ID/Soco_Gap,"Place,NaturalPlace,Location,MountainPass"
19,DBPEDIA_ID/Tennessee_Pass_(Colorado),"Place,NaturalPlace,Location,MountainPass"
20,DBPEDIA_ID/Tennessee_Pass_(Oregon),"Place,NaturalPlace,Location,MountainPass"
21,DBPEDIA_ID/Wolf_Creek_Pass,"Place,NaturalPlace,Location,MountainPass"
22,DBPEDIA_ID/Hals_Pass,"Place,NaturalPlace,Location,MountainPass"
23,DBPEDIA_ID/Mentasta_Pass,"Place,NaturalPlace,Location,MountainPass"
24,DBPEDIA_ID/Muir_Pass,"Place,NaturalPlace,Location,MountainPass"
25,DBPEDIA_ID/Abo_Canyon,"Place,NaturalPlace,Location,MountainPass"
26,DBPEDIA_ID/Buzău_Pass,"Place,NaturalPlace,Location,MountainPass"
27,DBPEDIA_ID/Col_du_Galibier,"Place,NaturalPlace,Location,MountainPass"
28,DBPEDIA_ID/Devil's_Gate_Pass,"Place,NaturalPlace,Location,MountainPass"
29,DBPEDIA_ID/Haast_Pass,"Place,NaturalPlace,Location,MountainPass"
30,DBPEDIA_ID/Hispar_Pass,"Place,NaturalPlace,Location,MountainPass"
31,"DBPEDIA_ID/Soldier_Summit,_Utah","Place,NaturalPlace,Location,MountainPass"
32,DBPEDIA_ID/Ammer_Saddle,"Place,NaturalPlace,Location,MountainPass"
33,DBPEDIA_ID/Beklemeto_Pass,"Place,NaturalPlace,Location,MountainPass"
34,DBPEDIA_ID/Douglas_Pass,"Place,NaturalPlace,Location,MountainPass"
35,DBPEDIA_ID/Kernhofer_Gscheid_Pass,"Place,NaturalPlace,Location,MountainPass"
36,DBPEDIA_ID/Dunraven_Pass,"Place,NaturalPlace,Location,MountainPass"
37,DBPEDIA_ID/Static_Peak_Divide,"Place,NaturalPlace,Location,MountainPass"
38,DBPEDIA_ID/Brünig_Pass,"Place,NaturalPlace,Location,MountainPass"
39,DBPEDIA_ID/San_Marco_Pass,"Place,NaturalPlace,Location,MountainPass"
40,DBPEDIA_ID/Pordoi_Pass,"Place,NaturalPlace,Location,MountainPass"
41,DBPEDIA_ID/Seeberg_Saddle,"Place,NaturalPlace,Location,MountainPass"
42,DBPEDIA_ID/Tihuța_Pass,"Place,NaturalPlace,Location,MountainPass"
43,DBPEDIA_ID/Arapaho_Pass_(Rabbit_Ears_Range),"Place,NaturalPlace,Location,MountainPass"
44,DBPEDIA_ID/Benkerjoch_Pass,"Place,NaturalPlace,Location,MountainPass"
45,DBPEDIA_ID/Buchanan_Pass,"Place,NaturalPlace,Location,MountainPass"
46,DBPEDIA_ID/Buechenegg_Pass,"Place,NaturalPlace,Location,MountainPass"
47,DBPEDIA_ID/Bözberg_Pass,"Place,NaturalPlace,Location,MountainPass"
48,DBPEDIA_ID/Bööler_Pass,"Place,NaturalPlace,Location,MountainPass"
49,DBPEDIA_ID/Cardenal_Antonio_Samoré_Pass,"Place,NaturalPlace,Location,MountainPass"
50,DBPEDIA_ID/Challhöchi_Pass,"Place,NaturalPlace,Location,MountainPass"
51,Chilchzimmersattel,"Place,NaturalPlace,Location,MountainPass"
52,DBPEDIA_ID/Col_Saint_Martin,"Place,NaturalPlace,Location,MountainPass"
53,DBPEDIA_ID/Col_d'Andrion,"Place,NaturalPlace,Location,MountainPass"
54,DBPEDIA_ID/Col_de_Braus,"Place,NaturalPlace,Location,MountainPass"
55,DBPEDIA_ID/Col_de_Pierre_Pertuis,"Place,NaturalPlace,Location,MountainPass"
56,DBPEDIA_ID/Col_de_la_Joux_Verte,"Place,NaturalPlace,Location,MountainPass"
57,DBPEDIA_ID/Col_de_la_Ramaz,"Place,NaturalPlace,Location,MountainPass"
58,DBPEDIA_ID/Col_des_Planches,"Place,NaturalPlace,Location,MountainPass"
59,DBPEDIA_ID/Col_des_Rangiers,"Place,NaturalPlace,Location,MountainPass"
60,DBPEDIA_ID/Col_des_Roches,"Place,NaturalPlace,Location,MountainPass"
61,DBPEDIA_ID/Col_du_Lein,"Place,NaturalPlace,Location,MountainPass"
62,DBPEDIA_ID/Col_du_Pré,"Place,NaturalPlace,Location,MountainPass"
63,DBPEDIA_ID/Dead_Indian_Pass,"Place,NaturalPlace,Location,MountainPass"
64,DBPEDIA_ID/Ghöch_Pass,"Place,NaturalPlace,Location,MountainPass"
65,DBPEDIA_ID/Gibbons_Pass,"Place,NaturalPlace,Location,MountainPass"
66,DBPEDIA_ID/Goshen_Pass,"Place,NaturalPlace,Location,MountainPass"
67,DBPEDIA_ID/Heitersberg_Pass,"Place,NaturalPlace,Location,MountainPass"
68,Hindutash,"Place,NaturalPlace,Location,MountainPass"
69,DBPEDIA_ID/Hirzel_Pass,"Place,NaturalPlace,Location,MountainPass"
70,DBPEDIA_ID/Hua_Hum_Pass,"Place,NaturalPlace,Location,MountainPass"
71,DBPEDIA_ID/Hulftegg_Pass,"Place,NaturalPlace,Location,MountainPass"
