,entity,classes
0,DBPEDIA_ID/Aminomethyltransferase__2,"MouseGene,Gene,Biomolecule"
1,DBPEDIA_ID/IFFO1__2,"MouseGene,Gene,Biomolecule"
2,DBPEDIA_ID/Eosinophil_peroxidase__2,"MouseGene,Gene,Biomolecule"
3,DBPEDIA_ID/Pyruvate_carboxylase__Pyruvate_carboxylase__2__2,"MouseGene,Gene,Biomolecule"
4,DBPEDIA_ID/Carnitine_palmitoyltransferase_I__2,"MouseGene,Gene,Biomolecule"
5,DBPEDIA_ID/MT-ND5__2,"MouseGene,Gene,Biomolecule"
6,DBPEDIA_ID/Fumarase__2,"MouseGene,Gene,Biomolecule"
7,DBPEDIA_ID/ZNF184__2,"MouseGene,Gene,Biomolecule"
8,"DBPEDIA_ID/Alpha-1,3-mannosyl-glycoprotein_4-beta-N-acetylglucosaminyltransferase_A__2","MouseGene,Gene,Biomolecule"
9,DBPEDIA_ID/C3orf70__2,"MouseGene,Gene,Biomolecule"
10,DBPEDIA_ID/C9orf152__2,"MouseGene,Gene,Biomolecule"
11,DBPEDIA_ID/NDUFA11__2,"MouseGene,Gene,Biomolecule"
12,DBPEDIA_ID/NDUFA7__2,"MouseGene,Gene,Biomolecule"
13,DBPEDIA_ID/NDUFB4__2,"MouseGene,Gene,Biomolecule"
14,DBPEDIA_ID/OMA1__2,"MouseGene,Gene,Biomolecule"
15,DBPEDIA_ID/PBB/342346__2,"MouseGene,Gene,Biomolecule"
16,DBPEDIA_ID/PDPR__2,"MouseGene,Gene,Biomolecule"
17,DBPEDIA_ID/PLIN4__2,"MouseGene,Gene,Biomolecule"
18,DBPEDIA_ID/PRP36__2,"MouseGene,Gene,Biomolecule"
19,DBPEDIA_ID/PRIM1__2,"MouseGene,Gene,Biomolecule"
20,DBPEDIA_ID/Carboxypeptidase_A6__Carboxypeptidase_A6__1__2,"MouseGene,Gene,Biomolecule"
21,DBPEDIA_ID/Transmembrane_Protein_205__1,"MouseGene,Gene,Biomolecule"
22,DBPEDIA_ID/C1orf123__2,"MouseGene,Gene,Biomolecule"
23,DBPEDIA_ID/CCDC130__2,"MouseGene,Gene,Biomolecule"
24,DBPEDIA_ID/Ccdc109b__2,"MouseGene,Gene,Biomolecule"
25,DBPEDIA_ID/Coiled-Coil_Domain_Containing_protein_82__2,"MouseGene,Gene,Biomolecule"
26,DBPEDIA_ID/FAM203B__2,"MouseGene,Gene,Biomolecule"
27,DBPEDIA_ID/Fam188a__2,"MouseGene,Gene,Biomolecule"
28,DBPEDIA_ID/SH3D21__2,"MouseGene,Gene,Biomolecule"
29,DBPEDIA_ID/CCDC138__2,"MouseGene,Gene,Biomolecule"
30,DBPEDIA_ID/Multiple_Epidermal_Growth_Factor-like_Domains_8__2,"MouseGene,Gene,Biomolecule"
31,DBPEDIA_ID/C7orf25_protein_UPF0415__2,"MouseGene,Gene,Biomolecule"
32,DBPEDIA_ID/Chromosome_6_open_reading_frame_165__2,"MouseGene,Gene,Biomolecule"
33,DBPEDIA_ID/DEPDC1B__2,"MouseGene,Gene,Biomolecule"
34,DBPEDIA_ID/EVI5L__2,"MouseGene,Gene,Biomolecule"
35,DBPEDIA_ID/FAM167A__2,"MouseGene,Gene,Biomolecule"
36,DBPEDIA_ID/Fam78b__2,"MouseGene,Gene,Biomolecule"
37,DBPEDIA_ID/KIAA1841__2,"MouseGene,Gene,Biomolecule"
38,DBPEDIA_ID/TM6SF2__2,"MouseGene,Gene,Biomolecule"
39,DBPEDIA_ID/TMEM106C__2,"MouseGene,Gene,Biomolecule"
40,DBPEDIA_ID/Transmembrane_protein_134__2,"MouseGene,Gene,Biomolecule"
41,DBPEDIA_ID/WWC2__2,"MouseGene,Gene,Biomolecule"
42,DBPEDIA_ID/ZC3H12B__2,"MouseGene,Gene,Biomolecule"
