,entity,classes
0,DBPEDIA_ID/John_Allen_Muhammad,"Person,Criminal,Murderer,Agent"
1,DBPEDIA_ID/Ted_Bundy,"Person,Criminal,Murderer,Agent"
2,DBPEDIA_ID/Campo_Elías_Delgado,"Person,Criminal,Murderer,Agent"
3,DBPEDIA_ID/Chai_Vang,"Person,Criminal,Murderer,Agent"
4,DBPEDIA_ID/Charles_Andrew_Williams,"Person,Criminal,Murderer,Agent"
5,DBPEDIA_ID/Darren_Wilson_(musician),"Person,Criminal,Murderer,Agent"
6,DBPEDIA_ID/Marie_Noe,"Person,Criminal,Murderer,Agent"
7,DBPEDIA_ID/Robert_Bales,"Person,Criminal,Murderer,Agent"
8,DBPEDIA_ID/James_Edward_Pough,"Person,Criminal,Murderer,Agent"
9,DBPEDIA_ID/John_Filip_Nordlund,"Person,Criminal,Murderer,Agent"
10,DBPEDIA_ID/Barend_Strydom,"Person,Criminal,Murderer,Agent"
11,DBPEDIA_ID/Stephan_Letter,"Person,Criminal,Murderer,Agent"
12,DBPEDIA_ID/Terry_Ratzmann,"Person,Criminal,Murderer,Agent"
13,DBPEDIA_ID/Tjostolv_Moland,"Person,Criminal,Murderer,Agent"
14,DBPEDIA_ID/Zu_Shenatir,"Person,Criminal,Murderer,Agent"
15,DBPEDIA_ID/Michael_Silka,"Person,Criminal,Murderer,Agent"
16,DBPEDIA_ID/Romulus_Vereș,"Person,Criminal,Murderer,Agent"
17,DBPEDIA_ID/Elroy_Chester,"Person,Criminal,Murderer,Agent"
18,DBPEDIA_ID/Mark_Essex,"Person,Criminal,Murderer,Agent"
19,DBPEDIA_ID/James_Dunham,"Person,Criminal,Murderer,Agent"
20,DBPEDIA_ID/Mickey_Featherstone,"Person,Criminal,Murderer,Agent"
21,DBPEDIA_ID/Dean_Carter,"Person,Criminal,Murderer,Agent"
22,DBPEDIA_ID/Clackamas_Town_Center_shooting,"Person,Criminal,Murderer,Agent"
23,DBPEDIA_ID/Rudolf_Pleil,"Person,Criminal,Murderer,Agent"
24,DBPEDIA_ID/Tommy_Zethraeus,"Person,Criminal,Murderer,Agent"
25,DBPEDIA_ID/Howard_Unruh,"Person,Criminal,Murderer,Agent"
26,DBPEDIA_ID/Mamoru_Takuma,"Person,Criminal,Murderer,Agent"
27,DBPEDIA_ID/Stanley_Graham,"Person,Criminal,Murderer,Agent"
28,DBPEDIA_ID/Strickland_v._Sony,"Person,Criminal,Murderer,Agent"
29,DBPEDIA_ID/Pavlo_Lapshyn,"Person,Criminal,Murderer,Agent"
30,DBPEDIA_ID/Manuel_Octavio_Bermúdez,"Person,Criminal,Murderer,Agent"
31,DBPEDIA_ID/Denis_Lortie,"Person,Criminal,Murderer,Agent"
32,DBPEDIA_ID/Coy_Wayne_Wesbrook,"Person,Criminal,Murderer,Agent"
33,DBPEDIA_ID/Amir_Qayyum,"Person,Criminal,Murderer,Agent"
34,DBPEDIA_ID/Stanisław_Modzelewski,"Person,Criminal,Murderer,Agent"
35,DBPEDIA_ID/Jeremy_Strohmeyer,"Person,Criminal,Murderer,Agent"
36,DBPEDIA_ID/Israel_Keyes,"Person,Criminal,Murderer,Agent"
37,DBPEDIA_ID/Mark_O._Barton,"Person,Criminal,Murderer,Agent"
38,DBPEDIA_ID/Albert_DeSalvo,"Person,Criminal,Murderer,Agent"
39,DBPEDIA_ID/Marc_Lépine,"Person,Criminal,Murderer,Agent"
40,DBPEDIA_ID/Paul_Jennings_Hill,"Person,Criminal,Murderer,Agent"
41,DBPEDIA_ID/Vasile_Tcaciuc,"Person,Criminal,Murderer,Agent"
42,DBPEDIA_ID/Mohan_Kumar_(serial_killer),"Person,Criminal,Murderer,Agent"
43,DBPEDIA_ID/Hastings_Arthur_Wise,"Person,Criminal,Murderer,Agent"
44,DBPEDIA_ID/Mattias_Flink,"Person,Criminal,Murderer,Agent"
45,DBPEDIA_ID/Russell_Lee_Smith,"Person,Criminal,Murderer,Agent"
46,DBPEDIA_ID/Cameron_Todd_Willingham,"Person,Criminal,Murderer,Agent"
47,DBPEDIA_ID/Marcelo_Costa_de_Andrade,"Person,Criminal,Murderer,Agent"
48,DBPEDIA_ID/Andrew_Kehoe,"Person,Criminal,Murderer,Agent"
49,DBPEDIA_ID/Chevie_Kehoe,"Person,Criminal,Murderer,Agent"
50,DBPEDIA_ID/Ronald_Gene_Simmons,"Person,Criminal,Murderer,Agent"
51,DBPEDIA_ID/Robert_Peernock,"Person,Criminal,Murderer,Agent"
52,DBPEDIA_ID/Joshua_French,"Person,Criminal,Murderer,Agent"
53,DBPEDIA_ID/Woo_Bum-kon,"Person,Criminal,Murderer,Agent"
54,DBPEDIA_ID/Gary_M._Heidnik,"Person,Criminal,Murderer,Agent"
55,DBPEDIA_ID/Richard_Farley,"Person,Criminal,Murderer,Agent"
56,DBPEDIA_ID/Valery_Fabrikant,"Person,Criminal,Murderer,Agent"
57,DBPEDIA_ID/Nicholas_Troy_Sheley,"Person,Criminal,Murderer,Agent"
58,DBPEDIA_ID/Pedro_Pablo_Nakada_Ludeña,"Person,Criminal,Murderer,Agent"
59,DBPEDIA_ID/Timothy_Joseph_McGhee,"Person,Criminal,Murderer,Agent"
60,DBPEDIA_ID/Eden_Natan-Zada,"Person,Criminal,Murderer,Agent"
61,DBPEDIA_ID/David_Mason_(murderer),"Person,Criminal,Murderer,Agent"
62,DBPEDIA_ID/Joe_Pullen,"Person,Criminal,Murderer,Agent"
63,DBPEDIA_ID/Kang_Ho-sun,"Person,Criminal,Murderer,Agent"
64,DBPEDIA_ID/Larry_Gene_Ashbrook,"Person,Criminal,Murderer,Agent"
65,DBPEDIA_ID/Grim_Sleeper,"Person,Criminal,Murderer,Agent"
66,DBPEDIA_ID/Kimveer_Gill,"Person,Criminal,Murderer,Agent"
67,DBPEDIA_ID/Vlado_Taneski,"Person,Criminal,Murderer,Agent"
68,DBPEDIA_ID/Brian_Dugan,"Person,Criminal,Murderer,Agent"
69,DBPEDIA_ID/Richard_Djerf,"Person,Criminal,Murderer,Agent"
70,DBPEDIA_ID/Ladislav_Ščurko__Ladislav_Ščurko__1,"Person,Criminal,Murderer,Agent"
71,DBPEDIA_ID/Timothy_Wilson_Spencer,"Person,Criminal,Murderer,Agent"
72,DBPEDIA_ID/Joseph_E._Duncan_III,"Person,Criminal,Murderer,Agent"
73,DBPEDIA_ID/Marcus_Wesson,"Person,Criminal,Murderer,Agent"
74,DBPEDIA_ID/Archibald_Hall,"Person,Criminal,Murderer,Agent"
75,DBPEDIA_ID/Wayne_Williams,"Person,Criminal,Murderer,Agent"
76,DBPEDIA_ID/Black_Widows_of_Liverpool,"Person,Criminal,Murderer,Agent"
77,DBPEDIA_ID/Julian_Knight,"Person,Criminal,Murderer,Agent"
78,DBPEDIA_ID/Thierry_Paulin,"Person,Criminal,Murderer,Agent"
79,DBPEDIA_ID/Gundolf_Köhler,"Person,Criminal,Murderer,Agent"
80,DBPEDIA_ID/Charles_Carl_Roberts,"Person,Criminal,Murderer,Agent"
81,DBPEDIA_ID/Hoyt_Franklin_Clines,"Person,Criminal,Murderer,Agent"
82,DBPEDIA_ID/Tore_Hedin,"Person,Criminal,Murderer,Agent"
83,"DBPEDIA_ID/Ronald_DeFeo,_Jr.","Person,Criminal,Murderer,Agent"
84,DBPEDIA_ID/Faryion_Wardrip,"Person,Criminal,Murderer,Agent"
85,DBPEDIA_ID/Malcolm_George_Baker,"Person,Criminal,Murderer,Agent"
86,DBPEDIA_ID/Nathaniel_White,"Person,Criminal,Murderer,Agent"
87,DBPEDIA_ID/2011_IHOP_shooting,"Person,Criminal,Murderer,Agent"
88,DBPEDIA_ID/Martha_Wise,"Person,Criminal,Murderer,Agent"
89,DBPEDIA_ID/Devin_Moore,"Person,Criminal,Murderer,Agent"
90,DBPEDIA_ID/Neal_Falls,"Person,Criminal,Murderer,Agent"
91,DBPEDIA_ID/Tamara_Samsonova,"Person,Criminal,Murderer,Agent"
92,DBPEDIA_ID/I-70_Killer,"Person,Criminal,Murderer,Agent"
93,DBPEDIA_ID/Glenford_Baptist,"Person,Criminal,Murderer,Agent"
94,DBPEDIA_ID/Atlanta_Ripper,"Person,Criminal,Murderer,Agent"
