,entity,classes
0,DBPEDIA_ID/Bletchley_Park,"ArchitecturalStructure,Building,Museum,Place,Location"
1,DBPEDIA_ID/British_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
2,Louvre,"ArchitecturalStructure,Building,Museum,Place,Location"
3,DBPEDIA_ID/National_Baseball_Hall_of_Fame_and_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
4,Rijksmuseum,"ArchitecturalStructure,Building,Museum,Place,Location"
5,DBPEDIA_ID/National_Soccer_Hall_of_Fame,"ArchitecturalStructure,Building,Museum,Place,Location"
6,DBPEDIA_ID/San_Francisco_Museum_of_Modern_Art,"ArchitecturalStructure,Building,Museum,Place,Location"
7,DBPEDIA_ID/Van_Gogh_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
8,DBPEDIA_ID/Angus_Folk_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
9,DBPEDIA_ID/Arizona_Women's_Hall_of_Fame,"ArchitecturalStructure,Building,Museum,Place,Location"
10,DBPEDIA_ID/Farnborough_Air_Sciences_Trust,"ArchitecturalStructure,Building,Museum,Place,Location"
11,DBPEDIA_ID/Hortus_Botanicus_(Amsterdam),"ArchitecturalStructure,Building,Museum,Place,Location"
12,DBPEDIA_ID/Maine_Women's_Hall_of_Fame,"ArchitecturalStructure,Building,Museum,Place,Location"
13,DBPEDIA_ID/Mille_Lacs_Indian_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
14,"DBPEDIA_ID/Museum_of_the_History_of_Science,_Oxford","ArchitecturalStructure,Building,Museum,Place,Location"
15,'Ksan,"ArchitecturalStructure,Building,Museum,Place,Location"
16,DBPEDIA_ID/Autograph_(gallery),"ArchitecturalStructure,Building,Museum,Place,Location"
17,DBPEDIA_ID/Chabot_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
18,DBPEDIA_ID/Delaware_Art_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
19,DBPEDIA_ID/Delaware_Center_for_the_Contemporary_Arts,"ArchitecturalStructure,Building,Museum,Place,Location"
20,DBPEDIA_ID/Delaware_Historical_Society,"ArchitecturalStructure,Building,Museum,Place,Location"
21,DBPEDIA_ID/Eyebeam_(organization),"ArchitecturalStructure,Building,Museum,Place,Location"
22,"DBPEDIA_ID/Fort_Frederick_(Kingston,_Ontario)","ArchitecturalStructure,Building,Museum,Place,Location"
23,DBPEDIA_ID/Frost_Art_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
24,DBPEDIA_ID/Garden_State_Discovery_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
25,DBPEDIA_ID/Glenside_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
26,DBPEDIA_ID/Hargeisa_Provincial_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
27,DBPEDIA_ID/Heide_Museum_of_Modern_Art,"ArchitecturalStructure,Building,Museum,Place,Location"
28,DBPEDIA_ID/Herbert_Art_Gallery_and_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
29,DBPEDIA_ID/High_Desert_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
30,DBPEDIA_ID/John_and_Mable_Ringling_Museum_of_Art,"ArchitecturalStructure,Building,Museum,Place,Location"
31,DBPEDIA_ID/Lutz_Children's_Museum,"ArchitecturalStructure,Building,Museum,Place,Location"
32,DBPEDIA_ID/Magnes_Collection_of_Jewish_Art_and_Life,"ArchitecturalStructure,Building,Museum,Place,Location"
33,DBPEDIA_ID/McAuliffe-Shepard_Discovery_Center,"ArchitecturalStructure,Building,Museum,Place,Location"
34,DBPEDIA_ID/Museo_Galileo,"ArchitecturalStructure,Building,Museum,Place,Location"
35,DBPEDIA_ID/Musée_Marmottan_Monet,"ArchitecturalStructure,Building,Museum,Place,Location"
36,DBPEDIA_ID/National_Museum_of_Science_and_Technology_(Bangladesh),"ArchitecturalStructure,Building,Museum,Place,Location"
37,"DBPEDIA_ID/National_Railway_Museum,_Port_Adelaide","ArchitecturalStructure,Building,Museum,Place,Location"
38,DBPEDIA_ID/Naughton_Gallery_at_Queen's,"ArchitecturalStructure,Building,Museum,Place,Location"
39,DBPEDIA_ID/Queensland_Gallery_of_Modern_Art,"ArchitecturalStructure,Building,Museum,Place,Location"
40,DBPEDIA_ID/ScienceWorks_Museum_(Ashland),"ArchitecturalStructure,Building,Museum,Place,Location"
41,DBPEDIA_ID/Scienceworks_(Melbourne),"ArchitecturalStructure,Building,Museum,Place,Location"
