,entity,classes
0,DBPEDIA_ID/A_Funny_Thing_Happened_on_the_Way_to_the_Forum,"MusicalWork,Work,Musical"
1,DBPEDIA_ID/A_Little_Night_Music,"MusicalWork,Work,Musical"
2,DBPEDIA_ID/Anyone_Can_Whistle,"MusicalWork,Work,Musical"
3,DBPEDIA_ID/Carousel_(musical),"MusicalWork,Work,Musical"
4,Follies,"MusicalWork,Work,Musical"
5,DBPEDIA_ID/Into_the_Woods,"MusicalWork,Work,Musical"
6,DBPEDIA_ID/My_Fair_Lady,"MusicalWork,Work,Musical"
7,DBPEDIA_ID/Pacific_Overtures,"MusicalWork,Work,Musical"
8,DBPEDIA_ID/Paint_Your_Wagon_(musical),"MusicalWork,Work,Musical"
9,DBPEDIA_ID/Rent_(musical),"MusicalWork,Work,Musical"
10,"DBPEDIA_ID/Hello,_Dolly!_(musical)","MusicalWork,Work,Musical"
11,Oliver!,"MusicalWork,Work,Musical"
12,DBPEDIA_ID/1776_(musical),"MusicalWork,Work,Musical"
13,DBPEDIA_ID/Ain't_Misbehavin'_(musical),"MusicalWork,Work,Musical"
14,DBPEDIA_ID/Babes_in_Arms,"MusicalWork,Work,Musical"
15,Nord-Ost,"MusicalWork,Work,Musical"
16,DBPEDIA_ID/Return_to_the_Forbidden_Planet,"MusicalWork,Work,Musical"
17,DBPEDIA_ID/America's_Sweetheart_(musical),"MusicalWork,Work,Musical"
18,DBPEDIA_ID/Annie_(musical),"MusicalWork,Work,Musical"
19,DBPEDIA_ID/Mr._Wonderful_(musical),"MusicalWork,Work,Musical"
20,DBPEDIA_ID/The_Best_of_Both_Worlds_(musical),"MusicalWork,Work,Musical"
21,DBPEDIA_ID/The_Grand_Tour_(musical),"MusicalWork,Work,Musical"
22,DBPEDIA_ID/A_Family_Affair_(musical),"MusicalWork,Work,Musical"
23,DBPEDIA_ID/A_Night_Out_(musical),"MusicalWork,Work,Musical"
24,DBPEDIA_ID/Aida_(musical),"MusicalWork,Work,Musical"
25,DBPEDIA_ID/Aladdin_(1979_musical),"MusicalWork,Work,Musical"
26,DBPEDIA_ID/Aladdin_(2011_musical),"MusicalWork,Work,Musical"
27,DBPEDIA_ID/Around_the_World_(musical),"MusicalWork,Work,Musical"
28,DBPEDIA_ID/Baker_Street_(musical),"MusicalWork,Work,Musical"
29,DBPEDIA_ID/Beauty_and_the_Beast_(musical),"MusicalWork,Work,Musical"
30,DBPEDIA_ID/Bells_Are_Ringing_(musical),"MusicalWork,Work,Musical"
31,DBPEDIA_ID/Blue_Monday_(opera),"MusicalWork,Work,Musical"
32,DBPEDIA_ID/Bright_Star_(musical),"MusicalWork,Work,Musical"
33,DBPEDIA_ID/Caligula_(musical),"MusicalWork,Work,Musical"
34,DBPEDIA_ID/Catch_Me_If_You_Can_(musical),"MusicalWork,Work,Musical"
35,DBPEDIA_ID/Cats_(musical),"MusicalWork,Work,Musical"
36,DBPEDIA_ID/Celebration_(musical),"MusicalWork,Work,Musical"
37,DBPEDIA_ID/Chaplin_(2006_musical),"MusicalWork,Work,Musical"
38,DBPEDIA_ID/Going_Up_(musical),"MusicalWork,Work,Musical"
39,DBPEDIA_ID/Good_Vibrations_(musical),"MusicalWork,Work,Musical"
40,DBPEDIA_ID/Gutenberg!_The_Musical!,"MusicalWork,Work,Musical"
41,DBPEDIA_ID/High_Spirits_(musical),"MusicalWork,Work,Musical"
42,DBPEDIA_ID/Home_Sweet_Homer_(musical),"MusicalWork,Work,Musical"
43,DBPEDIA_ID/Mamma_Mia!,"MusicalWork,Work,Musical"
44,DBPEDIA_ID/Monkey:_Journey_to_the_West,"MusicalWork,Work,Musical"
45,Mozart!,"MusicalWork,Work,Musical"
46,"DBPEDIA_ID/Mozart,_l'opéra_rock","MusicalWork,Work,Musical"
47,DBPEDIA_ID/Oh!_Calcutta!,"MusicalWork,Work,Musical"
48,DBPEDIA_ID/Parade_(musical),"MusicalWork,Work,Musical"
49,DBPEDIA_ID/Pickwick_(musical),"MusicalWork,Work,Musical"
50,DBPEDIA_ID/Platinum_(musical),"MusicalWork,Work,Musical"
51,DBPEDIA_ID/Rio_Rita_(musical),"MusicalWork,Work,Musical"
52,Ruthless!,"MusicalWork,Work,Musical"
53,DBPEDIA_ID/Shout!_The_Legend_of_The_Wild_One,"MusicalWork,Work,Musical"
54,DBPEDIA_ID/Side_by_Side_by_Sondheim,"MusicalWork,Work,Musical"
55,DBPEDIA_ID/Smile_(musical),"MusicalWork,Work,Musical"
56,DBPEDIA_ID/Spider-Man:_Turn_Off_the_Dark,"MusicalWork,Work,Musical"
57,DBPEDIA_ID/Stubborn_Cinderella,"MusicalWork,Work,Musical"
58,DBPEDIA_ID/Sweeney_Todd:_The_Demon_Barber_of_Fleet_Street,"MusicalWork,Work,Musical"
59,DBPEDIA_ID/Taboo_(musical),"MusicalWork,Work,Musical"
60,DBPEDIA_ID/The_Happy_Day,"MusicalWork,Work,Musical"
61,DBPEDIA_ID/The_Promise_(Passion_play),"MusicalWork,Work,Musical"
62,DBPEDIA_ID/The_Secret_Garden_(musical),"MusicalWork,Work,Musical"
63,DBPEDIA_ID/Tonight's_the_Night_(2003_musical),"MusicalWork,Work,Musical"
64,DBPEDIA_ID/Wildflower_(musical),"MusicalWork,Work,Musical"
65,DBPEDIA_ID/Wish_You_Were_Here_(musical),"MusicalWork,Work,Musical"
66,DBPEDIA_ID/Charlie_and_the_Chocolate_Factory_(musical),"MusicalWork,Work,Musical"
67,DBPEDIA_ID/Jumbo_(musical),"MusicalWork,Work,Musical"
68,DBPEDIA_ID/Juno_and_Avos_(opera),"MusicalWork,Work,Musical"
69,DBPEDIA_ID/The_Woman_in_White_(musical),"MusicalWork,Work,Musical"
70,DBPEDIA_ID/Amazing_Grace_(musical),"MusicalWork,Work,Musical"
71,DBPEDIA_ID/Americana_(revue),"MusicalWork,Work,Musical"
72,Barrice,"MusicalWork,Work,Musical"
73,DBPEDIA_ID/Bat_Boy:_The_Musical,"MusicalWork,Work,Musical"
74,DBPEDIA_ID/Big:_the_musical,"MusicalWork,Work,Musical"
75,DBPEDIA_ID/Blackbirds_of_1928,"MusicalWork,Work,Musical"
76,DBPEDIA_ID/Blackbirds_of_1933,"MusicalWork,Work,Musical"
77,DBPEDIA_ID/Carrie_(musical),"MusicalWork,Work,Musical"
78,DBPEDIA_ID/City_of_Angels_(musical),"MusicalWork,Work,Musical"
79,DBPEDIA_ID/Dogfight_(musical),"MusicalWork,Work,Musical"
80,DBPEDIA_ID/Dusty_–_The_Original_Pop_Diva,"MusicalWork,Work,Musical"
81,DBPEDIA_ID/Evangeline_(musical),"MusicalWork,Work,Musical"
82,DBPEDIA_ID/Gigi_(musical),"MusicalWork,Work,Musical"
83,Godspell,"MusicalWork,Work,Musical"
84,Honk!,"MusicalWork,Work,Musical"
85,DBPEDIA_ID/John_Murray_Anderson's_Almanac,"MusicalWork,Work,Musical"
86,DBPEDIA_ID/Leap_of_Faith_(musical),"MusicalWork,Work,Musical"
87,DBPEDIA_ID/Let_It_Be_(musical),"MusicalWork,Work,Musical"
88,DBPEDIA_ID/Lollipop_(musical),"MusicalWork,Work,Musical"
89,DBPEDIA_ID/Marie_Antoinette_(musical),"MusicalWork,Work,Musical"
90,DBPEDIA_ID/National_Lampoon_Lemmings,"MusicalWork,Work,Musical"
91,DBPEDIA_ID/On_the_Record_(musical),"MusicalWork,Work,Musical"
92,DBPEDIA_ID/Our_House_(musical),"MusicalWork,Work,Musical"
93,DBPEDIA_ID/Panama_Hattie,"MusicalWork,Work,Musical"
94,DBPEDIA_ID/Piece_of_My_Heart:_The_Bert_Berns_Story,"MusicalWork,Work,Musical"
95,DBPEDIA_ID/Salvation_(musical),"MusicalWork,Work,Musical"
96,DBPEDIA_ID/Tarzan_(musical),"MusicalWork,Work,Musical"
97,DBPEDIA_ID/The_Story_of_My_Life_(musical),"MusicalWork,Work,Musical"
98,DBPEDIA_ID/The_Visit_(musical),"MusicalWork,Work,Musical"
