,entity,classes
0,DBPEDIA_ID/1919–20_William_&_Mary_Indians_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
1,DBPEDIA_ID/1919–20_Wisconsin_Badgers_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
2,DBPEDIA_ID/1922–23_University_of_Virginia_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
3,DBPEDIA_ID/1926–27_Georgetown_Hoyas_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
4,DBPEDIA_ID/1935–36_Illinois_Fighting_Illini_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
5,DBPEDIA_ID/1951–52_Kansas_Jayhawks_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
6,DBPEDIA_ID/1979–80_North_Carolina_Tar_Heels_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
7,DBPEDIA_ID/1983–84_Michigan_Wolverines_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
8,DBPEDIA_ID/1994–95_Oklahoma_State_Cowboys_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
9,DBPEDIA_ID/1995–96_Northern_Illinois_Huskies_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
10,DBPEDIA_ID/2000–01_Ohio_Bobcats_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
11,DBPEDIA_ID/2001–02_Arkansas_Razorbacks_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
12,DBPEDIA_ID/2002–03_Kansas_Jayhawks_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
13,DBPEDIA_ID/2009–10_Indiana_Hoosiers_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
14,DBPEDIA_ID/2009–10_Stanford_Cardinal_women's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
15,DBPEDIA_ID/2009–10_Tennessee_Volunteers_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
16,DBPEDIA_ID/2011–12_College_of_Charleston_Cougars_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
17,DBPEDIA_ID/2011–12_Oregon_State_Beavers_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
18,DBPEDIA_ID/2011–12_Utah_Utes_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
19,DBPEDIA_ID/2012–13_Air_Force_Falcons_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
20,DBPEDIA_ID/2012–13_Hofstra_Pride_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
21,DBPEDIA_ID/2012–13_Memphis_Tigers_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
22,DBPEDIA_ID/2012–13_Seton_Hall_Pirates_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
23,DBPEDIA_ID/2012–13_Texas_State_Bobcats_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
24,DBPEDIA_ID/2013–14_Colgate_Raiders_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
25,DBPEDIA_ID/2013–14_Fairleigh_Dickinson_Knights_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
26,DBPEDIA_ID/2013–14_Morehead_State_Eagles_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
27,DBPEDIA_ID/2013–14_Old_Dominion_Monarchs_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
28,DBPEDIA_ID/2013–14_Sacramento_State_Hornets_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
29,DBPEDIA_ID/2013–14_UC_Riverside_Highlanders_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
30,DBPEDIA_ID/2014–15_Butler_Bulldogs_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
31,DBPEDIA_ID/2014–15_Colgate_Raiders_women's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
32,DBPEDIA_ID/2014–15_Hofstra_Pride_women's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
33,DBPEDIA_ID/2014–15_Jacksonville_State_Gamecocks_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
34,DBPEDIA_ID/2014–15_Liberty_Flames_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
35,DBPEDIA_ID/2014–15_Nicholls_State_Colonels_women's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
36,DBPEDIA_ID/2014–15_San_Diego_Toreros_women's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
37,DBPEDIA_ID/2014–15_UMBC_Retrievers_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
38,DBPEDIA_ID/2014–15_Utah_State_Aggies_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
39,DBPEDIA_ID/2015–16_Mount_St._Mary's_Mountaineers_men's_basketball_team,"NCAATeamSeason,SportsSeason,SportsTeamSeason"
40,"DBPEDIA_ID/The_Citadel_Bulldogs_basketball,_1950–59","NCAATeamSeason,SportsSeason,SportsTeamSeason"
