,entity,classes
0,Adrian,"GivenName,Name"
1,Alexander,"GivenName,Name"
2,Alexandra,"GivenName,Name"
3,Alexius,"GivenName,Name"
4,Anastasius,"GivenName,Name"
5,Cyril,"GivenName,Name"
6,DBPEDIA_ID/Luke_(name),"GivenName,Name"
7,Michael,"GivenName,Name"
8,DBPEDIA_ID/Jonathan_(name),"GivenName,Name"
9,DBPEDIA_ID/Annie_(given_name),"GivenName,Name"
10,DBPEDIA_ID/Benjamin_(name),"GivenName,Name"
11,DBPEDIA_ID/Ella_(name),"GivenName,Name"
12,DBPEDIA_ID/Ellery_(given_name),"GivenName,Name"
13,Gérard,"GivenName,Name"
14,DBPEDIA_ID/Hope_(given_name),"GivenName,Name"
15,Jawed,"GivenName,Name"
16,DBPEDIA_ID/Johnny_(given_name),"GivenName,Name"
17,Jonny,"GivenName,Name"
18,Laurence,"GivenName,Name"
19,Litvinov,"Surname,Name"
20,Michiko,"GivenName,Name"
21,Miho,"GivenName,Name"
22,DBPEDIA_ID/Nadine_(given_name),"GivenName,Name"
23,Samir,"GivenName,Name"
24,Samira,"GivenName,Name"
25,Schnitzler,"Surname,Name"
26,Verity,"GivenName,Name"
27,Zoran,"GivenName,Name"
28,DBPEDIA_ID/Aden_(name),"GivenName,Name"
29,DBPEDIA_ID/Aida_(given_name),"GivenName,Name"
30,DBPEDIA_ID/Akina_(given_name),"GivenName,Name"
31,DBPEDIA_ID/Aladdin_(name),"GivenName,Name"
32,Alisha,"GivenName,Name"
33,Alonso,"GivenName,Name"
34,Alonzo,"GivenName,Name"
35,Anabel,"GivenName,Name"
36,DBPEDIA_ID/Angela_(given_name),"GivenName,Name"
37,DBPEDIA_ID/Angelina_(given_name),"GivenName,Name"
38,DBPEDIA_ID/Arda_(name),"GivenName,Name"
39,DBPEDIA_ID/Are_(surname),"Surname,Name"
40,DBPEDIA_ID/Ariana_(name),"GivenName,Name"
41,DBPEDIA_ID/Arsenius_(name),"GivenName,Name"
42,DBPEDIA_ID/Arun_(given_name),"GivenName,Name"
43,DBPEDIA_ID/Augustus_(given_name),"GivenName,Name"
44,DBPEDIA_ID/Babak_(given_name),"GivenName,Name"
45,DBPEDIA_ID/Bahram_(name),"GivenName,Name"
46,DBPEDIA_ID/Benedictus_(given_name),"GivenName,Name"
47,Birgitta,"GivenName,Name"
48,DBPEDIA_ID/Blanche_(given_name),"GivenName,Name"
49,Boutros,"GivenName,Name"
50,DBPEDIA_ID/Brendan_(given_name),"GivenName,Name"
51,Brianna,"GivenName,Name"
52,Brisa,"GivenName,Name"
53,DBPEDIA_ID/Carmelita_(name),"GivenName,Name"
54,Carola,"GivenName,Name"
55,Casandra,"GivenName,Name"
56,Casimir,"GivenName,Name"
57,DBPEDIA_ID/Cassandra_(given_name),"GivenName,Name"
58,Catarina,"GivenName,Name"
59,Cesar,"GivenName,Name"
60,Chihiro,"GivenName,Name"
61,DBPEDIA_ID/Clara_(given_name),"GivenName,Name"
62,DBPEDIA_ID/Clarissa_(given_name),"GivenName,Name"
63,Claudia,"GivenName,Name"
64,DBPEDIA_ID/Clelia_(given_name),"GivenName,Name"
65,DBPEDIA_ID/Colin_(given_name),"GivenName,Name"
66,Conor,"GivenName,Name"
67,Cosmas,"GivenName,Name"
68,DBPEDIA_ID/Dalia_(given_name),"GivenName,Name"
69,Daniel,"GivenName,Name"
70,DBPEDIA_ID/Danylo_(name),"GivenName,Name"
71,DBPEDIA_ID/Dove_(given_name),"GivenName,Name"
72,Eiko,"GivenName,Name"
73,Eimi,"GivenName,Name"
74,DBPEDIA_ID/Elisa_(given_name),"GivenName,Name"
75,Emre,"GivenName,Name"
76,Ennio,"GivenName,Name"
77,Enrique,"GivenName,Name"
78,DBPEDIA_ID/Erika_(given_name),"GivenName,Name"
79,Ernst,"GivenName,Name"
80,Evangelina,"GivenName,Name"
81,Faheem,"GivenName,Name"
82,Fandorin,"Surname,Name"
83,Francine,"GivenName,Name"
84,DBPEDIA_ID/Franz_(given_name),"GivenName,Name"
85,François,"GivenName,Name"
86,Françoise,"GivenName,Name"
87,Gaddo,"GivenName,Name"
88,DBPEDIA_ID/Gay_(given_name),"GivenName,Name"
89,Geller,"Surname,Name"
90,DBPEDIA_ID/Gertrude_(given_name),"GivenName,Name"
91,Guido,"GivenName,Name"
92,DBPEDIA_ID/Gun_(Swedish_name),"GivenName,Name"
93,Götz,"GivenName,Name"
94,Habib,"GivenName,Name"
95,Haruko,"GivenName,Name"
96,Henrique,"GivenName,Name"
97,Hisako,"GivenName,Name"
98,Imants,"GivenName,Name"
99,Imelda,"GivenName,Name"
