,entity,classes
0,DBPEDIA_ID/Dale_Earnhardt,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
1,DBPEDIA_ID/Richard_Petty,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
2,"DBPEDIA_ID/Dale_Earnhardt,_Jr.","MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
3,DBPEDIA_ID/Bob_Cooper_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
4,DBPEDIA_ID/Frank_Warren_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
5,DBPEDIA_ID/Butch_Miller_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
6,DBPEDIA_ID/Eddie_Skinner,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
7,DBPEDIA_ID/Francis_Affleck,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
8,DBPEDIA_ID/Jim_Paschal,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
9,DBPEDIA_ID/Scott_Riggs,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
10,DBPEDIA_ID/Terri_O'Connell,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
11,DBPEDIA_ID/Tighe_Scott,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
12,DBPEDIA_ID/Iggy_Katona,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
13,DBPEDIA_ID/Banjo_Matthews,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
14,DBPEDIA_ID/Barry_Bodine,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
15,DBPEDIA_ID/Bill_Blair_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
16,DBPEDIA_ID/Bobby_Marshman,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
17,DBPEDIA_ID/Bud_Moore_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
18,DBPEDIA_ID/Geoff_Bodine,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
19,DBPEDIA_ID/Hideo_Fukuyama,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
20,DBPEDIA_ID/J._R._Fitzpatrick,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
21,DBPEDIA_ID/Jamie_McMurray,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
22,DBPEDIA_ID/Jason_White_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
23,DBPEDIA_ID/John_Alexander_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
24,DBPEDIA_ID/L._D._Ottinger,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
25,DBPEDIA_ID/Larry_Smith_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
26,DBPEDIA_ID/Possum_Jones,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
27,DBPEDIA_ID/Ricky_Knotts,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
28,DBPEDIA_ID/Roy_Tyner,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
29,DBPEDIA_ID/T._J._Clark_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
30,DBPEDIA_ID/Tony_Stewart,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
31,DBPEDIA_ID/Jeff_Andretti,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
32,DBPEDIA_ID/Jeff_Gordon,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
33,DBPEDIA_ID/Blake_Bjorklund,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
34,DBPEDIA_ID/Buddy_Shuman,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
35,DBPEDIA_ID/Butch_Gilliland,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
36,DBPEDIA_ID/Casey_Roderick,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
37,DBPEDIA_ID/Chad_Boat,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
38,DBPEDIA_ID/Chris_Buescher,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
39,DBPEDIA_ID/David_Gilliland,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
40,DBPEDIA_ID/Ethel_Mobley,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
41,DBPEDIA_ID/Tobey_Butler,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
42,DBPEDIA_ID/James_Buescher,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
43,DBPEDIA_ID/Jim_Malloy,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
44,DBPEDIA_ID/John_Andretti,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
45,DBPEDIA_ID/Kevin_Conway_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
46,DBPEDIA_ID/Matt_DiBenedetto,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
47,DBPEDIA_ID/Michael_McDowell_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
48,DBPEDIA_ID/Michael_Waltrip,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
49,DBPEDIA_ID/Mike_Garvey,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
50,DBPEDIA_ID/Ralph_Moody,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
51,"DBPEDIA_ID/Robert_Richardson,_Jr._(racing_driver)","MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
52,DBPEDIA_ID/Roz_Howard,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
53,DBPEDIA_ID/Ryan_Moore_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
54,DBPEDIA_ID/Steve_Moore_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
55,DBPEDIA_ID/Kevin_O'Connell_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
56,DBPEDIA_ID/Kurt_Busch,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
57,DBPEDIA_ID/Slick_Johnson,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
58,DBPEDIA_ID/Marc_Goossens,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
59,DBPEDIA_ID/Trevor_Boys,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
60,DBPEDIA_ID/Barry_Beggarly,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
61,DBPEDIA_ID/Dick_May,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
62,DBPEDIA_ID/Harrison_Rhodes,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
63,DBPEDIA_ID/John_Rostek,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
64,DBPEDIA_ID/Curtis_Markham,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
65,DBPEDIA_ID/Jack_Baldwin_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
66,DBPEDIA_ID/Jack_White_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
67,DBPEDIA_ID/Johnny_Rumley,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
68,DBPEDIA_ID/Larry_Thomas_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
69,DBPEDIA_ID/Ramo_Stott,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
70,"DBPEDIA_ID/Ricky_Stenhouse,_Jr.","MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
71,DBPEDIA_ID/Ruben_Garcia_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
72,DBPEDIA_ID/Ryan_Mathews_(racing_driver),"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
73,DBPEDIA_ID/Ryan_McGlynn,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
74,DBPEDIA_ID/Ryan_Sieg,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
75,DBPEDIA_ID/Shane_Sieg,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
76,DBPEDIA_ID/Stephen_Leicht,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
77,DBPEDIA_ID/Dave_Rezendes,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
78,DBPEDIA_ID/Morgan_Shepherd,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
79,DBPEDIA_ID/Paul_Goldsmith,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
80,DBPEDIA_ID/Tim_Richmond,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
81,DBPEDIA_ID/Cale_Gale,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
82,DBPEDIA_ID/Chuck_Hossfeld,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
83,DBPEDIA_ID/Kelly_Bires,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
84,DBPEDIA_ID/Tom_Pistone,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
85,DBPEDIA_ID/Charlie_Bradberry,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
86,DBPEDIA_ID/Amber_Cope,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
87,DBPEDIA_ID/Angela_Cope,"MotorsportRacer,Athlete,NascarDriver,Person,Agent,RacingDriver"
