,entity,classes
0,DBPEDIA_ID/Boston_Herald,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
1,DBPEDIA_ID/Svenska_Dagbladet,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
2,DBPEDIA_ID/Anarchy:_A_Journal_of_Desire_Armed,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
3,Proletären,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
4,DBPEDIA_ID/The_Irish_Times,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
5,DBPEDIA_ID/The_Japan_Times,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
6,DBPEDIA_ID/Toronto_Star,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
7,DBPEDIA_ID/Memphis_Flyer,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
8,DBPEDIA_ID/Nanyang_Siang_Pau,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
9,DBPEDIA_ID/The_Breeze_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
10,DBPEDIA_ID/The_Gargoyle_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
11,DBPEDIA_ID/The_Witness_(South_African_newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
12,DBPEDIA_ID/Uptown_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
13,DBPEDIA_ID/24_heures_(Switzerland),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
14,DBPEDIA_ID/Abbeville_Scimitar,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
15,DBPEDIA_ID/Al-Wasat_(Bahraini_newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
16,DBPEDIA_ID/Al_Kalima,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
17,DBPEDIA_ID/Alamance_Gleaner,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
18,DBPEDIA_ID/Alwasat_(Kuwaiti_newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
19,DBPEDIA_ID/Atlanta_Daily_World,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
20,DBPEDIA_ID/Awan_(Kuwait),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
21,DBPEDIA_ID/Bahar_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
22,DBPEDIA_ID/Broadside_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
23,DBPEDIA_ID/Business_Times_(Singapore),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
24,DBPEDIA_ID/Cambridge_News,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
25,DBPEDIA_ID/Columbia_Daily_Spectator,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
26,DBPEDIA_ID/Daily_Jang,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
27,DigBoston,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
28,DBPEDIA_ID/Edinburgh_Evening_News,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
29,DBPEDIA_ID/El_Massa,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
30,DBPEDIA_ID/Gambit_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
31,DBPEDIA_ID/Henderson_Gleaner,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
32,DBPEDIA_ID/Indianapolis_Recorder,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
33,DBPEDIA_ID/Juice_(magazine),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
34,DBPEDIA_ID/Juventud_Rebelde,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
35,L'Arena,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
36,DBPEDIA_ID/La_Repubblica,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
37,DBPEDIA_ID/Le_Nouvelliste_(Haiti),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
38,DBPEDIA_ID/Le_Nouvelliste_(Quebec),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
39,DBPEDIA_ID/Maariv_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
40,DBPEDIA_ID/Metroland_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
41,DBPEDIA_ID/National_Business_Review,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
42,DBPEDIA_ID/Neue_Luzerner_Zeitung,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
43,DBPEDIA_ID/New_Zealand_Truth,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
44,DBPEDIA_ID/News_and_Tribune,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
45,DBPEDIA_ID/North_Bay_Bohemian,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
46,DBPEDIA_ID/Norwich_Evening_News,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
47,DBPEDIA_ID/Obersee_Nachrichten,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
48,DBPEDIA_ID/Otago_Daily_Times,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
49,DBPEDIA_ID/Ottawa_Citizen,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
50,DBPEDIA_ID/Providence_Business_News,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
51,DBPEDIA_ID/Provinciale_Zeeuwse_Courant,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
52,DBPEDIA_ID/Resalat_(newspaper),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
53,DBPEDIA_ID/Sing_Tao_Daily,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
54,DBPEDIA_ID/Sing_Tao_Daily_(Canada),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
55,DBPEDIA_ID/Southbridge_Evening_News,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
56,DBPEDIA_ID/Spacing_(magazine),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
57,DBPEDIA_ID/Sunday_Independent_(Western_Australia),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
58,DBPEDIA_ID/The_Caledonian-Record,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
59,DBPEDIA_ID/The_Citizen_(Auburn),"Newspaper,PeriodicalLiterature,Work,WrittenWork"
