,entity,classes
0,"DBPEDIA_ID/Henry_II,_Landgrave_of_Hesse","Noble,Agent,Person"
1,DBPEDIA_ID/Afonso_de_Albuquerque,"Noble,Agent,Person"
2,DBPEDIA_ID/Cesare_Borgia,"Noble,Agent,Person"
3,DBPEDIA_ID/Francesco_I_Sforza,"Noble,Agent,Person"
4,DBPEDIA_ID/Fujiwara_no_Mototsune,"Noble,Agent,Person"
5,"DBPEDIA_ID/George_Frederick,_Margrave_of_Brandenburg-Ansbach","Noble,Agent,Person"
6,DBPEDIA_ID/Isabella_d'Este,"Noble,Agent,Person"
7,"DBPEDIA_ID/Joachim_III_Frederick,_Elector_of_Brandenburg","Noble,Agent,Person"
8,"DBPEDIA_ID/Joachim_I_Nestor,_Elector_of_Brandenburg","Noble,Agent,Person"
9,DBPEDIA_ID/Lorenzo_de'_Medici,"Noble,Agent,Person"
10,DBPEDIA_ID/Lucrezia_Borgia,"Noble,Agent,Person"
11,DBPEDIA_ID/Oda_Nobunaga,"Noble,Agent,Person"
12,DBPEDIA_ID/Bohemond_I_of_Antioch,"Noble,Agent,Person"
13,"DBPEDIA_ID/Henry_X,_Duke_of_Bavaria","Noble,Agent,Person"
14,DBPEDIA_ID/Jean-François_Oeben,"Noble,Agent,Person"
15,DBPEDIA_ID/Robert_Fitzhamon,"Noble,Agent,Person"
16,DBPEDIA_ID/Robert_Guiscard,"Noble,Agent,Person"
17,DBPEDIA_ID/Walter_Sans_Avoir,"Noble,Agent,Person"
18,DBPEDIA_ID/Abbo_of_Provence,"Noble,Agent,Person"
19,DBPEDIA_ID/Berto_Correia_de_Sousa,"Noble,Agent,Person"
20,DBPEDIA_ID/Cosimo_de'_Medici,"Noble,Agent,Person"
21,"DBPEDIA_ID/Frederick_Charles,_Duke_of_Württemberg-Winnental","Noble,Agent,Person"
22,"DBPEDIA_ID/Gerald_FitzGerald,_8th_Earl_of_Kildare","Noble,Agent,Person"
23,"DBPEDIA_ID/Gerald_FitzGerald,_9th_Earl_of_Kildare","Noble,Agent,Person"
24,"DBPEDIA_ID/Gérard,_Duke_of_Lorraine","Noble,Agent,Person"
25,"DBPEDIA_ID/Henri,_Count_of_Harcourt","Noble,Agent,Person"
26,"DBPEDIA_ID/Henri,_Prince_of_Condé_(1552–1588)","Noble,Agent,Person"
27,"DBPEDIA_ID/Henri_I,_Duke_of_Nemours","Noble,Agent,Person"
28,DBPEDIA_ID/Henri_I_de_Montmorency,"Noble,Agent,Person"
29,"DBPEDIA_ID/Henry_X,_Count_of_Reuss-Lobenstein","Noble,Agent,Person"
30,DBPEDIA_ID/Jan_Klemens_Branicki,"Noble,Agent,Person"
31,"DBPEDIA_ID/João_Maria_Correia_Ayres_de_Campos,_1st_Count_of_Ameal","Noble,Agent,Person"
32,"DBPEDIA_ID/Lionel_Cranfield,_1st_Earl_of_Middlesex","Noble,Agent,Person"
33,DBPEDIA_ID/Lucrezia_Tornabuoni,"Noble,Agent,Person"
34,DBPEDIA_ID/Lucrezia_d'Alagno,"Noble,Agent,Person"
35,DBPEDIA_ID/Piero_di_Cosimo_de'_Medici,"Noble,Agent,Person"
36,DBPEDIA_ID/William_Fitzwilliam_(Sheriff_of_London),"Noble,Agent,Person"
37,DBPEDIA_ID/Władysław_Grzegorz_Branicki,"Noble,Agent,Person"
38,"DBPEDIA_ID/Albrecht_VII,_Duke_of_Mecklenburg","Noble,Agent,Person"
39,"DBPEDIA_ID/Alexander_Seton,_Lord_Gordon","Noble,Agent,Person"
40,DBPEDIA_ID/Andreas_von_Graben,"Noble,Agent,Person"
41,DBPEDIA_ID/Anna_Radziwiłł_(nobility),"Noble,Agent,Person"
42,DBPEDIA_ID/Aoife_MacMurrough,"Noble,Agent,Person"
43,"DBPEDIA_ID/Aubrey_de_Vere,_10th_Earl_of_Oxford","Noble,Agent,Person"
44,DBPEDIA_ID/Boso_the_Elder,"Noble,Agent,Person"
45,"DBPEDIA_ID/Casimir,_Margrave_of_Brandenburg-Bayreuth","Noble,Agent,Person"
46,"DBPEDIA_ID/Casimir_IV,_Duke_of_Pomerania","Noble,Agent,Person"
47,"DBPEDIA_ID/Elizabeth_Stanley,_Countess_of_Huntingdon","Noble,Agent,Person"
48,"DBPEDIA_ID/Ernest_Casimir_I,_Count_of_Nassau-Dietz","Noble,Agent,Person"
49,"DBPEDIA_ID/Ernest_I,_Prince_of_Anhalt-Dessau","Noble,Agent,Person"
50,DBPEDIA_ID/Franciszek_Ksawery_Branicki,"Noble,Agent,Person"
