,entity,classes
0,DBPEDIA_ID/Churches_Uniting_in_Christ,"Non-ProfitOrganisation,Organisation,Agent"
1,DBPEDIA_ID/Peace_Now,"Non-ProfitOrganisation,Organisation,Agent"
2,DBPEDIA_ID/Southern_Poverty_Law_Center,"Non-ProfitOrganisation,Organisation,Agent"
3,DBPEDIA_ID/Asociación_Democracia_Real_Ya,"Non-ProfitOrganisation,Organisation,Agent"
4,DBPEDIA_ID/Automotive_Service_Excellence,"Non-ProfitOrganisation,Organisation,Agent"
5,DBPEDIA_ID/Irish_Council_for_Social_Housing,"Non-ProfitOrganisation,Organisation,Agent"
6,DBPEDIA_ID/Project_Management_Institute,"Non-ProfitOrganisation,Organisation,Agent"
7,DBPEDIA_ID/AIDS_Project_Los_Angeles,"Non-ProfitOrganisation,Organisation,Agent"
8,DBPEDIA_ID/Active_Training_and_Education_Trust,"Non-ProfitOrganisation,Organisation,Agent"
9,"DBPEDIA_ID/American_Society_for_the_Defense_of_Tradition,_Family_and_Property","Non-ProfitOrganisation,Organisation,Agent"
10,DBPEDIA_ID/Ansar_Youth_Project,"Non-ProfitOrganisation,Organisation,Agent"
11,DBPEDIA_ID/Arthur_Rylah_Institute_for_Environmental_Research,"Non-ProfitOrganisation,Organisation,Agent"
12,DBPEDIA_ID/Children's_Miracle_Network_Hospitals,"Non-ProfitOrganisation,Organisation,Agent"
13,"DBPEDIA_ID/Creativity,_Culture_and_Education","Non-ProfitOrganisation,Organisation,Agent"
14,DBPEDIA_ID/Energy_in_Common,"Non-ProfitOrganisation,Organisation,Agent"
15,DBPEDIA_ID/Free_Congress_Foundation,"Non-ProfitOrganisation,Organisation,Agent"
16,DBPEDIA_ID/Heterosexuals_Organized_for_a_Moral_Environment,"Non-ProfitOrganisation,Organisation,Agent"
17,DBPEDIA_ID/Hope_Educational_Foundation,"Non-ProfitOrganisation,Organisation,Agent"
18,DBPEDIA_ID/Institute_for_Credentialing_Excellence,"Non-ProfitOrganisation,Organisation,Agent"
19,DBPEDIA_ID/Internet_Watch_Foundation,"Non-ProfitOrganisation,Organisation,Agent"
