,entity,classes
0,DBPEDIA_ID/Dickson_McCunn_trilogy,"Novel,Book,WrittenWork,Work"
1,DBPEDIA_ID/Toby_Jones_(novel_series),"Novel,Book,WrittenWork,Work"
2,DBPEDIA_ID/Collage_novel,"Novel,Book,WrittenWork,Work"
3,DBPEDIA_ID/No_me_pidan_que_sonría,"Novel,Book,WrittenWork,Work"
4,DBPEDIA_ID/Comic_novel,"Novel,Book,WrittenWork,Work"
5,DBPEDIA_ID/Agni_Poolu_(novel),"Novel,Book,WrittenWork,Work"
6,DBPEDIA_ID/Toji_(novel),"Novel,Book,WrittenWork,Work"
7,DBPEDIA_ID/Adhalinaal_Kaadhal_Seiveer,"Novel,Book,WrittenWork,Work"
8,DBPEDIA_ID/Western_visual_novel,"Novel,Book,WrittenWork,Work"
9,DBPEDIA_ID/Chain_novel,"Novel,Book,WrittenWork,Work"
10,DBPEDIA_ID/One_Part_Woman,"Novel,Book,WrittenWork,Work"
11,DBPEDIA_ID/Harry_Potter_in_Calcutta,"Novel,Book,WrittenWork,Work"
12,DBPEDIA_ID/Kimia_Khatoon,"Novel,Book,WrittenWork,Work"
13,DBPEDIA_ID/Sports_novel,"Novel,Book,WrittenWork,Work"
14,DBPEDIA_ID/Zanabazar_(novel),"Novel,Book,WrittenWork,Work"
15,DBPEDIA_ID/Mosaic_novel,"Novel,Book,WrittenWork,Work"
16,DBPEDIA_ID/Garasu_no_Usagi,"Novel,Book,WrittenWork,Work"
17,DBPEDIA_ID/Sheng_Si_Qiao,"Novel,Book,WrittenWork,Work"
18,DBPEDIA_ID/Kushuku_Gakkou_No_Alice,"Novel,Book,WrittenWork,Work"
19,Yugavatara,"Novel,Book,WrittenWork,Work"
20,DBPEDIA_ID/Southall_(novel),"Novel,Book,WrittenWork,Work"
21,DBPEDIA_ID/In_Ballast_to_the_White_Sea,"Novel,Book,WrittenWork,Work"
