,entity,classes
0,DBPEDIA_ID/Achille_Casanova,"Person,OfficeHolder,Agent"
1,DBPEDIA_ID/Connie_Mulder,"Person,OfficeHolder,Agent"
2,DBPEDIA_ID/George_Allen_(American_football_coach),"Person,OfficeHolder,Agent"
3,DBPEDIA_ID/George_Allen_(U.S._politician),"Person,OfficeHolder,Agent"
4,DBPEDIA_ID/James_Adams_(Massachusetts_politician),"Person,OfficeHolder,Agent"
5,DBPEDIA_ID/James_Johnston_(Secretary_of_State),"Person,OfficeHolder,Agent"
6,DBPEDIA_ID/Jean-François_Delacroix,"Person,OfficeHolder,Agent"
7,DBPEDIA_ID/Napoleon_(actor),"Person,OfficeHolder,Agent"
8,DBPEDIA_ID/Abdul_Rashid_Dostum,"Person,OfficeHolder,Agent"
9,DBPEDIA_ID/Abraham_Lincoln,"Person,OfficeHolder,Agent"
10,DBPEDIA_ID/Albert_Speer,"Person,OfficeHolder,Agent"
11,DBPEDIA_ID/Alexander_Kerensky,"Person,OfficeHolder,Agent"
12,DBPEDIA_ID/Alexander_Mackenzie,"Person,OfficeHolder,Agent"
13,DBPEDIA_ID/Andrew_Jackson,"Person,OfficeHolder,Agent"
14,DBPEDIA_ID/Andrew_Johnson,"Person,OfficeHolder,Agent"
15,DBPEDIA_ID/Ariel_Sharon,"Person,OfficeHolder,Agent"
16,DBPEDIA_ID/Arnold_Schwarzenegger,"Person,OfficeHolder,Agent"
17,DBPEDIA_ID/Arthur_Phillip,"Person,OfficeHolder,Agent"
18,DBPEDIA_ID/Arthur_St._Clair,"Person,OfficeHolder,Agent"
19,"DBPEDIA_ID/Arthur_Wellesley,_1st_Duke_of_Wellington","Person,OfficeHolder,Agent"
20,DBPEDIA_ID/Aung_San_Suu_Kyi,"Person,OfficeHolder,Agent"
21,DBPEDIA_ID/Bal_Thackeray,"Person,OfficeHolder,Agent"
22,DBPEDIA_ID/Barry_Goldwater,"Person,OfficeHolder,Agent"
23,DBPEDIA_ID/Benjamin_Franklin,"Person,OfficeHolder,Agent"
24,DBPEDIA_ID/Bob_Hawke,"Person,OfficeHolder,Agent"
25,DBPEDIA_ID/Bohdan_Khmelnytsky,"Person,OfficeHolder,Agent"
26,DBPEDIA_ID/Bud_Selig,"Person,OfficeHolder,Agent"
27,DBPEDIA_ID/Burhanuddin_Rabbani,"Person,OfficeHolder,Agent"
28,DBPEDIA_ID/Calvin_Coolidge,"Person,OfficeHolder,Agent"
29,DBPEDIA_ID/Charles_Evers,"Person,OfficeHolder,Agent"
30,DBPEDIA_ID/Charles_Tupper,"Person,OfficeHolder,Agent"
31,DBPEDIA_ID/Clement_Attlee,"Person,OfficeHolder,Agent"
32,DBPEDIA_ID/Colin_Powell,"Person,OfficeHolder,Agent"
33,DBPEDIA_ID/Dan_Quayle,"Person,OfficeHolder,Agent"
34,DBPEDIA_ID/Dana_Rohrabacher,"Person,OfficeHolder,Agent"
35,DBPEDIA_ID/Daniel_Ortega,"Person,OfficeHolder,Agent"
36,DBPEDIA_ID/Deng_Xiaoping,"Person,OfficeHolder,Agent"
37,DBPEDIA_ID/Donald_Dewar,"Person,OfficeHolder,Agent"
38,DBPEDIA_ID/Donald_Rumsfeld,"Person,OfficeHolder,Agent"
39,DBPEDIA_ID/Dwight_D._Eisenhower,"Person,OfficeHolder,Agent"
40,DBPEDIA_ID/Edward_Bulwer-Lytton,"Person,OfficeHolder,Agent"
41,DBPEDIA_ID/Elbridge_Gerry,"Person,OfficeHolder,Agent"
42,DBPEDIA_ID/Elias_Boudinot,"Person,OfficeHolder,Agent"
