,entity,classes
0,DBPEDIA_ID/Deception_Pass,"Place,Park,Location"
1,DBPEDIA_ID/Park_Güell,"Place,Park,Location"
2,DBPEDIA_ID/Ouse_Washes,"Place,Park,Location"
3,DBPEDIA_ID/WWT_Slimbridge,"Place,Park,Location"
4,DBPEDIA_ID/WWT_Washington,"Place,Park,Location"
5,DBPEDIA_ID/Franklin_Square_(Hobart),"Place,Park,Location"
6,DBPEDIA_ID/Highbridge_Park,"Place,Park,Location"
7,DBPEDIA_ID/Maho_Beach,"Place,Park,Location"
8,DBPEDIA_ID/Safa_Park,"Place,Park,Location"
9,DBPEDIA_ID/South_Beach_State_Park,"Place,Park,Location"
10,DBPEDIA_ID/Agua_Caliente_Regional_Park,"Place,Park,Location"
11,"DBPEDIA_ID/Bedford_Park,_Bedford","Place,Park,Location"
12,DBPEDIA_ID/Blue_Lake_Regional_Park,"Place,Park,Location"
13,DBPEDIA_ID/Broomhill_Park,"Place,Park,Location"
14,DBPEDIA_ID/Capstone_Farm_Country_Park,"Place,Park,Location"
15,DBPEDIA_ID/Chasm_Provincial_Park,"Place,Park,Location"
16,DBPEDIA_ID/Collinson_Point_Provincial_Park,"Place,Park,Location"
17,DBPEDIA_ID/Del_Rey_Beach_State_Recreation_Site,"Place,Park,Location"
18,DBPEDIA_ID/Elizabeth_Park_(Michigan),"Place,Park,Location"
19,DBPEDIA_ID/Fort_Dupont_Park,"Place,Park,Location"
20,DBPEDIA_ID/Georgetown_Waterfront_Park,"Place,Park,Location"
21,DBPEDIA_ID/Gorky_Park_(Taganrog),"Place,Park,Location"
22,DBPEDIA_ID/Green_Springs_Park,"Place,Park,Location"
23,DBPEDIA_ID/Itchen_Valley_Country_Park,"Place,Park,Location"
24,DBPEDIA_ID/James_Chabot_Provincial_Park,"Place,Park,Location"
25,DBPEDIA_ID/Kit_Carson_Park,"Place,Park,Location"
26,DBPEDIA_ID/Lafayette_Park_(San_Francisco),"Place,Park,Location"
27,"DBPEDIA_ID/Lafayette_Square,_Washington,_D.C.","Place,Park,Location"
28,DBPEDIA_ID/Lafayette_Square_(Buffalo),"Place,Park,Location"
29,DBPEDIA_ID/Liwasang_Bonifacio,"Place,Park,Location"
30,"DBPEDIA_ID/Meir_Park,_Tel_Aviv","Place,Park,Location"
31,"DBPEDIA_ID/Mona_Vale,_Christchurch","Place,Park,Location"
32,DBPEDIA_ID/Nehalem_Bay_State_Park,"Place,Park,Location"
33,DBPEDIA_ID/O'Higgins_Park,"Place,Park,Location"
34,DBPEDIA_ID/Patton_Park_(Detroit),"Place,Park,Location"
35,DBPEDIA_ID/Pickwick_Landing_State_Park,"Place,Park,Location"
36,DBPEDIA_ID/Recreation_Park_(Binghamton),"Place,Park,Location"
37,DBPEDIA_ID/Recreation_Park_(Raymore),"Place,Park,Location"
38,DBPEDIA_ID/Regent's_Park,"Place,Park,Location"
39,"DBPEDIA_ID/Riverside_Park,_Montreal","Place,Park,Location"
40,DBPEDIA_ID/Riverside_Park_(Jacksonville),"Place,Park,Location"
41,DBPEDIA_ID/Riverside_Park_(Kamloops),"Place,Park,Location"
42,DBPEDIA_ID/Santa_Gertrudis-Boca_del_Infierno_Provincial_Park,"Place,Park,Location"
43,DBPEDIA_ID/Sellwood_Park,"Place,Park,Location"
44,DBPEDIA_ID/Sellwood_Riverfront_Park,"Place,Park,Location"
45,DBPEDIA_ID/Silver_Star_Provincial_Park,"Place,Park,Location"
46,DBPEDIA_ID/Sleeping_Beauty_Mountain_Provincial_Park,"Place,Park,Location"
47,DBPEDIA_ID/Sutro_Heights_Park,"Place,Park,Location"
48,DBPEDIA_ID/Victoria_Memorial_Square,"Place,Park,Location"
49,DBPEDIA_ID/Viger_Square,"Place,Park,Location"
50,DBPEDIA_ID/Waterfront_Park_(Charleston),"Place,Park,Location"
51,DBPEDIA_ID/Champion_Lakes_Provincial_Park,"Place,Park,Location"
52,DBPEDIA_ID/Cottonwood_Canyon_State_Park,"Place,Park,Location"
53,DBPEDIA_ID/Hanscom_Park,"Place,Park,Location"
54,DBPEDIA_ID/Porpoise_Bay_Provincial_Park,"Place,Park,Location"
55,DBPEDIA_ID/Allan_Park_(Charleston),"Place,Park,Location"
56,"DBPEDIA_ID/Anderson_Park,_Townsville","Place,Park,Location"
57,DBPEDIA_ID/Anderson_Park_(New_Jersey),"Place,Park,Location"
58,DBPEDIA_ID/Araluen_Botanic_Park,"Place,Park,Location"
59,DBPEDIA_ID/Beckenham_Place_Park,"Place,Park,Location"
60,DBPEDIA_ID/Bligh_Island_Marine_Provincial_Park,"Place,Park,Location"
61,DBPEDIA_ID/Bridge_Lake_Provincial_Park,"Place,Park,Location"
62,"DBPEDIA_ID/Cedar_Beach_(Brookhaven,_New_York)","Place,Park,Location"
63,DBPEDIA_ID/Clear_Lake_State_Park_(Michigan),"Place,Park,Location"
64,DBPEDIA_ID/Damrosch_Park,"Place,Park,Location"
65,DBPEDIA_ID/Eisenhower_State_Park_(Texas),"Place,Park,Location"
66,DBPEDIA_ID/Grohman_Narrows_Provincial_Park,"Place,Park,Location"
67,"DBPEDIA_ID/Kings_Park,_Boscombe","Place,Park,Location"
68,DBPEDIA_ID/Matheson_Hammock_Park,"Place,Park,Location"
69,DBPEDIA_ID/Mehtab_Bagh,"Place,Park,Location"
70,DBPEDIA_ID/Parque_Familiar_Julio_Enrique_Monagas,"Place,Park,Location"
71,"DBPEDIA_ID/People's_Park,_Chennai","Place,Park,Location"
72,"DBPEDIA_ID/People's_Park,_Dún_Laoghaire","Place,Park,Location"
73,DBPEDIA_ID/People's_Park_(Chengdu),"Place,Park,Location"
74,DBPEDIA_ID/People's_Park_(Davao_City),"Place,Park,Location"
75,DBPEDIA_ID/People's_Park_(Guangzhou),"Place,Park,Location"
76,DBPEDIA_ID/People's_Park_(Haikou),"Place,Park,Location"
77,DBPEDIA_ID/People's_Park_(Kashgar),"Place,Park,Location"
78,DBPEDIA_ID/People's_Park_(Nanning),"Place,Park,Location"
79,DBPEDIA_ID/People's_Park_(Shanghai),"Place,Park,Location"
80,DBPEDIA_ID/People's_Park_(Shenzhen),"Place,Park,Location"
81,DBPEDIA_ID/People's_Park_(Tianjin),"Place,Park,Location"
82,DBPEDIA_ID/People's_Park_(Valenzuela),"Place,Park,Location"
83,DBPEDIA_ID/People's_Park_(Xining),"Place,Park,Location"
84,DBPEDIA_ID/People's_Park_(Zibo),"Place,Park,Location"
85,DBPEDIA_ID/People's_Park_(Ürümqi),"Place,Park,Location"
86,DBPEDIA_ID/People's_Park_in_the_Sky,"Place,Park,Location"
87,DBPEDIA_ID/People's_Square_and_Park,"Place,Park,Location"
88,DBPEDIA_ID/Plaza_de_España_(Manila),"Place,Park,Location"
89,DBPEDIA_ID/Poole_Park,"Place,Park,Location"
90,DBPEDIA_ID/Red_Clay_State_Park,"Place,Park,Location"
91,DBPEDIA_ID/Roaring_River_Park,"Place,Park,Location"
92,DBPEDIA_ID/Roker_Park_(park),"Place,Park,Location"
93,DBPEDIA_ID/Seeley_Lake_Provincial_Park,"Place,Park,Location"
94,DBPEDIA_ID/Sgt._Mark_A._Rademacher_Memorial_Park,"Place,Park,Location"
95,DBPEDIA_ID/Shuswap_Lake_Provincial_Park,"Place,Park,Location"
96,"DBPEDIA_ID/The_Green_(Charlotte,_North_Carolina)","Place,Park,Location"
97,DBPEDIA_ID/Wendy_Poole_Park,"Place,Park,Location"
98,"DBPEDIA_ID/Bolívar_Park_(Medellín,_Colombia)","Place,Park,Location"
99,DBPEDIA_ID/Carrie_Murray_Nature_Center,"Place,Park,Location"
100,DBPEDIA_ID/Charles_Clore_Park,"Place,Park,Location"
101,DBPEDIA_ID/Circular_Park,"Place,Park,Location"
102,DBPEDIA_ID/Debdale_Park,"Place,Park,Location"
103,DBPEDIA_ID/Dixville_Notch_State_Park,"Place,Park,Location"
104,DBPEDIA_ID/Dufferin_Grove_Park,"Place,Park,Location"
105,DBPEDIA_ID/Fossil_Coral_Reef,"Place,Park,Location"
106,DBPEDIA_ID/Graystokes_Protected_Area,"Place,Park,Location"
107,DBPEDIA_ID/Horneline_Creek_Provincial_Park,"Place,Park,Location"
108,DBPEDIA_ID/Jimsmith_Lake_Provincial_Park,"Place,Park,Location"
109,DBPEDIA_ID/Burnham_Park_(Chicago),"Place,Park,Location"
110,DBPEDIA_ID/Burnham_Park_(Philippines),"Place,Park,Location"
111,DBPEDIA_ID/Locke_Park,"Place,Park,Location"
112,DBPEDIA_ID/Mabuasehube_Game_Reserve,"Place,Park,Location"
113,"DBPEDIA_ID/Mammoth_Site,_Hot_Springs","Place,Park,Location"
114,"DBPEDIA_ID/Marshall_Park_(Charlotte,_North_Carolina)","Place,Park,Location"
115,DBPEDIA_ID/Chestnut_Ridge_Park,"Place,Park,Location"
116,DBPEDIA_ID/Constitution_Island,"Place,Park,Location"
117,DBPEDIA_ID/Cunningham_Park,"Place,Park,Location"
118,DBPEDIA_ID/Flamengo_Park,"Place,Park,Location"
119,DBPEDIA_ID/Grange_Park_(Toronto),"Place,Park,Location"
120,DBPEDIA_ID/Kingsbury_Water_Park,"Place,Park,Location"
121,DBPEDIA_ID/Lu_Xun_Park_(Shanghai),"Place,Park,Location"
122,DBPEDIA_ID/Meadowlands_Environment_Center,"Place,Park,Location"
123,DBPEDIA_ID/Park_Hill_Recreation_Ground,"Place,Park,Location"
124,"DBPEDIA_ID/Queen_Elizabeth_Park,_New_Zealand","Place,Park,Location"
125,"DBPEDIA_ID/Raymond_Park,_Brisbane","Place,Park,Location"
126,DBPEDIA_ID/Southern_Boulevard_Parkway,"Place,Park,Location"
127,DBPEDIA_ID/Victory_Park_(Yerevan),"Place,Park,Location"
128,DBPEDIA_ID/Willcox_Playa,"Place,Park,Location"
129,"DBPEDIA_ID/Columbia_Park,_Torrance,_California","Place,Park,Location"
130,"DBPEDIA_ID/Columbia_Park_(Kennewick,_Washington)","Place,Park,Location"
131,DBPEDIA_ID/Pat_Nixon_Park,"Place,Park,Location"
132,"DBPEDIA_ID/Trevarno,_Cornwall","Place,Park,Location"
133,DBPEDIA_ID/Balboa_Park_Gardens,"Place,Park,Location"
134,DBPEDIA_ID/Brockhill_Country_Park,"Place,Park,Location"
135,DBPEDIA_ID/Carter_Caves_State_Resort_Park,"Place,Park,Location"
136,"DBPEDIA_ID/Castle_Park,_Bristol","Place,Park,Location"
137,DBPEDIA_ID/Heather-Dina_Lakes_Provincial_Park,"Place,Park,Location"
138,DBPEDIA_ID/Island_Beach_State_Park,"Place,Park,Location"
139,DBPEDIA_ID/Kingfisher_Country_Park,"Place,Park,Location"
140,DBPEDIA_ID/Lowe_Inlet_Marine_Provincial_Park,"Place,Park,Location"
141,DBPEDIA_ID/Marble_Canyon_Provincial_Park,"Place,Park,Location"
142,DBPEDIA_ID/Mount_Maxwell_Provincial_Park,"Place,Park,Location"
143,DBPEDIA_ID/Nopiming_Provincial_Park,"Place,Park,Location"
144,DBPEDIA_ID/Owyacumish_River_Provincial_Park,"Place,Park,Location"
145,DBPEDIA_ID/Aberdeen_Beach_and_Queens_Links,"Place,Park,Location"
146,DBPEDIA_ID/Arizona_State_University_Research_Park,"Place,Park,Location"
147,DBPEDIA_ID/Arroyo_Burro_Beach,"Place,Park,Location"
148,DBPEDIA_ID/Australian_Arid_Lands_Botanic_Garden,"Place,Park,Location"
149,DBPEDIA_ID/Bladensburg_Dueling_Grounds,"Place,Park,Location"
150,DBPEDIA_ID/Brushy_Peak_Regional_Preserve,"Place,Park,Location"
151,DBPEDIA_ID/Campgaw_Mountain_Reservation,"Place,Park,Location"
152,DBPEDIA_ID/Chashme_Shahi,"Place,Park,Location"
153,DBPEDIA_ID/Constitution_Square_Historic_Site,"Place,Park,Location"
154,DBPEDIA_ID/Crâng_park,"Place,Park,Location"
155,DBPEDIA_ID/Current_River_Greenway,"Place,Park,Location"
156,DBPEDIA_ID/Dr._Sun_Yat-Sen_Classical_Chinese_Garden,"Place,Park,Location"
157,DBPEDIA_ID/DuSable_Park_(Chicago),"Place,Park,Location"
158,DBPEDIA_ID/Galle_Face_Green,"Place,Park,Location"
159,DBPEDIA_ID/Harold_Washington_Park,"Place,Park,Location"
160,DBPEDIA_ID/Hazlehead_Park,"Place,Park,Location"
161,DBPEDIA_ID/Hearsall_Common,"Place,Park,Location"
162,DBPEDIA_ID/Jephson_Gardens,"Place,Park,Location"
163,DBPEDIA_ID/Johnston_Gardens,"Place,Park,Location"
164,DBPEDIA_ID/Kamiak_Butte,"Place,Park,Location"
165,DBPEDIA_ID/Kaunas_Botanical_Garden,"Place,Park,Location"
166,DBPEDIA_ID/Koomba_Park,"Place,Park,Location"
167,"DBPEDIA_ID/Kountze_Park_(Omaha,_Nebraska)","Place,Park,Location"
168,DBPEDIA_ID/Lafreniere_Park,"Place,Park,Location"
169,DBPEDIA_ID/Lipe_Art_Park,"Place,Park,Location"
170,DBPEDIA_ID/McCormick-Stillman_Railroad_Park,"Place,Park,Location"
171,DBPEDIA_ID/Middleton_Park,"Place,Park,Location"
172,DBPEDIA_ID/Moorbank_Botanic_Gardens,"Place,Park,Location"
173,DBPEDIA_ID/Mowbray_Park,"Place,Park,Location"
174,DBPEDIA_ID/Okeeheelee_Park,"Place,Park,Location"
175,DBPEDIA_ID/Panagal_Park,"Place,Park,Location"
176,DBPEDIA_ID/Pickett_CCC_Memorial_State_Park,"Place,Park,Location"
177,DBPEDIA_ID/Ping_Tom_Memorial_Park,"Place,Park,Location"
178,DBPEDIA_ID/Prospect_Terrace_Park,"Place,Park,Location"
179,DBPEDIA_ID/Quarry_Lakes_Regional_Recreation_Area,"Place,Park,Location"
180,DBPEDIA_ID/Quinta_da_Boa_Vista,"Place,Park,Location"
181,DBPEDIA_ID/Rouken_Glen,"Place,Park,Location"
182,DBPEDIA_ID/Rubislaw_and_Queens_Terrace_Gardens,"Place,Park,Location"
183,DBPEDIA_ID/Seaclose_Park,"Place,Park,Location"
184,DBPEDIA_ID/Shark_Valley,"Place,Park,Location"
185,DBPEDIA_ID/South_Norwood_Lake_and_Grounds,"Place,Park,Location"
186,DBPEDIA_ID/South_Norwood_Recreation_Ground,"Place,Park,Location"
187,DBPEDIA_ID/Standin'_on_the_Corner_Park,"Place,Park,Location"
188,DBPEDIA_ID/Standing_Stone_State_Park,"Place,Park,Location"
189,"DBPEDIA_ID/Stewart_Park,_Aberdeen","Place,Park,Location"
190,"DBPEDIA_ID/Stewart_Park,_Middlesbrough","Place,Park,Location"
191,DBPEDIA_ID/Sunrise_Park,"Place,Park,Location"
192,DBPEDIA_ID/Thunder_Bay_Soroptimist_International_Friendship_Garden,"Place,Park,Location"
193,DBPEDIA_ID/Tohono_Chul_Park,"Place,Park,Location"
194,DBPEDIA_ID/Upper_Barrakka_Gardens,"Place,Park,Location"
195,DBPEDIA_ID/Warder_Park,"Place,Park,Location"
196,DBPEDIA_ID/Wesley_Bolin_Memorial_Plaza,"Place,Park,Location"
197,DBPEDIA_ID/Westburn_Park,"Place,Park,Location"
198,DBPEDIA_ID/Wildspace_Conservation_Park,"Place,Park,Location"
199,DBPEDIA_ID/Wolcott_Mill_Metropark,"Place,Park,Location"
200,"DBPEDIA_ID/Biodiversity_park,_Hyderabad","Place,Park,Location"
201,DBPEDIA_ID/Camer_Park_Country_Park,"Place,Park,Location"
202,"DBPEDIA_ID/Clanton_Park_(Charlotte,_North_Carolina)","Place,Park,Location"
203,DBPEDIA_ID/Douglas_Park_(Chicago),"Place,Park,Location"
204,DBPEDIA_ID/Glen_Springs,"Place,Park,Location"
205,DBPEDIA_ID/Indiana_Botanic_Gardens,"Place,Park,Location"
206,DBPEDIA_ID/Lower_Oder_Valley_International_Park,"Place,Park,Location"
207,DBPEDIA_ID/Morton_Lake_Provincial_Park,"Place,Park,Location"
208,DBPEDIA_ID/Oliver_Cove_Marine_Provincial_Park,"Place,Park,Location"
209,DBPEDIA_ID/Sage_Ranch_Park,"Place,Park,Location"
210,DBPEDIA_ID/Toronto_Sculpture_Garden,"Place,Park,Location"
211,DBPEDIA_ID/Bergen_Park,"Place,Park,Location"
212,DBPEDIA_ID/Currawong_Bush_Park,"Place,Park,Location"
213,Kystagerparken,"Place,Park,Location"
214,"DBPEDIA_ID/Fairmount_Park_(Riverside,_California)","Place,Park,Location"
215,DBPEDIA_ID/Göksu_Park,"Place,Park,Location"
216,"DBPEDIA_ID/Hubbard_Park_(Shorewood,_Wisconsin)","Place,Park,Location"
217,DBPEDIA_ID/Mount_Terry_Fox_Provincial_Park,"Place,Park,Location"
218,DBPEDIA_ID/New_Town_Eco_Park,"Place,Park,Location"
219,DBPEDIA_ID/North_Park_Blocks,"Place,Park,Location"
220,DBPEDIA_ID/Oconee_Station_State_Historic_Site,"Place,Park,Location"
221,DBPEDIA_ID/Oyster_Point_Marina/Park,"Place,Park,Location"
222,"DBPEDIA_ID/Priory_Park,_Chichester","Place,Park,Location"
223,"DBPEDIA_ID/Stanmore_Country_Park,_Bridgnorth","Place,Park,Location"
224,DBPEDIA_ID/The_Alnwick_Garden,"Place,Park,Location"
225,DBPEDIA_ID/Vake_Park,"Place,Park,Location"
226,DBPEDIA_ID/Maksimir_Park,"Place,Park,Location"
227,DBPEDIA_ID/Panther_Creek_State_Park,"Place,Park,Location"
228,DBPEDIA_ID/Ptarmigan_Creek_Provincial_Park_and_Protected_Area,"Place,Park,Location"
229,DBPEDIA_ID/Ryckman_Park,"Place,Park,Location"
230,DBPEDIA_ID/Sorauren_Avenue_Park,"Place,Park,Location"
231,DBPEDIA_ID/Byrd_Park,"Place,Park,Location"
232,DBPEDIA_ID/Kalindi_Kunj,"Place,Park,Location"
233,DBPEDIA_ID/Moseley_Bog,"Place,Park,Location"
234,DBPEDIA_ID/Emigrant_Springs_State_Heritage_Area,"Place,Park,Location"
235,"DBPEDIA_ID/Nanjing_Botanical_Garden,_Memorial_Sun_Yat-Sen","Place,Park,Location"
236,DBPEDIA_ID/Place_des_Arts,"Place,Park,Location"
237,DBPEDIA_ID/St._James's_Square,"Place,Park,Location"
238,DBPEDIA_ID/South_Cumberland_State_Park,"Place,Park,Location"
