,entity,classes
0,DBPEDIA_ID/Algorithms_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
1,DBPEDIA_ID/Annals_of_Mathematics,"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
2,DBPEDIA_ID/Boston_Herald,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
3,DBPEDIA_ID/Cahiers_du_cinéma,"PeriodicalLiterature,Magazine,Work,WrittenWork"
4,DBPEDIA_ID/Cell_Cycle_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
5,DBPEDIA_ID/Constellations_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
6,DBPEDIA_ID/Fossil_Record,"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
7,DBPEDIA_ID/Mad_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
8,DBPEDIA_ID/National_Lampoon_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
9,Playboy,"PeriodicalLiterature,Magazine,Work,WrittenWork"
10,DBPEDIA_ID/Punch_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
11,DBPEDIA_ID/Rolling_Stone,"PeriodicalLiterature,Magazine,Work,WrittenWork"
12,DBPEDIA_ID/Svenska_Dagbladet,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
13,DBPEDIA_ID/Bulletin_of_the_Atomic_Scientists,"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
14,DBPEDIA_ID/Anarchy:_A_Journal_of_Desire_Armed,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
15,DBPEDIA_ID/Commodore_User,"PeriodicalLiterature,Magazine,Work,WrittenWork"
16,NME,"PeriodicalLiterature,Magazine,Work,WrittenWork"
17,Proletären,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
18,DBPEDIA_ID/Smithsonian_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
19,DBPEDIA_ID/The_Irish_Times,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
20,DBPEDIA_ID/The_Japan_Times,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
21,DBPEDIA_ID/Toronto_Star,"Newspaper,PeriodicalLiterature,Work,WrittenWork"
22,DBPEDIA_ID/Anglo-Saxon_England_(journal),"AcademicJournal,Work,WrittenWork,PeriodicalLiterature"
23,DBPEDIA_ID/Binah_(magazine),"PeriodicalLiterature,Magazine,Work,WrittenWork"
