,entity,classes
0,DBPEDIA_ID/Academy_of_Achievement__1,PersonFunction
1,DBPEDIA_ID/Academy_of_Achievement__2,PersonFunction
2,DBPEDIA_ID/Academy_of_Achievement__3,PersonFunction
3,DBPEDIA_ID/Academy_of_Achievement__4,PersonFunction
4,DBPEDIA_ID/Al_White__1,PersonFunction
5,DBPEDIA_ID/Albert_Fuller_Ellis__1,PersonFunction
6,DBPEDIA_ID/Aleksei_Kravchenko__1,PersonFunction
7,DBPEDIA_ID/Alex_d'Arbeloff__1,PersonFunction
8,DBPEDIA_ID/Alice_Calhoun__1,PersonFunction
9,DBPEDIA_ID/Amazon_Cooperation_Treaty_Organization__1,PersonFunction
10,DBPEDIA_ID/Amazon_Cooperation_Treaty_Organization__2,PersonFunction
11,DBPEDIA_ID/American_Institute_of_Biological_Sciences__1,PersonFunction
12,DBPEDIA_ID/American_Institute_of_Biological_Sciences__2,PersonFunction
13,DBPEDIA_ID/Amy_Hunter__1,PersonFunction
14,DBPEDIA_ID/Andrew_Paul__1,PersonFunction
15,DBPEDIA_ID/André_Salmon__1,PersonFunction
16,DBPEDIA_ID/Antoine_Froment__1,PersonFunction
17,DBPEDIA_ID/António_Soares_dos_Reis__1,PersonFunction
18,DBPEDIA_ID/Ariyon_Bakare__1,PersonFunction
19,DBPEDIA_ID/Arliss_Howard__1,PersonFunction
20,DBPEDIA_ID/Armand_Peugeot__1,PersonFunction
21,DBPEDIA_ID/Artur_Rojek__1,PersonFunction
22,DBPEDIA_ID/BVI_Bar_Association__1,PersonFunction
23,DBPEDIA_ID/BVI_Bar_Association__2,PersonFunction
24,DBPEDIA_ID/Barbie_Wilde__1,PersonFunction
25,DBPEDIA_ID/Bart_Van_den_Bossche__1,PersonFunction
26,"DBPEDIA_ID/Belford_Lawson,_Jr.__1",PersonFunction
27,DBPEDIA_ID/Ben_Verwaayen__1,PersonFunction
28,DBPEDIA_ID/Bernard_Keble_Sandwell__1,PersonFunction
29,DBPEDIA_ID/Bill_Bonds__1,PersonFunction
30,DBPEDIA_ID/Blaze_Berdahl__1,PersonFunction
31,DBPEDIA_ID/Bob_Peterson_(filmmaker)__1,PersonFunction
32,DBPEDIA_ID/Bob_Sellers__1,PersonFunction
33,DBPEDIA_ID/Bradley_Pierce__1,PersonFunction
34,DBPEDIA_ID/Bradley_Pierce__2,PersonFunction
35,DBPEDIA_ID/Carlos_de_Sigüenza_y_Góngora__1,PersonFunction
36,DBPEDIA_ID/Casey_McKinnon__1,PersonFunction
37,DBPEDIA_ID/Charles_Coborn__1,PersonFunction
38,DBPEDIA_ID/Charles_Trick_Currelly__1,PersonFunction
39,DBPEDIA_ID/Charlotte_Long__1,PersonFunction
40,DBPEDIA_ID/Cheryl_Blaylock__1,PersonFunction
41,DBPEDIA_ID/Chimaji_Appa__1,PersonFunction
42,DBPEDIA_ID/Chimaji_Appa__2,PersonFunction
43,DBPEDIA_ID/Christian_Commission_for_Development_in_Bangladesh__1,PersonFunction
44,DBPEDIA_ID/Christian_Commission_for_Development_in_Bangladesh__2,PersonFunction
45,DBPEDIA_ID/Clara_Bryant__1,PersonFunction
46,DBPEDIA_ID/Connie_Powney__1,PersonFunction
47,DBPEDIA_ID/Dan_Gilroy__1,PersonFunction
48,DBPEDIA_ID/David_Simon_(CEO)__1,PersonFunction
49,DBPEDIA_ID/David_Varney__1,PersonFunction
50,DBPEDIA_ID/Deb_Lacusta__1,PersonFunction
51,DBPEDIA_ID/Debbie_Lee_Carrington__1,PersonFunction
52,DBPEDIA_ID/Deborah_Rush__1,PersonFunction
53,DBPEDIA_ID/Delnaaz_Irani__1,PersonFunction
54,DBPEDIA_ID/Dieter_Brummer__1,PersonFunction
55,DBPEDIA_ID/Dolores_Donlon__1,PersonFunction
56,DBPEDIA_ID/Dolores_Donlon__2,PersonFunction
57,DBPEDIA_ID/Douglas_Bassett_(media_executive)__1,PersonFunction
58,DBPEDIA_ID/Dusty_Boggess__1,PersonFunction
59,DBPEDIA_ID/Elaine_Graham__1,PersonFunction
60,DBPEDIA_ID/Elaine_Graham__2,PersonFunction
61,DBPEDIA_ID/Elias_Simojoki__1,PersonFunction
62,DBPEDIA_ID/Elias_Simojoki__2,PersonFunction
63,DBPEDIA_ID/Enver_Petrovci__1,PersonFunction
64,DBPEDIA_ID/Ere_Kokkonen__1,PersonFunction
65,DBPEDIA_ID/Erica_Gimpel__1,PersonFunction
66,DBPEDIA_ID/Erik_Chitty__1,PersonFunction
67,DBPEDIA_ID/Ernest_Henry_Wilson__1,PersonFunction
68,DBPEDIA_ID/Fars_News_Agency__1,PersonFunction
69,DBPEDIA_ID/Fars_News_Agency__2,PersonFunction
70,DBPEDIA_ID/Fars_News_Agency__3,PersonFunction
71,DBPEDIA_ID/Fars_News_Agency__4,PersonFunction
72,DBPEDIA_ID/Financial_News_Network__1,PersonFunction
73,DBPEDIA_ID/Financial_News_Network__2,PersonFunction
74,DBPEDIA_ID/Financial_News_Network__3,PersonFunction
75,DBPEDIA_ID/Financial_News_Network__4,PersonFunction
76,DBPEDIA_ID/Francis_W._Eppes__1,PersonFunction
77,DBPEDIA_ID/Franciscan_Missionaries_of_Mary__1,PersonFunction
78,DBPEDIA_ID/Franciscan_Missionaries_of_Mary__2,PersonFunction
79,DBPEDIA_ID/Francisco_de_Paula_Aguirre__1,PersonFunction
80,DBPEDIA_ID/Frank_Luntz__1,PersonFunction
81,DBPEDIA_ID/Frederick_William_Wallace__1,PersonFunction
82,DBPEDIA_ID/Gad_Granach__1,PersonFunction
83,DBPEDIA_ID/Gareth_Jones_(journalist)__1,PersonFunction
84,DBPEDIA_ID/Gavin_Lee__1,PersonFunction
85,DBPEDIA_ID/Genelia_D'Souza__1,PersonFunction
86,DBPEDIA_ID/George_Hakewill__1,PersonFunction
87,DBPEDIA_ID/Goya_Toledo__1,PersonFunction
88,DBPEDIA_ID/Gregg_Jarrett__1,PersonFunction
89,DBPEDIA_ID/Gregory_Poirier__1,PersonFunction
90,DBPEDIA_ID/Guy_Kibbee__1,PersonFunction
91,DBPEDIA_ID/Hardie_Gramatky__1,PersonFunction
92,DBPEDIA_ID/Harry_Horner__1,PersonFunction
93,DBPEDIA_ID/Hein_van_de_Geyn__1,PersonFunction
94,DBPEDIA_ID/Helen_Ainsworth__1,PersonFunction
95,DBPEDIA_ID/Henry_Birks__1,PersonFunction
96,DBPEDIA_ID/Henry_Peavey__1,PersonFunction
97,DBPEDIA_ID/Heywood_Hale_Broun__1,PersonFunction
98,DBPEDIA_ID/International_Association_of_Volcanology_and_Chemistry_of_the_Earth's_Interior__1,PersonFunction
99,DBPEDIA_ID/International_Association_of_Volcanology_and_Chemistry_of_the_Earth's_Interior__2,PersonFunction
100,DBPEDIA_ID/International_Federation_of_Pharmaceutical_Manufacturers_&_Associations__1,PersonFunction
101,DBPEDIA_ID/International_Federation_of_Pharmaceutical_Manufacturers_&_Associations__2,PersonFunction
102,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__1,PersonFunction
103,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__2,PersonFunction
104,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__3,PersonFunction
105,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__4,PersonFunction
106,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__5,PersonFunction
107,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__6,PersonFunction
108,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__7,PersonFunction
109,DBPEDIA_ID/International_Union_of_Geodesy_and_Geophysics__8,PersonFunction
110,DBPEDIA_ID/Iqbal_Ahmed__1,PersonFunction
111,DBPEDIA_ID/Iqbal_Ahmed__2,PersonFunction
112,DBPEDIA_ID/J._Gordon_Edwards__1,PersonFunction
113,DBPEDIA_ID/Jaason_Simmons__1,PersonFunction
114,DBPEDIA_ID/Jack_Martin_Smith__1,PersonFunction
