,entity,classes
0,DBPEDIA_ID/Giordano_Bruno,"Person,Philosopher,Agent"
1,Montesquieu,"Person,Philosopher,Agent"
2,Socrates,"Person,Philosopher,Agent"
3,DBPEDIA_ID/A._J._Ayer,"Person,Philosopher,Agent"
4,DBPEDIA_ID/Adam_Smith,"Person,Philosopher,Agent"
5,DBPEDIA_ID/Adam_Weishaupt,"Person,Philosopher,Agent"
6,DBPEDIA_ID/Albert_Camus,"Person,Philosopher,Agent"
7,Anaxagoras,"Person,Philosopher,Agent"
8,Anaximander,"Person,Philosopher,Agent"
9,DBPEDIA_ID/Anaximenes_of_Miletus,"Person,Philosopher,Agent"
10,Aristotle,"Person,Philosopher,Agent"
11,DBPEDIA_ID/Arthur_Schopenhauer,"Person,Philosopher,Agent"
12,DBPEDIA_ID/Baruch_Spinoza,"Person,Philosopher,Agent"
13,DBPEDIA_ID/Bertrand_Russell,"Person,Philosopher,Agent"
14,DBPEDIA_ID/Blaise_Pascal,"Person,Philosopher,Agent"
15,Confucius,"Person,Philosopher,Agent"
16,DBPEDIA_ID/Daniel_Dennett,"Person,Philosopher,Agent"
17,DBPEDIA_ID/David_Hume,"Person,Philosopher,Agent"
18,Democritus,"Person,Philosopher,Agent"
19,DBPEDIA_ID/Denis_Diderot,"Person,Philosopher,Agent"
20,DBPEDIA_ID/Desiderius_Erasmus,"Person,Philosopher,Agent"
21,DBPEDIA_ID/Edmund_Burke,"Person,Philosopher,Agent"
22,DBPEDIA_ID/Edmund_Husserl,"Person,Philosopher,Agent"
23,DBPEDIA_ID/Emma_Goldman,"Person,Philosopher,Agent"
24,Empedocles,"Person,Philosopher,Agent"
25,Epictetus,"Person,Philosopher,Agent"
26,Epicurus,"Person,Philosopher,Agent"
27,DBPEDIA_ID/Ferdinand_de_Saussure,"Person,Philosopher,Agent"
28,DBPEDIA_ID/Francis_Bacon,"Person,Philosopher,Agent"
29,DBPEDIA_ID/Francis_Fukuyama,"Person,Philosopher,Agent"
30,DBPEDIA_ID/Franz_Bopp,"Person,Philosopher,Agent"
31,DBPEDIA_ID/Friedrich_Nietzsche,"Person,Philosopher,Agent"
32,DBPEDIA_ID/Félix_Guattari,"Person,Philosopher,Agent"
33,DBPEDIA_ID/G._E._Moore,"Person,Philosopher,Agent"
34,DBPEDIA_ID/Georg_Henrik_von_Wright,"Person,Philosopher,Agent"
35,DBPEDIA_ID/Georg_Wilhelm_Friedrich_Hegel,"Person,Philosopher,Agent"
36,DBPEDIA_ID/George_Berkeley,"Person,Philosopher,Agent"
37,DBPEDIA_ID/George_Pappas,"Person,Philosopher,Agent"
38,DBPEDIA_ID/Gilles_Deleuze,"Person,Philosopher,Agent"
39,DBPEDIA_ID/Gottfried_Wilhelm_Leibniz,"Person,Philosopher,Agent"
40,DBPEDIA_ID/Hans-Georg_Gadamer,"Person,Philosopher,Agent"
41,DBPEDIA_ID/Henri_Bergson,"Person,Philosopher,Agent"
42,Heraclitus,"Person,Philosopher,Agent"
43,DBPEDIA_ID/Immanuel_Kant,"Person,Philosopher,Agent"
44,DBPEDIA_ID/Jacques_Lacan,"Person,Philosopher,Agent"
45,DBPEDIA_ID/Jan_Hus,"Person,Philosopher,Agent"
46,DBPEDIA_ID/Jean-Jacques_Rousseau,"Person,Philosopher,Agent"
47,DBPEDIA_ID/Jean-Paul_Sartre,"Person,Philosopher,Agent"
48,DBPEDIA_ID/Johann_Gottlieb_Fichte,"Person,Philosopher,Agent"
49,DBPEDIA_ID/John_Dewey,"Person,Philosopher,Agent"
50,DBPEDIA_ID/John_Locke,"Person,Philosopher,Agent"
51,DBPEDIA_ID/John_Stuart_Mill,"Person,Philosopher,Agent"
52,DBPEDIA_ID/John_Wycliffe,"Person,Philosopher,Agent"
53,DBPEDIA_ID/Julia_Kristeva,"Person,Philosopher,Agent"
54,DBPEDIA_ID/Jürgen_Habermas,"Person,Philosopher,Agent"
55,DBPEDIA_ID/Karl_Marx,"Person,Philosopher,Agent"
56,DBPEDIA_ID/Karl_Popper,"Person,Philosopher,Agent"
57,Leucippus,"Person,Philosopher,Agent"
58,DBPEDIA_ID/Ludwig_Wittgenstein,"Person,Philosopher,Agent"
59,Maimonides,"Person,Philosopher,Agent"
60,DBPEDIA_ID/Marshall_McLuhan,"Person,Philosopher,Agent"
61,DBPEDIA_ID/Maurice_Merleau-Ponty,"Person,Philosopher,Agent"
62,DBPEDIA_ID/Max_Horkheimer,"Person,Philosopher,Agent"
63,DBPEDIA_ID/Meher_Baba,"Person,Philosopher,Agent"
64,DBPEDIA_ID/Mortimer_J._Adler,"Person,Philosopher,Agent"
65,DBPEDIA_ID/Niccolò_Machiavelli,"Person,Philosopher,Agent"
66,DBPEDIA_ID/Noam_Chomsky,"Person,Philosopher,Agent"
67,DBPEDIA_ID/Oswald_Spengler,"Person,Philosopher,Agent"
