,entity,classes
0,DBPEDIA_ID/Ezra_Stoller,"Photographer,Person,Agent,Artist"
1,DBPEDIA_ID/Todd_Selby,"Photographer,Person,Agent,Artist"
2,DBPEDIA_ID/William_Nicholson_Jennings,"Photographer,Person,Agent,Artist"
3,DBPEDIA_ID/Arny_Freytag,"Photographer,Person,Agent,Artist"
4,DBPEDIA_ID/David_Lee_(still_photographer),"Photographer,Person,Agent,Artist"
5,DBPEDIA_ID/Elena_Dorfman,"Photographer,Person,Agent,Artist"
6,DBPEDIA_ID/John_Gutmann,"Photographer,Person,Agent,Artist"
7,DBPEDIA_ID/Michael_Barone_(photographer),"Photographer,Person,Agent,Artist"
8,DBPEDIA_ID/Steve_Schapiro,"Photographer,Person,Agent,Artist"
9,DBPEDIA_ID/Esther_Levine,"Photographer,Person,Agent,Artist"
10,DBPEDIA_ID/George_Napolitano,"Photographer,Person,Agent,Artist"
11,DBPEDIA_ID/Jay_Maisel,"Photographer,Person,Agent,Artist"
12,DBPEDIA_ID/Laura_McPhee,"Photographer,Person,Agent,Artist"
13,DBPEDIA_ID/Marion_Ettlinger,"Photographer,Person,Agent,Artist"
14,DBPEDIA_ID/Mark_Powell_(photographer),"Photographer,Person,Agent,Artist"
15,DBPEDIA_ID/Richard_Drew_(photographer),"Photographer,Person,Agent,Artist"
16,DBPEDIA_ID/Alan_Chin_(photographer),"Photographer,Person,Agent,Artist"
17,DBPEDIA_ID/Furman_Stewart_Baldwin,"Photographer,Person,Agent,Artist"
18,DBPEDIA_ID/Guy_William_Willis_Stevens,"Photographer,Person,Agent,Artist"
19,DBPEDIA_ID/Jet_Lowe,"Photographer,Person,Agent,Artist"
20,DBPEDIA_ID/Jonathan_Blair,"Photographer,Person,Agent,Artist"
21,DBPEDIA_ID/Irving_Schild,"Photographer,Person,Agent,Artist"
22,DBPEDIA_ID/Ralph_R._Doubleday,"Photographer,Person,Agent,Artist"
23,DBPEDIA_ID/Art_Sinsabaugh,"Photographer,Person,Agent,Artist"
24,DBPEDIA_ID/Mark_Feldstein,"Photographer,Person,Agent,Artist"
25,DBPEDIA_ID/Cynthia_Elbaum,"Photographer,Person,Agent,Artist"
