,entity,classes
0,"DBPEDIA_ID/Kansas_City,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
1,DBPEDIA_ID/2001_Mars_Odyssey,"Place,Satellite,CelestialBody,ArtificialSatellite,Location"
2,Aalen,"Town,PopulatedPlace,Settlement,Place,Location"
3,Aarau,"PopulatedPlace,Settlement,Place,Location"
4,Abakan,"PopulatedPlace,Settlement,Place,Location"
5,DBPEDIA_ID/Abbotsford_House,"ArchitecturalStructure,Building,Place,Location"
6,"DBPEDIA_ID/Abdera,_Thrace","PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
7,Abensberg,"Town,PopulatedPlace,Settlement,Place,Location"
8,Abercarn,"PopulatedPlace,Settlement,Place,Location"
9,Aberdare,"PopulatedPlace,Settlement,Place,Location"
10,"DBPEDIA_ID/Aberdeen,_South_Dakota","City,Settlement,Place,Location,PopulatedPlace"
11,Aberdour,"PopulatedPlace,Settlement,Place,Location"
12,"DBPEDIA_ID/Aberfoyle,_Stirling","PopulatedPlace,Settlement,Place,Location"
13,Abergavenny,"PopulatedPlace,Settlement,Place,Location"
14,Abersychan,"PopulatedPlace,Settlement,Place,Location"
15,Abertillery,"PopulatedPlace,Settlement,Place,Location"
16,Accrington,"PopulatedPlace,Settlement,Place,Location"
17,Achduart,"PopulatedPlace,Settlement,Place,Location"
18,DBPEDIA_ID/Achill_Island,"Island,Place,Location,PopulatedPlace"
19,Achiltibuie,"PopulatedPlace,Settlement,Place,Location"
20,DBPEDIA_ID/Acropolis_of_Athens,"Place,Location,WorldHeritageSite"
21,DBPEDIA_ID/Adrastea_(moon),"Planet,CelestialBody,Place,Location"
22,DBPEDIA_ID/Aegean_Sea,"Place,BodyOfWater,NaturalPlace,Location,Sea"
23,Aegina,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
24,Ajaccio,"PopulatedPlace,Settlement,Place,Location"
25,DBPEDIA_ID/Ajanta_Caves,"Place,Location,WorldHeritageSite"
26,Ajmer-Merwara,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
27,DBPEDIA_ID/Akkadian_Empire,"Country,Place,Location,PopulatedPlace"
28,DBPEDIA_ID/Alabama_River,"Stream,BodyOfWater,Place,Location,NaturalPlace,River"
