,entity,classes
0,DBPEDIA_ID/Adrastea_(moon),"Planet,CelestialBody,Place,Location"
1,DBPEDIA_ID/Carme_(moon),"Planet,CelestialBody,Place,Location"
2,Earth,"Planet,CelestialBody,Place,Location"
3,DBPEDIA_ID/Lysithea_(moon),"Planet,CelestialBody,Place,Location"
4,DBPEDIA_ID/Mercury_(planet),"Planet,CelestialBody,Place,Location"
5,DBPEDIA_ID/Miranda_(moon),"Planet,CelestialBody,Place,Location"
6,Moon,"Planet,CelestialBody,Place,Location"
7,DBPEDIA_ID/Naiad_(moon),"Planet,CelestialBody,Place,Location"
8,DBPEDIA_ID/Nereid_(moon),"Planet,CelestialBody,Place,Location"
9,DBPEDIA_ID/1354_Botha,"Planet,CelestialBody,Place,Location"
10,DBPEDIA_ID/435_Ella,"Planet,CelestialBody,Place,Location"
11,DBPEDIA_ID/(419624)_2010_SO16,"Planet,CelestialBody,Place,Location"
12,DBPEDIA_ID/102_Miriam,"Planet,CelestialBody,Place,Location"
13,DBPEDIA_ID/1093_Freda,"Planet,CelestialBody,Place,Location"
14,DBPEDIA_ID/1108_Demeter,"Planet,CelestialBody,Place,Location"
15,DBPEDIA_ID/1114_Lorraine,"Planet,CelestialBody,Place,Location"
16,DBPEDIA_ID/111_Ate,"Planet,CelestialBody,Place,Location"
17,DBPEDIA_ID/1160_Illyria,"Planet,CelestialBody,Place,Location"
18,DBPEDIA_ID/1162_Larissa,"Planet,CelestialBody,Place,Location"
19,DBPEDIA_ID/1193_Africa,"Planet,CelestialBody,Place,Location"
20,DBPEDIA_ID/135_Hertha,"Planet,CelestialBody,Place,Location"
21,DBPEDIA_ID/1388_Aphrodite,"Planet,CelestialBody,Place,Location"
22,DBPEDIA_ID/174_Phaedra,"Planet,CelestialBody,Place,Location"
23,DBPEDIA_ID/181_Eucharis,"Planet,CelestialBody,Place,Location"
24,DBPEDIA_ID/1865_Cerberus,"Planet,CelestialBody,Place,Location"
25,DBPEDIA_ID/1923_Osiris,"Planet,CelestialBody,Place,Location"
26,DBPEDIA_ID/1981_Midas,"Planet,CelestialBody,Place,Location"
27,DBPEDIA_ID/2091_Sampo,"Planet,CelestialBody,Place,Location"
28,DBPEDIA_ID/20_Massalia,"Planet,CelestialBody,Place,Location"
29,DBPEDIA_ID/2146_Stentor,"Planet,CelestialBody,Place,Location"
30,DBPEDIA_ID/2244_Tesla,"Planet,CelestialBody,Place,Location"
31,DBPEDIA_ID/244_Sita,"Planet,CelestialBody,Place,Location"
32,DBPEDIA_ID/26_Proserpina,"Planet,CelestialBody,Place,Location"
33,DBPEDIA_ID/302_Clarissa,"Planet,CelestialBody,Place,Location"
34,DBPEDIA_ID/3204_Lindgren,"Planet,CelestialBody,Place,Location"
35,DBPEDIA_ID/32_Pomona,"Planet,CelestialBody,Place,Location"
36,DBPEDIA_ID/3568_ASCII,"Planet,CelestialBody,Place,Location"
37,DBPEDIA_ID/3917_Franz_Schubert,"Planet,CelestialBody,Place,Location"
38,DBPEDIA_ID/423_Diotima,"Planet,CelestialBody,Place,Location"
39,DBPEDIA_ID/490_Veritas,"Planet,CelestialBody,Place,Location"
40,DBPEDIA_ID/5143_Heracles,"Planet,CelestialBody,Place,Location"
41,DBPEDIA_ID/551_Ortrud,"Planet,CelestialBody,Place,Location"
42,DBPEDIA_ID/569_Misa,"Planet,CelestialBody,Place,Location"
43,DBPEDIA_ID/580_Selene,"Planet,CelestialBody,Place,Location"
44,DBPEDIA_ID/603_Timandra,"Planet,CelestialBody,Place,Location"
45,DBPEDIA_ID/642_Clara,"Planet,CelestialBody,Place,Location"
46,DBPEDIA_ID/6473_Winkler,"Planet,CelestialBody,Place,Location"
47,DBPEDIA_ID/68_Leto,"Planet,CelestialBody,Place,Location"
48,DBPEDIA_ID/704_Interamnia,"Planet,CelestialBody,Place,Location"
49,DBPEDIA_ID/734_Benda,"Planet,CelestialBody,Place,Location"
50,DBPEDIA_ID/754_Malabar,"Planet,CelestialBody,Place,Location"
51,DBPEDIA_ID/79360_Sila–Nunam,"Planet,CelestialBody,Place,Location"
52,DBPEDIA_ID/815_Coppelia,"Planet,CelestialBody,Place,Location"
53,DBPEDIA_ID/905_Universitas,"Planet,CelestialBody,Place,Location"
54,DBPEDIA_ID/Cupid_(moon),"Planet,CelestialBody,Place,Location"
55,DBPEDIA_ID/Prometheus_(moon),"Planet,CelestialBody,Place,Location"
56,DBPEDIA_ID/Trinculo_(moon),"Planet,CelestialBody,Place,Location"
57,DBPEDIA_ID/1761_Edmondson,"Planet,CelestialBody,Place,Location"
58,DBPEDIA_ID/344_Desiderata,"Planet,CelestialBody,Place,Location"
59,DBPEDIA_ID/981_Martina,"Planet,CelestialBody,Place,Location"
60,DBPEDIA_ID/1029_La_Plata,"Planet,CelestialBody,Place,Location"
61,DBPEDIA_ID/1190_Pelagia,"Planet,CelestialBody,Place,Location"
62,DBPEDIA_ID/1269_Rollandia,"Planet,CelestialBody,Place,Location"
63,DBPEDIA_ID/1374_Isora,"Planet,CelestialBody,Place,Location"
64,DBPEDIA_ID/14827_Hypnos,"Planet,CelestialBody,Place,Location"
65,DBPEDIA_ID/15374_Teta,"Planet,CelestialBody,Place,Location"
66,DBPEDIA_ID/1565_Lemaître,"Planet,CelestialBody,Place,Location"
