,entity,classes
0,Abacá,"Plant,Eukaryote,Species"
1,Ailanthus,"Plant,Eukaryote,Species"
2,Alder,"Plant,Eukaryote,Species"
3,Amaranth,"Plant,Eukaryote,Species"
4,Apiaceae,"Plant,Eukaryote,Species"
5,Aquilegia,"Plant,Eukaryote,Species"
6,Asimina,"Plant,Eukaryote,Species"
7,Asteraceae,"Plant,Eukaryote,Species"
8,Brassicaceae,"Plant,Eukaryote,Species"
9,Brassicales,"Plant,Eukaryote,Species"
10,DBPEDIA_ID/Ceiba_pentandra,"Plant,Eukaryote,Species"
11,Cereal,"Plant,Eukaryote,Species"
12,Chlorophyceae,"Plant,GreenAlga,Eukaryote,Species"
13,Coffea,"Plant,Eukaryote,Species"
14,Commelinales,"Plant,Eukaryote,Species"
15,Cranberry,"Plant,Eukaryote,Species"
16,Cucurbitaceae,"Plant,Eukaryote,Species"
17,Cucurbitales,"Plant,Eukaryote,Species"
18,Datura,"Plant,Eukaryote,Species"
19,Digitalis,"Plant,Eukaryote,Species"
20,Dioscoreales,"Plant,Eukaryote,Species"
21,Ericaceae,"Plant,Eukaryote,Species"
22,Ericales,"Plant,Eukaryote,Species"
23,Fagales,"Plant,Eukaryote,Species"
24,DBPEDIA_ID/Flowering_plant,"Plant,Eukaryote,Species"
25,DBPEDIA_ID/Kalmia_latifolia,"Plant,Eukaryote,Species"
26,Kohlrabi,"Plant,Eukaryote,Species,CultivatedVariety"
27,Kumquat,"Plant,Eukaryote,Species"
28,Lamiaceae,"Plant,Eukaryote,Species"
29,Lamiales,"Plant,Eukaryote,Species"
30,Laurales,"Plant,Eukaryote,Species"
31,Lavandula,"Plant,Eukaryote,Species"
32,Liliales,"Plant,Eukaryote,Species"
33,Magnoliales,"Plant,Eukaryote,Species"
34,Malpighiales,"Plant,Eukaryote,Species"
35,Malvales,"Plant,Eukaryote,Species"
36,DBPEDIA_ID/McIntosh_(apple),"Plant,Eukaryote,Species,CultivatedVariety"
37,Mentha,"Plant,Eukaryote,Species"
38,Merlot,"FloweringPlant,Plant,Eukaryote,Species,Grape"
39,Mimosa,"Plant,Eukaryote,Species"
40,Myrtales,"Plant,Eukaryote,Species"
41,Nepeta,"Plant,Eukaryote,Species"
42,Orchidaceae,"Plant,Eukaryote,Species"
43,Pear,"Plant,Eukaryote,Species"
44,Peppermint,"Plant,Eukaryote,Species"
45,DBPEDIA_ID/Piper_(genus),"Plant,Eukaryote,Species"
46,Poales,"Plant,Eukaryote,Species"
47,DBPEDIA_ID/Podocarpus_latifolius,"Plant,Eukaryote,Species,Conifer"
48,Polygonaceae,"Plant,Eukaryote,Species"
