,entity,classes
0,DBPEDIA_ID/A_Doll's_House,"Play,Work,WrittenWork"
1,DBPEDIA_ID/Rosencrantz_and_Guildenstern_Are_Dead,"Play,Work,WrittenWork"
2,DBPEDIA_ID/Death_of_a_Salesman,"Play,Work,WrittenWork"
3,DBPEDIA_ID/Educating_Rita,"Play,Work,WrittenWork"
4,DBPEDIA_ID/Funny_Money,"Play,Work,WrittenWork"
5,DBPEDIA_ID/Life_with_Father,"Play,Work,WrittenWork"
6,DBPEDIA_ID/Night_Must_Fall,"Play,Work,WrittenWork"
7,DBPEDIA_ID/Oedipus_at_Colonus,"Play,Work,WrittenWork"
8,DBPEDIA_ID/The_Great_White_Hope,"Play,Work,WrittenWork"
9,DBPEDIA_ID/The_Knights,"Play,Work,WrittenWork"
10,DBPEDIA_ID/The_Sunshine_Boys,"Play,Work,WrittenWork"
11,DBPEDIA_ID/Tribute_(play),"Play,Work,WrittenWork"
12,DBPEDIA_ID/A_Marriage_Proposal,"Play,Work,WrittenWork"
13,DBPEDIA_ID/Hell_Hath_No_Fury_Like_a_Woman_Scorned,"Play,Work,WrittenWork"
14,DBPEDIA_ID/The_Hothouse,"Play,Work,WrittenWork"
15,DBPEDIA_ID/All_the_Way_(play),"Play,Work,WrittenWork"
16,DBPEDIA_ID/Andromeda_(play),"Play,Work,WrittenWork"
17,DBPEDIA_ID/Antigone_(Anouilh_play),"Play,Work,WrittenWork"
18,DBPEDIA_ID/Antigone_(Euripides_play),"Play,Work,WrittenWork"
19,DBPEDIA_ID/Baal_(play),"Play,Work,WrittenWork"
20,DBPEDIA_ID/Bent_(play),"Play,Work,WrittenWork"
21,DBPEDIA_ID/Bingo_(play),"Play,Work,WrittenWork"
22,DBPEDIA_ID/Deuce_(play),"Play,Work,WrittenWork"
23,DBPEDIA_ID/East_(play),"Play,Work,WrittenWork"
24,DBPEDIA_ID/Fram_(play),"Play,Work,WrittenWork"
25,DBPEDIA_ID/Home_(Mirbeau),"Play,Work,WrittenWork"
26,DBPEDIA_ID/Influence_(play),"Play,Work,WrittenWork"
27,DBPEDIA_ID/Jerk_(play),"Play,Work,WrittenWork"
28,DBPEDIA_ID/Metamorphoses_(play),"Play,Work,WrittenWork"
29,DBPEDIA_ID/Nathan_the_Wise,"Play,Work,WrittenWork"
30,DBPEDIA_ID/Noor_(play),"Play,Work,WrittenWork"
31,DBPEDIA_ID/November_(play),"Play,Work,WrittenWork"
32,DBPEDIA_ID/On_the_Rocks_(play),"Play,Work,WrittenWork"
33,DBPEDIA_ID/Orphans_(Dennis_Kelly_play),"Play,Work,WrittenWork"
34,DBPEDIA_ID/Orphans_(Lyle_Kessler_play),"Play,Work,WrittenWork"
35,DBPEDIA_ID/Panic_(1935_play),"Play,Work,WrittenWork"
36,DBPEDIA_ID/Peer_Gynt_(1998_adaptation),"Play,Work,WrittenWork"
37,DBPEDIA_ID/Peribáñez_y_el_Comendador_de_Ocaña,"Play,Work,WrittenWork"
38,DBPEDIA_ID/Phaedra's_Love,"Play,Work,WrittenWork"
39,DBPEDIA_ID/Prometheus_Bound,"Play,Work,WrittenWork"
40,DBPEDIA_ID/Quality_Street_(play),"Play,Work,WrittenWork"
41,DBPEDIA_ID/Sonata_(play),"Play,Work,WrittenWork"
42,DBPEDIA_ID/Sunrise_(play),"Play,Work,WrittenWork"
43,DBPEDIA_ID/Sweeney_Agonistes,"Play,Work,WrittenWork"
44,DBPEDIA_ID/The_Bad_Seed_(play),"Play,Work,WrittenWork"
45,DBPEDIA_ID/The_Blacks_(play),"Play,Work,WrittenWork"
46,DBPEDIA_ID/The_Boys_in_the_Band_(play),"Play,Work,WrittenWork"
47,DBPEDIA_ID/The_Club_(1980_film),"Play,Work,WrittenWork"
48,DBPEDIA_ID/The_Enchanted_(play),"Play,Work,WrittenWork"
49,DBPEDIA_ID/The_Mousetrap,"Play,Work,WrittenWork"
50,DBPEDIA_ID/The_Nerd,"Play,Work,WrittenWork"
51,DBPEDIA_ID/The_Rivals,"Play,Work,WrittenWork"
52,DBPEDIA_ID/Tribes_(play),"Play,Work,WrittenWork"
53,DBPEDIA_ID/What_the_Butler_Saw_(play),"Play,Work,WrittenWork"
54,DBPEDIA_ID/Winterset_(play),"Play,Work,WrittenWork"
55,DBPEDIA_ID/Checking_Out_(play),"Play,Work,WrittenWork"
56,DBPEDIA_ID/Chitra_(play),"Play,Work,WrittenWork"
