,entity,classes
0,DBPEDIA_ID/Pamela_Anderson,"Person,PlayboyPlaymate,Agent"
1,DBPEDIA_ID/Claudia_Jennings,"Person,PlayboyPlaymate,Agent"
2,DBPEDIA_ID/List_of_Playboy_Playmates_of_2007,"Person,PlayboyPlaymate,Agent"
3,DBPEDIA_ID/Lena_Söderberg,"Person,PlayboyPlaymate,Agent"
4,DBPEDIA_ID/List_of_Playboy_Playmates_of_1964,"Person,PlayboyPlaymate,Agent"
5,DBPEDIA_ID/List_of_Playboy_Playmates_of_1966,"Person,PlayboyPlaymate,Agent"
6,DBPEDIA_ID/List_of_Playboy_Playmates_of_1981,"Person,PlayboyPlaymate,Agent"
7,DBPEDIA_ID/List_of_Playboy_Playmates_of_1988,"Person,PlayboyPlaymate,Agent"
8,DBPEDIA_ID/List_of_Playboy_Playmates_of_1990,"Person,PlayboyPlaymate,Agent"
9,DBPEDIA_ID/List_of_Playboy_Playmates_of_2006,"Person,PlayboyPlaymate,Agent"
10,DBPEDIA_ID/Madeleine_Collinson,"Person,PlayboyPlaymate,Agent"
11,DBPEDIA_ID/Mary_Collinson,"Person,PlayboyPlaymate,Agent"
12,DBPEDIA_ID/Nicole_Marie_Lenz,"Person,PlayboyPlaymate,Agent"
13,DBPEDIA_ID/Renee_Tenison,"Person,PlayboyPlaymate,Agent"
14,DBPEDIA_ID/Sara_Jean_Underwood,"Person,PlayboyPlaymate,Agent"
15,DBPEDIA_ID/Teri_Weigel,"Person,PlayboyPlaymate,Agent"
16,DBPEDIA_ID/List_of_Playboy_Playmates_of_1997,"Person,PlayboyPlaymate,Agent"
17,DBPEDIA_ID/Deanna_Brooks,"Person,PlayboyPlaymate,Agent"
18,DBPEDIA_ID/List_of_Playboy_Playmates_of_1960,"Person,PlayboyPlaymate,Agent"
19,DBPEDIA_ID/List_of_Playboy_Playmates_of_1961,"Person,PlayboyPlaymate,Agent"
20,DBPEDIA_ID/List_of_Playboy_Playmates_of_1972,"Person,PlayboyPlaymate,Agent"
21,DBPEDIA_ID/List_of_Playboy_Playmates_of_1989,"Person,PlayboyPlaymate,Agent"
