,entity,classes
0,DBPEDIA_ID/Hymn_to_Proserpine,"Poem,Work,WrittenWork"
1,DBPEDIA_ID/Voyages_(poem),"Poem,Work,WrittenWork"
2,DBPEDIA_ID/Battle_of_the_Baltic_(poem),"Poem,Work,WrittenWork"
3,DBPEDIA_ID/Kaddish_(poem),"Poem,Work,WrittenWork"
4,DBPEDIA_ID/Ode_on_Solitude,"Poem,Work,WrittenWork"
5,DBPEDIA_ID/The_Bridge_of_Sighs_(poem),"Poem,Work,WrittenWork"
6,DBPEDIA_ID/The_Tower_(poem),"Poem,Work,WrittenWork"
7,DBPEDIA_ID/Crossing_Brooklyn_Ferry,"Poem,Work,WrittenWork"
8,DBPEDIA_ID/Gesta_Regum_Britanniae,"Poem,Work,WrittenWork"
9,DBPEDIA_ID/Woman_Work,"Poem,Work,WrittenWork"
10,DBPEDIA_ID/Half_Caste_(poem),"Poem,Work,WrittenWork"
11,DBPEDIA_ID/Pierrot_(poem),"Poem,Work,WrittenWork"
12,DBPEDIA_ID/The_Windhover,"Poem,Work,WrittenWork"
13,Desiré,"Poem,Work,WrittenWork"
14,DBPEDIA_ID/Nothing's_Changed,"Poem,Work,WrittenWork"
15,DBPEDIA_ID/A_Dirge,"Poem,Work,WrittenWork"
16,DBPEDIA_ID/Berjalan_ke_Barat_di_Waktu_Pagi_Hari,"Poem,Work,WrittenWork"
17,DBPEDIA_ID/La_Pitié_suprême,"Poem,Work,WrittenWork"
18,DBPEDIA_ID/Gergana_(poem),"Poem,Work,WrittenWork"
19,Insensibility,"Poem,Work,WrittenWork"
20,DBPEDIA_ID/John_Brown's_Body_(poem),"Poem,Work,WrittenWork"
21,DBPEDIA_ID/Black_Perl,"Poem,Work,WrittenWork"
22,DBPEDIA_ID/I_Am_Florida,"Poem,Work,WrittenWork"
23,DBPEDIA_ID/Waking_in_the_Blue,"Poem,Work,WrittenWork"
24,DBPEDIA_ID/Fragments_of_Olympian_Gossip,"Poem,Work,WrittenWork"
25,DBPEDIA_ID/Der_Untergang_der_Titanic,"Poem,Work,WrittenWork"
26,DBPEDIA_ID/On_Another's_Sorrow,"Poem,Work,WrittenWork"
27,DBPEDIA_ID/Cold_Iron_(poem),"Poem,Work,WrittenWork"
28,DBPEDIA_ID/Sabbath_Morning_at_Sea,"Poem,Work,WrittenWork"
29,DBPEDIA_ID/Bandagi_Nama,"Poem,Work,WrittenWork"
30,DBPEDIA_ID/Bury_Me_in_a_Free_Land,"Poem,Work,WrittenWork"
31,Dochmiac,"Poem,Work,WrittenWork"
32,DBPEDIA_ID/Madre_Mia,"Poem,Work,WrittenWork"
33,Arinbjarnarkviða,"Poem,Work,WrittenWork"
34,DBPEDIA_ID/Sweet_Afton,"Poem,Work,WrittenWork"
35,DBPEDIA_ID/Eastern_poem_on_the_death_of_Pushkin,"Poem,Work,WrittenWork"
36,DBPEDIA_ID/Truyện_Trinh_thử,"Poem,Work,WrittenWork"
37,DBPEDIA_ID/Giacomo_Joyce__Poem-stub__1,"Poem,Work,WrittenWork"
38,DBPEDIA_ID/A_Useless_Death__Poem-stub__1,"Poem,Work,WrittenWork"
39,DBPEDIA_ID/Ha!_Ha!_Houdini!__Poem-stub__1,"Poem,Work,WrittenWork"
40,DBPEDIA_ID/The_Coral_Sea_(book)__Poem-stub__1,"Poem,Work,WrittenWork"
41,DBPEDIA_ID/Two_Figures_In_Dense_Violet_Night,"Poem,Work,WrittenWork"
42,DBPEDIA_ID/Woolgathering__Poem-stub__1,"Poem,Work,WrittenWork"
43,DBPEDIA_ID/Hush'd_Be_the_Camps_To-Day,"Poem,Work,WrittenWork"
44,DBPEDIA_ID/Iblees_Ki_Majlis-e-Shura,"Poem,Work,WrittenWork"
45,DBPEDIA_ID/Sen_dollotar_Ulaid_...,"Poem,Work,WrittenWork"
46,DBPEDIA_ID/Miasto_bez_imienia,"Poem,Work,WrittenWork"
47,DBPEDIA_ID/Rani_(poem),"Poem,Work,WrittenWork"
48,DBPEDIA_ID/The_Lord_of_the_Isles,"Poem,Work,WrittenWork"
49,DBPEDIA_ID/The_Age_of_Anxiety,"Poem,Work,WrittenWork"
50,DBPEDIA_ID/Elvis's_Twin_Sister,"Poem,Work,WrittenWork"
51,Hecatodistichon,"Poem,Work,WrittenWork"
52,DBPEDIA_ID/The_Airs_of_Palestine,"Poem,Work,WrittenWork"
53,Austrfararvísur,"Poem,Work,WrittenWork"
54,DBPEDIA_ID/Reminiscence_of_Marie_A.,"Poem,Work,WrittenWork"
55,DBPEDIA_ID/If_I_Told_Him:_A_Completed_Portrait_of_Picasso,"Poem,Work,WrittenWork"
56,DBPEDIA_ID/Les_Litanies_de_Satan,"Poem,Work,WrittenWork"
57,DBPEDIA_ID/A_Ballade_of_Suicide,"Poem,Work,WrittenWork"
58,DBPEDIA_ID/Nimettömiä_lauluja,"Poem,Work,WrittenWork"
59,DBPEDIA_ID/What_a_queer_bird,"Poem,Work,WrittenWork"
60,DBPEDIA_ID/Refugee_Blues,"Poem,Work,WrittenWork"
61,DBPEDIA_ID/A_Rosa_do_Povo,"Poem,Work,WrittenWork"
62,Purochana,"Poem,Work,WrittenWork"
63,DBPEDIA_ID/A_Divine_Image,"Poem,Work,WrittenWork"
64,DBPEDIA_ID/Catullus_11,"Poem,Work,WrittenWork"
65,DBPEDIA_ID/Elegías_de_varones_ilustres_de_Indias,"Poem,Work,WrittenWork"
66,DBPEDIA_ID/Harold_the_Dauntless,"Poem,Work,WrittenWork"
67,DBPEDIA_ID/Lament_for_the_Destruction_of_Hungary_by_the_Tartars,"Poem,Work,WrittenWork"
68,DBPEDIA_ID/The_Rhodora,"Poem,Work,WrittenWork"
69,DBPEDIA_ID/Elegy_in_April_and_September,"Poem,Work,WrittenWork"
70,DBPEDIA_ID/The_Sermon_of_St._Francis,"Poem,Work,WrittenWork"
71,DBPEDIA_ID/The_Wind_Shifts,"Poem,Work,WrittenWork"
72,DBPEDIA_ID/Tosa_Nikki,"Poem,Work,WrittenWork"
73,DBPEDIA_ID/Pangur_Bán,"Poem,Work,WrittenWork"
74,DBPEDIA_ID/Druga_przestrzen,"Poem,Work,WrittenWork"
75,DBPEDIA_ID/Earl_Rothes,"Poem,Work,WrittenWork"
76,DBPEDIA_ID/They_Flee_from_Me,"Poem,Work,WrittenWork"
77,DBPEDIA_ID/Freedom_on_the_Wallaby,"Poem,Work,WrittenWork"
78,DBPEDIA_ID/Aintiṇai_Aimpatu,"Poem,Work,WrittenWork"
79,DBPEDIA_ID/Óðins_nöfn,"Poem,Work,WrittenWork"
80,DBPEDIA_ID/Das_verschleierte_Bild_zu_Sais,"Poem,Work,WrittenWork"
81,DBPEDIA_ID/Hymn_from_a_Watermelon_Pavilion,"Poem,Work,WrittenWork"
82,DBPEDIA_ID/The_Man_Whose_Pharynx_Was_Bad,"Poem,Work,WrittenWork"
83,DBPEDIA_ID/Out_Where_the_West_Begins__Poem-stub__1,"Poem,Work,WrittenWork"
84,Sestain,"Poem,Work,WrittenWork"
85,DBPEDIA_ID/Tea_(poem),"Poem,Work,WrittenWork"
86,DBPEDIA_ID/The_Indian_Hunter__Poem-stub__1,"Poem,Work,WrittenWork"
87,DBPEDIA_ID/Crow's_First_Lesson,"Poem,Work,WrittenWork"
88,DBPEDIA_ID/Mãe_Negra,"Poem,Work,WrittenWork"
89,DBPEDIA_ID/O_Desertor_das_Letras__Poem-stub__1,"Poem,Work,WrittenWork"
90,DBPEDIA_ID/One_Hour_to_Madness_and_Joy,"Poem,Work,WrittenWork"
91,"DBPEDIA_ID/Release,_February_1990","Poem,Work,WrittenWork"
92,DBPEDIA_ID/The_Cinnamon_Peeler,"Poem,Work,WrittenWork"
93,DBPEDIA_ID/The_Snowflakes_Sail_Gently_Down,"Poem,Work,WrittenWork"
94,DBPEDIA_ID/Naishadha_Charita,"Poem,Work,WrittenWork"
95,DBPEDIA_ID/Cimmeria_(poem),"Poem,Work,WrittenWork"
96,"DBPEDIA_ID/Lara,_A_Tale","Poem,Work,WrittenWork"
97,DBPEDIA_ID/De_triumphis_ecclesiae,"Poem,Work,WrittenWork"
98,DBPEDIA_ID/Sonnets_from_the_Portuguese,"Poem,Work,WrittenWork"
99,DBPEDIA_ID/Changsha_(poem),"Poem,Work,WrittenWork"
100,Jääpeili,"Poem,Work,WrittenWork"
101,DBPEDIA_ID/One_Hour_After_Midnight,"Poem,Work,WrittenWork"
102,DBPEDIA_ID/To_the_One_of_Fictive_Music,"Poem,Work,WrittenWork"
103,DBPEDIA_ID/A_Cradle_Song_(W._B._Yeats_poem),"Poem,Work,WrittenWork"
104,DBPEDIA_ID/The_Old_Swimmin'_Hole_(poem),"Poem,Work,WrittenWork"
105,DBPEDIA_ID/Belfast_Confetti_(poem),"Poem,Work,WrittenWork"
