,entity,classes
0,DBPEDIA_ID/Dafydd_Bach_ap_Madog_Wladaidd,"Poet,Person,Writer,Agent"
1,DBPEDIA_ID/Dafydd_Benfras,"Poet,Person,Writer,Agent"
2,DBPEDIA_ID/Dafydd_Ddu_o_Hiraddug,"Poet,Person,Writer,Agent"
3,DBPEDIA_ID/Dafydd_Gorlech,"Poet,Person,Writer,Agent"
4,DBPEDIA_ID/Dafydd_Llwyd_ap_Llywelyn_ap_Gruffudd_(Dafydd_Llwyd_o_Fathafarn),"Poet,Person,Writer,Agent"
5,DBPEDIA_ID/Dafydd_Nanmor,"Poet,Person,Writer,Agent"
6,DBPEDIA_ID/David_Richards_(Dafydd_Ionawr),"Poet,Person,Writer,Agent"
7,DBPEDIA_ID/Ernest_Rhys,"Poet,Person,Writer,Agent"
8,DBPEDIA_ID/Terence_Tiller,"Poet,Person,Writer,Agent"
9,DBPEDIA_ID/Geraint_Bowen_(poet),"Poet,Person,Writer,Agent"
10,DBPEDIA_ID/Andrew_Duncan_(poet),"Poet,Person,Writer,Agent"
11,DBPEDIA_ID/Hilary_Corke,"Poet,Person,Writer,Agent"
12,DBPEDIA_ID/Kevin_Bailey_(poet),"Poet,Person,Writer,Agent"
13,DBPEDIA_ID/Maggie_O'Sullivan,"Poet,Person,Writer,Agent"
14,DBPEDIA_ID/Nigel_Heseltine,"Poet,Person,Writer,Agent"
15,DBPEDIA_ID/Robert_Nicoll,"Poet,Person,Writer,Agent"
16,DBPEDIA_ID/Roger_Stevens_(poet),"Poet,Person,Writer,Agent"
17,DBPEDIA_ID/Sarah_Piers,"Poet,Person,Writer,Agent"
18,DBPEDIA_ID/Edward_Davies_(Celtic),"Poet,Person,Writer,Agent"
19,DBPEDIA_ID/John_Blackwell_(Alun),"Poet,Person,Writer,Agent"
20,DBPEDIA_ID/Richard_Roderick,"Poet,Person,Writer,Agent"
21,DBPEDIA_ID/Walter_Harte,"Poet,Person,Writer,Agent"
22,DBPEDIA_ID/Denys_Corbet,"Poet,Person,Writer,Agent"
23,DBPEDIA_ID/John_Walters_(priest_and_poet),"Poet,Person,Writer,Agent"
24,DBPEDIA_ID/Sam_Riviere,"Poet,Person,Writer,Agent"
25,DBPEDIA_ID/Anna_Laetitia_Waring,"Poet,Person,Writer,Agent"
26,DBPEDIA_ID/Charles_Best_(poet),"Poet,Person,Writer,Agent"
27,DBPEDIA_ID/Roland_Mathias,"Poet,Person,Writer,Agent"
28,DBPEDIA_ID/Henry_Scott_Riddell,"Poet,Person,Writer,Agent"
29,DBPEDIA_ID/Antony_Dunn,"Poet,Person,Writer,Agent"
30,DBPEDIA_ID/Aonghas_MacNeacail,"Poet,Person,Writer,Agent"
31,DBPEDIA_ID/Caroline_Bergvall,"Poet,Person,Writer,Agent"
32,DBPEDIA_ID/John_Richard_Williams_(poet),"Poet,Person,Writer,Agent"
33,DBPEDIA_ID/Eleanor_Rees,"Poet,Person,Writer,Agent"
34,DBPEDIA_ID/Esther_Morgan,"Poet,Person,Writer,Agent"
35,DBPEDIA_ID/Jon_Stone_(poet),"Poet,Person,Writer,Agent"
36,DBPEDIA_ID/Paul_Batchelor,"Poet,Person,Writer,Agent"
37,DBPEDIA_ID/Thomas_Warner_(poet),"Poet,Person,Writer,Agent"
38,DBPEDIA_ID/Charlie_Smith_(Romani_poet),"Poet,Person,Writer,Agent"
39,DBPEDIA_ID/Les_Merton,"Poet,Person,Writer,Agent"
40,DBPEDIA_ID/Mererid_Hopwood,"Poet,Person,Writer,Agent"
41,DBPEDIA_ID/Viola_Garvin,"Poet,Person,Writer,Agent"
