,entity,classes
0,DBPEDIA_ID/Jeremy_Gaubert,"Person,Athlete,PokerPlayer,Agent"
1,DBPEDIA_ID/Andrew_Lichtenberger,"Person,Athlete,PokerPlayer,Agent"
2,DBPEDIA_ID/Barry_Shulman,"Person,Athlete,PokerPlayer,Agent"
3,DBPEDIA_ID/Daniel_Colman,"Person,Athlete,PokerPlayer,Agent"
4,DBPEDIA_ID/Davidi_Kitai,"Person,Athlete,PokerPlayer,Agent"
5,DBPEDIA_ID/Donnacha_O'Dea,"Person,Athlete,PokerPlayer,Agent"
6,DBPEDIA_ID/Erick_Lindgren,"Person,Athlete,PokerPlayer,Agent"
7,DBPEDIA_ID/Greg_Mueller,"Person,Athlete,PokerPlayer,Agent"
8,DBPEDIA_ID/Jeff_Shulman,"Person,Athlete,PokerPlayer,Agent"
9,DBPEDIA_ID/Joe_Pelton,"Person,Athlete,PokerPlayer,Agent"
10,DBPEDIA_ID/John_D'Agostino_(poker_player),"Person,Athlete,PokerPlayer,Agent"
11,DBPEDIA_ID/Melissa_Hayden_(poker_player),"Person,Athlete,PokerPlayer,Agent"
12,DBPEDIA_ID/Michael_McDonald_(poker_player),"Person,Athlete,PokerPlayer,Agent"
13,DBPEDIA_ID/Paul_Darden,"Person,Athlete,PokerPlayer,Agent"
14,DBPEDIA_ID/Phil_Laak,"Person,Athlete,PokerPlayer,Agent"
15,DBPEDIA_ID/Stu_Ungar,"Person,Athlete,PokerPlayer,Agent"
16,DBPEDIA_ID/Amarillo_Slim,"Person,Athlete,PokerPlayer,Agent"
17,DBPEDIA_ID/André_Akkari,"Person,Athlete,PokerPlayer,Agent"
18,DBPEDIA_ID/Huck_Seed,"Person,Athlete,PokerPlayer,Agent"
19,DBPEDIA_ID/Jamie_Gold,"Person,Athlete,PokerPlayer,Agent"
20,DBPEDIA_ID/Justin_Smith_(poker_player),"Person,Athlete,PokerPlayer,Agent"
21,DBPEDIA_ID/Lee_Watkinson,"Person,Athlete,PokerPlayer,Agent"
22,DBPEDIA_ID/Ralph_Perry_(poker_player),"Person,Athlete,PokerPlayer,Agent"
23,DBPEDIA_ID/T._J._Cloutier,"Person,Athlete,PokerPlayer,Agent"
24,DBPEDIA_ID/Toto_Leonidas,"Person,Athlete,PokerPlayer,Agent"
25,DBPEDIA_ID/Brandon_Riha,"Person,Athlete,PokerPlayer,Agent"
26,DBPEDIA_ID/Christian_Harder,"Person,Athlete,PokerPlayer,Agent"
27,DBPEDIA_ID/David_Warga,"Person,Athlete,PokerPlayer,Agent"
28,DBPEDIA_ID/Andrew_Cohen_(poker_player),"Person,Athlete,PokerPlayer,Agent"
29,DBPEDIA_ID/Artie_Cobb,"Person,Athlete,PokerPlayer,Agent"
30,DBPEDIA_ID/Jimmy_Cha,"Person,Athlete,PokerPlayer,Agent"
31,DBPEDIA_ID/Linda_Ryke-Drucker,"Person,Athlete,PokerPlayer,Agent"
32,DBPEDIA_ID/Marcel_Vonk,"Person,Athlete,PokerPlayer,Agent"
33,"DBPEDIA_ID/David_Baker_(poker_player,_born_1972)","Person,Athlete,PokerPlayer,Agent"
34,DBPEDIA_ID/Robert_Cheung,"Person,Athlete,PokerPlayer,Agent"
35,DBPEDIA_ID/Dennis_Waterman_(poker_player),"Person,Athlete,PokerPlayer,Agent"
36,DBPEDIA_ID/Scott_Seiver,"Person,Athlete,PokerPlayer,Agent"
37,DBPEDIA_ID/Tony_Kendall_(poker_player),"Person,Athlete,PokerPlayer,Agent"
38,DBPEDIA_ID/Joe_Kuether,"Person,Athlete,PokerPlayer,Agent"
39,DBPEDIA_ID/Julian_Gardner_(poker_player),"Person,Athlete,PokerPlayer,Agent"
40,DBPEDIA_ID/Karina_Jett,"Person,Athlete,PokerPlayer,Agent"
41,DBPEDIA_ID/Kevin_O'Leary_(poker_player),"Person,Athlete,PokerPlayer,Agent"
42,DBPEDIA_ID/Luca_Pagano,"Person,Athlete,PokerPlayer,Agent"
43,DBPEDIA_ID/Mark_Banin,"Person,Athlete,PokerPlayer,Agent"
44,DBPEDIA_ID/Sam_Trickett,"Person,Athlete,PokerPlayer,Agent"
45,DBPEDIA_ID/Will_Durkee,"Person,Athlete,PokerPlayer,Agent"
46,DBPEDIA_ID/Quinn_Do,"Person,Athlete,PokerPlayer,Agent"
47,DBPEDIA_ID/Alex_Millar,"Person,Athlete,PokerPlayer,Agent"
48,DBPEDIA_ID/Doug_Polk,"Person,Athlete,PokerPlayer,Agent"
49,DBPEDIA_ID/Chad_Brown_(poker_player),"Person,Athlete,PokerPlayer,Agent"
50,DBPEDIA_ID/Joe_Awada,"Person,Athlete,PokerPlayer,Agent"
51,DBPEDIA_ID/Tom_Franklin_(poker_player),"Person,Athlete,PokerPlayer,Agent"
52,DBPEDIA_ID/Andy_Frankenberger,"Person,Athlete,PokerPlayer,Agent"
53,DBPEDIA_ID/Saro_Getzoyan,"Person,Athlete,PokerPlayer,Agent"
54,DBPEDIA_ID/Alan_Smurfit,"Person,Athlete,PokerPlayer,Agent"
55,DBPEDIA_ID/Antoine_Saout,"Person,Athlete,PokerPlayer,Agent"
56,DBPEDIA_ID/Christer_Johansson_(poker_player),"Person,Athlete,PokerPlayer,Agent"
57,DBPEDIA_ID/Dag_Mikkelsen,"Person,Athlete,PokerPlayer,Agent"
58,DBPEDIA_ID/Sebastian_Ruthenberg,"Person,Athlete,PokerPlayer,Agent"
59,DBPEDIA_ID/David_Singer_(poker_player),"Person,Athlete,PokerPlayer,Agent"
60,DBPEDIA_ID/John_Guth,"Person,Athlete,PokerPlayer,Agent"
61,DBPEDIA_ID/Loretta_Huber,"Person,Athlete,PokerPlayer,Agent"
62,DBPEDIA_ID/Matt_Matros,"Person,Athlete,PokerPlayer,Agent"
63,DBPEDIA_ID/Matthew_Glantz,"Person,Athlete,PokerPlayer,Agent"
64,DBPEDIA_ID/Vinny_Vinh,"Person,Athlete,PokerPlayer,Agent"
65,DBPEDIA_ID/Yoshio_Nakano,"Person,Athlete,PokerPlayer,Agent"
66,DBPEDIA_ID/Dody_Roach,"Person,Athlete,PokerPlayer,Agent"
67,DBPEDIA_ID/Annie_Duke,"Person,Athlete,PokerPlayer,Agent"
68,DBPEDIA_ID/Berry_Johnston,"Person,Athlete,PokerPlayer,Agent"
69,DBPEDIA_ID/Chris_Ferguson,"Person,Athlete,PokerPlayer,Agent"
70,DBPEDIA_ID/Dan_Harrington,"Person,Athlete,PokerPlayer,Agent"
