,entity,classes
0,DBPEDIA_ID/Blake_Richards,"Person,MemberOfParliament,Politician,Agent"
1,Cicero,"Person,Politician,Agent"
2,DBPEDIA_ID/David_Charles_(Australian_politician),"Person,MemberOfParliament,Politician,Agent"
3,DBPEDIA_ID/Dean_Martin_(politician),"Person,Politician,Agent"
4,DBPEDIA_ID/Henrique_da_Silva_Coutinho,"Person,Politician,Agent"
5,DBPEDIA_ID/Ian_Allan_(politician),"Person,MemberOfParliament,Politician,Agent"
6,DBPEDIA_ID/James_Cooper_(Canadian_politician),"Person,Politician,Agent"
7,DBPEDIA_ID/Jan_Bernd_Bicker,"Person,Politician,Agent"
8,DBPEDIA_ID/Jefferson_Smith_(politician),"Person,Politician,Agent"
9,DBPEDIA_ID/John_Donald_(Wisconsin_politician),"Person,Politician,Agent"
10,DBPEDIA_ID/John_Hogg,"Senator,Politician,Agent,Person"
11,DBPEDIA_ID/John_Oponjo_Benjamin,"President,Politician,Agent,Person"
12,DBPEDIA_ID/Kenneth_Mitchell_(politician),"Person,Politician,Governor,Agent"
13,DBPEDIA_ID/Ronald_Wallace_(politician),"Person,Politician,Agent"
14,DBPEDIA_ID/Samuel_Hunter_Adams,"Person,Politician,Agent"
15,DBPEDIA_ID/Ann_Widdecombe,"Person,Politician,Agent"
16,DBPEDIA_ID/Anton_Drexler,"Person,Politician,Agent"
17,DBPEDIA_ID/Babrak_Karmal,"President,Politician,Agent,Person"
18,DBPEDIA_ID/Benjamin_Disraeli,"PrimeMinister,Politician,Agent,Person"
19,DBPEDIA_ID/Bill_Clinton,"President,Politician,Agent,Person"
20,DBPEDIA_ID/Chiang_Kai-shek,"President,Politician,Agent,Person"
21,DBPEDIA_ID/Constantine_Kanaris,"PrimeMinister,Politician,Agent,Person"
22,DBPEDIA_ID/David_Rice_Atchison,"Senator,Politician,Agent,Person"
23,DBPEDIA_ID/Earle_Page,"PrimeMinister,Politician,Agent,Person"
24,DBPEDIA_ID/Edmund_Stoiber,"Person,Politician,Agent"
25,DBPEDIA_ID/Edward_Gibbon,"Person,Politician,Agent"
26,DBPEDIA_ID/Elihu_Yale,"Person,Politician,Governor,Agent"
27,DBPEDIA_ID/Francesco_Cossiga,"President,Politician,Agent,Person"
28,DBPEDIA_ID/Francisco_I._Madero,"President,Politician,Agent,Person"
29,DBPEDIA_ID/Fumimaro_Konoe,"PrimeMinister,Politician,Agent,Person"
30,DBPEDIA_ID/Gyula_Andrássy,"President,Politician,Agent,Person"
31,DBPEDIA_ID/Hafizullah_Amin,"President,Politician,Agent,Person"
32,"DBPEDIA_ID/Harold_Alexander,_1st_Earl_Alexander_of_Tunis","Person,Politician,Governor,Agent"
33,DBPEDIA_ID/Henry_Laurens,"Person,Politician,Agent"
34,DBPEDIA_ID/Henry_Middleton,"Person,Politician,Agent"
35,DBPEDIA_ID/Horace_Walpole,"Person,MemberOfParliament,Politician,Agent"
36,DBPEDIA_ID/Johannes_Rau,"President,Politician,Agent,Person"
37,DBPEDIA_ID/John_Danforth,"Senator,Politician,Agent,Person"
38,DBPEDIA_ID/John_Diefenbaker,"PrimeMinister,Politician,Agent,Person"
39,DBPEDIA_ID/John_Hancock,"Person,Politician,Governor,Agent"
40,DBPEDIA_ID/John_Radcliffe_(physician),"Person,Politician,Agent"
41,DBPEDIA_ID/Karl_Dönitz,"President,Politician,Agent,Person"
42,DBPEDIA_ID/Kenneth_Kaunda,"President,Politician,Agent,Person"
43,DBPEDIA_ID/Klement_Gottwald,"President,Politician,Agent,Person"
44,DBPEDIA_ID/Louis_Riel,"Person,MemberOfParliament,Politician,Agent"
45,DBPEDIA_ID/Louis_St._Laurent,"PrimeMinister,Politician,Agent,Person"
46,DBPEDIA_ID/Natasha_Stott_Despoja,"Person,Politician,Agent"
47,DBPEDIA_ID/Peyton_Randolph,"Person,Politician,Agent"
48,DBPEDIA_ID/Pierre_de_Coubertin,"President,Politician,Agent,Person"
49,Pompey,"Person,Politician,Agent"
50,DBPEDIA_ID/R._B._Bennett,"PrimeMinister,Politician,Agent,Person"
51,DBPEDIA_ID/Rolf_Ekéus,"Person,Politician,Agent"
52,DBPEDIA_ID/Ruhollah_Khomeini,"President,Politician,Agent,Person"
53,DBPEDIA_ID/Ruslan_Khasbulatov,"President,Politician,Agent,Person"
54,DBPEDIA_ID/William_M._Tweed,"Congressman,Politician,Agent,Person"
55,DBPEDIA_ID/İsmet_İnönü,"President,Politician,Agent,Person"
56,DBPEDIA_ID/Airey_Neave,"Person,MemberOfParliament,Politician,Agent"
57,DBPEDIA_ID/Bertrand_Delanoë,"Person,Politician,Agent"
58,DBPEDIA_ID/Carl_McCall,"Person,Politician,Agent"
59,DBPEDIA_ID/Rafael_Hernández_Colón,"Person,Politician,Governor,Agent"
60,DBPEDIA_ID/Seamus_Costello,"Person,Politician,Agent"
61,DBPEDIA_ID/Syngman_Rhee,"President,Politician,Agent,Person"
62,DBPEDIA_ID/Víctor_Raúl_Haya_de_la_Torre,"Person,Politician,Agent"
63,DBPEDIA_ID/Adrienne_Clarkson,"Person,Politician,Governor,Agent"
64,DBPEDIA_ID/Anthony_Berry,"Person,MemberOfParliament,Politician,Agent"
65,DBPEDIA_ID/Arthur_Fadden,"PrimeMinister,Politician,Agent,Person"
66,DBPEDIA_ID/Bill_Frist,"Senator,Politician,Agent,Person"
67,DBPEDIA_ID/Chris_Watson,"PrimeMinister,Politician,Agent,Person"
68,DBPEDIA_ID/César_Gaviria,"President,Politician,Agent,Person"
69,DBPEDIA_ID/Dean_Barkley,"Senator,Politician,Agent,Person"
70,DBPEDIA_ID/Dirk_Stikker,"Person,Politician,Agent"
71,DBPEDIA_ID/Emilio_Aguinaldo,"President,Politician,Agent,Person"
72,DBPEDIA_ID/Enrico_De_Nicola,"President,Politician,Agent,Person"
73,DBPEDIA_ID/Eurico_Gaspar_Dutra,"President,Politician,Agent,Person"
74,DBPEDIA_ID/Frank_Forde,"PrimeMinister,Politician,Agent,Person"
75,DBPEDIA_ID/Gordon_Graydon,"Person,MemberOfParliament,Politician,Agent"
76,DBPEDIA_ID/Gulbuddin_Hekmatyar,"PrimeMinister,Politician,Agent,Person"
77,DBPEDIA_ID/Hans_Blix,"President,Politician,Agent,Person"
78,DBPEDIA_ID/Henry_Cabot_Lodge_Jr.,"Senator,Politician,Agent,Person"
79,"DBPEDIA_ID/Henry_John_Temple,_3rd_Viscount_Palmerston","PrimeMinister,Politician,Agent,Person"
80,DBPEDIA_ID/Hugo_Banzer,"President,Politician,Agent,Person"
81,DBPEDIA_ID/James_B._Weaver,"Congressman,Politician,Agent,Person"
82,DBPEDIA_ID/James_M._Cox,"Congressman,Politician,Agent,Person"
83,DBPEDIA_ID/James_McNeill,"Person,Politician,Governor,Agent"
84,DBPEDIA_ID/Janez_Drnovšek,"President,Politician,Agent,Person"
85,DBPEDIA_ID/Johann_Hinkel,"Person,Politician,Agent"
86,DBPEDIA_ID/John_Curtin,"PrimeMinister,Politician,Agent,Person"
87,DBPEDIA_ID/John_Hume,"Person,Politician,Agent"
88,DBPEDIA_ID/Jonas_Furrer,"Person,Politician,Agent"
89,DBPEDIA_ID/Juan_de_Oñate,"Person,Politician,Governor,Agent"
90,DBPEDIA_ID/Juho_Kusti_Paasikivi,"President,Politician,Agent,Person"
91,DBPEDIA_ID/Kaarlo_Juho_Ståhlberg,"President,Politician,Agent,Person"
92,DBPEDIA_ID/Kristján_Eldjárn,"President,Politician,Agent,Person"
93,DBPEDIA_ID/Kyösti_Kallio,"President,Politician,Agent,Person"
94,DBPEDIA_ID/Lauri_Kristian_Relander,"President,Politician,Agent,Person"
95,DBPEDIA_ID/Luis_Alva_Castro,"Person,Politician,Agent"
96,DBPEDIA_ID/Mauno_Koivisto,"President,Politician,Agent,Person"
97,DBPEDIA_ID/Ne_Win,"President,Politician,Agent,Person"
98,DBPEDIA_ID/Neil_Hamilton_(politician),"Person,MemberOfParliament,Politician,Agent"
99,DBPEDIA_ID/Odilon_Barrot,"PrimeMinister,Politician,Agent,Person"
100,DBPEDIA_ID/Paddy_Ashdown,"Person,Politician,Agent"
101,DBPEDIA_ID/Pehr_Evind_Svinhufvud,"President,Politician,Agent,Person"
102,DBPEDIA_ID/Peter_Garrett,"Person,Politician,Agent"
103,DBPEDIA_ID/Pyrros_Dimas,"Person,Politician,Agent"
104,DBPEDIA_ID/Roberto_Sánchez_Vilella,"Person,Politician,Governor,Agent"
105,DBPEDIA_ID/Rudy_Perpich,"Person,Politician,Governor,Agent"
106,DBPEDIA_ID/Song_Jiaoren,"President,Politician,Agent,Person"
107,DBPEDIA_ID/Stefan_Herdt,"Person,Politician,Agent"
108,DBPEDIA_ID/Sveinn_Björnsson,"President,Politician,Agent,Person"
109,DBPEDIA_ID/Theobald_von_Bethmann-Hollweg,"Chancellor,Politician,Agent,Person"
110,DBPEDIA_ID/Abraham_Momber_van_de_Velde,"Person,Politician,Agent"
111,DBPEDIA_ID/Alex_Chalk,"Person,MemberOfParliament,Politician,Agent"
112,DBPEDIA_ID/Angus_Creelman_Ree,"Person,Politician,Agent"
113,DBPEDIA_ID/Angus_Hambro,"Person,MemberOfParliament,Politician,Agent"
114,DBPEDIA_ID/Anson_F._Keeler,"Person,Politician,Agent"
115,DBPEDIA_ID/Bernard_Gérard_(politician),"Person,Politician,Agent"
116,DBPEDIA_ID/Bob_Stewart_(British_Army_officer),"Person,MemberOfParliament,Politician,Agent"
117,DBPEDIA_ID/Carlos_Correia,"PrimeMinister,Politician,Agent,Person"
118,DBPEDIA_ID/Carlos_Ibáñez_del_Campo,"President,Politician,Agent,Person"
119,DBPEDIA_ID/Cornelius_Botha,"Person,Politician,Agent"
120,DBPEDIA_ID/David_Clark_(New_Zealand_politician),"Person,MemberOfParliament,Politician,Agent"
121,DBPEDIA_ID/David_Clark_(Utah_politician),"Person,Politician,Agent"
