,entity,classes
0,DBPEDIA_ID/Campeonato_Abierto_de_Hurlingham,"PoloLeague,Organisation,SportsLeague,Agent"
1,DBPEDIA_ID/LEN_Super_Cup,"PoloLeague,Organisation,SportsLeague,Agent"
2,DBPEDIA_ID/Adriatic_Water_Polo_League,"PoloLeague,Organisation,SportsLeague,Agent"
3,DBPEDIA_ID/Copa_del_Rey_de_Waterpolo,"PoloLeague,Organisation,SportsLeague,Agent"
4,DBPEDIA_ID/Australian_National_Water_Polo_League,"PoloLeague,Organisation,SportsLeague,Agent"
5,DBPEDIA_ID/Deutsche_Wasserball-Liga,"PoloLeague,Organisation,SportsLeague,Agent"
6,DBPEDIA_ID/FINA_Junior_Water_Polo_World_Championships,"PoloLeague,Organisation,SportsLeague,Agent"
7,DBPEDIA_ID/Russian_Women's_Water_Polo_Championship,"PoloLeague,Organisation,SportsLeague,Agent"
8,DBPEDIA_ID/Supercopa_de_España_de_Waterpolo_Femenino,"PoloLeague,Organisation,SportsLeague,Agent"
9,DBPEDIA_ID/Women's_LEN_Trophy,"PoloLeague,Organisation,SportsLeague,Agent"
10,DBPEDIA_ID/A1_Ethniki_Water_Polo,"PoloLeague,Organisation,SportsLeague,Agent"
11,DBPEDIA_ID/A2_Ethniki_Water_Polo,"PoloLeague,Organisation,SportsLeague,Agent"
12,DBPEDIA_ID/FINA_Water_Polo_World_League,"PoloLeague,Organisation,SportsLeague,Agent"
13,DBPEDIA_ID/Serbian_Water_Polo_Cup,"PoloLeague,Organisation,SportsLeague,Agent"
14,DBPEDIA_ID/División_de_Honor_Femenina_de_Waterpolo,"PoloLeague,Organisation,SportsLeague,Agent"
15,DBPEDIA_ID/LEN_Women's_Champions'_Cup,"PoloLeague,Organisation,SportsLeague,Agent"
16,DBPEDIA_ID/European_Water_Polo_Championship,"PoloLeague,Organisation,SportsLeague,Agent"
17,DBPEDIA_ID/LEN_Junior_Water_Polo_European_Championship,"PoloLeague,Organisation,SportsLeague,Agent"
18,DBPEDIA_ID/Women's_LEN_Super_Cup,"PoloLeague,Organisation,SportsLeague,Agent"
19,DBPEDIA_ID/Water_polo_at_the_World_Aquatics_Championships,"PoloLeague,Organisation,SportsLeague,Agent"
20,DBPEDIA_ID/LEN_Champions_League,"PoloLeague,Organisation,SportsLeague,Agent"
21,DBPEDIA_ID/LEN_Euro_Cup,"PoloLeague,Organisation,SportsLeague,Agent"
22,DBPEDIA_ID/World_Polo_Championship,"PoloLeague,Organisation,SportsLeague,Agent"
23,DBPEDIA_ID/Championnat_de_France_(water_polo),"PoloLeague,Organisation,SportsLeague,Agent"
24,DBPEDIA_ID/Campeonato_Argentino_Abierto_de_Polo,"PoloLeague,Organisation,SportsLeague,Agent"
25,DBPEDIA_ID/Copa_de_la_Reina_de_Waterpolo,"PoloLeague,Organisation,SportsLeague,Agent"
26,DBPEDIA_ID/FINA_Youth_Water_Polo_World_Championships,"PoloLeague,Organisation,SportsLeague,Agent"
27,DBPEDIA_ID/División_de_Honor_de_Waterpolo,"PoloLeague,Organisation,SportsLeague,Agent"
28,DBPEDIA_ID/Supercopa_de_España_de_Waterpolo,"PoloLeague,Organisation,SportsLeague,Agent"
