,entity,classes
0,DBPEDIA_ID/Pope_Agatho,"Person,Cleric,Pope,Agent"
1,DBPEDIA_ID/Pope-elect_Stephen,"Person,Cleric,Pope,Agent"
2,DBPEDIA_ID/Pope_Adrian_I,"Person,Cleric,Pope,Agent"
3,DBPEDIA_ID/Pope_Adrian_II,"Person,Cleric,Pope,Agent"
4,DBPEDIA_ID/Pope_Adrian_III,"Person,Cleric,Pope,Agent"
5,DBPEDIA_ID/Pope_Adrian_IV,"Person,Cleric,Pope,Agent"
6,DBPEDIA_ID/Pope_Adrian_V,"Person,Cleric,Pope,Agent"
7,DBPEDIA_ID/Pope_Adrian_VI,"Person,Cleric,Pope,Agent"
8,DBPEDIA_ID/Pope_Agapetus_I,"Person,Cleric,Pope,Agent"
9,DBPEDIA_ID/Pope_Agapetus_II,"Person,Cleric,Pope,Agent"
10,DBPEDIA_ID/Pope_Alexander_I,"Person,Cleric,Pope,Agent"
11,DBPEDIA_ID/Pope_Alexander_II,"Person,Cleric,Pope,Agent"
12,DBPEDIA_ID/Pope_Alexander_III,"Person,Cleric,Pope,Agent"
13,DBPEDIA_ID/Pope_Alexander_IV,"Person,Cleric,Pope,Agent"
14,DBPEDIA_ID/Pope_Alexander_VI,"Person,Cleric,Pope,Agent"
15,DBPEDIA_ID/Pope_Alexander_VII,"Person,Cleric,Pope,Agent"
16,DBPEDIA_ID/Pope_Alexander_VIII,"Person,Cleric,Pope,Agent"
17,DBPEDIA_ID/Pope_Anastasius_I,"Person,Cleric,Pope,Agent"
18,DBPEDIA_ID/Pope_Anastasius_II,"Person,Cleric,Pope,Agent"
19,DBPEDIA_ID/Pope_Anastasius_III,"Person,Cleric,Pope,Agent"
20,DBPEDIA_ID/Pope_Anastasius_IV,"Person,Cleric,Pope,Agent"
21,DBPEDIA_ID/Pope_Anterus,"Person,Cleric,Pope,Agent"
22,DBPEDIA_ID/Pope_Benedict_I,"Person,Cleric,Pope,Agent"
23,DBPEDIA_ID/Pope_Benedict_II,"Person,Cleric,Pope,Agent"
24,DBPEDIA_ID/Pope_Benedict_III,"Person,Cleric,Pope,Agent"
25,DBPEDIA_ID/Pope_Benedict_IX,"Person,Cleric,Pope,Agent"
26,DBPEDIA_ID/Pope_Benedict_V,"Person,Cleric,Pope,Agent"
27,DBPEDIA_ID/Pope_Benedict_VI,"Person,Cleric,Pope,Agent"
28,DBPEDIA_ID/Pope_Benedict_VII,"Person,Cleric,Pope,Agent"
29,DBPEDIA_ID/Pope_Benedict_VIII,"Person,Cleric,Pope,Agent"
30,DBPEDIA_ID/Pope_Benedict_XI,"Person,Cleric,Pope,Agent"
31,DBPEDIA_ID/Pope_Benedict_XII,"Person,Cleric,Pope,Agent"
32,DBPEDIA_ID/Pope_Benedict_XIII,"Person,Cleric,Pope,Agent"
33,DBPEDIA_ID/Pope_Benedict_XIV,"Person,Cleric,Pope,Agent"
34,DBPEDIA_ID/Pope_Boniface_I,"Person,Cleric,Pope,Agent"
35,DBPEDIA_ID/Pope_Boniface_II,"Person,Cleric,Pope,Agent"
36,DBPEDIA_ID/Pope_Boniface_III,"Person,Cleric,Pope,Agent"
37,DBPEDIA_ID/Pope_Boniface_IV,"Person,Cleric,Pope,Agent"
38,DBPEDIA_ID/Pope_Boniface_IX,"Person,Cleric,Pope,Agent"
39,DBPEDIA_ID/Pope_Boniface_V,"Person,Cleric,Pope,Agent"
40,DBPEDIA_ID/Pope_Boniface_VI,"Person,Cleric,Pope,Agent"
41,DBPEDIA_ID/Pope_Boniface_VIII,"Person,Cleric,Pope,Agent"
42,DBPEDIA_ID/Pope_Callixtus_I,"Person,Cleric,Pope,Agent"
43,DBPEDIA_ID/Pope_Callixtus_II,"Person,Cleric,Pope,Agent"
44,DBPEDIA_ID/Pope_Callixtus_III,"Person,Cleric,Pope,Agent"
45,DBPEDIA_ID/Pope_Celestine_I,"Person,Cleric,Pope,Agent"
46,DBPEDIA_ID/Pope_Celestine_II,"Person,Cleric,Pope,Agent"
47,DBPEDIA_ID/Pope_Celestine_III,"Person,Cleric,Pope,Agent"
48,DBPEDIA_ID/Pope_Celestine_IV,"Person,Cleric,Pope,Agent"
49,DBPEDIA_ID/Pope_Celestine_V,"Person,Cleric,Pope,Agent"
50,DBPEDIA_ID/Pope_Clement_II,"Person,Cleric,Pope,Agent"
51,DBPEDIA_ID/Pope_Clement_III,"Person,Cleric,Pope,Agent"
52,DBPEDIA_ID/Pope_Clement_IV,"Person,Cleric,Pope,Agent"
