,entity,classes
0,"DBPEDIA_ID/Kansas_City,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
1,Aalen,"Town,PopulatedPlace,Settlement,Place,Location"
2,Aarau,"PopulatedPlace,Settlement,Place,Location"
3,Abakan,"PopulatedPlace,Settlement,Place,Location"
4,"DBPEDIA_ID/Abdera,_Thrace","PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
5,Abensberg,"Town,PopulatedPlace,Settlement,Place,Location"
6,Abercarn,"PopulatedPlace,Settlement,Place,Location"
7,Aberdare,"PopulatedPlace,Settlement,Place,Location"
8,"DBPEDIA_ID/Aberdeen,_South_Dakota","City,Settlement,Place,Location,PopulatedPlace"
9,Aberdour,"PopulatedPlace,Settlement,Place,Location"
10,"DBPEDIA_ID/Aberfoyle,_Stirling","PopulatedPlace,Settlement,Place,Location"
11,Abergavenny,"PopulatedPlace,Settlement,Place,Location"
12,Abersychan,"PopulatedPlace,Settlement,Place,Location"
13,Abertillery,"PopulatedPlace,Settlement,Place,Location"
14,Accrington,"PopulatedPlace,Settlement,Place,Location"
15,Achduart,"PopulatedPlace,Settlement,Place,Location"
16,DBPEDIA_ID/Achill_Island,"Island,Place,Location,PopulatedPlace"
17,Achiltibuie,"PopulatedPlace,Settlement,Place,Location"
18,Aegina,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
19,Ajaccio,"PopulatedPlace,Settlement,Place,Location"
20,Ajmer-Merwara,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
21,DBPEDIA_ID/Akkadian_Empire,"Country,Place,Location,PopulatedPlace"
22,"DBPEDIA_ID/Albion,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
23,"DBPEDIA_ID/Alexandria,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
24,"DBPEDIA_ID/Alexandria,_Louisiana","City,Settlement,Place,Location,PopulatedPlace"
25,"DBPEDIA_ID/Alexandria,_Romania","PopulatedPlace,Settlement,Place,Location"
26,"DBPEDIA_ID/Alexandria,_West_Dunbartonshire","PopulatedPlace,Settlement,Place,Location"
27,Algiers,"City,Settlement,Place,Location,PopulatedPlace"
28,DBPEDIA_ID/Almoravid_dynasty,"Country,Place,Location,PopulatedPlace"
29,"DBPEDIA_ID/Ames,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
30,Ammon,"Country,Place,Location,PopulatedPlace"
31,"DBPEDIA_ID/Andersonville,_Georgia","City,Settlement,Place,Location,PopulatedPlace"
32,"DBPEDIA_ID/Ann_Arbor,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
33,DBPEDIA_ID/Annapolis_Valley,"PopulatedPlace,Settlement,Place,Location"
34,DBPEDIA_ID/Antigonid_dynasty,"Country,Place,Location,PopulatedPlace"
35,DBPEDIA_ID/Arapaoa_Island,"Island,Place,Location,PopulatedPlace"
36,DBPEDIA_ID/Archbishopric_of_Riga,"Country,Place,Location,PopulatedPlace"
37,DBPEDIA_ID/Ashmore_and_Cartier_Islands,"Island,Place,Location,PopulatedPlace"
38,Asia,"PopulatedPlace,Place,Continent,Location"
39,Assyria,"Country,Place,Location,PopulatedPlace"
40,"DBPEDIA_ID/Astoria,_Oregon","City,Settlement,Place,Location,PopulatedPlace"
41,Athens,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
42,Atlanta,"City,Settlement,Place,Location,PopulatedPlace"
43,"DBPEDIA_ID/Austin,_Texas","City,Settlement,Place,Location,PopulatedPlace"
44,DBPEDIA_ID/Australian_Capital_Territory,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
45,Austria-Hungary,"Country,Place,Location,PopulatedPlace"
46,Azincourt,"PopulatedPlace,Settlement,Place,Location"
47,Azores,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
48,DBPEDIA_ID/Baker_Island,"Island,Place,Location,PopulatedPlace"
49,Balkans,"Island,Place,Location,PopulatedPlace"
50,DBPEDIA_ID/Banda_Islands,"Island,Place,Location,PopulatedPlace"
51,Barcelonnette,"PopulatedPlace,Settlement,Place,Location"
52,DBPEDIA_ID/Bassas_da_India,"Country,Place,Location,PopulatedPlace"
53,Bayonne,"PopulatedPlace,Settlement,Place,Location"
54,Belfast,"PopulatedPlace,Settlement,Place,Location"
55,"DBPEDIA_ID/Berkeley,_California","City,Settlement,Place,Location,PopulatedPlace"
56,Bethlehem,"PopulatedPlace,Settlement,Place,Location"
57,DBPEDIA_ID/Bishopric_of_Brandenburg,"Country,Place,Location,PopulatedPlace"
58,Bodmin,"PopulatedPlace,Settlement,Place,Location"
59,Bohemia,"PopulatedPlace,Settlement,Place,Location"
60,Bolventor,"PopulatedPlace,Settlement,Place,Location"
61,"DBPEDIA_ID/Boone,_North_Carolina","PopulatedPlace,Settlement,Place,Location"
62,Bordeaux,"PopulatedPlace,Settlement,Place,Location"
63,Borneo,"Island,Place,Location,PopulatedPlace"
64,DBPEDIA_ID/British_Empire,"Country,Place,Location,PopulatedPlace"
65,DBPEDIA_ID/British_Isles,"Island,Place,Location,PopulatedPlace"
66,"DBPEDIA_ID/Buffalo,_New_York","City,Settlement,Place,Location,PopulatedPlace"
67,"DBPEDIA_ID/Cadillac,_Michigan","City,Settlement,Place,Location,PopulatedPlace"
68,"DBPEDIA_ID/Cambridge,_Massachusetts","City,Settlement,Place,Location,PopulatedPlace"
69,DBPEDIA_ID/Cape_Breton_Island,"Island,Place,Location,PopulatedPlace"
70,DBPEDIA_ID/Cape_Town,"PopulatedPlace,Settlement,Place,Location"
71,"DBPEDIA_ID/Cedar_Falls,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
72,DBPEDIA_ID/Central_Powers,"Country,Place,Location,PopulatedPlace"
73,DBPEDIA_ID/Channel_Islands,"Island,Place,Location,PopulatedPlace"
74,"DBPEDIA_ID/Cheddar,_Somerset","PopulatedPlace,Settlement,Place,Location"
75,Chernobyl,"City,Settlement,Place,Location,PopulatedPlace"
76,Chicago,"City,Settlement,Place,Location,PopulatedPlace"
77,Chios,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
78,Chojnów,"PopulatedPlace,Settlement,Place,Location"
79,DBPEDIA_ID/City_of_London,"City,Settlement,Place,Location,PopulatedPlace"
80,Cleveland,"City,Settlement,Place,Location,PopulatedPlace"
81,Cluny,"PopulatedPlace,Settlement,Place,Location"
82,DBPEDIA_ID/Cocos_(Keeling)_Islands,"Country,Place,Location,PopulatedPlace"
83,"DBPEDIA_ID/Colorado_Springs,_Colorado","PopulatedPlace,Settlement,Place,Location"
84,"DBPEDIA_ID/Columbia,_Missouri","City,Settlement,Place,Location,PopulatedPlace"
85,"DBPEDIA_ID/Columbus,_Indiana","City,Settlement,Place,Location,PopulatedPlace"
86,"DBPEDIA_ID/Columbus,_Ohio","City,Settlement,Place,Location,PopulatedPlace"
87,DBPEDIA_ID/Commonwealth_of_England,"Country,Place,Location,PopulatedPlace"
88,"DBPEDIA_ID/Concord,_Michigan","PopulatedPlace,Settlement,Place,Location,Village"
89,"DBPEDIA_ID/Concord,_New_Hampshire","City,Settlement,Place,Location,PopulatedPlace"
90,DBPEDIA_ID/Confederate_States_of_America,"Country,Place,Location,PopulatedPlace"
91,DBPEDIA_ID/Coral_Sea_Islands,"Island,Place,Location,PopulatedPlace"
92,Corinth,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
93,Cyclades,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
94,Czechoslovakia,"Country,Place,Location,PopulatedPlace"
95,Dahomey,"Country,Place,Location,PopulatedPlace"
96,"DBPEDIA_ID/Dartmouth,_Devon","PopulatedPlace,Settlement,Place,Location"
97,"DBPEDIA_ID/Darwin,_Northern_Territory","City,Settlement,Place,Location,PopulatedPlace"
98,"DBPEDIA_ID/Davenport,_Iowa","City,Settlement,Place,Location,PopulatedPlace"
99,"DBPEDIA_ID/Davis,_California","City,Settlement,Place,Location,PopulatedPlace"
100,"DBPEDIA_ID/Dayton,_Ohio","City,Settlement,Place,Location,PopulatedPlace"
101,"DBPEDIA_ID/Dedham,_Massachusetts","Town,PopulatedPlace,Settlement,Place,Location"
102,Dejima,"Country,Place,Location,PopulatedPlace"
103,Delaware,"PopulatedPlace,Region,%3Chttp://purl.org/dc/terms/Jurisdiction%3E,AdministrativeRegion,Place,Location"
