,entity,classes
0,DBPEDIA_ID/John_Peel,"Presenter,Agent,Person"
1,DBPEDIA_ID/Barbara_Frum,"TelevisionHost,Presenter,Agent,Person"
2,DBPEDIA_ID/Don_Geronimo,"Presenter,RadioHost,Agent,Person"
3,DBPEDIA_ID/Ghislaine_Dupont,"Presenter,RadioHost,Agent,Person"
4,DBPEDIA_ID/Mark_Hamilton_(doctor),"Presenter,Agent,Person"
5,DBPEDIA_ID/Pebbles_(radio_personality),"Presenter,RadioHost,Agent,Person"
6,DBPEDIA_ID/Quentin_Cooper,"Presenter,RadioHost,Agent,Person"
7,DBPEDIA_ID/Zane_Lowe,"Presenter,RadioHost,Agent,Person"
8,DBPEDIA_ID/Angela_Yee,"Presenter,RadioHost,Agent,Person"
9,DBPEDIA_ID/Suzyn_Waldman,"Presenter,RadioHost,Agent,Person"
10,DBPEDIA_ID/%22Sunshine%22_Sonny_Payne,"Presenter,RadioHost,Agent,Person"
11,DBPEDIA_ID/Carolina_Bermudez,"Presenter,RadioHost,Agent,Person"
12,DBPEDIA_ID/Evan_Roberts_(radio_personality),"Presenter,Agent,Person"
13,DBPEDIA_ID/Jon_Gaunt,"Presenter,Agent,Person"
14,DBPEDIA_ID/Nessa_(personality),"Presenter,RadioHost,Agent,Person"
15,DBPEDIA_ID/Roy_Masters_(commentator),"Presenter,RadioHost,Agent,Person"
16,DBPEDIA_ID/Simon_Bates,"Presenter,Agent,Person"
17,DBPEDIA_ID/Tony_Dixon_(DJ),"Presenter,RadioHost,Agent,Person"
18,DBPEDIA_ID/Andy_Slater,"Presenter,RadioHost,Agent,Person"
19,DBPEDIA_ID/Big_Jack_Armstrong,"Presenter,Agent,Person"
20,DBPEDIA_ID/John_Gilliland,"Presenter,RadioHost,Agent,Person"
21,DBPEDIA_ID/Carol_Anne_Meehan,"Presenter,RadioHost,Agent,Person"
22,DBPEDIA_ID/Stephanie_Hirst,"Presenter,Agent,Person"
23,DBPEDIA_ID/Susan_Stamberg,"TelevisionHost,Presenter,Agent,Person"
24,DBPEDIA_ID/Bruce_DuMont,"Presenter,Agent,Person"
25,DBPEDIA_ID/Jono_Pryor,"Presenter,RadioHost,Agent,Person"
26,DBPEDIA_ID/Pauline_Gillespie,"Presenter,RadioHost,Agent,Person"
27,DBPEDIA_ID/Joel_Johnson_(journalist),"TelevisionHost,Presenter,Agent,Person"
28,DBPEDIA_ID/Nick_Geber,"Presenter,RadioHost,Agent,Person"
29,DBPEDIA_ID/Sarah_Champion_(presenter),"Presenter,Agent,Person"
30,DBPEDIA_ID/Dick_Biondi,"Presenter,RadioHost,Agent,Person"
31,DBPEDIA_ID/Ferdinand_Biondi,"Presenter,RadioHost,Agent,Person"
32,DBPEDIA_ID/Robert_Krulwich,"Presenter,RadioHost,Agent,Person"
33,DBPEDIA_ID/Johnny_Dare,"Presenter,RadioHost,Agent,Person"
34,DBPEDIA_ID/Mike_Dickin,"Presenter,Agent,Person"
35,DBPEDIA_ID/Pat_Sharp,"Presenter,Agent,Person"
36,DBPEDIA_ID/Becky_Worley,"TelevisionHost,Presenter,Agent,Person"
37,DBPEDIA_ID/Bob_Kevoian,"Presenter,RadioHost,Agent,Person"
38,DBPEDIA_ID/Lowell_Green,"Presenter,RadioHost,Agent,Person"
39,DBPEDIA_ID/Russ_Martin,"Presenter,RadioHost,Agent,Person"
40,DBPEDIA_ID/Tom_Griswold,"Presenter,RadioHost,Agent,Person"
41,DBPEDIA_ID/Mike_Valenti,"Presenter,RadioHost,Agent,Person"
42,DBPEDIA_ID/Gee_Money,"Presenter,RadioHost,Agent,Person"
43,DBPEDIA_ID/Heidi_Harris,"Presenter,RadioHost,Agent,Person"
44,DBPEDIA_ID/Sarah_X_Dylan,"Presenter,RadioHost,Agent,Person"
45,DBPEDIA_ID/Simon_Barnett,"Presenter,RadioHost,Agent,Person"
46,DBPEDIA_ID/George_Dunham,"Presenter,RadioHost,Agent,Person"
47,DBPEDIA_ID/Tim_Lovejoy,"Presenter,Agent,Person"
48,DBPEDIA_ID/Andrés_Durán,"Presenter,RadioHost,Agent,Person"
49,DBPEDIA_ID/Bomani_Jones,"Presenter,Agent,Person"
50,DBPEDIA_ID/Gary_Dolphin,"TelevisionHost,Presenter,Agent,Person"
51,DBPEDIA_ID/Gavin_Dawson,"Presenter,RadioHost,Agent,Person"
52,DBPEDIA_ID/Greg_Nibler,"Presenter,RadioHost,Agent,Person"
53,DBPEDIA_ID/Jim_Johnson_(radio),"Presenter,RadioHost,Agent,Person"
54,DBPEDIA_ID/Michael_Tearson,"Presenter,Agent,Person"
55,DBPEDIA_ID/Gerald_Koh,"Presenter,RadioHost,Agent,Person"
56,DBPEDIA_ID/Steve_Mould,"Presenter,Agent,Person"
57,DBPEDIA_ID/Clara_Amfo,"Presenter,RadioHost,Agent,Person"
58,DBPEDIA_ID/David_Mizejewski,"TelevisionHost,Presenter,Agent,Person"
59,DBPEDIA_ID/Matt_Siegel,"Presenter,RadioHost,Agent,Person"
60,DBPEDIA_ID/Trudy_Haynes,"Presenter,RadioHost,Agent,Person"
61,DBPEDIA_ID/Frédéric_Taddeï,"Presenter,RadioHost,Agent,Person"
62,DBPEDIA_ID/Georgie_Thompson,"TelevisionHost,Presenter,Agent,Person"
63,DBPEDIA_ID/Jonathan_Sutherland,"TelevisionHost,Presenter,Agent,Person"
64,DBPEDIA_ID/Charles_Osgood,"TelevisionHost,Presenter,Agent,Person"
65,DBPEDIA_ID/Jim_Jordan_(actor),"Presenter,Agent,Person"
66,DBPEDIA_ID/Steve_McCoy,"Presenter,Agent,Person"
67,DBPEDIA_ID/Farah_Hussain,"Presenter,RadioHost,Agent,Person"
68,DBPEDIA_ID/Jimmy_Wallington,"Presenter,RadioHost,Agent,Person"
69,DBPEDIA_ID/Leslie_Marshall,"Presenter,Agent,Person"
70,DBPEDIA_ID/Artie_Auerbach,"Presenter,Agent,Person"
71,DBPEDIA_ID/Kenny_Hassan,"Presenter,Agent,Person"
72,DBPEDIA_ID/Martin_Ingram_(broadcaster),"Presenter,RadioHost,Agent,Person"
73,DBPEDIA_ID/Mike_Parry,"Presenter,Agent,Person"
74,DBPEDIA_ID/Nadine_Ramkisson,"Presenter,RadioHost,Agent,Person"
75,DBPEDIA_ID/Jacki_Lyden,"Presenter,RadioHost,Agent,Person"
76,DBPEDIA_ID/Ed_Sciaky,"Presenter,Agent,Person"
77,DBPEDIA_ID/Norman_Ellison,"Presenter,RadioHost,Agent,Person"
78,DBPEDIA_ID/Sandra_Maischberger,"TelevisionHost,Presenter,Agent,Person"
79,DBPEDIA_ID/Art_Vincent,"Presenter,RadioHost,Agent,Person"
80,DBPEDIA_ID/John_Kenneally_(radio_presenter),"Presenter,RadioHost,Agent,Person"
81,DBPEDIA_ID/Kjell_Kristian_Rike,"Presenter,RadioHost,Agent,Person"
82,DBPEDIA_ID/Annie_Mac,"Presenter,RadioHost,Agent,Person"
83,DBPEDIA_ID/Cipha_Sounds,"Presenter,RadioHost,Agent,Person"
84,DBPEDIA_ID/Comedy_Dave,"Presenter,RadioHost,Agent,Person"
85,DBPEDIA_ID/Daria_O'Neill,"Presenter,RadioHost,Agent,Person"
86,DBPEDIA_ID/Doug_Tracht,"Presenter,RadioHost,Agent,Person"
87,DBPEDIA_ID/Howie_Carr,"Presenter,Agent,Person"
88,DBPEDIA_ID/Jonathon_Brandmeier,"Presenter,Agent,Person"
89,DBPEDIA_ID/Luke_Burbank,"Presenter,RadioHost,Agent,Person"
90,DBPEDIA_ID/Lynn_Parsons,"Presenter,Agent,Person"
91,DBPEDIA_ID/Brian_Matthew,"Presenter,RadioHost,Agent,Person"
92,DBPEDIA_ID/Mike_O'Meara,"Presenter,RadioHost,Agent,Person"
93,DBPEDIA_ID/Sid_Rosenberg,"Presenter,RadioHost,Agent,Person"
94,DBPEDIA_ID/Bill_Buckley_(radio_presenter),"Presenter,Agent,Person"
95,DBPEDIA_ID/Chick_McGee,"Presenter,Agent,Person"
96,DBPEDIA_ID/Doug_Banks,"Presenter,RadioHost,Agent,Person"
97,DBPEDIA_ID/Miss_Info,"Presenter,RadioHost,Agent,Person"
98,DBPEDIA_ID/Rick_Emerson,"Presenter,RadioHost,Agent,Person"
99,DBPEDIA_ID/Robert_W._Morgan,"Presenter,RadioHost,Agent,Person"
100,DBPEDIA_ID/Steve_Cochran_(radio_host),"Presenter,RadioHost,Agent,Person"
101,DBPEDIA_ID/Woody_Durham,"TelevisionHost,Presenter,Agent,Person"
102,DBPEDIA_ID/Toni_Neal,"Presenter,RadioHost,Agent,Person"
103,DBPEDIA_ID/Casey_Anderson_(naturalist),"TelevisionHost,Presenter,Agent,Person"
