,entity,classes
0,DBPEDIA_ID/John_Oponjo_Benjamin,"President,Politician,Agent,Person"
1,DBPEDIA_ID/Babrak_Karmal,"President,Politician,Agent,Person"
2,DBPEDIA_ID/Bill_Clinton,"President,Politician,Agent,Person"
3,DBPEDIA_ID/Chiang_Kai-shek,"President,Politician,Agent,Person"
4,DBPEDIA_ID/Francesco_Cossiga,"President,Politician,Agent,Person"
5,DBPEDIA_ID/Francisco_I._Madero,"President,Politician,Agent,Person"
6,DBPEDIA_ID/Gyula_Andrássy,"President,Politician,Agent,Person"
7,DBPEDIA_ID/Hafizullah_Amin,"President,Politician,Agent,Person"
8,DBPEDIA_ID/Johannes_Rau,"President,Politician,Agent,Person"
9,DBPEDIA_ID/Karl_Dönitz,"President,Politician,Agent,Person"
10,DBPEDIA_ID/Kenneth_Kaunda,"President,Politician,Agent,Person"
11,DBPEDIA_ID/Klement_Gottwald,"President,Politician,Agent,Person"
12,DBPEDIA_ID/Pierre_de_Coubertin,"President,Politician,Agent,Person"
13,DBPEDIA_ID/Ruhollah_Khomeini,"President,Politician,Agent,Person"
14,DBPEDIA_ID/Ruslan_Khasbulatov,"President,Politician,Agent,Person"
15,DBPEDIA_ID/İsmet_İnönü,"President,Politician,Agent,Person"
16,DBPEDIA_ID/Syngman_Rhee,"President,Politician,Agent,Person"
17,DBPEDIA_ID/César_Gaviria,"President,Politician,Agent,Person"
18,DBPEDIA_ID/Emilio_Aguinaldo,"President,Politician,Agent,Person"
19,DBPEDIA_ID/Enrico_De_Nicola,"President,Politician,Agent,Person"
20,DBPEDIA_ID/Eurico_Gaspar_Dutra,"President,Politician,Agent,Person"
21,DBPEDIA_ID/Hans_Blix,"President,Politician,Agent,Person"
22,DBPEDIA_ID/Hugo_Banzer,"President,Politician,Agent,Person"
23,DBPEDIA_ID/Janez_Drnovšek,"President,Politician,Agent,Person"
24,DBPEDIA_ID/Juho_Kusti_Paasikivi,"President,Politician,Agent,Person"
