,entity,classes
0,DBPEDIA_ID/Benjamin_Disraeli,"PrimeMinister,Politician,Agent,Person"
1,DBPEDIA_ID/Constantine_Kanaris,"PrimeMinister,Politician,Agent,Person"
2,DBPEDIA_ID/Earle_Page,"PrimeMinister,Politician,Agent,Person"
3,DBPEDIA_ID/Fumimaro_Konoe,"PrimeMinister,Politician,Agent,Person"
4,DBPEDIA_ID/John_Diefenbaker,"PrimeMinister,Politician,Agent,Person"
5,DBPEDIA_ID/Louis_St._Laurent,"PrimeMinister,Politician,Agent,Person"
6,DBPEDIA_ID/R._B._Bennett,"PrimeMinister,Politician,Agent,Person"
7,DBPEDIA_ID/Arthur_Fadden,"PrimeMinister,Politician,Agent,Person"
8,DBPEDIA_ID/Chris_Watson,"PrimeMinister,Politician,Agent,Person"
9,DBPEDIA_ID/Frank_Forde,"PrimeMinister,Politician,Agent,Person"
10,DBPEDIA_ID/Gulbuddin_Hekmatyar,"PrimeMinister,Politician,Agent,Person"
11,"DBPEDIA_ID/Henry_John_Temple,_3rd_Viscount_Palmerston","PrimeMinister,Politician,Agent,Person"
12,DBPEDIA_ID/John_Curtin,"PrimeMinister,Politician,Agent,Person"
13,DBPEDIA_ID/Odilon_Barrot,"PrimeMinister,Politician,Agent,Person"
14,DBPEDIA_ID/Carlos_Correia,"PrimeMinister,Politician,Agent,Person"
15,DBPEDIA_ID/Abdul_Ali_Mazari,"PrimeMinister,Politician,Agent,Person"
16,DBPEDIA_ID/Alexandre_Ribot,"PrimeMinister,Politician,Agent,Person"
17,DBPEDIA_ID/Casimir_Pierre_Périer,"PrimeMinister,Politician,Agent,Person"
18,DBPEDIA_ID/Daniel_François_Malan,"PrimeMinister,Politician,Agent,Person"
19,DBPEDIA_ID/Dimitar_Petkov,"PrimeMinister,Politician,Agent,Person"
20,DBPEDIA_ID/Gunnar_Knudsen,"PrimeMinister,Politician,Agent,Person"
21,DBPEDIA_ID/Ibrahim_Hashem,"PrimeMinister,Politician,Agent,Person"
22,DBPEDIA_ID/J._B._M._Hertzog,"PrimeMinister,Politician,Agent,Person"
23,DBPEDIA_ID/Jack_Richardson_(politician),"PrimeMinister,Politician,Agent,Person"
24,DBPEDIA_ID/Jacques_Parizeau,"PrimeMinister,Politician,Agent,Person"
25,DBPEDIA_ID/Jan_Smuts,"PrimeMinister,Politician,Agent,Person"
26,DBPEDIA_ID/John_Mason_(Australian_politician),"PrimeMinister,Politician,Agent,Person"
27,DBPEDIA_ID/John_Reid_(Australian_politician),"PrimeMinister,Politician,Agent,Person"
28,DBPEDIA_ID/Milton_Obote,"PrimeMinister,Politician,Agent,Person"
29,DBPEDIA_ID/Peter_Mohr_Dam,"PrimeMinister,Politician,Agent,Person"
30,DBPEDIA_ID/Richard_Jones_(1816–1892),"PrimeMinister,Politician,Agent,Person"
31,DBPEDIA_ID/Robert_Hamilton_(civil_servant),"PrimeMinister,Politician,Agent,Person"
32,"DBPEDIA_ID/William_Cavendish-Bentinck,_3rd_Duke_of_Portland","PrimeMinister,Politician,Agent,Person"
33,DBPEDIA_ID/Ólafur_Jóhannesson,"PrimeMinister,Politician,Agent,Person"
34,DBPEDIA_ID/Filippo_Mancuso,"PrimeMinister,Politician,Agent,Person"
35,DBPEDIA_ID/Ludvig_Holstein-Holsteinborg,"PrimeMinister,Politician,Agent,Person"
36,DBPEDIA_ID/Antonio_Bassolino,"PrimeMinister,Politician,Agent,Person"
37,"DBPEDIA_ID/Antonio_Starabba,_Marchese_di_Rudinì","PrimeMinister,Politician,Agent,Person"
38,DBPEDIA_ID/Bahjat_Talhouni,"PrimeMinister,Politician,Agent,Person"
39,DBPEDIA_ID/Chivu_Stoica,"PrimeMinister,Politician,Agent,Person"
40,DBPEDIA_ID/Costanzo_Ciano,"PrimeMinister,Politician,Agent,Person"
41,DBPEDIA_ID/Fiqri_Dine,"PrimeMinister,Politician,Agent,Person"
42,DBPEDIA_ID/Francisco_de_Sá_Carneiro,"PrimeMinister,Politician,Agent,Person"
43,DBPEDIA_ID/Fred_Miller_(Australian_politician),"PrimeMinister,Politician,Agent,Person"
44,DBPEDIA_ID/Georgios_Rallis,"PrimeMinister,Politician,Agent,Person"
45,DBPEDIA_ID/Gerrit_de_Vries_(politician),"PrimeMinister,Politician,Agent,Person"
46,DBPEDIA_ID/Giovanni_Berlinguer,"PrimeMinister,Politician,Agent,Person"
47,DBPEDIA_ID/Hans_Christian_Petersen,"PrimeMinister,Politician,Agent,Person"
48,DBPEDIA_ID/Haqqi_al-Azm,"PrimeMinister,Politician,Agent,Person"
49,DBPEDIA_ID/Ilie_Ilașcu,"PrimeMinister,Politician,Agent,Person"
50,DBPEDIA_ID/Ilie_Verdeț,"PrimeMinister,Politician,Agent,Person"
51,DBPEDIA_ID/Ja'far_Pishevari,"PrimeMinister,Politician,Agent,Person"
52,DBPEDIA_ID/Marita_Petersen,"PrimeMinister,Politician,Agent,Person"
53,DBPEDIA_ID/Mohamed_Lamine_Ould_Ahmed,"PrimeMinister,Politician,Agent,Person"
54,DBPEDIA_ID/Nabil_Gabol,"PrimeMinister,Politician,Agent,Person"
55,DBPEDIA_ID/Petru_Groza,"PrimeMinister,Politician,Agent,Person"
56,DBPEDIA_ID/Pierre-Célestin_Rwigema,"PrimeMinister,Politician,Agent,Person"
57,DBPEDIA_ID/Sadiq_al-Mahdi,"PrimeMinister,Politician,Agent,Person"
58,DBPEDIA_ID/Tengiz_Sigua,"PrimeMinister,Politician,Agent,Person"
59,DBPEDIA_ID/Turhan_Përmeti,"PrimeMinister,Politician,Agent,Person"
60,DBPEDIA_ID/Wollert_Konow_(Prime_Minister_of_Norway),"PrimeMinister,Politician,Agent,Person"
61,DBPEDIA_ID/Ali_Jerbi,"PrimeMinister,Politician,Agent,Person"
62,DBPEDIA_ID/Bill_Weiley,"PrimeMinister,Politician,Agent,Person"
63,DBPEDIA_ID/Christian_Emil_Krag-Juel-Vind-Frijs,"PrimeMinister,Politician,Agent,Person"
64,DBPEDIA_ID/Deborah_Bergamini,"PrimeMinister,Politician,Agent,Person"
65,DBPEDIA_ID/Frank_Fluckiger,"PrimeMinister,Politician,Agent,Person"
66,DBPEDIA_ID/Giorgio_Carollo,"PrimeMinister,Politician,Agent,Person"
67,DBPEDIA_ID/Barthélemy_Boganda,"PrimeMinister,Politician,Agent,Person"
68,DBPEDIA_ID/Benedetto_Cairoli,"PrimeMinister,Politician,Agent,Person"
69,DBPEDIA_ID/Carl_Gustaf_Ekman,"PrimeMinister,Politician,Agent,Person"
70,DBPEDIA_ID/Pavlos_Mousouros,"PrimeMinister,Politician,Agent,Person"
71,DBPEDIA_ID/Pencho_Zlatev,"PrimeMinister,Politician,Agent,Person"
72,DBPEDIA_ID/Count_Manfred_von_Clary-Aldringen,"PrimeMinister,Politician,Agent,Person"
73,DBPEDIA_ID/Rosy_Bindi,"PrimeMinister,Politician,Agent,Person"
74,DBPEDIA_ID/Donald_Sangster,"PrimeMinister,Politician,Agent,Person"
75,DBPEDIA_ID/Duncan_MacIntyre_(New_Zealand_politician),"PrimeMinister,Politician,Agent,Person"
76,DBPEDIA_ID/Shih_Chia-hsin,"PrimeMinister,Politician,Agent,Person"
77,DBPEDIA_ID/Francesco_Saverio_Nitti,"PrimeMinister,Politician,Agent,Person"
78,DBPEDIA_ID/Umar_Arteh_Ghalib,"PrimeMinister,Politician,Agent,Person"
79,DBPEDIA_ID/Fred_Green_(Australian_politician),"PrimeMinister,Politician,Agent,Person"
80,DBPEDIA_ID/Gagik_Harutyunyan,"PrimeMinister,Politician,Agent,Person"
81,DBPEDIA_ID/William_Sydney_Marchant,"PrimeMinister,Politician,Agent,Person"
82,DBPEDIA_ID/Hilmar_Baunsgaard,"PrimeMinister,Politician,Agent,Person"
83,DBPEDIA_ID/Hugh_John_Flemming,"PrimeMinister,Politician,Agent,Person"
84,DBPEDIA_ID/John_McGrath_(New_South_Wales_politician),"PrimeMinister,Politician,Agent,Person"
85,DBPEDIA_ID/Kliment_of_Tarnovo,"PrimeMinister,Politician,Agent,Person"
86,DBPEDIA_ID/Konstantinos_Mitsotakis,"PrimeMinister,Politician,Agent,Person"
87,DBPEDIA_ID/Mariano_Rumor,"PrimeMinister,Politician,Agent,Person"
88,DBPEDIA_ID/Michel_Aoun,"PrimeMinister,Politician,Agent,Person"
89,DBPEDIA_ID/Michl_Ebner,"PrimeMinister,Politician,Agent,Person"
90,DBPEDIA_ID/Muhammad_Saifullah,"PrimeMinister,Politician,Agent,Person"
91,DBPEDIA_ID/Ranil_Wickremesinghe,"PrimeMinister,Politician,Agent,Person"
92,DBPEDIA_ID/Stoyan_Danev,"PrimeMinister,Politician,Agent,Person"
93,DBPEDIA_ID/Kristian_Djurhuus,"PrimeMinister,Politician,Agent,Person"
94,DBPEDIA_ID/Mohammad_Hashim_Khan,"PrimeMinister,Politician,Agent,Person"
95,DBPEDIA_ID/Emil_Stang,"PrimeMinister,Politician,Agent,Person"
96,DBPEDIA_ID/Frederik_Stang,"PrimeMinister,Politician,Agent,Person"
97,DBPEDIA_ID/Marcelo_Caetano,"PrimeMinister,Politician,Agent,Person"
98,DBPEDIA_ID/Nikola_Kljusev,"PrimeMinister,Politician,Agent,Person"
99,DBPEDIA_ID/Nikola_Uzunović,"PrimeMinister,Politician,Agent,Person"
100,DBPEDIA_ID/Umberto_Bossi,"PrimeMinister,Politician,Agent,Person"
101,DBPEDIA_ID/Emily_de_Jongh-Elhage,"PrimeMinister,Politician,Agent,Person"
102,DBPEDIA_ID/Bashir_al-Azma,"PrimeMinister,Politician,Agent,Person"
103,DBPEDIA_ID/Clemente_Mastella,"PrimeMinister,Politician,Agent,Person"
104,DBPEDIA_ID/George_Wigram_Allen,"PrimeMinister,Politician,Agent,Person"
105,DBPEDIA_ID/Oliviero_Diliberto,"PrimeMinister,Politician,Agent,Person"
106,DBPEDIA_ID/Thawan_Thamrongnawasawat,"PrimeMinister,Politician,Agent,Person"
107,"DBPEDIA_ID/Élie,_duc_Decazes","PrimeMinister,Politician,Agent,Person"
108,DBPEDIA_ID/Brian_Topp,"PrimeMinister,Politician,Agent,Person"
109,DBPEDIA_ID/Iskenderbek_Aidaraliyev,"PrimeMinister,Politician,Agent,Person"
110,DBPEDIA_ID/Reginald_Weaver,"PrimeMinister,Politician,Agent,Person"
111,DBPEDIA_ID/Theo_de_Meester,"PrimeMinister,Politician,Agent,Person"
112,DBPEDIA_ID/Alessandro_Bianchi_(politician),"PrimeMinister,Politician,Agent,Person"
113,DBPEDIA_ID/Apas_Jumagulov,"PrimeMinister,Politician,Agent,Person"
114,DBPEDIA_ID/Borys_Mykolaiovych_Martos,"PrimeMinister,Politician,Agent,Person"
115,DBPEDIA_ID/Brian_Mikkelsen,"PrimeMinister,Politician,Agent,Person"
116,DBPEDIA_ID/Milan_Hodža,"PrimeMinister,Politician,Agent,Person"
117,DBPEDIA_ID/Pavlo_Lazarenko,"PrimeMinister,Politician,Agent,Person"
118,DBPEDIA_ID/Salah_al-Din_al-Bitar,"PrimeMinister,Politician,Agent,Person"
119,DBPEDIA_ID/Frank_Hill_(politician),"PrimeMinister,Politician,Agent,Person"
120,DBPEDIA_ID/John_Brenan_(politician),"PrimeMinister,Politician,Agent,Person"
121,DBPEDIA_ID/Kaqusha_Jashari,"PrimeMinister,Politician,Agent,Person"
122,DBPEDIA_ID/Luigi_Federico_Menabrea,"PrimeMinister,Politician,Agent,Person"
123,DBPEDIA_ID/Nikica_Valentić,"PrimeMinister,Politician,Agent,Person"
124,DBPEDIA_ID/Sitaram_Bhaskar_Bhagwat,"PrimeMinister,Politician,Agent,Person"
125,DBPEDIA_ID/Viggo_Kampmann,"PrimeMinister,Politician,Agent,Person"
126,DBPEDIA_ID/Youssef_Wahba,"PrimeMinister,Politician,Agent,Person"
127,DBPEDIA_ID/Agim_Çeku,"PrimeMinister,Politician,Agent,Person"
128,DBPEDIA_ID/Franco_Carraro,"PrimeMinister,Politician,Agent,Person"
129,DBPEDIA_ID/José_Dias_Ferreira,"PrimeMinister,Politician,Agent,Person"
130,DBPEDIA_ID/Theo_Heemskerk,"PrimeMinister,Politician,Agent,Person"
131,DBPEDIA_ID/Gyula_Gömbös,"PrimeMinister,Politician,Agent,Person"
132,"DBPEDIA_ID/Jean-Joseph,_Marquis_Dessolles","PrimeMinister,Politician,Agent,Person"
133,DBPEDIA_ID/John_Compton,"PrimeMinister,Politician,Agent,Person"
134,DBPEDIA_ID/Anatoliy_Kinakh,"PrimeMinister,Politician,Agent,Person"
135,DBPEDIA_ID/Constantin_Argetoianu,"PrimeMinister,Politician,Agent,Person"
136,DBPEDIA_ID/Karel_Kramář,"PrimeMinister,Politician,Agent,Person"
137,DBPEDIA_ID/Tofilau_Eti_Alesana,"PrimeMinister,Politician,Agent,Person"
138,DBPEDIA_ID/Banharn_Silpa-archa,"PrimeMinister,Politician,Agent,Person"
139,DBPEDIA_ID/Abdul_Ati_al-Obeidi,"PrimeMinister,Politician,Agent,Person"
